"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-NVP-TAE684-3.33","66/150",1.52087003140148e-48,5.03803406602053e-44,0,0,9.73451327433628,1071.81665569806,"IFITM1;CD40;C1ORF38;TNFAIP3;UBE2L6;IFI35;IFIT1;IFI44L;IFIT3;ICAM1;OASL;HERC5;IFIH1;RASSF2;LAMP3;TNFSF10;TRIM22;HERC6;HIST1H1C;RSAD2;SP110;DDX58;TAP1;TAPBP;PLSCR1;OAS1;OAS2;IRF1;OAS3;IRF7;TRIM14;LTB;IRF9;BIRC3;UBA7;IFI6;DDX60;USP18;RELB;CCL8;CCL5;CCL2;GBP2;GBP1;APOL3;VCAM1;GCH1;RARRES3;STAT1;MX2;MX1;NKG7;RAB27A;IFI44;EIF2AK2;TDRD7;ISG15;NMI;PARP12;PSMB8;PSMB9;ISG20;BST2;CXCL11;BCL6;XAF1"
"LJP006 HA1E 24H-WZ-4-145-10","67/165",1.76562475305869e-46,2.92440427849111e-42,0,0,8.98364172700456,946.430336378343,"RTP4;IFITM1;IFIT5;UBE2L6;N4BP2L1;IFI35;IFIT1;TMEM140;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;CASP10;LAMP3;C3AR1;TNFSF10;CASP1;PLXNC1;LGALS9;TRIM22;HERC6;WARS;FCER1G;RSAD2;SP110;CD300A;DDX58;SWAP70;RNASE6;PLSCR1;TYROBP;SLC7A7;OAS1;OAS2;OAS3;IRF7;SERPING1;IRF9;C1QB;RGS16;TRANK1;FPR1;IFI6;CXCR4;DDX60;USP18;TYMP;OLFML1;APOL1;FCGR1B;RAP1GAP2;RARRES3;STAT1;MX2;HSPA6;MX1;IFI44;ISG15;PARP12;PSMB9;ISG20;BST2;BCL6;SLCO3A1;XAF1"
"LJP006 HA1E 24H-AZD-7762-0.37","55/110",2.02803176025534e-44,2.23935266967395e-40,0,0,11.0619469026549,1112.9057339077,"RTP4;IFITM1;CD83;UBE2L6;IFI35;IFIT1;TMEM140;IFI44L;IFIT3;IFIT2;ICAM1;OASL;HERC5;IFIH1;LAMP3;TNFSF10;TPSAB1;TRIM22;HERC6;HIST1H1C;DENND2D;RSAD2;DDX58;TAP1;HLA-C;HLA-G;PLSCR1;CEACAM1;OAS1;OAS2;OAS3;IRF7;ABCG1;IRF9;LY6E;CHMP5;BIRC3;IFI6;DDX60;USP18;TYMP;RELB;SYNGR2;PMAIP1;GCH1;STAT1;MX2;MX1;IFI44;ISG15;PSMB8;ISG20;BST2;BCL6;XAF1"
"LJP006 HA1E 24H-NVP-TAE684-1.11","52/111",3.50276050153171e-40,2.90081110934349e-36,0,0,10.3643466475325,941.599362605754,"IFITM1;TNFAIP3;UBE2L6;IFI35;IFIT1;IFI44L;IFIT3;CTSS;IFIT2;ICAM1;OASL;HERC5;IFIH1;TNFSF10;TRIM22;HERC6;RSAD2;SP110;DDX58;VAMP8;PLSCR1;OAS1;OAS2;OAS3;RFX5;IRF7;SERPING1;IRF9;UBA7;IFI6;DDX60;USP18;TYMP;RELB;CCL8;CCL5;CCL2;GBP2;GBP1;APOL3;VCAM1;STAT1;MX2;MX1;IFI44;EIF2AK2;ISG15;PARP12;ISG20;BST2;CXCL11;XAF1"
"LJP006 HA1E 24H-saracatinib-3.33","47/99",9.21986461380118e-37,6.10834470393556e-33,0,0,10.5032627156521,871.500746424993,"IFITM1;C1ORF38;IFI6;SECTM1;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;OASL;HERC5;PYCARD;IFIH1;IFI16;C1RL;TNFSF10;CASP1;CCL2;GBP2;TRIM22;HERC6;MAP3K5;RSAD2;GCH1;SP110;RARRES3;DDX58;STAT1;MX2;MX1;IFI44;EIF2AK2;ISG15;PSMB8;PSMB9;ARL4C;PLSCR1;BCL6;OAS1;OAS2;OAS3;SERPING1;C19ORF66;XAF1;PION;LY6E"
"LJP006 HA1E 24H-JW-7-24-1-10","54/149",1.38982966139362e-34,7.67324956055417e-31,0,0,8.01805547306527,625.077277167534,"RTP4;IFITM1;UBE2L6;N4BP2L1;IFI35;IKZF1;IFIT1;TMEM140;N4BP2L2;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;TNFSF10;TRIM22;HERC6;RSAD2;SP110;DDX58;TAP1;HLA-E;ARL4C;PLSCR1;OAS1;OAS2;OAS3;IRF7;C19ORF66;PION;IRF9;SP100;IFI6;ITPR3;DDX60;USP18;RELB;CCL5;PMAIP1;KCNN4;STAT1;MX2;HSPA6;MX1;IFI44;ISG15;PARP12;PSMB8;PSMB9;ISG20;EVI2A;XAF1;EVI2B"
"LJP006 HA1E 24H-saracatinib-1.11","41/83",4.11493111221858e-33,1.94730297176218e-29,0,0,10.9286704339482,814.958451059312,"IFITM1;C1ORF38;HPGD;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;ICAM1;HERC5;PYCARD;IFIH1;TNFSF10;MAP7;CCL2;GBP1;HERC6;MAP3K5;RSAD2;SP110;DDX58;STAT1;MX1;TAP1;KAZN;IFI44;ISG15;NMI;PARP12;PSMB8;PSMB9;ARL4C;PLSCR1;VNN1;OAS1;OAS2;OAS3;IRF7;TRIM14"
"LJP009 HT29 24H-chelerythrine chloride-10","42/94",1.32252361124998e-31,5.47623964328334e-28,0,0,9.88514404067031,702.839634268157,"IFITM1;IFI6;SLC2A3;IFIT1;DDX60;USP18;IFI44L;IFIT3;HERC5;IFIH1;CASP7;CCL8;GRB10;TNFSF10;TRIM22;HERC6;HIST1H1C;RSAD2;GCH1;DDX58;STAT1;MX1;TAP1;IFI44;ISG15;BTN3A2;HLA-G;ELL2;PARP12;PSMB8;TAPBP;PSMB9;BST2;ISG20;PLSCR1;OAS1;OAS2;IRF7;XAF1;IRF9;LY6E;BIRC3"
"LJP007 HA1E 24H-AST1306-10","45/129",3.51171704413619e-28,1.29254598671173e-24,0,0,7.71763737394526,487.880305872643,"IFITM1;GRN;IFI6;LY96;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;IFIH1;GRB10;PMAIP1;PLXNC1;STX3;TRIM22;HERC6;MAP4K4;ABCA1;NQO1;WARS;RSAD2;DDX58;STAT1;MX2;PHF11;HSPA6;MX1;IFI44;ISG15;NMI;PARP12;PSMB8;HLA-E;PSMB9;ISG20;BST2;PLSCR1;VNN1;ZEB1;OAS1;OAS2;OAS3;IRF7;XAF1"
"LJP006 HA1E 24H-WZ-4-145-1.11","43/117",4.58528636205704e-28,1.51892196029501e-24,0,0,8.13100370622495,511.842862091194,"C1QB;SCYL3;IFITM1;GRN;IFI6;UBE2L6;IFI35;IFIT1;TMEM140;DDX60;USP18;IFI44L;IFIT3;IFIT2;ICAM1;HERC5;IFIH1;IFI16;CASP10;ALOX5;TNFSF10;CASP1;GBP1;TRIM22;RSAD2;STAT1;MX2;MX1;IFI44;EIF2AK2;ISG15;PARP12;PSMB9;BST2;PLSCR1;CEACAM1;OAS1;OAS2;PALLD;OAS3;SERPING1;HPSE;XAF1"
"LJP008 HA1E 24H-PD-0325901-0.37","41/106",7.54990462250892e-28,2.27361945932028e-24,0,0,8.55735515111037,534.414083029456,"IFITM1;SP100;CFH;LST1;IFI6;TNFAIP3;CSF2RB;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;ICAM1;HERC5;IFIH1;TNFSF10;GBP2;GBP1;HERC6;RSAD2;STAT1;MX1;TAP1;HLA-C;IFI44;ISG15;CFLAR;HLA-G;PSMB8;HLA-E;BST2;CXCL11;PLSCR1;OAS1;OAS2;OAS3;IRF7;SERPING1;XAF1;IRF9"
"LJP007 HA1E 24H-PD-0325901-0.04","37/88",8.14683921425805e-27,2.24893496509594e-23,0,0,9.30209171359614,558.796811382601,"USP6NL;SP100;IFIT5;IFI6;IFI35;IFIT1;DDX60;IFI44L;GALNT10;IFIT3;ICAM1;IFIH1;LAMP3;COBLL1;TNFSF10;GBP1;TRIM22;HERC6;RSAD2;DDX58;VDR;STAT1;MX1;IFI44;ISG15;CFLAR;BST2;ISG20;CEACAM1;PLSCR1;CXCL11;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"LJP008 HA1E 24H-PD-0325901-10","37/91",3.50495709254499e-26,8.93116989597272e-23,0,0,8.99542934941165,527.24940755399,"IFITM1;HPGD;IFI6;CSF2RB;IFIT1;USP18;IFI44L;IFIT3;ICAM1;HERC5;ALOX5;GRB10;HERC6;VCAM1;RSAD2;STAT1;MX2;MX1;KCNJ15;TAP1;IFI44;ISG15;CFLAR;PSMB8;HLA-E;PSMB9;BST2;PLSCR1;CXCL11;OAS1;OAS2;OAS3;CDC42EP3;IRF7;XAF1;IRF9;CD200"
"LJP006 HA1E 24H-WZ-4-145-0.37","42/123",5.88232084779228e-26,1.39184114574262e-22,0,0,7.5545003237643,438.880668273931,"RTP4;HCP5;IFITM1;IFI6;CXCR4;UBE2L6;SLC2A3;IFI35;IFIT1;TMEM140;DDX60;USP18;IFI44L;IFIT3;HERC5;IFIH1;LAMP3;TNFSF10;GBP2;GBP1;TRIM22;HERC6;RSAD2;STAT1;MX1;TAP1;IFI44;ISG15;PARP12;PSMB8;HLA-E;PSMB9;BST2;CXCL11;PLSCR1;OAS1;OAS2;OAS3;IRF7;FAS;XAF1;LY6E"
"LJP006 HA1E 24H-selumetinib-10","43/137",7.43178803015743e-25,1.64123606857997e-21,0,0,6.94399586590014,385.800500021694,"IFITM1;IFI6;RNF19B;TNFAIP3;UBE2L6;CSF2RB;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;IFIT2;ICAM1;HERC5;IFIH1;EFEMP1;LAMP3;CCL2;TPSAB1;GBP2;GBP1;DENND2D;WARS;RSAD2;STAT1;MX2;MX1;TAP1;ISG15;CFLAR;PARP12;PSMB9;ISG20;BST2;VAMP8;CXCL11;PLSCR1;OAS1;LCK;OAS3;IRF7;IRF9"
"LJP005 HA1E 24H-PD-0325901-3.33","36/104",1.15372920019051e-22,2.38865209284443e-19,0,0,7.65827093260722,386.848921974816,"IFITM1;TNFAIP3;SLC2A3;IFI35;IFIT1;CD3D;IFI44L;IFIT3;ICAM1;IFIH1;TUBB6;RGS1;LAMP3;PHACTR2;CCL2;GBP1;TRIM22;HERC6;RSAD2;DDX58;STAT1;MX1;TAP1;ISG15;HLA-E;PSMB9;ISG20;BST2;CXCL11;PLSCR1;OAS3;IRF7;PRKCQ;CD69;XAF1;IRF9"
"LJP005 SKBR3 24H-mitoxantrone-0.37","33/89",5.60445970515586e-22,1.09207842466466e-18,0,0,8.20324152331709,401.411755454367,"HCP5;CD83;TNFAIP3;RASGRP1;ICAM1;RELB;IFIH1;TUBB6;LBH;EFEMP1;APOL6;CCL8;GNLY;LAMP3;CCL5;TRBC1;CCL4;GBP1;CYTH1;IL15RA;GCH1;GZMA;TNFRSF9;TAP1;HLA-C;NKG7;PSMB8;PSMB9;IRF1;CDC42EP3;IL2RB;ZNF238;BIRC3"
"LJP006 HA1E 24H-alvocidib-0.37","47/204",9.78449842360966e-21,1.80067385989163e-17,0,0,5.09717161200764,234.844473127494,"C1QB;CSF1R;IFITM1;PLVAP;IGSF6;FLT1;ITGAM;NCF2;RGS16;AQP9;IFI6;CXCR4;DPT;FPR3;SNX10;TREM2;LRMP;SAMSN1;CTSS;CCL8;RGS1;CLEC7A;LAMP3;CCL5;CCL4;C3AR1;TNFSF10;SLAMF8;CLIC2;FCGR1B;HIST1H1C;ABCA1;MSR1;FCER1G;RSAD2;CD300A;ERAP1;LAPTM5;CYBB;ARHGAP25;ARL4C;TYROBP;PTPRC;SERPING1;HCLS1;LTB;ABCG1"
"LJP008 HA1E 24H-PD-0325901-3.33","28/70",6.69286891812737e-20,1.16688408306256e-16,0,0,8.8495575221239,390.713798591811,"IFITM1;IFI6;IFIT1;DDX60;IFIT3;IFIT2;ICAM1;OASL;HERC5;IFIH1;LAMP3;GRB10;TNFSF10;GBP1;HERC6;RSAD2;STAT1;MX1;TAP1;ISG15;CFLAR;OAS1;OAS3;IRF7;PDCD4;XAF1;IRF9;BIRC3"
"LJP006 HA1E 24H-WZ-4-145-3.33","36/127",2.28913774011106e-19,3.79149883894596e-16,0,0,6.27133997630827,269.171816581678,"IFITM1;GRN;IFI6;UBE2L6;SLC2A3;N4BP2L1;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;ICAM1;HERC5;IFIH1;CCL5;PIEZO2;TRIM22;HERC6;RSAD2;STAT1;MX2;MX1;TAP1;IFI44;ISG15;PSMB8;PSMB9;BST2;PLSCR1;BCL6;OAS1;OAS2;OAS3;XAF1;IRF9"
"LJP006 MCF10A 24H-HG-5-88-01-10","34/113",2.85649547570628e-19,4.50591757753553e-16,0,0,6.65674680867727,284.239901823402,"IFITM1;SAMD9;MVP;IFI6;IFIT1;DDX60;RASGRP1;IFI44L;IFIT3;ICAM1;OASL;PYCARD;IFI16;TNFSF10;TIMP2;PMAIP1;CD14;TRIM22;HERC6;RSAD2;SP110;MX1;ATP2B4;ISG15;VAMP8;OAS1;TNIP1;OAS2;OAS3;IRF7;PRKCQ;XAF1;MYD88;IRF9"
"LJP006 HA1E 24H-nintedanib-1.11","26/66",2.23962822729379e-18,3.37226930260609e-15,0,0,8.71547331724323,354.198768632918,"IFITM1;IFI6;UBE2L6;IFIT1;DDX60;IFI44L;IFIT3;OASL;RELB;IFIH1;TNFSF10;HERC6;RSAD2;STAT1;MX2;MX1;TAP1;IFI44;ISG15;PSMB8;VAMP8;BST2;OAS1;OAS3;HPSE;IRF9"
