"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HME1 24H-XMD-1150-3.33","19/81",4.61569741541209e-15,1.52876514095864e-10,0,0,11.0906809094358,366.095762170878,"IFITM1;RARRES3;IFIT5;TAP1;IFI44;ISG15;NMI;IFIT3;PSMB8;PSMB9;ISG20;CXCL11;APOL6;IFI16;SLCO3A1;OAS2;TRIM14;GBP2;GBP1"
"LJP007 HA1E 24H-TPCA-1-0.04","12/36",5.42689119289912e-12,8.9872031600006e-08,0,0,15.7604412923562,408.820404574709,"ISG20;IFI16;RSAD2;OAS1;MX2;OAS3;MX1;IFI6;ISG15;IFIT1;IFIT3;OASL"
"LJP006 PC3 24H-BI-2536-0.37","16/78",6.272318088962e-12,6.92484824748368e-08,0,0,9.69873310298842,250.177609198781,"CD52;IFITM1;RSAD2;RARRES3;MX2;IFIT5;IFI44;ISG15;IFIT1;IFI44L;IFIT3;PSMB8;PSMB9;BST2;HERC6;LY6E"
"LJP006 HS578T 24H-CHIR-99021-3.33","17/94",1.16815141707354e-11,9.67258577122322e-08,0,0,8.55087772244857,215.251360421221,"IFITM1;STAT1;RFTN1;IFI6;CYBB;GIMAP4;CSF2RB;GIMAP6;CD3D;GLIPR1;GNLY;LCK;CCL5;TRBC1;TNFSF10;GBP1;BIRC3"
"LJP008 HA1E 24H-(-)-JQ1-10","14/58",1.25818462229802e-11,8.33446657502652e-08,0,0,11.4127333496372,286.445525096414,"CD97;GZMA;PRF1;GZMB;RASGRP1;CTSS;ICAM1;CD2;CXCL11;CCL5;TRBC1;GBP2;IL7R;GBP1"
"LJP008 HCC515 24H-IOX2-10","11/37",1.73535700765336e-10,9.5794599084145e-07,0,0,14.0566098012907,315.917213552744,"FCN1;CD52;TYROBP;GZMA;C5AR1;GZMB;MNDA;CST7;IFI30;IL7R;GBP1"
"LJP005 MCF7 3H-AS-601245-0.37","15/85",2.75976654435353e-10,1.30580325307905e-06,0,0,8.34376303712975,183.652105458224,"IFITM1;RSAD2;STAT1;PRF1;GZMB;CFLAR;IFIT1;IFI44L;IFIT3;IFIT2;OASL;OAS1;OAS2;OAS3;XAF1"
"LJP008 HA1E 24H-PFI-1-10","20/164",3.0586191577845e-10,1.26630656406225e-06,0,0,5.76601510695958,126.321209545342,"RTP4;IL1RN;TRAC;IFIT5;IFI44;GZMB;PRKCA;TRAF1;CFLAR;RASGRP1;PSMB8;ICAM1;PSMB9;CXCL11;GLIPR1;OAS2;TRBC1;IL7R;GBP2;GBP1"
"LJP006 SKBR3 24H-celastrol-0.12","12/54",1.05431646566971e-09,3.88000173993851e-06,0,0,10.5069608615708,217.182801994592,"IFIH1;IL1RN;GLIPR1;CXCL11;IRF1;TAP1;LTB;IFIT1;IL7R;IKBKE;BIRC3;RELB"
"LJP008 HA1E 24H-(+)-JQ1-3.33","18/146",1.99565879297953e-09,6.60982148822751e-06,0,0,5.82920431361119,116.772320717406,"CD97;WARS;APOBEC3G;RARRES3;IL15;TRAF1;CFLAR;PSMB8;ICAM1;CRYZ;CXCL11;OAS1;IFI16;NBN;CD58;GBP2;GBP1;APOL3"
"LJP006 HME1 24H-BI-2536-1.11","15/102",3.85777704421215e-09,1.16157666801228e-05,0,0,6.95313586427479,134.704315913245,"RARRES3;RFTN1;SLA;SECTM1;UBE2L6;PRKCA;NMI;SAMSN1;PSMB8;PSMB9;IFI16;GRB10;TNFSF10;TRIM14;GBP1"
"LJP006 MCF7 3H-AZD-8055-1.11","10/40",7.74583577591024e-09,2.13791522278269e-05,0,0,11.8203309692671,220.757806823005,"BST2;RASSF2;MX1;IFI6;IFI44;FAS;ISG15;IFIT1;IFI44L;HERC6"
"CPC011 PC3 24H-trichostatin a-10.0","21/224",1.35962942215111e-08,3.46402200700514e-05,0,0,4.43262411347518,80.2901975401031,"ACVR1;CD52;CDV3;APOBEC3G;BTN3A1;EED;UBE2L6;CRYZ;NUDT21;HLA-DMA;FRAT2;FAM125B;PTPRC;CASP10;CLEC7A;CCL5;RFX5;ZYX;ATXN7L1;MYO1F;ASB1"
"LJP005 HEPG2 24H-WH-4-025-10","13/83",1.94865171033736e-08,4.61009237843456e-05,0,0,7.40550855905893,131.474014944645,"AGPAT5;WARS;STAT1;CXCR4;ISG15;IGF1;IFI44L;ICAM1;CXCL11;SELL;OAS2;GBP2;GBP1"
"LJP006 MCF7 24H-XMD-1150-10","15/118",2.94007411291146e-08,6.49187964624936e-05,0,0,6.01033778098329,104.232756067113,"IFITM1;IL1RN;RSAD2;RARRES3;IFIT5;IFI44;EIF2AK2;IGF1;IFI44L;IFIT3;OAS1;OAS2;OAS3;NBN;LY6E"
"LJP009 HA1E 24H-JWE-035-3.33","11/59",3.73959267148334e-08,7.74119055451248e-05,0,0,8.8151620787755,150.754293022461,"PECAM1;IFI44;ISG15;ERG;IGF1;CD69;GIMAP6;DDX60;RASGRP1;GBP1;IFI44L"
"LJP006 SKBR3 24H-BI-2536-1.11","16/142",5.75903944418724e-08,0.000112203026724074,0,0,5.32747311290913,88.8084975663465,"DENND2D;IFITM1;RARRES3;IFI44;IGF1;RASGRP1;PSMB8;PSMB9;BST2;ZEB1;COBLL1;ERG;GBP2;APOL1;IKBKE;APOL3"
"CPC014 HT29 6H-BRD-U73238814-10.0","12/76",6.26650125426283e-08,0.000115307104468022,0,0,7.46547219111609,123.818309508991,"TNIP1;EED;CLEC7A;COBLL1;CHN2;CCL5;GZMA;RFX5;CPOX;ATXN7L1;BAHCC1;AIF1"
"LJP008 HA1E 24H-I-BET151-3.33","16/143",6.36078240027404e-08,0.000110881828357619,0,0,5.2902180561755,87.661713595559,"WARS;RARRES3;NMI;CFLAR;RASGRP1;CD3D;PSMB8;ICAM1;CRYZ;PSMB9;CXCL11;TRBC1;NBN;CD69;GBP2;GBP1"
"LJP008 HA1E 24H-I-BET151-0.37","14/109",7.46375232184718e-08,0.00012360347032595,0,0,6.07283058971523,99.6589300955873,"ITK;IL1RN;GZMB;PRKCA;CFLAR;ICAM1;CXCL11;GLIPR1;TRBC1;SP140L;CYTIP;GBP2;GBP1;CYTH1"
"LJP007 HA1E 24H-XMD-885-10","14/113",1.18231396444099e-07,0.000186473432458333,0,0,5.85786313521203,93.4365614521118,"WARS;RFTN1;IFI44;GIMAP4;PSMB8;ICAM1;PSMB9;CXCL11;CLEC7A;GRB10;CD58;IL7R;GBP1;CD44"
"LJP005 SKBR3 3H-BX-912-1.11","9/40",1.18974691845143e-07,0.000179116398572863,0,0,10.6382978723404,169.620798298121,"LYN;CXCL11;STAT1;SP110;MKNK1;TNFSF10;PECAM1;GBP1;IFI44L"
"CPC004 PC3 24H-vorinostat-10.0","16/153",1.64106504767306e-07,0.000236320501930345,0,0,4.94445217015096,77.2459411330377,"ACVR1;CD52;CDV3;CD40;BTN3A1;EED;UBE2L6;NUDT21;HLA-DMA;PTPRC;FAM125B;CLEC7A;CASP10;ELF4;RFX5;ASB1"
"CPC006 HCC515 24H-trichostatin a-10.0","22/285",1.99297383799515e-07,0.000275038693700988,0,0,3.64978640454564,56.3106117885998,"ACVR1;CDV3;APOBEC3G;BTN3A1;EED;ERAP1;UBE2L6;CFLAR;CRYZ;CYLD;HLA-DMA;FRAT2;FAM125B;PTPRC;BCL6;CASP10;CCL5;RFX5;IKBKE;CD44;CYTH1;ASB1"
"LJP005 SKBR3 3H-PD-0325901-10","10/55",2.01382478808841e-07,0.000266799563225105,0,0,8.59660434128519,132.542960304521,"CD52;EVI2A;LCK;TRBC1;CXCR4;CD48;CSF2RB;IL7R;SAMSN1;BIRC3"
"CPC007 A549 24H-vorinostat-10.0","23/309",2.02206000933056e-07,0.000257587113727067,0,0,3.51932184198245,54.2467524477946,"ACVR1;CD52;CDV3;BTN3A1;EED;ERAP1;TAP2;UBE2L6;CFLAR;CYLD;HLA-DMA;FAM125B;BCL6;CASP10;ELF4;COBLL1;CCL5;RFX5;PMAIP1;IKBKE;CYTH1;MYO1F;ASB1"
"CPC012 HA1E 6H-vorinostat-10.0","13/104",3.01559796116137e-07,0.000369924518783799,0,0,5.91016548463357,88.7369829296709,"ACVR1;CD52;APOBEC3G;HFE;CXCR4;TAPBPL;CRYZ;CYLD;HLA-DMA;RFX5;MAN2B1;EVI2B;MYO1F"
"CPC010 MCF7 24H-vorinostat-10.0","20/250",4.06627918685743e-07,0.000480997260528232,0,0,3.78250591016548,55.6609636854738,"ITSN2;CDV3;APOBEC3G;BTN3A1;EED;GPR65;ACVR1B;CRYZ;CYLD;NUDT21;HLA-DMA;CD4;BCL6;CASP10;RFX5;EVI2B;IKBKE;CD44;MYO1F;ASB1"
"LJP006 HA1E 24H-XMD11-85H-10","11/74",4.20207366302639e-07,0.000479920282045163,0,0,7.02830490064533,103.193209827125,"RARRES3;ICAM2;TRAF1;CD58;CFLAR;RASGRP1;GBP1;CYTH1;ICAM1;HERC6;BIRC3"
"CPC006 VCAP 24H-BRD-K41859756-10.0","15/145",4.60190392607756e-07,0.000508065533118716,0,0,4.89117143555882,71.3701420206486,"BTN2A2;GPR65;IL16;PSMB10;CYLD;PTPRC;BCL6;TNIP1;COBLL1;RFX5;CASP1;ATXN7L1;ME2;IKBKE;FCGR2C"
"LJP007 A375 24H-KIN001-266-10","11/75",4.83186639817681e-07,0.000516245957980691,0,0,6.93459416863672,100.848851846186,"FCN1;IFITM1;GNLY;EED;LCK;CCL5;GZMA;TRAC;TRBC1;PRF1;GZMB"
"CPC005 PC3 24H-trichostatin a-10.0","21/280",6.07260419249825e-07,0.000628533510811671,0,0,3.54609929078014,50.7599578408577,"ACVR1;CD52;CDV3;BTN3A1;EED;GPR65;UBE2L6;CRYZ;NUDT21;HLA-DMA;FRAT2;FAM125B;PTPRC;CASP10;ELF4;CCL5;RFX5;ZYX;EVI2B;MYO1F;ASB1"
"CPC006 PC3 24H-trichostatin a-10.0","23/329",6.1160111364335e-07,0.000613843651060042,0,0,3.30538130447592,47.2907036102755,"ACVR1;CD52;CDV3;BTN3A1;EED;GPR65;ERAP1;UBE2L6;CYLD;NUDT21;HLA-DMA;FRAT2;FAM125B;PTPRC;CASP10;CLEC7A;ELF4;COBLL1;CCL5;RFX5;EVI2B;MYO1F;ASB1"
"LJP008 HA1E 24H-belinostat-1.11","14/129",6.18821395093647e-07,0.00060282304196755,0,0,5.13130646727876,73.3543306437739,"RTP4;IL1RN;CST7;PSMB8;CXCL11;OAS1;OAS2;OAS3;GRB10;CD58;XAF1;PION;CYTH1;HERC6"
"LJP006 SKBR3 24H-GW-843682X-3.33","9/48",6.28281691347059e-07,0.000594551939974455,0,0,8.86524822695035,126.59820228677,"HERC5;BCL6;MX2;FAS;ISG15;IGF1;IFIT1;PLCB1;IFI44L"
"LJP006 SKBR3 3H-AZD-7762-3.33","9/48",6.28281691347059e-07,0.000578036608308498,0,0,8.86524822695035,126.59820228677,"IFI16;MX1;CASP1;IRF8;MNDA;IFIT1;EVI2B;IFI44L;LY6E"
"CPC016 HEPG2 6H-trichostatin a-10.0","11/77",6.3460674198424e-07,0.000568075943277297,0,0,6.75447483958122,96.3881143793547,"ACVR1;IRF1;CCL5;RFX5;CASP1;CXCR4;CFLAR;EVI2B;BAHCC1;MYO1F;BIRC3"
"LJP008 PC3 24H-I-BET151-0.12","13/113",7.96887250265746e-07,0.000694571121475047,0,0,5.43944433983975,76.3836834518959,"CX3CR1;IL1RN;LMO2;PRKCD;ITGB2;RFTN1;IGF1;RASGRP1;PSMB8;BCL6;IFI16;TRBC1;CPVL"
"CPC006 THP1 6H-temsirolimus [ci779]-10.0","8/37",8.45079192914156e-07,0.00071768892175666,0,0,10.2229889463932,142.956595689023,"LYN;ATRN;NUDT21;TNIP1;EED;ATXN7L1;ARHGAP15;IKBKE"
"LJP006 HS578T 3H-CHIR-99021-10","10/64",8.80256680360123e-07,0.000728874537755191,0,0,7.38770685579196,103.007182991857,"CXCL11;SLC7A7;APOBEC3G;FNBP1;CHN2;FGL2;PECAM1;CFLAR;PLCB1;GBP1"
"CPC006 THP1 6H-m-3m3fbs-80.0","9/50",9.04148858611224e-07,0.00073039791087957,0,0,8.51063829787234,118.436355944723,"TLE1;ELF4;HFE;GPR65;GRB10;CPOX;GZMB;IKBKE;PSMB10"
"CPD001 PC3 24H-trichostatin a-10.0","15/153",9.19668252475813e-07,0.000725246004529795,0,0,4.63542390951653,64.4289288790079,"ACVR1;CDV3;BTN3A1;EED;GPR65;GMFG;CRYZ;NUDT21;HLA-DMA;FAM125B;CASP10;ELF4;CCL5;RFX5;EVI2B"
"CPC005 PC3 24H-vorinostat-10.0","14/134",9.85023426612775e-07,0.000758720021228877,0,0,4.93983980805194,68.320950487885,"ACVR1;CD52;CDV3;APOBEC3G;EED;GPR65;NUDT21;HLA-DMA;FAM125B;ELF4;CCL5;RFX5;EVI2B;MYO1F"
"LJP006 A549 24H-KIN001-043-1.11","10/65",1.02089984578577e-06,0.000768482358915236,0,0,7.27404982724132,100.344252539215,"CX3CR1;ITGAM;TNFSF10;PECAM1;ISG15;MNDA;IFIT1;USP18;IFI44L;IFIT3"
"LJP005 MDAMB231 24H-SB590885-10","8/38",1.0508002949179e-06,0.000773412368177238,0,0,9.95396292148812,137.025840472562,"GLIPR1;CXCR4;IFI44;CD58;IFI44L;CD44;HERC6;MAP4K4"
"LJP008 HA1E 24H-I-BET151-10","15/156",1.17820690781731e-06,0.000848334586822115,0,0,4.54628114202582,62.0636335917892,"RARRES3;CFLAR;RASGRP1;CTSS;PSMB8;ICAM1;CRYZ;PSMB9;CXCL11;SEC14L1;IFI16;NBN;CD58;GBP2;GBP1"
"CPC006 SKM1 6H-BRD-K31342827-12.12","13/117",1.19034410202056e-06,0.000838838021340911,0,0,5.2534804307854,71.664135178766,"ITSN1;GZMB;CORO1A;CTSS;GNAI2;ISG20;CYLD;FAM125B;BCL6;DPYD;ZYX;PMAIP1;ARHGEF6"
"LJP008 HA1E 24H-(+)-JQ1-0.37","12/99",1.20496367767628e-06,0.000831450041006585,0,0,5.7310695608568,78.1090974108931,"CXCL11;RARRES3;GZMA;TRBC1;PRF1;GZMB;CFLAR;CST7;GBP2;GBP1;PSMB8;ICAM1"
"CPC012 PC3 24H-vorinostat-10.0","11/83",1.3684301029956e-06,0.00092497496819015,0,0,6.26619954997294,84.6052637440195,"ACVR1;CD52;CDV3;NUDT21;HLA-DMA;FAM125B;BTN3A1;EED;ELF4;RFX5;UBE2L6"
"LJP006 HA1E 24H-XMD-1150-1.11","10/68",1.56709829541437e-06,0.00103807725284839,0,0,6.95313586427479,92.9375946888496,"CXCL11;IFI16;IFI44;CFLAR;NMI;IL7R;RASGRP1;ICAM1;BIRC3;RELB"
"CPC006 PC3 24H-vorinostat-11.1","15/160",1.62398189581899e-06,0.00105466479159649,0,0,4.43262411347518,59.0896696107342,"ACVR1;CD97;CD52;CDV3;EED;ERAP1;UBE2L6;NUDT21;HLA-DMA;PTPRC;FAM125B;ELF4;CCL5;RFX5;IKBKE"
"CPC016 SKB 24H-trichostatin a-10.0","16/182",1.72424699511993e-06,0.00109824586010322,0,0,4.15659990128075,55.1610739712829,"ACVR1;CD52;TAPBPL;CFLAR;LILRB2;CTSS;UBE2J1;CRYZ;ISG20;HLA-DMA;FAM125B;RFX5;CASP1;ERG;CD247;BIRC3"
"LJP006 HME1 24H-PHA-793887-1.11","10/69",1.79854404467768e-06,0.00112395428875037,0,0,6.8523657792853,90.6467474179406,"CX3CR1;KLRK1;EVI2A;LMO2;DPYD;CASP1;TNFSF10;IFI44;IFIT1;LY6E"
"CPC003 PC3 24H-sulconazole nitrate-10.0","6/19",1.85580638964393e-06,0.0011382622857666,0,0,14.9309443822322,197.046528480271,"CDV3;ATRN;EED;COBLL1;CFLAR;IKBKE"
"CPC013 HEPG2 6H-trichostatin a-10.0","13/122",1.91973255740879e-06,0.00115606294607158,0,0,5.03817385575321,66.3191182305775,"ACVR1;HFE;ERAP1;CFLAR;CRYZ;CLEC7A;CHN2;CCL5;RFX5;DPYD;GRB10;BAHCC1;MYO1F"
"CPD002 PC3 24H-vorinostat-10.0","15/163",2.05193464698663e-06,0.00121360941862222,0,0,4.35104207457686,56.98441230305,"ACVR1;CD52;CDV3;EED;GMFG;UBE2L6;CRYZ;CYLD;HLA-DMA;FAM125B;CLEC7A;CASP10;ELF4;COBLL1;RFX5"
"LJP005 PC3 24H-dasatinib-0.37","9/55",2.08995757247723e-06,0.00121441201329857,0,0,7.73694390715667,101.186590270358,"GLIPR1;TYROBP;LST1;TRBC1;CASP1;AP1S2;NKG7;GBP1;RELB"
"CPC008 HEPG2 6H-ncgc00238536-01-10.0","11/87",2.2010458167445e-06,0.00125691100855853,0,0,5.97809842123855,77.8741650131039,"HCK;CASP10;FAM174B;HFE;ERAP1;IL21R;IL16;ARHGAP15;IFI44L;BIRC3;ASB1"
"CPC006 MCF7 24H-trichostatin a-10.0","22/329",2.23987511755169e-06,0.00125740514861745,0,0,3.16166907384653,41.130438938021,"APOBEC3G;BTN3A1;EED;HFE;GPR65;ITGB2;ERAP1;UBE2L6;CYLD;HLA-DMA;CD4;BCL6;CASP10;COBLL1;CCL5;RFX5;ATXN7L1;EVI2B;IKBKE;CD44;MYO1F;ASB1"
"LJP009 A375 24H-saracatinib-1.11","7/30",2.40793297735778e-06,0.00132921913571779,0,0,11.0323089046493,142.722132465875,"CX3CR1;SELPLG;ITGB2;RNASE6;CSF2RB;CORO1A;AIF1"
"CPC017 MCF7 24H-geldanamycin-10.0","15/166",2.5783107847874e-06,0.00139993822135973,0,0,4.27240878407246,54.978963120745,"DDX58;EED;GMFG;CFLAR;AIF1;HLA-DMA;BCL6;TNIP1;COBLL1;RFX5;ZYX;GAS2L1;BAHCC1;IKBKE;FCGR2C"
"CPC006 JHUEM2 6H-vorinostat-11.1","11/89",2.7636454663998e-06,0.0014763661531069,0,0,5.84375913087364,74.7940389484001,"CD40;CLEC7A;GPR65;IRF1;CCL5;LST1;RFX5;IL16;CFLAR;PSMB10;MYO1F"
"CPC006 SKM1 6H-as605240-10.0","12/107",2.77523106014288e-06,0.00145902266576178,0,0,5.30257837873666,67.8453054911691,"TNIP1;FNBP1;EED;COBLL1;CCL5;RFX5;ZYX;CPOX;PMAIP1;GZMB;AIF1;ARHGEF6"
"CPC001 PC3 24H-trichostatin a-10.0","20/283",2.8135283724246e-06,0.00145604489411055,0,0,3.34143631640061,42.7071355160808,"CX3CR1;CD52;CDV3;APOBEC3G;BTN3A1;EED;ERAP1;CRYZ;NUDT21;HLA-DMA;FRAT2;FAM125B;PTPRC;CASP10;CLEC7A;ELF4;CCL5;RFX5;MYO1F;ASB1"
