"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP007 HA1E 24H-TPCA-1-0.04","9/36",1.05109078618709e-17,3.48131779293028e-13,0,0,131.578947368421,5143.96290946929,"IFI16;OAS1;OAS3;MX1;IFI6;ISG15;IFIT1;IFIT3;OASL"
"LJP005 MCF7 3H-AS-601245-0.37","10/85",4.7716645624315e-16,7.90211509861469e-12,0,0,61.9195046439628,2184.43754049587,"IFITM1;IFI27;OAS1;STAT1;OAS2;OAS3;IFIT1;IFIT3;IFIT2;OASL"
"LJP007 HCC515 24H-tivantinib-3.33","8/65",3.60625298635052e-13,3.98142350536386e-09,0,0,64.7773279352227,1855.93113713649,"IFITM1;IFI27;CCL20;MX1;IFI6;ISG15;IFIT1;CFB"
"LJP006 MCF10A 3H-withaferin-a-3.33","8/68",5.26035597506129e-13,4.35570625625012e-09,0,0,61.9195046439628,1750.67538752915,"OAS1;DDX58;CCL20;MX1;IFI44;ISG15;IFIT1;IFIT3"
"LJP006 MCF7 24H-XMD-1150-10","9/118",8.96930489212493e-13,5.9414469466414e-09,0,0,40.14272970562,1113.5512143414,"IFITM1;OAS1;OAS2;OAS3;IFIT5;EIF2AK2;IFI44;IFIT3;CFB"
"LJP006 HME1 24H-XMD-1150-3.33","8/81",2.24953487481161e-12,1.24178074314392e-08,0,0,51.9818063677713,1394.1675188246,"IFITM1;IFI16;OAS2;IFIT5;IFI44;TRIM14;ISG15;IFIT3"
"LJP005 HS578T 24H-SB590885-0.37","8/95",8.34368679874491e-12,3.947875006589e-08,0,0,44.3213296398892,1130.61566471087,"IFITM1;IFI27;STAT1;MX1;IFI6;ISG15;IRF9;CFB"
"LJP007 MCF7 24H-tivantinib-1.11","8/118",4.86940250934149e-11,2.01599350639874e-07,0,0,35.6824264049955,847.295799514256,"IFITM1;IFI27;OAS1;STAT1;MX1;EIF2AK2;ISG15;IFIT1"
"LJP009 HA1E 24H-JWE-035-0.37","6/38",8.20948669055797e-11,3.02118231864412e-07,0,0,83.1024930747922,1929.90129838424,"STAT1;IFI6;IFI44;IFIT1;DDX60;IRF9"
"LJP006 MCF7 3H-AZD-8055-1.11","6/40",1.1383030118053e-10,3.77017340540035e-07,0,0,78.9473684210526,1807.60360758275,"MX1;IFI6;IFI44;ISG15;IFIT1;HERC6"
"LJP006 PC3 24H-BI-2536-0.37","7/78",1.19304384276218e-10,3.59225501055692e-07,0,0,47.2334682860999,1079.25371971949,"IFITM1;IFIT5;IFI44;ISG15;IFIT1;IFIT3;HERC6"
"LJP005 HEPG2 24H-radicicol-10","8/141",2.0431600874739e-10,5.63929210476858e-07,0,0,29.8618887644644,666.259149179748,"IFITM1;OAS1;MX1;IFI44;ISG15;DDX60;IFIT1;CFB"
"LJP005 PC3 24H-crizotinib-3.33","6/45",2.39899064775485e-10,6.11207455725297e-07,0,0,70.1754385964912,1554.44230487605,"IFI27;STAT1;MX1;IFI6;ISG15;IFIT1"
"LJP006 MCF10A 3H-CHIR-99021-10","6/52",5.93899014906061e-10,1.40503780519312e-06,0,0,60.7287449392713,1290.14039390251,"IFI16;IFI27;OAS1;IFI44;ISG15;IFI35"
