"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-NVP-TAE684-1.11","26/111",2.42696684738359e-51,8.03957037864288e-47,0,0,123.281175912755,14367.8289918207,"IFITM1;IFI6;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;HERC6;STAT1;DDX58;SP110;CCL20;MX1;EIF2AK2;IFI44;ISG15;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;CFB"
"LJP006 HA1E 24H-WZ-4-145-10","26/165",2.12243816720018e-46,3.51539433633366e-42,0,0,82.9346092503987,8721.93004161472,"IFITM1;IFIT5;IFI6;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;HERC6;STAT1;DDX58;SP110;MX1;IFI44;ISG15;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;LAP3;IRF9;CFB"
"LJP006 HA1E 24H-NVP-TAE684-3.33","24/150",1.28695582350389e-42,1.421056620313e-38,0,0,84.2105263157895,8122.63530971763,"IFITM1;STAT1;DDX58;SP110;MX1;IFI6;EIF2AK2;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;TRIM14;IRF9;HERC6"
"LJP006 HA1E 24H-saracatinib-3.33","22/99",3.23605834522944e-42,2.67994171860176e-38,0,0,116.959064327485,11173.5927341135,"IFITM1;STAT1;DDX58;SP110;MX1;IFI6;EIF2AK2;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;OASL;IFIH1;PLSCR1;IFI16;IFI27;OAS1;OAS2;OAS3;HERC6"
"LJP006 HA1E 24H-saracatinib-1.11","21/83",1.64630963656023e-41,1.09071306041388e-37,0,0,133.164235890932,12505.1141717587,"IFITM1;STAT1;DDX58;SP110;MX1;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;TRIM14;HERC6"
"LJP006 HA1E 24H-AZD-7762-0.37","22/110",4.27532072741775e-41,2.36040457360734e-37,0,0,105.263157894737,9784.53996728673,"IFITM1;STAT1;DDX58;MX1;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"LJP006 HA1E 24H-JW-7-24-1-10","23/149",2.72748640928475e-40,1.29072449705667e-36,0,0,81.2433768986224,7401.27352550199,"IFITM1;STAT1;DDX58;SP110;MX1;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"LJP007 HA1E 24H-AST1306-10","22/129",1.99628212415092e-39,8.26610520557794e-36,0,0,89.7592819257446,7998.40761530085,"IFITM1;STAT1;DDX58;MX1;PHF11;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;LAP3;CFB;HERC6"
"LJP007 HA1E 24H-PD-0325901-0.04","20/88",2.27238808050413e-38,8.36390306164221e-35,0,0,119.617224880383,10368.1103154809,"STAT1;DDX58;MX1;IFIT5;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"LJP008 HA1E 24H-PD-0325901-0.37","19/106",3.40801055427787e-34,1.12893757621009e-30,0,0,94.3396226415094,7269.97777886064,"IFITM1;STAT1;MX1;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
