"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 PC3 24H-BI-2536-0.37","18/78",1.57416841179598e-17,5.21380319670948e-13,0,0,16.9061707523246,654.103456307165,"CXCL6;CD52;IFITM1;RSAD2;IFIT5;IFI44;ISG15;IFIT1;LYZ;LIPA;IFI44L;IFIT3;HS3ST1;PSMB8;PSMB9;BST2;HERC6;LY6E"
"LJP006 HME1 24H-XMD-1150-3.33","18/81",3.26094306157165e-17,5.40028475711573e-13,0,0,16.2800162800163,618.020840775965,"IFITM1;IFIT5;TAP1;IFI44;ISG15;NMI;IFIT3;PSMB8;PSMB9;ISG20;CXCL10;CXCL11;APOL6;IFI16;OAS2;TRIM14;GBP2;GBP1"
"LJP005 MCF7 3H-AS-601245-0.37","15/85",5.54347061460647e-13,6.12017634087936e-09,0,0,12.9282482223659,364.847904842665,"IFITM1;IFITM2;RSAD2;STAT1;IFIT1;ETS1;IFI44L;IFIT3;IFIT2;OASL;OAS1;IFI27;OAS2;OAS3;XAF1"
"LJP007 HA1E 24H-TPCA-1-0.04","11/36",1.11278930438115e-12,9.21417363760198e-09,0,0,22.3850223850224,616.12874445207,"ISG20;IFI16;RSAD2;OAS1;OAS3;MX1;IFI6;ISG15;IFIT1;IFIT3;OASL"
"LJP006 MCF7 3H-AZD-8055-1.11","10/40",1.12549186839171e-10,7.4554832346004e-07,0,0,18.3150183150183,419.553677170093,"BST2;FGG;MX1;IFI6;IFI44;FAS;ISG15;IFIT1;IFI44L;HERC6"
"LJP006 MCF10A 3H-CHIR-99021-10","10/52",1.81875673390907e-09,1.00398402973004e-05,0,0,14.0884756269372,283.532159517084,"OAS1;IFI27;IFI16;H3F3B;CASP1;IFI44;ISG15;IFI35;CD58;GBP1"
"LJP006 A549 24H-BI-2536-0.04","12/93",5.12937747747374e-09,2.42700159187725e-05,0,0,9.45291267871913,180.439858532884,"CXCL10;OAS1;IFI16;BIN1;APOH;NAMPT;FGG;ALB;TNFSF10;ISG15;IFI44L;PSMB9"
"LJP006 MCF7 24H-XMD-1150-10","13/118",8.33897219614254e-09,3.45243872635546e-05,0,0,8.07102502017756,150.139837498327,"IFITM1;RSAD2;IFIT5;IFI44;EIF2AK2;IFI44L;IFIT3;CEACAM1;OAS1;OAS2;OAS3;NBN;LY6E"
"LJP009 HEPG2 24H-XMD-892-10","13/121",1.13427407784851e-08,4.17425463693561e-05,0,0,7.87091696182605,143.995969119441,"DENND1B;PSMB8;MAPK13;CXCL10;CEACAM1;APOH;ALB;SLAMF8;FAS;PDSS1;ME2;GBP2;GBP1"
"LJP008 HA1E 24H-(+)-JQ1-3.33","14/146",1.35074167154202e-08,4.47379149031434e-05,0,0,7.02493853178785,127.292075279466,"WARS;APOBEC3G;IL15;PSMB8;CXCL10;CXCL11;OAS1;IFI16;PRKD3;NBN;CD58;GBP2;GBP1;APOL3"
