"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-NVP-TAE684-1.11","45/111",3.47461335668052e-55,1.15100042053399e-50,0,0,29.7000297000297,3724.28562239711,"IFITM1;UBA7;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;CTSS;IFIT2;OASL;HERC5;IFIH1;TNFSF10;GBP2;GBP1;TRIM22;APOL3;HERC6;RSAD2;SP110;DDX58;CCL20;STAT1;MX1;IFI44;EIF2AK2;ISG15;PARP12;ISG20;BST2;CXCL10;CXCL11;PLSCR1;IFI27;OAS1;OAS2;OAS3;RFX5;IRF7;XAF1;OPTN;IRF9"
"LJP006 HA1E 24H-NVP-TAE684-3.33","47/150",2.47609768989066e-51,4.1011606037659e-47,0,0,22.954822954823,2674.81432424652,"CXCL6;IFITM1;UBA7;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;OASL;HERC5;IFIH1;LAMP3;TNFSF10;GBP2;GBP1;TRIM22;APOL3;HERC6;RSAD2;SP110;DDX58;STAT1;MX1;TAP1;IFI44;EIF2AK2;ISG15;NMI;PARP12;PSMB8;PSMB9;ISG20;BST2;CXCL10;CXCL11;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;TRIM14;XAF1;IRF9"
"LJP006 HA1E 24H-AZD-7762-0.37","42/110",3.70862804097959e-50,4.09506708284966e-46,0,0,27.972027972028,3183.73685711192,"RTP4;IFITM1;IFITM2;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;LAMP3;TNFSF10;TRIM22;HERC6;RSAD2;DDX58;STAT1;MX1;TAP1;HLA-C;IFI44;ISG15;HLA-G;PSMB8;ISG20;BST2;CXCL10;PLSCR1;CEACAM1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9;LY6E"
"LJP006 HA1E 24H-WZ-4-145-0.37","42/123",1.04676513206958e-47,8.66878544123421e-44,0,0,25.0156347717323,2706.08617357516,"RTP4;HCP5;IFITM1;IFITM2;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;HERC5;IFIH1;LAMP3;TNFSF10;GBP2;GBP1;TRIM22;HERC6;RSAD2;STAT1;MX1;TAP1;IFI44;ISG15;PARP12;PSMB8;HLA-E;PSMB9;BST2;CXCL10;CXCL11;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;FAS;XAF1;LY6E"
"LJP006 HA1E 24H-WZ-4-145-10","44/165",1.51150304948666e-44,1.0014010003459e-40,0,0,19.5360195360195,1971.19686523036,"RTP4;IFITM1;IFITM2;IFIT5;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;LAMP3;TNFSF10;CASP1;APOL1;TRIM22;HERC6;RAP1GAP2;WARS;RSAD2;SP110;DDX58;STAT1;MX1;IFI44;ISG15;PARP12;PSMB9;ISG20;BST2;CXCL10;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"LJP006 HA1E 24H-JW-7-24-1-10","42/149",1.15410851541935e-43,6.37183311363024e-40,0,0,20.6504904491482,2041.6691956824,"RTP4;IFITM1;SP100;IFI6;UBE2L6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;NAMPT;TNFSF10;TRIM22;HERC6;RSAD2;SP110;DDX58;STAT1;MX1;TAP1;IFI44;ISG15;CCNB1IP1;PARP12;PSMB8;HLA-E;PSMB9;ISG20;CXCL10;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"LJP009 HT29 24H-chelerythrine chloride-10","36/94",4.26045178699036e-43,2.01616751279775e-39,0,0,28.0570493336451,2737.29578089694,"IFITM1;IFI6;IFIT1;DDX60;USP18;IFI44L;IFIT3;HERC5;IFIH1;TNFSF10;TRIM22;HERC6;RSAD2;DDX58;STAT1;MX1;TAP1;IFI44;ISG15;LYZ;HLA-G;PARP12;PSMB8;PSMB9;BST2;ISG20;CXCL10;PLSCR1;OAS1;IFI27;OAS2;IRF7;XAF1;IRF9;LY6E;AARS"
"LJP008 HA1E 24H-PD-0325901-0.37","37/106",1.74642246087831e-42,7.23149880488186e-39,0,0,25.5719123643652,2458.76506128852,"IFITM1;SP100;IFITM2;IFI6;IFI35;IFIT1;DDX60;USP18;IFI44L;IFIT3;HERC5;IFIH1;TNFSF10;GBP2;GBP1;HERC6;RSAD2;STAT1;MX1;TAP1;HLA-C;IFI44;ISG15;HLA-G;PSMB8;HLA-E;BST2;CXCL10;CXCL11;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"LJP006 HA1E 24H-saracatinib-1.11","34/83",5.83645189433506e-42,2.14820339390826e-38,0,0,30.0101504920782,2849.29725827271,"CXCL6;IFITM1;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;PYCARD;IFIH1;TNFSF10;GBP1;HERC6;RSAD2;SP110;DDX58;STAT1;MX1;TAP1;IFI44;ISG15;NMI;PARP12;PSMB8;PSMB9;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7;TRIM14"
"LJP007 HA1E 24H-PD-0325901-0.04","34/88",6.81993474348021e-41,2.25917158312526e-37,0,0,28.3050283050283,2617.82277965196,"SP100;IFIT5;IFI6;IFI35;IFIT1;DDX60;IFI44L;GALNT10;IFIT3;IFIH1;LAMP3;TNFSF10;GBP1;TRIM22;HERC6;RSAD2;DDX58;STAT1;MX1;IFI44;ISG15;BST2;ISG20;CXCL10;CEACAM1;PLSCR1;CXCL11;OAS1;IFI27;OAS2;OAS3;IRF7;XAF1;IRF9"
