"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-1d-up","51/295",9.01279523965642e-17,7.0984775307534e-13,0,0,3.84180790960452,141.936750833577,"LGALS3BP;CXCL9;CTSZ;UBE2L6;IFIT1;CLU;IFIT3;IFIT2;PLAU;ANPEP;ARHGDIB;CD53;RHOG;DCN;IL1B;IRF1;PSME1;IRF7;PSME2;S100A4;LCP1;RIN2;CRYAB;S100A9;C1QB;C1QA;GRN;PSMD11;WBP2;CAPG;IL2RG;PSMB10;C3;SNN;SNX2;DNPEP;GPNMB;CCL2;APOE;CD14;DECR1;SLC31A2;TMEM50A;STAT3;G0S2;LYZ;SOD2;CP;PSMB9;CXCL10;MGP",0,0
"2","Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","48/281",1.19981379220501e-15,4.72486671370334e-12,0,0,3.79596678529063,130.416550503705,"C1QB;LGALS3BP;C1QA;ORM1;GRN;CXCL9;ITIH3;CTSZ;PIK3CD;CAPG;CXCL1;IL2RG;CLU;PSMB10;HLA-DMA;EBP;HLA-DMB;GPNMB;ARHGDIB;AP1S2;CTSH;CD14;CEPT1;CD53;WARS;DAPK1;TMEM50A;IFNGR1;STAT3;RHOG;LAPTM5;APOA2;LYZ;SOD2;CP;NIPSNAP1;DCN;PSMB9;CXCL10;IL1B;IRF1;NINJ1;APOC1;PSME1;PSME2;RAB38;S100A4;LCP1",0,0
"3","Indomethacin-9.6 mg/kg in Water-Rat-Liver-5d-up","48/305",3.11518384482877e-14,8.17839598729048e-11,0,0,3.49726775956284,108.764688549813,"C1QB;LGALS3BP;C1QA;IDI1;ORM1;GRN;CPB2;CXCL9;ITIH3;C1S;WBP2;CAPG;CXCL1;HMGCR;UBE2Z;CLU;PSMB10;ASGR2;C3;VTN;HLA-DMB;GPNMB;PLAU;HSD17B2;ARHGDIB;APOE;CD14;CD53;EGLN1;FGB;CPT1A;SERPIND1;TMEM50A;STAT3;RHOG;APOA1;LYZ;BAAT;SOD2;CP;DCN;PSMB9;FABP7;ALB;MGP;PSME1;PSME2;S100A9",0,0
"4","Prednisolone-184 mg/kg in Water-Rat-Liver-1d-up","46/299",2.50726295642455e-13,4.93680076119993e-10,0,0,3.41880341880342,99.1945795089434,"LGALS3BP;ORM1;CPB2;CXCL9;C1S;CRMP1;UBE2L6;CXCL1;IFI35;HSD17B12;IFIT1;AGPAT2;IFIT3;ETS2;IFIT2;ASGR2;SULT1A1;DUSP11;VTN;ANPEP;HSD17B2;APOE;CEPT1;FGB;CPT1A;ABCC2;SERPIND1;DAPK1;TMEM50A;MMP2;APOA2;TAP1;APOA1;SDHD;BAAT;PSMB9;CXCL10;AZGP1;ETHE1;FABP7;IRF1;NINJ1;PSME1;IRF7;PSME2;HRG",0,0
"5","Doxapram-2 mg/kg in Saline-Rat-Liver-5d-up","48/328",5.06565758813535e-13,7.9794238328308e-10,0,0,3.2520325203252,92.0686902432844,"C1QB;LGALS3BP;C1QA;IDI1;ORM1;CXCL9;C1S;CTSZ;UBE2L6;CAPG;CXCL1;IFI35;TMEM97;CLU;ZFP36L2;PSMB10;C3;DUSP11;HLA-DMA;PRDX4;HLA-DMB;DNPEP;GPNMB;ARHGDIB;CCL2;APOE;CEPT1;SNX5;CD53;FGB;TMEM50A;IFNGR1;APOA2;TAP1;LYZ;SOD2;CP;TPD52L2;DCN;PSMB9;IL1B;IRF1;PSME1;IRF7;PSME2;S100A4;LCP1;S100A9",2.08333333333333,1
"6","Alfacalcidol-0.043 mg/kg in CMC-Rat-Liver-3d-up","45/298",8.95329130374141e-13,1.17526870513779e-09,0,0,3.35570469798658,93.0925671167855,"C1QB;LGALS3BP;APCS;C1QA;ORM1;CXCL9;ITIH3;C1S;UBE2L6;CXCL1;CROT;CLU;IFIT3;ETS2;PSMB10;IFIT2;C3;VTN;GPNMB;ANPEP;CEPT1;JUNB;DECR1;CD53;FGB;CPT1A;STAT3;APOA2;TM4SF4;LYZ;SOD2;CP;CLK4;PSMB9;CXCL10;AZGP1;FABP7;IRF1;NINJ1;ALB;APOC1;IRF7;PSME2;TRIB1;S100A9",0,0
"7","Bromfenac-5 mg/kg in CMC-Rat-Liver-5d-up","46/313",1.33775163441558e-12,1.50516169609387e-09,0,0,3.26588569400071,89.2894154500497,"C1QB;LGALS3BP;APCS;IDI1;ORM1;GRN;CPB2;ITIH3;C1S;CXCL1;CLU;PSMB10;ASGR2;C3;VTN;EBP;PRDX4;HLA-DMB;DNPEP;GPNMB;ANPEP;HSD17B2;CTSH;APOE;CD14;CD36;JUNB;CTSC;DECR1;CD53;FGB;SERPIND1;IFNGR1;STAT3;APOA1;LYZ;CP;DCN;PSMB9;FABP7;IRF1;NINJ1;PCCB;PSME2;HRG;S100A9",0,0
"8","Aspirin-500 mg/kg in Corn Oil-Rat-Liver-1d-up","44/294",2.20184452349068e-12,2.16771593337658e-09,0,0,3.32577475434618,89.2695336531539,"C1QB;NOTCH2;LGALS3BP;APCS;C1QA;ORM1;GRN;CPB2;CXCL9;ITIH3;PSMD11;C1S;UBE2L6;CROT;CLU;PSMB10;VTN;FCGRT;ANPEP;CD14;CEPT1;DECR1;OSBPL9;FGB;SERPIND1;TMEM50A;USP3;APOA2;G0S2;SDHD;BAAT;NIPSNAP1;FABP1;AZGP1;DLC1;FABP7;IRF1;PXMP2;TBCE;ALB;APOC1;PSME1;IRF7;RIN2",0,0
"9","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Liver-1d-up","45/307",2.58304969669146e-12,2.26045549012688e-09,0,0,3.25732899022801,86.9122161631544,"LGALS3BP;APCS;IDI1;ORM1;CXCL9;C1S;UBE2L6;CAPG;TMEM97;CLU;AGPAT2;PSMB10;C3;SULT1A1;VTN;HLA-DMB;GPNMB;ARHGDIB;CCL2;CD14;CEPT1;PGLS;DECR1;CD53;FGB;IFNGR1;STAT3;APOA2;APOA1;TM4SF4;LYZ;SOD2;CP;DCN;PSMB9;FABP1;IL1B;DLC1;FABP7;NINJ1;PSME1;IRF7;PSME2;S100A4;S100A9",2.22222222222222,1
"10","Leflunomide-60 mg/kg in Corn Oil-Rat-Spleen-5d-up","46/321",3.3159336994449e-12,2.6116293816828e-09,0,0,3.18449290411907,84.1734140642164,"C1QB;C1QA;CXCL9;NOTCH1;PSMD11;C1S;HTRA1;PIK3CD;CAPG;IL2RG;CLU;IFIT3;ZFP36L2;PSMB10;SULT1A1;LAPTM4B;GJA1;HLA-DMA;DNPEP;GPNMB;FCGRT;CTSH;CCL2;APOE;CD14;CD36;CEPT1;SNX5;CTSC;TMEM50A;IFNGR1;IGFBP3;STAT3;LAPTM5;TAP1;SOD2;CP;PSMB9;DLC1;IRF1;NINJ1;MGP;PSME1;IRF7;LCP1;S100A9",0,0
