"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Bithionol-333 mg/kg in Corn Oil-Rat-Spleen-5d-up","31/319",1.74793064098871e-12,1.37667017284271e-08,0,0,4.59473680310071,124.391418821386,"GMFG;SP140;LSP1;AIF1;FAIM3;USP18;IFIT3;CTSS;PSMB10;STK10;HLA-DMA;HLA-DMB;CCL5;CD37;GPSM3;CD97;SP110;TREX1;STAT2;LY86;HMHA1;NKG7;IL16;PSMB9;HCK;CXCL11;TYROBP;PTPRC;IRF1;IRF7;PTPN6",0,0
"2","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-3d-up","29/290",4.57795583667701e-12,1.80279900848341e-08,0,0,4.72813238770686,123.45044227567,"SP140;FGL2;ICAM2;LSP1;FAIM3;USP18;IFIT3;CTSS;PSMB10;SLCO2B1;CCL5;PLCG2;CD37;GPSM3;CD97;SP110;STAT2;LY86;TAP1;HMHA1;NFKB1;PSMB9;HCK;PTPRC;TNIP1;LCK;IRF1;IRF7;CD48",0,0
"3","Ifosfamide-143 mg/kg in Saline-Rat-Spleen-1d-up","29/295",6.99742417088918e-12,1.83705709233077e-08,0,0,4.64799455062708,119.385966469563,"ITGB2;FGL2;LSP1;AIF1;USP18;IFIT3;CTSS;PSMB10;PYCARD;HLA-DMA;HLA-DMB;SLCO2B1;CCL5;CD37;GBP2;GPSM3;CD97;SP110;TREX1;STAT2;LY86;PSMB9;HCK;TYROBP;LCK;IRF1;IRF7;VAMP5;CD44",0,0
"4","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","29/307",1.86685478500688e-11,3.67583707167854e-08,0,0,4.46631398187293,110.336628748655,"ITGB2;FGL2;PRF1;ICAM2;LSP1;ARRB2;FAIM3;USP18;IFIT3;CTSS;PSMB10;IFIT2;STK10;HLA-DMB;SLCO2B1;CD37;GPSM3;CD97;SP110;TAP1;NKG7;IL16;HCK;SLC7A7;TYROBP;IRF1;IRF7;PTPN6;CD44",0,0
"5","N-Nitrosodiethylamine-34 mg/kg in Saline-Rat-Spleen-1d-up","29/317",4.07356907731215e-11,6.41668601058211e-08,0,0,4.32542079632488,103.481005891942,"TRAF3IP3;ITGB2;ICAM2;LSP1;IFIT1;CTSS;PSMB10;PYCARD;STK10;HLA-DMB;SLCO2B1;CD37;GBP2;GPSM3;CD97;SP110;STAT2;LY86;HMHA1;IL16;PSMB9;HCK;CXCL11;TYROBP;PTPRC;LCK;IRF1;CD48;CD44",0,0
"6","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","29/320",5.11573332637452e-11,6.71525261308762e-08,0,0,4.28486997635934,101.534772859599,"ITGB2;PRF1;MRPL16;UBE2L6;LSP1;AIF1;FAIM3;USP18;IFIT3;CTSS;PSMB10;IFIT2;PYCARD;HLA-DMB;GPSM3;CD97;SP110;STAT1;STAT2;LY86;NKG7;IL16;PSMB9;HCK;SLC7A7;TYROBP;TNIP1;IRF1;IRF7",0,0
"7","Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","27/281",6.3905996170344e-11,7.19033751196613e-08,0,0,4.54304535473613,106.641665429693,"GMFG;ITGB2;ARRB2;AIF1;CTSS;PSMB10;ICAM1;STK10;HLA-DMA;HLA-DMB;CCL5;AP1S2;CEPT1;GBP2;GPSM3;CD97;WARS;STAT1;LY86;PSMB9;HCK;TYROBP;IRF1;DPYD;CD48;PTPN6;CD44",0,0
"8","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","27/285",8.82507922531886e-11,8.68829049732641e-08,0,0,4.47928331466965,103.699164357367,"TRAF3IP3;GMFG;ITGB2;FGL2;ICAM2;LSP1;FAIM3;CTSS;STK10;HLA-DMA;HLA-DMB;SLCO2B1;CCL5;CD37;GPSM3;CD97;STAT2;LY86;HMHA1;IL16;HCK;TYROBP;PTPRC;TNIP1;IRF7;LCP2;PTPN6",0,0
"9","N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-3d-up","30/352",1.07549255071388e-10,9.41175481046945e-08,0,0,4.02965828497743,92.4930375023603,"ITGB2;FGL2;PRF1;ICAM2;LSP1;AIF1;USP18;IFIT3;CTSS;PSMB10;PYCARD;CCL5;GBP2;CD97;SP110;STAT1;TREX1;STAT2;LY86;TAP1;HMHA1;NKG7;PSMB9;HCK;CXCL11;PTPRC;TNIP1;LCK;IRF1;IRF7",0,0
"10","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","27/288",1.11989606523163e-10,8.82030140976429e-08,0,0,4.43262411347518,101.563009963829,"SP140;PRF1;ICAM2;UBE2L6;IFI35;ARRB2;IFIT1;AIF1;USP18;IFIT3;CTSS;PSMB10;IFIT2;ANKMY2;STK10;HLA-DMB;SP110;STAT1;TREX1;STAT2;TAP1;NKG7;TDRD7;PSMB9;TYROBP;IRF1;IRF7",0,0
