"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Kidney-1d-up","7/281",8.71886502448917e-07,0.00686697809328767,0,0,13.1110694886683,182.933594408607,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"2","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","7/288",1.02780962741334e-06,0.00404751431275374,0,0,12.7923976608187,176.382609956052,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"3","Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Heart-1d-up","7/291",1.10145865411134e-06,0.00289169611992697,0,0,12.6605172725629,173.688056523353,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"4","Prednisone-68 mg/kg in CMC-Rat-Heart-1d-up","7/294",1.17948837981246e-06,0.00232241261985074,0,0,12.531328320802,171.058017417773,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"5","Prednisolone-184 mg/kg in Water-Rat-Liver-1d-up","7/299",1.3198390010458e-06,0.00207901039444734,0,0,12.3217743355043,166.812190783254,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"6","Betamethasone-79 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","7/311",1.71482249030026e-06,0.00225099032226748,0,0,11.8463360974784,157.274338988509,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"7","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Kidney-1d-up","7/326",2.34360741473796e-06,0.00263689314263946,0,0,11.3012592831773,146.507481915075,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"8","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-1d-up","7/333",2.69719053551478e-06,0.0026553840822143,0,0,11.0636952742216,141.873082161644,"STAT1;SP110;IRF7;IFI35;IFIT1;IFIT3;IFIT2",0,0
"9","Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Liver-1d-up","6/273",1.17112020721103e-05,0.0102486030577712,0,0,11.5673799884326,131.34719181209,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"10","Prednisolone-184 mg/kg in Water-Rat-Heart-1d-up","6/281",1.37963918835085e-05,0.0108660382474513,0,0,11.2380595617157,125.766287218999,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"11","Betamethasone-79 mg/kg in Corn Oil-Rat-Liver-1d-up","6/291",1.68154609420818e-05,0.0120398700345305,0,0,10.851871947911,119.296926756317,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"12","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-1d-up","6/295",1.81633772419258e-05,0.011921229929784,0,0,10.7047279214987,116.853915046673,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"13","Chlorpromazine-73 mg/kg in Water-Rat-Liver-1d-up","6/306",2.23261237429022e-05,0.0135261961999306,0,0,10.3199174406605,110.523767769249,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"14","Doxazosin-500 mg/kg in Water-Rat-Heart-3d-up","6/310",2.40181060237268e-05,0.013511900217348,0,0,10.1867572156197,108.353506903813,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"15","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-1d-up","6/327",3.24028893993851e-05,0.0170136771273038,0,0,9.65717044905843,99.8287103828955,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
"16","Prednisolone-184 mg/kg in Water-Rat-Kidney-1d-up","6/383",7.79642988120342e-05,0.0383779260902238,0,0,8.24515597086712,77.9930703058357,"STAT1;SP110;IRF7;IFIT1;IFIT3;IFIT2",0,0
