"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-3d-up","21/352",1.80915747678661e-08,0.000142489242871713,0,0,4.37062937062937,77.9187914750155,"CD53;NPM1;SP110;STAT1;LY86;TAP1;LYZ;ETS1;USP18;IFIT3;CTSS;ZFP36L2;PSMB10;PSMB9;PYCARD;CXCL10;CXCL11;PSMA4;MGAT3;IRF7;GBP2",0,0
"2","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-1d-up","19/295",2.61872209116896e-08,0.000103125275950234,0,0,4.7184453964115,82.3745928195168,"CD53;NPM1;SP110;STAT1;UBE2L6;IFIT1;LYZ;USP18;IFIT3;CTSS;PSMB10;IFIT2;PSMB9;CXCL10;CXCL11;PSMA4;IRF7;PTPN6;GBP2",0,0
"3","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","19/320",9.49500577854676e-08,0.000249275551706114,0,0,4.34981684981685,70.3361678184291,"CD53;NPM1;SP110;STAT1;LY86;UBE2L6;LYZ;USP18;IFIT3;CTSS;ZFP36L2;PSMB10;IFIT2;PSMB9;PYCARD;CEACAM1;CDC42EP3;MGAT3;IRF7",0,0
"4","Calcitriol-0.04 mg/kg in CMC-Rat-Heart-3d-up","17/276",2.72413639660456e-07,0.000536382456491437,0,0,4.51239581674364,68.2091233369816,"CD53;NPM1;STAT1;UBE2L6;LYZ;USP18;IFIT3;CTSS;ZFP36L2;PSMB10;IFIT2;PSMB9;CXCL10;CXCL11;MGAT3;IRF7;GBP2",0,0
"5","Doxazosin-500 mg/kg in Water-Rat-Heart-3d-up","18/310",2.89777055771151e-07,0.000456456818250717,0,0,4.25381070542361,64.0375213732427,"NPM1;PLEKHF1;SP110;STAT1;TAP1;UBE2L6;IFIT1;USP18;IFIT3;CTSS;NFKB1;PSMB10;IFIT2;PSMB9;CXCL10;PRPSAP2;IRF7;GBP2",0,0
"6","Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Kidney-1d-up","17/281",3.50996374334235e-07,0.000460741240709406,0,0,4.43210407623219,65.8721022596227,"GAMT;SP110;STAT1;TAP1;UBE2L6;IFI35;IFIT1;USP18;IFIT3;PSMB10;IFIT2;PSMB9;CXCL10;CXCL11;RNF139;IRF7;GBP2",0,0
"7","Prednisolone-184 mg/kg in Water-Rat-Heart-1d-up","17/281",3.50996374334235e-07,0.000394921063465205,0,0,4.43210407623219,65.8721022596227,"NPM1;SP110;STAT1;UBE2L6;IFIT1;USP18;IFIT3;IFIT2;PSMB9;PCMTD2;CXCL10;EHD4;PSMA4;ALB;MGAT3;IRF7;GBP2",0,0
"8","Alfacalcidol-0.043 mg/kg in CMC-Rat-Heart-3d-up","17/283",3.87822597185993e-07,0.00038181134692961,0,0,4.4007817859408,64.9674997180126,"NPM1;SP110;STAT1;UBE2L6;USP18;IFIT3;CTSS;PSMB10;IFIT2;PSMB9;PCMTD2;CXCL10;CXCL11;PSMA4;MGAT3;IRF7;GBP2",0,0
"9","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-3d-up","17/290",5.46071357251839e-07,0.000477873112190609,0,0,4.29455601869395,61.9297145483536,"CD53;SP110;LY86;TAP1;LYZ;ETS1;USP18;IFIT3;CTSS;ZFP36L2;NFKB1;PSMB10;PSMB9;CXCL10;PLCG2;IRF7;CD37",0,0
"10","Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Heart-1d-up","17/291",5.72932394342217e-07,0.00045124155378393,0,0,4.27979809423108,61.5113900317894,"WARS;SP110;STAT1;TAP1;UBE2L6;IFI35;IFIT1;USP18;IFIT3;PSMB10;IFIT2;PSMB9;PCMTD2;CXCL10;EHD4;IRF7;GBP2",0,0
"11","Prednisone-68 mg/kg in CMC-Rat-Heart-1d-up","17/294",6.6086773600175e-07,0.000473181298977253,0,0,4.23612668510628,60.2788632072291,"WARS;SP110;STAT1;TAP1;GMPR;UBE2L6;IFI35;IFIT1;USP18;IFIT3;PSMB10;IFIT2;PSMB9;CXCL10;PSMA4;IRF7;GBP2",0,0
"12","Chlorobenzene-500 mg/kg in CMC-Rat-Heart-1d-up","17/296",7.2611058194236e-07,0.000476570578614835,0,0,4.20750420750421,59.475442973202,"NPM1;WARS;STAT1;TAP1;LYZ;USP18;IFIT3;ZFP36L2;PSMB10;IFIT2;PSMB9;CXCL10;PSMA4;BIN1;IRF7;GBP2;OPTN",0,0
"13","Bithionol-333 mg/kg in Corn Oil-Rat-Spleen-5d-up","17/319",2.02671589065914e-06,0.00122787802729472,0,0,3.90414183517632,51.1797617709914,"CD53;NPM1;SP110;LY86;LYZ;ETS1;USP18;IFIT3;CTSS;ZFP36L2;PSMB10;PSMB9;CXCL10;CXCL11;IRF7;CD37;PTPN6",0,0
