"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","sirolimus homo sapiens gpl8300 gds3603 chdir up","111/1225",7.11145467940968e-41,4.96379536622796e-38,0,0,4.28426689824866,396.055977277578,"FCN1;IL1RN;IFITM1;PLEKHB2;GPR65;SLA;UBE2L6;IFI35;IFI30;STK10;TRBC1;TNFSF10;NBN;LGALS9;MAP3K5;CD97;PRKCB;FNBP1;PRKCD;LMO2;TAP1;HLA-G;HLA-E;KIAA0922;TYROBP;PRKCQ;KLRB1;MYCBP2;CORO1A;UBE2J1;SEC14L1;SYNGR2;PMAIP1;LYN;APOBEC3G;RARRES3;EIF2AK2;NKG7;ISG15;KIAA0430;NFKB1;BST2;CYLD;PTPRE;PTPRC;SFXN3;MAN2B1;MYD88;ITGB2;PLEK;SECTM1;TCIRG1;LSP1;ARRB2;CD3D;OASL;DUSP11;GNLY;CASP4;TIMP2;CD37;GPSM3;CDV3;CD52;WARS;BTN3A1;EED;TRAF1;FGR;HCK;SLC7A7;IRF1;PECAM1;LCP2;PLEKHO2;LTB;DOCK2;VAMP5;CD44;IRF9;SASH3;SP100;RGS19;WAS;IFI6;CXCR4;CST7;AIF1;PSMB10;RELB;GNAI2;HLA-DMA;GBP2;SH2B3;GBP1;CYTH1;MAP4K4;MPP1;P2RY10;IL10RB;STAT1;IL10RA;RFTN1;GZMB;CFLAR;PSMB9;TNIP1;RAB9A;CD247;CPVL;MYO1F",0.900900900900901,1
"2","doxorubicin homo sapiens gpl10558 gse42531 chdir down","98/1265",3.40680966715207e-30,1.18897657383607e-27,0,0,3.66290098019978,248.534338715843,"HCP5;IFITM1;IFIT5;UBE2L6;IFI35;IFIT1;IFI30;TMEM140;IFIT3;IFI44L;IFIT2;ICAM1;HERC5;LAMP3;DHX58;TNFSF10;TRIM21;HERC6;ZBP1;RSAD2;SP110;SWAP70;TAP2;TAP1;TRAFD1;HLA-G;HLA-E;KIAA0922;C19ORF66;IFNAR1;UBA7;TRANK1;TAPBPL;DDX60;COBLL1;LPXN;SLC15A3;RARRES3;VDR;CYBRD1;IFI44;ISG15;TDRD7;TOR1B;NFKB1;PARP12;NFKB2;BST2;ISG20;CYLD;MAN2B1;XAF1;RTP4;CD40;PLEK;SRP54;N4BP2L2;OASL;IFIH1;TRIM5;TIMP2;IKBKE;IL15;DDX58;TRAF1;SERPINB8;OAS1;OAS2;ELF4;IRF1;OAS3;IRF7;LTB;IRF9;BIRC3;SP100;SAMD9;IFI6;CXCR4;USP18;PSMB10;RELB;HLA-DMA;CCL5;GBP1;GCA;STAT1;CD70;STAT2;MX2;RFTN1;MX1;CFLAR;PSMB8;PSMB9;TNIP1;ZYX;SPAG1",1.02040816326531,1
"3","ethanol homo sapiens gpl96 gds2767 chdir down","45/312",1.36698902377575e-24,3.18052779531824e-22,0,0,6.81942171303873,374.723347678483,"IFITM1;SP100;ZCCHC6;ITGAM;NCF1C;CSF2RB;IFIT1;LYST;USP18;IFI44L;HERC5;SEC14L1;CASP8;IFI16;PSD4;UBR5;TNFSF10;FAM65B;SHOC2;NBN;MAP3K5;LYN;CCR1;ZBP1;RSAD2;SP110;IL10RB;STAT1;USP4;LMO2;MX1;NKG7;GZMB;ISG15;CFLAR;MED13L;PSMB9;PTPRE;PLSCR1;PTPRC;FCGR2A;BCL6;IRF7;ATM;LCP2",0,0
"4","letrozole homo sapiens gpl3921 gse33366 chdir down","48/404",1.94965763200195e-22,3.40215256784341e-20,0,0,5.61758303489923,280.818584436714,"IFITM1;SP100;IFI6;CXCR4;UBE2L6;TAPBPL;IFI35;IFIT1;TMEM140;DDX60;USP18;IFIT3;IFI44L;IFIT2;OASL;IFIH1;APOL6;FAM174B;CCL5;TNFSF10;HERC6;RSAD2;STAT1;SP110;RARRES3;DDX58;MX2;RFTN1;TAP1;IFI44;NMI;HLA-G;PML;PARP12;PSMB9;HLA-E;BST2;BCL6;OAS1;OAS2;OAS3;BCL3;TRIM14;C19ORF66;XAF1;VAMP5;PION;IRF9",0,0
"5","prednisolone homo sapiens gpl570 gse32962 chdir down","56/845",3.01478914915293e-14,4.20864565221748e-12,0,0,3.1334368486578,97.5522284530178,"FCN1;IL1RN;CD40;ITGAM;PLEKHB2;NCF2;ITGB2;LST1;PLEK;SECTM1;TCIRG1;IFI30;GRB10;CASP1;ENTPD1;TLE1;PRKCD;RNASE6;TICAM1;TNFRSF1B;IL17RA;FGR;MS4A6A;SLC7A7;TYROBP;BIN2;PECAM1;IRF8;LCP2;PLA1A;TLR2;SELPLG;FGL2;CST7;SAMHD1;SAMSN1;LPP;FYB;CLEC7A;CCL5;COBLL1;IL21R;SLC15A3;GBP2;LYN;CCR1;BTN2A2;GZMA;TIE1;NKG7;SFXN3;ZYX;FAS;MNDA;CPVL;FCGR2C",3.57142857142857,2
"6","valproic acid mus musculus gpl6885 gse35291 chdir up","41/498",1.08905698168366e-13,1.266936288692e-11,0,0,3.89263911437713,116.188636883615,"CSF1R;IL1RN;ITGAM;ITGB2;LST1;PLEK;LY96;TREM2;SAMHD1;RASGRP1;FYB;CTSS;PYCARD;CLEC7A;CCL5;TIMP2;NCKAP1L;STX3;SLC15A3;MPP1;CD52;TCF7L2;IL10RB;IL10RA;RNASE6;TDRD7;IGF1;PILRA;FGR;PLSCR1;PTPRC;EVI2A;NAGK;TYROBP;BCL6;FAS;TLR7;PLEKHO2;IL7R;MYO1F;TLR2",0,0
"7","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","148/3998",2.54460264198137e-13,2.53733234871856e-11,0,0,1.75028412551429,50.7575950171442,"ITSN2;NCF2;GMFG;GPR65;ITSN1;IFIT5;ICAM2;PRF1;ADARB1;IFIT1;FAIM3;ICAM1;IGF1R;HERC5;STK10;RASSF2;LAMP3;AP1S2;GRB10;LGALS9;TRIM21;ACVR1;ZBP1;ENTPD1;USP4;SP110;PRKCD;LMO2;TAP2;TRAFD1;PRKCA;VRK2;HLA-G;BIN2;PRKCQ;PLA1A;C5AR1;NCF1C;CORO1A;RASGRP1;LPP;GMCL1;KLRK1;UBR5;PMAIP1;LPXN;SLC15A3;GAS2L1;LYN;CCR1;PHF11;LY86;EIF2AK2;IFI44;CORO2A;NFKB2;ISG20;PTPRE;CXCL11;RCAN3;ATM;MAN2B1;CD40;ITGAM;TRADD;SRP54;TREM2;PTPN22;ARRB2;LYST;IFIH1;DUSP11;GLIPR1;CASP8;CASP4;TIMP2;DNMT3B;CD37;CYTIP;IKBKE;GPSM3;HIST1H1C;PARP3;IL15;DDX58;IL16;TRAF1;TNFRSF1B;SERPINB8;SUPT3H;IL17RA;LAT2;ATRN;ZEB1;KIF2A;OAS1;LCK;ELF4;OAS3;IRF7;B3GNT2;PIK3C3;CD48;CD44;TLR3;IRF9;BIRC3;TLR2;SP100;SELPLG;PELI2;WAS;MRPS31;CST7;ACVR1B;ADCY7;AIF1;FYB;RELB;GNAI2;CRYZ;CCL5;SHOC2;STX3;CD58;GBP2;MAP4K4;GCA;IL10RB;STAT1;IL10RA;GZMA;TIE1;MX1;GZMB;NUDT21;FCGR2A;EVI2A;NAGK;SLCO3A1;TNIP1;ZYX;SPAG1;RAB9A;FAS;CD247;TRIM38;CD69",1.35135135135135,2
"8","imatinib homo sapiens gpl96 gds3044 chdir up","150/4149",1.1143537018979e-12,9.72273604905916e-11,0,0,1.70937541131846,47.0467061508898,"ITSN2;HCP5;IL1RN;TMEM183A;PLXND1;HFE;NCF4;LST1;TRAC;ICAM2;CPOX;UBE2L6;ADARB1;IFI30;GIMAP6;FAIM3;IFIT3;IFIT2;STK10;FRAT2;SLCO2B1;SCMH1;DHX58;AP1S2;TNFSF10;EIF2D;NBN;ATXN7L1;TRIM21;HERC6;ZBP1;IL15RA;ENTPD1;TLE1;SP110;LMO2;TRAFD1;FLT3LG;HMHA1;PRKCA;VRK2;MR1;KIAA0922;EHBP1L1;C19ORF66;IFNAR1;CSF1R;ZCCHC6;UBA7;TRANK1;ARHGAP15;LPP;UBE2J1;PRPSAP2;SEC14L1;SYNGR2;COBLL1;UBR5;LPXN;TNFRSF14;KCNN3;GAS2L1;SLC37A1;APOBEC3F;APOBEC3G;TREX1;PHF11;EIF2AK2;CYBRD1;NKG7;KIAA0430;NFKB1;PARP12;MED13L;CYLD;PTPRE;GRHPR;CXCL11;PTPRC;BCL3;ATM;MAN2B1;SP140L;IL7R;MYD88;CD40;FASTKD1;FKBP15;TRADD;SECTM1;TREM2;TCIRG1;ARRB2;LYST;N4BP2L2;GNLY;CASP10;TIMP2;CASP1;DENND2D;PARP3;CTDSPL;BTN3A2;SUPT3H;IL17RA;FGR;ATRN;LCK;ELF4;IRF1;IRF2;IRF7;PLCB1;RBM23;VAMP5;SSX2IP;IRF9;SP100;USP15;SELPLG;IFI6;ACVR1B;AIF1;FYB;GNAI2;ANKMY2;MKNK1;MICALL2;STX3;CD58;CYTH1;MLXIP;MPP1;TCF7L2;SEMA4D;IL10RB;STAT1;CD70;STAT2;MX2;ERAP1;C17ORF62;PSMB8;PML;NAGK;FAS;CD247;FCGR2C;IL18R1;ASB1",2,3
"9","valproic acid homo sapiens gpl570 gse14973 chdir down","38/473",1.92693847822751e-12,1.49444784200311e-10,0,0,3.7984995926609,102.464863261165,"RTP4;SASH3;TRAF3IP3;ICAM2;SLA;CST7;DDX60;ADCY7;N4BP2L2;RASGRP1;RELB;MFSD6;TRBC1;UBR5;CASP4;NBN;GBP1;HERC6;DENND2D;APOBEC3F;MX2;PHF11;RNASE6;GZMB;BTN3A3;VRK2;KIAA0430;CFLAR;NMI;BTN3A2;MR1;PSMB8;PARP12;PTPRC;ATM;RBM23;PION;IRF9",0,0
"10","imatinib homo sapiens gpl96 gds3048 chdir up","128/3363",3.61136795556681e-12,2.52073483298563e-10,0,0,1.79958651687921,47.4135880518504,"ITSN2;TMEM183A;PLXND1;NCF2;GPR65;ICAM2;CPOX;UBE2L6;ADARB1;IFI35;IFIT1;IFI30;FAIM3;IGF1R;STK10;FRAT2;LAMP3;SLCO2B1;SCMH1;TNFSF10;EIF2D;NBN;ATXN7L1;TRIM21;IL15RA;ENTPD1;SP110;LMO2;TAP1;FLT3LG;HMHA1;PRKCA;VRK2;MR1;KIAA0922;EHBP1L1;C19ORF66;ERG;IFNAR1;TRANK1;NCF1C;ARHGAP15;RASGRP1;UBE2J1;PRPSAP2;SEC14L1;SYNGR2;COBLL1;UBR5;LPXN;TNFRSF14;GAS2L1;APOBEC3F;APOBEC3G;RARRES3;PHF11;EIF2AK2;CYBRD1;ISG15;TDRD7;KIAA0430;CORO2A;PARP12;MED13L;CYLD;GRHPR;CXCL11;RCAN3;SFXN3;ATM;MAN2B1;SP140L;OSBPL1A;ZCCHC2;FKBP15;TRADD;SECTM1;TCIRG1;ARRB2;LYST;N4BP2L2;OASL;IFIH1;DSTYK;TRIM5;ZMYM6;CD37;CTDSPL;BTN3A2;SUPT3H;IL17RA;LAT2;ATRN;IRF1;IRF2;IRF7;PLCB1;RBM23;SSX2IP;IRF9;SP100;USP15;SELPLG;SAMD9;ADCY7;USP18;ANKMY2;IFI16;MKNK1;MICALL2;STX3;CD58;CYTH1;APOL2;MAP4K4;MPP1;IL10RB;STAT1;CD70;STAT2;ERAP1;C17ORF62;PML;NAGK;RAB9A;PTPN6;CPVL;ASB1",1.5625,2
