"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","letrozole homo sapiens gpl3921 gse33366 chdir down","20/404",1.92554970471547e-24,1.3440336938914e-21,0,0,26.0552371026576,1422.79392245938,"IFITM1;STAT1;DDX58;SP110;IFI6;IFI44;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;OAS1;OAS2;OAS3;TRIM14;IRF9;CFB;HERC6",0,0
"2","doxorubicin homo sapiens gpl10558 gse42531 chdir down","27/1265",1.99661649806572e-24,6.96819157824937e-22,0,0,11.2336176409403,613.02512267196,"IFITM1;SAMD9;IFIT5;IFI6;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;HERC6;STAT1;DDX58;SP110;MX1;IFI44;ISG15;REC8;IFI27;OAS1;OAS2;OAS3;IRF7;LAP3;IRF9;CFB",0,0
"3","vitamin c mus musculus gpl6246 gse19377 chdir up","10/160",3.15109158579311e-13,7.33153975627863e-11,0,0,32.8947368421053,946.903200030989,"DDX58;OAS2;OAS3;IRF7;IFI44;DDX60;IFIT1;IFIT3;CFB;HERC6",0,0
"4","rituximab homo sapiens gpl570 gds3829 chdir up","13/429",5.65181236300244e-13,9.86241257343925e-11,0,0,15.9489633173844,449.786761451162,"IFITM1;SAMD9;STAT1;PHF11;IFI6;EIF2AK2;IFI44;SAMHD1;IFIT1;IFIT2;PLSCR1;IFI27;IRF7",0,0
"5","dexamethasone rattus norvegicus gpl1355 gse29912 chdir down","16/824",5.67506272084868e-13,7.92238755830476e-11,0,0,10.2197240674502,288.17092073055,"DDX58;SP110;MX1;PHF11;EIF2AK2;IFI44;ISG15;IFIT3;IFIT2;OASL;IFIH1;IFI27;IRF7;TRIM14;IRF9;HERC6",0,0
"6","ethanol homo sapiens gpl96 gds2767 chdir down","11/312",9.23651276564971e-12,1.07451431840392e-09,0,0,18.5560053981107,471.468326224834,"PTPRE;IFITM1;PLSCR1;IFI16;STAT1;SP110;MX1;IRF7;ISG15;LAP3;IFIT1",0,0
"7","methotrexate homo sapiens gpl570 gse11440 chdir up","20/1899",2.01392610413565e-11,2.00817202955241e-09,0,0,5.54308361741637,136.517002967799,"IFITM1;STAT1;MX1;IFI6;EIF2AK2;IFI44;ISG15;DDX60;SAMHD1;IFIT1;IFIT3;PLSCR1;IFI16;IFI27;OAS1;OAS3;TRIM14;LAP3;IRF9;HERC6",0,0
"8","sorafenib homo sapiens gpl6244 gse35907 chdir down","6/37",6.92272717779918e-11,6.04007946262978e-09,0,0,85.348506401138,1996.61105804588,"OAS3;MX1;IFIT1;IFIT3;IFIT2;OASL",0,0
"9","vitamin c homo sapiens gpl570 gds3635 chdir up","23/3773",1.65025832974202e-08,1.27986701573326e-06,0,0,3.20839203760793,57.4935797021408,"IFITM1;SAMD9;DDX58;SP110;MX1;PHF11;IFIT5;IFI6;ISG15;IFI35;DDX60;SAMHD1;IFIT1;IFIT3;IFIT2;IFIH1;PLSCR1;IFI16;OAS3;IRF7;TRIM14;LAP3;IRF9",0,0
"10","isotretinoin homo sapiens gpl8300 gds3215 chdir down","6/128",1.42537923830576e-07,9.94914708337418e-06,0,0,24.6710526315789,388.906029782077,"TTC9;OAS1;IFIT1;IFIT3;CFB;IFIT2",0,0
