"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","letrozole homo sapiens gpl3921 gse33366 chdir down","43/404",6.4429070191981e-26,4.49714909940027e-23,0,0,7.7974830450078,452.287020074088,"IFITM1;SP100;IFITM2;IFI6;UBE2L6;IFI35;TAPBPL;IFIT1;DDX60;USP18;IFIT3;IFI44L;GALNT10;ZFP36L2;IFIT2;OASL;IFIH1;APOL6;TNFSF10;HERC6;MFAP3L;RSAD2;SP110;STAT1;BIK;DDX58;PLA2G4C;HLA-C;IFI44;TAP1;NMI;HLA-G;PARP12;HLA-E;PSMB9;BST2;OAS1;OAS2;OAS3;TRIM14;XAF1;OPTN;IRF9",0,0
"2","doxorubicin homo sapiens gpl10558 gse42531 chdir down","67/1265",1.91539579824488e-22,6.68473133587462e-20,0,0,3.88017779322127,194.035848210699,"RTP4;HCP5;IFITM1;IFITM2;IFIT5;SRP54;UBE2L6;IFI35;IFIT1;IFIT3;IFI44L;IFIT2;OASL;HERC5;IFIH1;TRIM5;LAMP3;DHX58;NAMPT;TNFSF10;TRIM21;HERC6;ZBP1;ZNF165;RSAD2;SP110;IL15;DDX58;PLA2G4C;TAP2;HLA-C;TAP1;HLA-G;HLA-E;QTRT1;IFI27;OAS1;OAS2;OAS3;IRF7;OPTN;IRF9;SP100;SAMD9;UBA7;IFI6;TAPBPL;DDX60;USP18;PSMB10;UBTD1;SLC15A3;GBP1;STAT1;MX1;IFI44;ISG15;PARP12;PSMB8;NFKB1;REC8;PSMB9;BST2;ISG20;MGAT4A;SPAG1;XAF1",1.49253731343284,1
"3","ethanol homo sapiens gpl96 gds2767 chdir down","26/312",1.85845682085417e-13,4.32400953652071e-11,0,0,6.1050061050061,178.961292623739,"IFITM1;SP100;IFIT1;USP18;IFI44L;HERC5;CASP8;IFI16;PSD4;NAMPT;TNFSF10;SLAMF8;NBN;ZBP1;RSAD2;SP110;STAT1;IL10RB;USP4;MX1;ISG15;PSMB9;PTPRE;PLSCR1;CDC42EP3;IRF7",0,0
"4","sirolimus homo sapiens gpl8300 gds3603 chdir up","48/1225",3.20056250037864e-11,5.58498156316072e-09,0,0,2.87059878896614,69.3683339143901,"IFITM1;SP100;IFITM2;MYCBP2;IFI6;GMPR;UBE2L6;IFI35;ZFP36L2;PSMB10;OASL;NAMPT;TNFSF10;CD37;CSK;SNRPB2;NBN;GBP2;GBP1;MAP4K4;CD52;MOAP1;WARS;APOBEC3G;H3F3B;FNBP1;PRKCB;STAT1;IL10RB;FOXJ3;HUWE1;EIF2AK2;TAP1;ISG15;HLA-G;UBAC1;NFKB1;HLA-E;PSMB9;BST2;PTPRE;PSMA4;MFAP1;STK17B;CDC42EP3;OPTN;MYD88;IRF9",2.08333333333333,1
"5","vitamin c mus musculus gpl6246 gse19377 chdir up","17/160",7.23289014807417e-11,1.00971146467115e-08,0,0,7.78388278388278,181.752085387977,"ZBP1;RTP4;SP100;DDX58;IFI44;IFIT1;DDX60;USP18;IFIT3;PARP12;OAS2;OAS3;DHX58;IRF7;XAF1;GBP2;HERC6",0,0
"6","isotretinoin homo sapiens gpl8300 gds3215 chdir down","15/128",2.41415838296251e-10,2.80847091884639e-08,0,0,8.58516483516483,190.114184402836,"CXCL6;PRKCB;HLA-C;PTK6;IFIT1;IFIT3;ZFP36L2;PSMB10;IFIT2;CEACAM1;OAS1;TNFSF10;CASP1;GBP1;TRIM22",0,0
"7","vitamin c homo sapiens gpl570 gds3635 chdir up","93/3773",1.52140604695757e-09,1.51705917253769e-07,0,0,1.80577440052659,36.663776914744,"DENND1B;IFITM1;IFITM2;PLEKHF1;FASTKD1;FKBP15;IFIT5;UBE2L6;IFI35;IFIT1;LIPA;ETS1;IFIT3;ACTB;IFIT2;CNDP2;KIAA0930;IFIH1;PCMTD2;ME3;NBN;ME2;TRIM21;TRIM22;IL15RA;SP110;DDX58;TAP2;TAP1;BTN3A3;VRK2;HLA-G;MR1;HLA-E;PLSCR1;PPM1B;PSMA4;PRKD3;OAS3;IMPAD1;RFX5;CDC42EP2;IRF7;TRIM14;MAPRE2;OPTN;IRF9;LY6E;SAMD9;UBA7;MYCBP2;IFI6;TAPBPL;DDX60;SAMHD1;ACVR1B;LTBP1;ZFP36L2;PSMB10;APOL6;IFI16;ERI3;HYI;SNRPB2;CD58;STX3;GBP2;GBP1;APOL3;MAP4K4;NPM1;HNRNPA3;H3F3B;IL10RB;PHF11;MX1;HUWE1;ISG15;PHKB;NMI;PARP12;PSMB8;NFKB1;PSMB9;EHD4;LSM6;SNX17;STK17B;RCAN3;FAS;XAF1;MYD88;AARS",2.1505376344086,2
"8","dexamethasone rattus norvegicus gpl1355 gse29912 chdir down","35/824",2.65058470753763e-09,2.31263515732658e-07,0,0,3.11177495643515,61.4528428458204,"RTP4;UBA7;NR1I2;UBE2L6;PVR;USP18;IFIT3;CTSS;IFI44L;IFIT2;OASL;IFIH1;DHX58;NAMPT;TRIM21;HERC6;ZBP1;RSAD2;SP110;DDX58;PHF11;MX1;IFI44;EIF2AK2;TAP1;ISG15;BST2;CXCL10;PPM1B;IFI27;IRF7;TRIM14;MAPRE2;IRF9;LY6E",2.85714285714286,1
"9","trovafloxacin homo sapiens gpl96 gse9166 chdir up","91/3831",1.65533674848277e-08,1.28380561160108e-06,0,0,1.74018968067519,31.1784151786614,"HCP5;DENND1B;CXCL6;DYRK3;HSP90AB1;FASTKD1;OLA1;SRP54;AATK;LIPA;PVR;ACTB;GALNT10;PHTF1;CNDP2;PCMTD2;SIPA1L1;TRIM5;PSD4;ARIH2;CASP1;ATXN7L1;NBN;ME2;CD53;IL15RA;WARS;FNBP1;IL15;AKTIP;PLA2G4C;CTDSPL;CYBB;VRK2;THOC5;HLA-G;MR1;SUPT3H;TUBA4A;PARP8;QTRT1;CEACAM1;PPM1B;OAS1;BIN1;SCO2;OAS2;RFX5;CLIP4;IRF7;TRIM14;IRF8;MAPRE3;MAPRE2;SLC25A11;OPTN;TLR3;IRF9;SP100;NR1I2;ARHGAP17;ACVR1B;PRPSAP2;CHST11;IFI16;MGAT3;CD58;GAS2L1;GBP1;MPZL1;MFAP3L;VASP;MOAP1;HNRNPA3;H3F3B;HSPA1L;STAT1;IL10RB;BIK;HUWE1;EIF2AK2;DNAJC12;NMI;PARP12;UBAC1;CD2;EHD4;TRIM38;MYD88;AARS;CCNJL",3.2967032967033,3
"10","methotrexate homo sapiens gpl570 gse11440 chdir up","56/1899",2.38730563460257e-08,1.6663393329526e-06,0,0,2.16038130730074,37.9158053247655,"IFITM1;IFITM2;HSP90AB1;OLA1;UBE2L6;IFIT1;PVR;IFIT3;ACTB;CTSS;PPFIA1;NBN;HERC6;USP4;TAP2;HLA-C;TAP1;HLA-G;TUBA4A;HLA-E;PLSCR1;CEACAM1;PSMA4;IFI27;OAS1;OAS3;TRIM14;IRF9;LY6E;IFI6;ATP10B;DDX60;SAMHD1;ZFP36L2;PSMB10;RNF139;IFI16;STX3;GBP1;HNRNPA3;H3F3B;STAT1;MX1;FOXJ3;IFI44;EIF2AK2;ISG15;NMI;LYZ;PARP12;PSMB8;PSMB9;BST2;MFAP1;SPAG1;MYD88",1.78571428571429,1
"11","rituximab homo sapiens gpl570 gds3829 chdir up","23/429",2.72321305508715e-08,1.72800246586439e-06,0,0,3.92769623538854,68.4160234094929,"DENND1B;IFITM1;SAMD9;STAT1;PHF11;IFI6;IFI44;EIF2AK2;IFIT1;LYZ;SAMHD1;IFIT2;HERC5;PLSCR1;APOL6;IFI27;NAMPT;IRF7;ATXN7L1;GBP2;GBP1;OPTN;ZCCHC2",0,0
"12","sorafenib homo sapiens gpl6244 gse35907 chdir down","8/37",2.98040491699219e-08,1.73360219338379e-06,0,0,15.8400158400158,274.485640225409,"RSAD2;SELL;OAS3;MX1;IFIT1;IFIT3;IFIT2;OASL",0,0
"13","cyclophosphamide homo sapiens gpl8300 gse7114 chdir up","29/680",6.25774162394603e-08,3.35992588731871e-06,0,0,3.12432665373842,51.8227731328903,"IFITM1;DYRK3;IFITM2;HSP90AB1;GMPR;UBE2L6;IFIT3;ZFP36L2;TNFSF10;CD37;SNRPB2;APOL1;VASP;CD53;NPM1;WARS;RSAD2;FNBP1;PRKCB;STAT1;IFI44;EIF2AK2;NMI;UBAC1;TUBA4A;HLA-E;PSMB9;BST2;AARS",0,0
"14","imatinib homo sapiens gpl96 gds3042 chdir up","74/3004",1.56538498610453e-07,7.804562287864e-06,0,0,1.80467557298449,28.2792010071644,"KCNK5;IFITM1;IFITM2;HSP90AB1;PLEKHF1;FKBP15;IFIT5;LIPA;ACTB;PHTF1;CNDP2;KIAA0930;PYCARD;SPRED2;ZMYM1;SIPA1L1;CASP8;SEC61G;NAMPT;ARIH2;PPFIA1;TRIM22;CD53;PPP1R16B;CD52;WARS;FNBP1;PRKCB;USP4;AKTIP;TAP2;HLA-C;HLA-G;LZTFL1;CCNB1IP1;HLA-E;QTRT1;PPM1B;PSMA4;OAS1;PRKD3;RFX5;CLIP4;CDC42EP2;TRIM14;LY6E;MYCBP2;ASB13;ACVR1B;GMCL1;ERI3;PDSS1;MPZL1;MAP4K4;VASP;MOAP1;TCF7L2;NPM1;HNRNPA3;H3F3B;FOXJ3;IFI44;DNAJC12;LNPEP;LYZ;PSMB9;BST2;AHI1;EHD4;SNX17;STK17B;ALB;TRIM38;LRP12",4.05405405405405,3
"15","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","89/3998",5.4173322647749e-07,2.52086528054192e-05,0,0,1.63085205606466,23.5307361030087,"KCNK5;ATP8A2;HSP90AB1;IFIT5;SRP54;ADARB1;IFIT1;ETS1;ACTB;HERC5;IFIH1;CASP8;SEC61G;LAMP3;ARIH2;PPFIA1;CD37;TRIM21;CD53;ZBP1;ZNF165;PDIA2;SP110;IL15;USP4;DDX58;AKTIP;PLA2G4C;TAP2;VRK2;HLA-G;SUPT3H;ATRN;PPM1B;PSMA4;OAS1;PRKD3;MAK;OAS3;CDC42EP3;CDC42EP2;IRF7;MAPRE3;SLC25A12;MAPRE2;TLR3;IRF9;SP100;NR1I2;ACVR1B;LTBP1;GMCL1;FUT3;CHST11;CD58;STX3;SLC15A3;GAS2L1;GBP2;MPZL1;DUOX2;MAP4K4;VASP;MOAP1;HNRNPA3;HSPA1L;STAT1;IL10RB;PHF11;MX1;HUWE1;LY86;IFI44;EIF2AK2;LNPEP;PHKB;CYP4F11;REC8;MAPK13;ISG20;PTPRE;SLC4A8;CXCL11;STK17B;GJB5;RCAN3;SPAG1;FAS;TRIM38",1.12359550561798,1
"16","valproic acid homo sapiens gpl6244 gse23909 chdir up","16/258",5.61589824574555e-07,2.4499356097065e-05,0,0,4.54326035721385,65.3888478997484,"PHF11;PLA2G4C;IFI35;NMI;PDCD1LG2;USP18;IFIT3;CTSS;IFIT2;CXCL10;CASP1;SLC25A21;XAF1;TRIM22;CD200;TLR3",6.25,1
"17","valproic acid mus musculus gpl6885 gse41020 chdir down","14/207",1.0373009009807e-06,4.25903546402665e-05,0,0,4.95478756348322,68.2714654077861,"CD53;NPM1;HSP90AB1;IL15;LY86;TAPBPL;ACTB;PSMB10;PARP8;SELL;CDC42EP3;ST8SIA4;IRF8;PTPN6",0,0
"18","imatinib homo sapiens gpl96 gds3048 chdir up","75/3363",6.03692289659832e-06,0.000234098454545868,0,0,1.63381073282947,19.6345102162823,"DENND1B;DYRK3;FKBP15;UBE2L6;IFI35;ADARB1;IFIT1;GALNT10;PHTF1;OASL;IFIH1;PCMTD2;TRIM5;LAMP3;SCRN3;TNFSF10;CD37;ATXN7L1;NBN;TRIM21;GAMT;IL15RA;SP110;CTDSPL;TAP1;UBE4B;VRK2;MR1;SUPT3H;TUBA4A;ATRN;IFI27;EHBP1L1;IRF7;MAPRE3;SLC25A12;OPTN;IRF9;SP100;SAMD9;LTBP1;USP18;SPATA7;ZFP36L2;FUT3;PRPSAP2;CHST11;IFI16;MGAT3;SLC25A21;CD58;STX3;GAS2L1;MAP4K3;MAP4K4;APOBEC3G;STAT1;IL10RB;BIK;PHF11;HUWE1;EIF2AK2;PTK6;ISG15;PHKB;PARP12;UBAC1;MAPK13;SLC4A8;CXCL11;STK17B;RCAN3;PTPN6;SP140L;ZCCHC2",2.66666666666667,2
"19","cisplatin homo sapiens gpl570 gse23553 chdir up","55/2231",9.48668837478646e-06,0.000348510972926366,0,0,1.80605290421516,20.8881233341478,"RTP4;DENND1B;FKBP15;IFIT3;CTSS;IFI44L;IFIH1;PSD4;SCRN3;NAMPT;TNFSF10;NBN;TRIM22;RSAD2;USP4;DDX58;PLA2G4C;VRK2;HLA-G;MR1;PLSCR1;PPM1B;IFI27;OAS1;OAS2;CLIP4;EHBP1L1;TRIM14;TLR3;SAMD9;MYCBP2;TAPBPL;DDX60;SAMHD1;LTBP1;ZFP36L2;PRRG4;APOL6;STX3;GAS2L1;GBP1;MPZL1;VASP;TCF7L2;HNRNPA3;STAT1;DNAJC12;PTK6;LNPEP;ISG15;NMI;HS3ST1;IL7;MGAT4A;XAF1",5.45454545454545,3
"20","imatinib homo sapiens gpl96 gds3044 chdir up","87/4149",9.7011034845804e-06,0.000338568511611856,0,0,1.53618374876509,17.7325851912533,"HCP5;DENND1B;GALNT14;DYRK3;ATP8A2;FASTKD1;FKBP15;UBE2L6;ADARB1;PVR;ETS1;IFIT3;GALNT10;SLC8A1;PHTF1;IFIT2;PCMTD2;SIPA1L1;SCRN3;DHX58;TNFSF10;CASP1;ATXN7L1;NBN;TRIM21;HERC6;GAMT;ZBP1;PPP1R16B;IL15RA;SP110;CTDSPL;UBE4B;VRK2;MR1;RAB33A;SUPT3H;CEACAM3;ATRN;CEACAM1;IFI27;BIN1;MAK;CLIP4;EHBP1L1;IRF7;MAPRE3;SLC25A12;MAPRE2;OPTN;IRF9;NECAB2;SP100;UBA7;NR1I2;IFI6;ACVR1B;LTBP1;ZFP36L2;PRPSAP2;CHST11;MGAT3;HYI;SLC25A21;CD58;STX3;GAS2L1;TCF7L2;APOBEC3G;HSPA1L;STAT1;IL10RB;PHF11;HUWE1;EIF2AK2;PHKB;PARP12;UBAC1;PSMB8;NFKB1;MAPK13;PTPRE;CXCL11;FAS;SP140L;CD200;MYD88",4.59770114942529,4
