"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"verteporfin-6133","32/100",5.75309059641857e-10,3.50938526381533e-06,0,0,3.30067044868489,70.2254398333181,"GRN;NOTCH1;TFRC;FLT3;PLOD3;HMGCR;LIPA;HSPA13;TM9SF3;NCSTN;GPNMB;ANPEP;CTSG;GALNT7;ABCC4;ABCC1;FUCA1;ERLIN1;DHCR24;SLC39A14;TM9SF2;POR;SLC9A6;OSTM1;FAT1;PPT1;HYOU1;SERINC1;TNFRSF21;CES1;CD320;PCYOX1"
"papaverine-1755","30/100",1.07845632691178e-08,3.28929179708094e-05,0,0,3.09437854564208,56.7668387381493,"IDI1;ZNF395;ALAS1;INSIG1;BCL10;PTGS2;NDRG1;HSPA13;PSTPIP2;EIF4EBP1;CCL2;CD14;MYLIP;BNIP3L;CISH;HMGCS1;GADD45A;BNIP3;DHCR24;SLC39A14;SQLE;TMEM158;P4HA1;SLCO4A1;PSAT1;MRTO4;DDIT4;TRIB3;PFKP;TMEM45A"
"dequalinium chloride-1276","29/100",4.35649741692045e-08,8.85821141440492e-05,0,0,2.99123259412068,50.6984381920035,"IDI1;ZNF395;CD83;PFKFB3;INSIG1;USP11;HP;PLOD1;PTGS2;NDRG1;HSPA13;LMNB1;C3;FILIP1L;KLF10;BNIP3L;EGR2;JUN;CHKB;HMGCS1;ARG1;BNIP3;TMEM158;P4HA1;IL1B;DDIT4;PFKP;RNF187;TMEM45A"
"verteporfin-6817","29/100",4.35649741692045e-08,6.64365856080369e-05,0,0,2.99123259412068,50.6984381920035,"TFRC;IGSF1;SLC38A10;PLOD2;PTPRK;HMGCR;LIPA;LTBP1;TM9SF3;GJA1;PODXL;ARHGDIB;ACVR1;GALNT7;CISH;LAMB3;ATP13A1;GAA;DHCR24;TM9SF2;POR;SLC9A6;SOAT1;FAT1;STT3A;SERINC1;DSG2;SERINC5;PCYOX1"
"scriptaid-6919","29/100",4.35649741692045e-08,5.31492684864295e-05,0,0,2.99123259412068,50.6984381920035,"TACO1;CXCL1;ASAP1;LMNB1;CAPNS1;PLAU;SERPINH1;HAS2;MPDU1;CBR3;APOBEC3C;SMAGP;PLK1;YIPF5;LIF;ALG3;HMGA2;VEGFC;NFKB1;PPP1CA;SNRNP40;ADORA2B;PSAT1;CDC37;TRIB3;LCP1;RIN2;ZNF532;UBE2M"
"baclofen-2036","28/100",1.67861650613752e-07,0.000170659344790648,0,0,2.88808664259928,45.0545146716645,"POP5;SAR1B;RPL34;COX7A2;UAP1;UQCR10;CCND3;PACSIN2;RPL35;BNIP2;RPS5;UROS;UBE2E1;SLC30A1;REXO2;HNRNPAB;GTF2H5;BATF;DYNC1LI1;ALOX5AP;PSME1;HCLS1;DEGS1;MAN2B1;FKBP3;NIT2;NUCB2;RNF187"
"AG-012559-6920","27/100",6.16423085176548e-07,0.000537168688510992,0,0,2.78494069107788,39.8227923290145,"SLC25A1;CHRNA5;KDELR1;TECR;ASAP1;CRIP2;PRPF8;TOMM22;CNN2;CAPNS1;RRAS;STX4;CYC1;MPDU1;ATP6V1F;PHACTR4;APOBEC3C;GPX4;UROS;YIPF5;ALG3;RHOC;PPP1CA;CDC37;FXYD5;LCP1;UBE2M"
"laudanosine-1741","27/100",6.16423085176548e-07,0.000470022602447118,0,0,2.78494069107788,39.8227923290145,"POP5;GRAMD1B;ORM1;SAR1B;RPL34;NDUFB1;MRPL4;UBL5;CCND3;DDT;CCT3;UBE2E1;REXO2;MEX3C;HNRNPAB;QARS;PSME1;CHMP2A;SRPRB;TMEM106B;HCLS1;ERH;DEGS1;NIT2;NUCB2;RNF187;UBE2M"
"monastrol-614","27/100",6.16423085176548e-07,0.000417797868841883,0,0,2.78494069107788,39.8227923290145,"SDC4;MAGED1;RPL34;CISD1;CIB1;MRPL12;GOLGA5;RPS18;RNPEP;TMEM109;PHLDA2;HMGN3;CTSA;ALG8;ATP6V1G1;RPP40;LSR;YIF1A;RBX1;C12ORF10;ARCN1;ERP29;RPP25;NIT2;FBP1;NOP10;UBE2M"
"ellipticine-1765","26/100",2.15538911695738e-06,0.001314787361344,0,0,2.68179473955647,34.9908222213378,"CD83;CDCA4;SLC3A2;HMGCR;AP3M2;CYB5R1;PSTPIP2;BAG1;CCL2;CD14;TNS3;PCK2;RRM2;EAF2;SLC30A1;SLC39A14;TMEM158;MTHFD2;LPAR6;SNX17;DDIT4;TRIB3;BCOR;MT1E;RNF187;AARS"
"LY-294002-361","26/100",2.15538911695738e-06,0.00119526123758546,0,0,2.68179473955647,34.9908222213378,"ORM1;IFITM2;POP1;KIR2DL3;PFAS;IFIT2;TMEM147;PRDX4;DRAM1;EIF4EBP1;GAR1;CCL2;PLEK2;SLIT2;SEMA6B;ARG1;LMO3;NDUFA1;NDUFC1;HSPE1;NELL2;FAM189B;UCK2;SLPI;MRTO4;TJP2"
"ipratropium bromide-1769","26/100",2.15538911695738e-06,0.00109565613445333,0,0,2.68179473955647,34.9908222213378,"DYNC1I2;SLC35B1;QPRT;BCL10;TOMM22;LMNB1;TM9SF3;ATP6V1H;FBXO5;TMEM14A;NAA50;KLF10;MYLIP;ACTL6A;ATAD2;SHCBP1;TM9SF2;TMEM135;P4HA1;TMX1;PSAT1;CDC37;HNRNPF;SERINC1;TSPYL4;MAD2L1"
"PF-00562151-00-6912","26/100",2.15538911695738e-06,0.00101137489334154,0,0,2.68179473955647,34.9908222213378,"SLC25A1;KDELR1;TECR;CRIP2;SLC1A5;APEH;PLD3;CAPNS1;PSMD3;CYC1;MPDU1;GPX4;UROS;EPHX1;PLK1;ALG3;RHOC;SCAMP2;PPP1CA;SNX17;CDC37;PIN1;NUCB1;RPP25;UBE2M;GRINA"
"LY-294002-6186","25/100",7.16915647258975e-06,0.00312370389162839,0,0,2.57864878803507,30.5459581151453,"ORM1;CHRNA5;ANKRD55;HP;SLC3A2;PFAS;C5;CBS;STC2;NT5DC3;CCL2;CTSG;PIM2;ASNS;RNASE2;SLC39A14;CCNA1;SLC7A5;TMEM158;DHRS9;PSAT1;MRTO4;DDIT4;TRIB3;S100P"
"CP-690334-01-3823","25/100",7.16915647258975e-06,0.00291545696551983,0,0,2.57864878803507,30.5459581151453,"AMIGO2;CXCL1;CXCL3;PTGS2;CXCL2;PTHLH;ADAMTS1;CBS;SERPINH1;HAS2;HOXA4;DUSP2;ZFHX2;KLHL25;TNFSF15;CD70;LIF;COPZ2;EREG;GREM1;IL6;DHRS9;PXMP4;LY6G5C;ZNF532"
"fisetin-579","25/100",7.16915647258975e-06,0.00273324090517484,0,0,2.57864878803507,30.5459581151453,"CEBPB;BTG1;CDCA4;C2CD2;CTR9;BCL10;RNF4;RND3;DNAJB1;CLP1;NUP62;MAPK6;SAC3D1;LRRC47;KLF10;YTHDF1;YTHDF2;CKAP2;G0S2;RNF103;CKS2;GCLM;RIN2;EPHA2;ARF6"
"verteporfin-3556","25/100",7.16915647258975e-06,0.00257246202839985,0,0,2.57864878803507,30.5459581151453,"NOTCH1;CLSTN1;PLOD2;PTPRK;LTBP1;TMEM164;COCH;TM9SF3;GJA1;NCSTN;PODXL;GALNT7;GAA;SLC6A14;EPHX1;TM9SF2;SLC9A6;FAT1;PMP22;SERINC1;DSG2;FKBP9;SERINC5;PCYOX1;MEGF9"
"paclitaxel-2043","25/100",7.16915647258975e-06,0.00242954747126653,0,0,2.57864878803507,30.5459581151453,"ORM1;PAXIP1;INPP1;PIGP;HP;AUH;ZNF408;HARS;ASCC3;TMEM14A;SNAP29;TRIM22;UNC13B;USP6;MPP6;NISCH;CS;CCNA1;MAFB;OSTM1;SP3;AURKAIP1;RSL24D1;PAFAH1B3;NOP10"
