"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"suloctidil-1297","47/100",6.76179222159221e-22,4.12469325517125e-18,0,0,4.84785972150593,236.3117536114,"IFITM1;UBE2L6;MT1X;IFI35;ZC3HAV1;DDX60;USP18;IFI44L;IFIT3;IFIT2;OASL;HERC5;MT2A;TNFSF10;HMOX1;STAP1;CCL2;TRIM21;TRIM22;HERC6;RSAD2;DDX58;CD70;PHF11;TAP1;IFI44;SLC30A1;PARP12;EXT1;BST2;CXCL10;CCNA1;OAS1;LPAR6;OAS2;AXL;MT1F;IRF7;MT1G;SPATS2L;MT1H;LAP3;XAF1;GCLM;RGL1;RIN2;MT1E"
"spiperone-5777","43/100",2.55075334702368e-18,7.77979770842221e-15,0,0,4.43527591542032,179.67366125945,"PPP1R15A;INSIG1;AMIGO2;TNFAIP3;SLC7A11;CXCL3;PTGS2;CXCL2;AREG;ADAMTS1;CBS;STC2;CREB3L2;TNFRSF8;HMOX1;DNAJB9;TMED7;JUNB;PCK2;SDF2L1;LAMB3;GFPT1;FNDC3B;EIF2AK3;LIF;ASNS;SLC30A1;NFATC1;WIPI1;HPCAL4;PDIA4;MANF;NR4A2;CCNA1;IL6;KRT17;DDIT4;TRIB3;HYOU1;S100P;NUPR1;CRELD2;HBEGF"
"astemizole-6807","42/100",1.80666204158847e-17,3.67354615122989e-14,0,0,4.33212996389892,167.014291469134,"PPP1R15A;CD83;INSIG1;TNFAIP3;MT1X;SLC1A4;VLDLR;SLC7A11;HMGCR;DDX60;ETS2;IFIT3;IFIT2;OASL;HERC5;MT2A;DNAJB9;PHLDA1;LDLR;KLF10;EGR2;JUN;EGR3;GADD45A;DDX58;LIF;ASNS;SLC30A1;DUSP6;KLF2;NR4A2;NR4A1;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1H;TRIB3;NUPR1;MT1E;HBEGF"
"thapsigargin-7103","40/100",8.01587360738116e-16,1.22242072512563e-12,0,0,4.12583806085611,143.413874001975,"PPP1R15A;CEBPB;AMIGO2;GATA6;FHL2;SLC3A2;SLC7A11;NR3C1;CXCL3;PTGS2;CXCL2;AREG;ETS2;OASL;STC2;HIVEP1;DNAJB9;PHLDA1;JUNB;PCK2;SDF2L1;GADD45A;LIF;ASNS;SLC30A1;KLF4;PDIA4;MANF;NR4A2;IL6;PSAT1;DLC1;DDIT4;MAFF;BHLHE40;TRIB3;HYOU1;NUPR1;AARS;HBEGF"
"disulfiram-6210","40/100",8.01587360738116e-16,9.77936580100502e-13,0,0,4.12583806085611,143.413874001975,"PPP1R15A;CEBPB;MT1X;SLC1A4;VLDLR;SLC7A11;CLU;NDRG1;SOCS2;DNAJB1;MT2A;HSPH1;SERPINH1;ME1;HMOX1;DNAJB9;FYN;PHLDA1;JUN;CHKB;KLHL25;GADD45A;IGFBP3;AKR1C1;AKR1C3;ASNS;AKR1C2;SLC30A1;SMARCA2;NR4A1;SLCO4A1;DDIT4;MAFF;MT1F;MT1G;MT1H;TRIB3;FKBP4;EPHA2;MT1E"
"prochlorperazine-1053","40/100",8.01587360738116e-16,8.14947150083752e-13,0,0,4.12583806085611,143.413874001975,"PPP1R15A;IDI1;INSIG1;SLC38A10;MT1X;SLC1A4;SLC7A11;HMGCR;AQP3;ETS2;MT2A;ATXN1;DNAJB9;FYN;PHLDA1;LDLR;SOX4;FADS1;PAQR6;HMGCS1;GADD45A;AKR1C1;AKR1C3;ASNS;AKR1C2;DHCR24;WIPI1;TPST1;SQLE;DDIT4;MAFF;BHLHE40;MT1F;TRIB3;HBP1;S100P;TGFBI;YPEL5;SMPDL3A;BET1"
"astemizole-4471","39/100",5.01861971064367e-15,4.37336860498948e-12,0,0,4.02269210933471,132.449637630233,"PPP1R15A;CEBPB;INSIG1;TNFAIP3;MT1X;ZC3HAV1;CXCL3;PTGS2;AQP3;CXCL2;IFIT3;IFIT2;OASL;HERC5;PGK1;HMOX1;DNAJB9;GGT1;PCK2;RSAD2;TNFSF15;DDX58;ASNS;SLC30A1;WIPI1;KLF4;NR4A2;SQLE;ARC;IL6;OAS1;KRT17;SCD;DDIT4;MT1F;TRIB3;S100P;NUPR1;MT1E"
"terfenadine-6823","39/100",5.01861971064367e-15,3.8266975293658e-12,0,0,4.02269210933471,132.449637630233,"PPP1R15A;CEBPB;CD83;INSIG1;TNFAIP3;MT1X;SLC7A11;AREG;IFIT2;OASL;MT2A;CYP1B1;HMOX1;DNAJB9;PHLDA1;JUNB;LDLR;KLF10;JUN;JAG1;EGR3;GADD45A;ASNS;SLC30A1;DUSP6;KLF2;NR4A2;NR4A1;ARC;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1H;TRIB3;NUPR1;MT1E;HBEGF"
"mefloquine-2210","37/100",1.73519893325297e-13,1.17607927698257e-10,0,0,3.8164002062919,112.135318545329,"PPP1R15A;DLX2;TNFAIP3;MT1X;SLC7A11;DDX60;ETS2;IFIT2;OASL;MT2A;CYP1B1;HMOX1;DNAJB9;JUNB;KLF10;IL32;JUN;GADD45A;AKR1C1;AKR1C2;SLC30A1;KLF2;EFNA1;CXCL10;NR4A1;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;HOXB2;TRIB3;HIST1H2BG;MT1E;HBEGF"
"methylbenzethonium chloride-4325","37/100",1.73519893325297e-13,1.05847134928431e-10,0,0,3.8164002062919,112.135318545329,"PPP1R15A;CEBPB;INSIG1;AMIGO2;STC1;TNFAIP3;SLC7A11;CXCL3;PTGS2;CXCL2;CBS;STC2;HMOX1;IDS;DNAJB9;LDLR;PCK2;HMGCS1;TNFSF15;TMEM176A;ASNS;SLC30A1;KLF4;NR4A2;IL6;KRT17;TEP1;MARS;DDIT4;MAFF;MT1F;MT1H;TRIB3;S100P;NUPR1;COPE;HBEGF"
"prenylamine-2886","37/100",1.73519893325297e-13,9.62246681167555e-11,0,0,3.8164002062919,112.135318545329,"PPP1R15A;DLX2;TNFAIP3;MT1X;SLC7A11;DDX60;ETS2;IFIT2;OASL;HERC5;MT2A;HMOX1;DNAJB9;KLF10;JUN;HMGCS1;GADD45A;AKR1C1;SLC30A1;KLF4;KLF2;NR4A2;NR4A1;KLF7;ARC;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;TRIB3;NUPR1;HIST1H2BG;MT1E;HBEGF"
"perphenazine-1956","37/100",1.73519893325297e-13,8.82059457736925e-11,0,0,3.8164002062919,112.135318545329,"PPP1R15A;IDI1;INSIG1;STC1;TNFAIP3;SLC7A11;CXCL3;NDRG1;ETS2;FADS2;HEY1;ZNF408;MICALL1;HMOX1;DNAJB9;LDLRAP1;LDLR;SDF2L1;JUP;PLAUR;WIPI1;CDYL;RHOC;DUSP6;PDIA4;MANF;EFNA1;SQLE;IL6;DDIT4;CDK2AP2;MT1H;TRIB3;HBP1;NUPR1;CRELD2;SMPDL3A"
"azacyclonol-1937","36/100",9.57534832097183e-13,4.49304805830217e-10,0,0,3.7132542547705,102.762136634196,"PPP1R15A;CD83;HOXD1;INSIG1;PDGFA;TNFAIP3;MT1X;CXCL1;SLC3A2;ZC3HAV1;DDX60;CXCL3;PTGS2;CXCL2;IFIT3;IFIT2;OASL;HERC5;HMOX1;DNAJB9;UPP1;LDLR;JUN;HMGCS1;DDX58;SLC30A1;KLF4;MANF;SQLE;ARC;IL6;EEF1D;DDIT4;MAFF;TRIB3;CRELD2"
"15-delta prostaglandin J2-6948","36/100",9.57534832097183e-13,4.17211605413773e-10,0,0,3.7132542547705,102.762136634196,"PPP1R15A;CEBPB;CREM;SLC1A4;VLDLR;SLC7A11;NDRG1;N4BP2L2;HSPA13;CYB5R1;DNAJB1;HSPH1;FTH1;ME1;HMOX1;FYN;CBR3;IL1R1;GADD45A;AKR1C1;IFRD1;AKR1C3;ASNS;AKR1C2;GAB2;GCLC;RIT1;MAP1B;DDIT4;MAFF;TRIB3;NUPR1;GCLM;ASF1A;BLVRA;ITM2C"
"hexetidine-3318","36/100",9.57534832097183e-13,3.89397498386188e-10,0,0,3.7132542547705,102.762136634196,"PPP1R15A;DLX2;TNFAIP3;AKAP7;MT1X;SLC7A11;AREG;N4BP2L2;ETS2;MT2A;DNAJB9;PHLDA1;EGR2;JUN;GADD45A;SLC30A1;ADAP1;KLF4;KLF2;MYL4;NR4A2;EFNA1;NR4A1;ARC;NR4A3;IL1B;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;NBL1;TNFRSF21;MT1E;HBEGF"
"mefloquine-5724","36/100",9.57534832097183e-13,3.65060154737051e-10,0,0,3.7132542547705,102.762136634196,"PPP1R15A;CEBPB;INSIG1;TNFAIP3;MT1X;ZC3HAV1;SLC7A11;CXCL3;PTGS2;CXCL2;IFIT3;IFIT2;OASL;STC2;GPC3;HMOX1;DNAJB9;PCK2;ABCA1;JUN;ASNS;AKR1C2;SLC30A1;NFATC1;KLF4;ARC;IL6;KRT17;DDIT4;MT1F;MT1G;MT1H;TRIB3;NUPR1;COPE;MT1E"
"fendiline-7188","36/100",9.57534832097183e-13,3.43586027987813e-10,0,0,3.7132542547705,102.762136634196,"PPP1R15A;CEBPB;INSIG1;TNFAIP3;MT1X;ZC3HAV1;SLC7A11;HSPA13;ETS2;IFIT2;OASL;MT2A;HMOX1;DNAJB9;PHLDA1;KLF10;JUN;EGR3;HMGCS1;GADD45A;DDX58;EIF2AK3;SLC30A1;WIPI1;KLF2;NR4A2;MARS;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;TRIB3;NUPR1;MT1E"
"8-azaguanine-1791","35/100",5.06208150633555e-12,1.71548317714705e-09,0,0,3.6101083032491,93.8961853874659,"PPP1R15A;CEBPB;CD83;BCL2A1;STC1;TNFAIP3;CXCL1;CXCL3;PTGS2;CXCL2;RND3;ETS2;AKAP12;STC2;CYP1B1;UPP1;PHLDA1;JUNB;KLF10;JUN;GADD45A;LIF;G0S2;SOD2;KLF2;NR4A1;ARC;IL6;KRT17;IL1B;DDIT4;MAFF;BHLHE40;SPRY2;HBEGF"
"menadione-2439","35/100",5.06208150633555e-12,1.62519458887615e-09,0,0,3.6101083032491,93.8961853874659,"PPP1R15A;BTG2;CREM;SLC7A11;CXCL3;PTGS2;CXCL2;DNAJB1;HSPH1;HEY1;FTH1;SERPINH1;ME1;HMOX1;PHLDA1;SOX4;HIST1H2AM;ABCA1;HIST1H2AL;EGR2;JUN;DUSP2;EGR3;ANXA2;IL1R1;ATP1B1;KLF4;NR4A2;ARC;RIT1;MAFB;IL1B;HIST1H2BG;FKBP4;GCLM"
"ionomycin-979","35/100",5.06208150633555e-12,1.54393485943234e-09,0,0,3.6101083032491,93.8961853874659,"ATP2A2;SLC1A4;RRBP1;GLRX;SLC7A11;HSPA13;ETS2;ATXN1;CREB3L2;DNAJB9;FYN;MGAT2;TMED7;PHLDA1;PRNP;SDF2L1;GADD45A;SLC2A10;FNDC3B;EAF2;TAP1;RNASE4;WIPI1;SLC39A14;PDIA4;MANF;KRT17;MAP1B;DDIT4;CDK2AP2;TRIB3;HYOU1;NUPR1;CRELD2;NUCB2"
"perhexiline-7441","35/100",5.06208150633555e-12,1.47041415184033e-09,0,0,3.6101083032491,93.8961853874659,"PPP1R15A;INSIG1;TNFAIP3;MT1X;SLC7A11;NDRG1;OASL;MT2A;HMOX1;DNAJB9;PHLDA1;LDLR;KLF10;PAQR6;JUN;EGR3;CHKB;HMGCS1;TBC1D8;SLC30A1;WIPI1;KLF2;NR4A2;SQLE;NR4A1;NR4A3;TFDP2;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;HBP1;MT1E"
"valinomycin-5962","35/100",5.06208150633555e-12,1.40357714493849e-09,0,0,3.6101083032491,93.8961853874659,"PPP1R15A;CEBPB;AMIGO2;SLC1A4;SLC3A2;SLC1A5;SLC7A11;CXCL3;PTGS2;CXCL2;AREG;ATXN1;CBS;STC2;CYP1B1;PHGDH;PHLDA1;JUNB;PCK2;TNFSF15;ASNS;SLC30A1;KLF4;KAZALD1;SMAD7;MYL4;SLC7A5;DHRS9;PSAT1;DDIT4;PDCD4;HOXB2;TRIB3;S100P;NUPR1"
"azacyclonol-1520","34/100",2.56251192404993e-11,6.79622727682806e-09,0,0,3.5069623517277,85.5258620790679,"PPP1R15A;DLX2;TNFAIP3;MT1X;SLC7A11;AREG;ETS2;OASL;MT2A;DNAJB9;PHLDA1;JUNB;LDLR;KLF10;EGR2;JUN;EGR3;GADD45A;DDX58;SLC30A1;KLF4;KLF2;NR4A2;EFNA1;NR4A1;ARC;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1H;HIST1H2BG;HBEGF"
"mefloquine-2048","34/100",2.56251192404993e-11,6.51305114029356e-09,0,0,3.5069623517277,85.5258620790679,"PPP1R15A;INSIG1;ZBTB20;PIK3R3;MT1X;SLC1A4;SLC7A11;N4BP2L2;RND3;IFIT3;IFIT2;OASL;MT2A;FTH1;CYP1B1;HMOX1;IDS;DNAJB9;LDLR;ZFHX2;AKR1C1;ASNS;AKR1C2;SLC30A1;MYL4;TMEM135;OAS2;DDIT4;MT1F;MT1H;TRIB3;TPP1;NUPR1;MT1E"
"suloctidil-2651","34/100",2.56251192404993e-11,6.25252909468182e-09,0,0,3.5069623517277,85.5258620790679,"PPP1R15A;DLX2;INSIG1;TNFAIP3;MT1X;SLC7A11;AREG;ETS2;MT2A;HMOX1;DNAJB9;PHLDA1;JUNB;KLF10;JUN;EGR3;GADD45A;LIF;SLC30A1;DUSP6;KLF2;NR4A2;EFNA1;NR4A1;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;TRIB3;MT1E;HBEGF"
"suloctidil-5021","34/100",2.56251192404993e-11,6.01204720642482e-09,0,0,3.5069623517277,85.5258620790679,"PPP1R15A;TNFAIP3;MT1X;SLC7A11;IFIT2;OASL;MT2A;HMOX1;DNAJB9;PHLDA1;EGR2;JUN;EGR3;HMGCS1;GADD45A;SLC30A1;RNASE4;WIPI1;DUSP6;KLF2;NR4A2;EFNA1;NR4A1;NR4A3;SLCO4A1;MARS;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;MT1E;HBEGF"
"prenylamine-5489","34/100",2.56251192404993e-11,5.78937879137205e-09,0,0,3.5069623517277,85.5258620790679,"PPP1R15A;INSIG1;TNFAIP3;MT1X;SLC7A11;DDX60;HSD17B11;IFIT2;OASL;MT2A;HLA-DMA;STS;HMOX1;DNAJB9;PHLDA1;GBP1;JUN;EGR3;S100A2;GADD45A;DDX58;KRT2;SLC30A1;KLF2;NR4A2;MARS;DDIT4;MAFF;BHLHE40;MT1F;MT1G;MT1H;MT1E;HBEGF"
"ciclosporin-3267","34/100",2.56251192404993e-11,5.58261526310877e-09,0,0,3.5069623517277,85.5258620790679,"FKBP11;PDXK;INSIG1;SLC38A10;SLC1A4;GLRX;VLDLR;SLC7A11;TXNDC15;HSPA13;CREB3L2;DNAJB9;MGAT2;SEC63;SDF2L1;FOXD1;HMGCS1;GFPT1;FNDC3B;EAF2;EIF2AK3;RNASE4;WIPI1;PDIA4;MANF;COL1A1;ARC;MYO1B;ASPH;DDIT4;HYOU1;NBL1;NUCB2;BET1"
"prenylamine-1737","34/100",2.56251192404993e-11,5.39011128851881e-09,0,0,3.5069623517277,85.5258620790679,"IFITM1;DOCK4;UBE2L6;MT1X;IFI35;SNX11;DDX60;IFIT3;IFIT2;OASL;HERC5;PDLIM1;MT2A;NRIP1;TNFSF10;TRIM21;TRIM22;DDX58;IFI44;SLC30A1;NR4A2;ETV7;CXCL10;OAS1;CD8A;SLCO4A1;MT1F;IRF7;MT1G;MT1H;LAP3;XAF1;PAFAH1B3;MT1E"
"MG-132-1140","33/100",1.24147704969698e-10,2.52433666771719e-08,0,0,3.40381640020629,77.639517274166,"PPP1R15A;BTG2;CEBPB;TXNL4B;PFKFB3;INSIG1;SLC1A4;TMEM97;SLC7A11;HSPA13;DNAJB1;HSPH1;SERPINH1;ME1;HMOX1;DNAJB9;FYN;LDLR;JUN;GOT1;HMGCS1;GADD45A;AKR1C1;ASNS;AKR1C2;SLC39A14;MAP1B;DDIT4;MAFF;TRIB3;S100P;GCLM;HBEGF"
"thioridazine-5227","33/100",1.24147704969698e-10,2.44290645262953e-08,0,0,3.40381640020629,77.639517274166,"PPP1R15A;DAGLA;TNFAIP3;TNFRSF11B;SLC7A11;AQP3;NDRG1;ETS2;OASL;ATXN1;SPOCK2;HMOX1;DNAJB9;MGAT2;A2M;PHLDA1;JUN;S100A2;HMGCS1;GADD45A;FN1;RNASE4;CDYL;KLF2;NR4A2;MAP1B;DDIT4;MAFF;BHLHE40;MT1F;S100P;NUPR1;APOBEC3B"
"astemizole-2211","33/100",1.24147704969698e-10,2.36656562598486e-08,0,0,3.40381640020629,77.639517274166,"PPP1R15A;DLX2;INSIG1;TNFAIP3;MT1X;SLC7A11;HMGCR;MT2A;DNAJB9;PHLDA1;LDLR;KLF10;EGR2;JUN;EGR3;HMGCS1;GADD45A;SLC30A1;KLF2;NR4A2;EFNA1;CXCL10;NR4A1;ARC;NR4A3;DDIT4;MAFF;BHLHE40;MT1F;MT1H;NUPR1;HIST1H2BG;HBEGF"
