"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"etoposide-5027","59/100",2.98786039255114e-34,1.8225948394562e-30,0,0,6.0730828615543,468.801523569862,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;HMGB2;BUB1B;SIX1;KIF11;MKI67;KIF15;LMNB1;CDC20;GJA1;PTTG1;NEK2;CEP55;DLGAP5;CHST7;KIF23;NME5;CCNA2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;FAM64A;KIF20A;KIF20B;CDCA3;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;HIST1H3B;E2F8;STIL;SPAG5;UBE2C;PLK1;XRCC3;NDC80;TPX2;CENPE;KIF18A;CENPF;XK;UBE2S;PRC1;KIF4A;TACC3;CDKN3"
"5109870-904","55/100",7.69943947317056e-30,2.34832903931702e-26,0,0,5.66134843026248,379.516447685198,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;CDC20;TMEM104;ZNF85;NUSAP1;DNMT3B;DLEU2;CEP97;GTSE1;DLGAP5;KIF23;CIT;ASPM;NEIL3;PSRC1;CCNE1;KIFC1;DEPDC1;FAM64A;KIF20A;ZNF675;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;RIBC2;E2F8;UBE2C;PLK1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF18B;REEP4;KIF4A;NMU;TACC3;PTTG3P;SPC25"
"etoposide-3241","55/100",7.69943947317056e-30,1.56555269287801e-26,0,0,5.66134843026248,379.516447685198,"DAGLA;HJURP;KIF14;BUB1B;KIF11;BRCA2;LMNB1;CDC20;IPO8;CEP55;DLGAP5;KIF23;IL17RB;CCNA2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;FAM64A;KIF2C;KIF20A;ZNF675;DTL;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;CCNB1;RIBC2;BCL11B;UBE2C;PLK1;NDC80;LOC730101;TPX2;CENPE;MYO1E;KIF18A;CENPF;KIF18B;UBE2S;CENPI;PRC1;KIF4A;NMU;TACC3;MXD3;CDKN3"
"monobenzone-5312","49/100",9.47766500038038e-24,1.44534391255801e-20,0,0,5.04374678332476,267.384674054697,"TOP2A;ARHGAP11A;KIF14;HMGB3;KIF11;LMNB1;CDC20;PTTG1;NUSAP1;HIST1H1D;CCDC99;DLGAP5;HIST1H2AJ;CKAP2;KIF23;ASPM;PSRC1;DEPDC1;CKS2;FAM64A;KIF20A;KIF20B;SNORA21;ZNF273;CDCA3;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;CCNB1;RACGAP1;GAR1;METTL4;HIST1H3G;ECT2;STIL;UBE2C;PLK1;C9ORF40;NDC80;TPX2;CENPE;KIF18A;CENPF;UBE2S;TACC3"
"methotrexate-5000","49/100",9.47766500038038e-24,1.15627513004641e-20,0,0,5.04374678332476,267.384674054697,"TOP2A;ARHGAP11A;GPSM2;SUV39H2;SETD8;HJURP;KIF14;BUB1B;KIF11;LMNB1;CDC20;ZMYM3;CCDC99;DLGAP5;ENTPD7;CKAP2;HMHA1;KIF23;ASPM;PSRC1;DBF4;DEPDC1;FAM64A;KIF20A;EXOC5;ZNF675;CDCA3;TROAP;CDCA8;TTK;HMMR;AURKA;CCNB1;METTL4;ECT2;STIL;UBE2C;PLK1;XRCC3;GINS4;NDC80;TPX2;CENPE;KIF18A;CENPF;UBE2S;PRC1;TACC3;SOLH"
"pyrvinium-5439","47/100",7.37328015116391e-22,7.49616815368331e-19,0,0,4.83787956767885,235.406427217909,"ARHGAP11A;SUV39H2;ERCC6L;BLM;CDCA3;TROAP;CCNF;KIF14;BUB1B;CDCA8;MCM10;KIF11;NKAIN1;UAP1L1;DNMT3B;KCNMB4;PIM2;FBXO5;E2F8;TIPIN;CDKN2C;PAQR4;BCL11B;ATAD5;PLK1;VASH2;KIF23;NDC80;LOC730101;CENPE;KIF18A;RBL1;PSRC1;CCNE2;ESPL1;BDH1;CCNE1;C19ORF40;TRAF5;TACC3;FAM64A;KIF20A;PVRL3;DTL;MXD3;MDM1;GPR19"
"resveratrol-841","46/100",6.1240394759375e-21,5.3366629718884e-18,0,0,4.73494595985589,220.374162772399,"SUV39H2;ERCC6L;CDCA3;TROAP;CCNF;HJURP;ARHGAP19;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CENPA;CDC20;CCNB1;P2RY6;RACGAP1;ZNF85;SCMH1;DLEU2;GTSE1;DLGAP5;E2F8;PRPF38B;UBE2C;PLK1;KIF23;HAUS6;CTPS;NDC80;ASPM;CENPE;CENPF;WEE1;KIF18B;PSRC1;KIFC1;TRAF5;CDK1;DEPDC1;TACC3;KIF20A;THOP1;SPC25"
"resveratrol-958","45/100",4.88612993930236e-20,3.72567407871805e-17,0,0,4.63201235203294,205.963824826925,"ARHGAP11A;ERCC6L;CDCA3;TROAP;SUV39H1;HJURP;ARHGAP19;KIF14;BUB1B;CDCA8;TTK;KIF11;MKI67;CENPA;C1ORF112;KIF15;LMNB1;CDC20;CCNB1;P2RY6;RACGAP1;FBXO5;GTSE1;DLGAP5;E2F8;PRPF38B;ATAD5;UBE2C;PLK1;CKAP2;KIF23;NDC80;CCNA2;ASPM;CENPE;KIF18A;CENPF;PSRC1;KIFC1;CENPI;TRAF5;DEPDC1;TACC3;KIF20B;SPC25"
"ciclopirox-3317","43/100",2.75577098000733e-18,1.86780033089386e-15,0,0,4.42614513638703,178.961593431196,"TOP2A;ARHGAP11A;ERCC6L;CDCA3;DHX8;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;CENPA;NCAPH;AURKB;AURKA;CDC20;CCNB1;RACGAP1;TMEM104;GNG7;NUSAP1;DLGAP5;RIBC2;UBE2C;PLK1;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;C12ORF48;CENPF;KIF18B;PSRC1;PRC1;KIF4A;DEPDC1;CKS2;FAM64A;KIF20A"
"0173570-0000-7389","43/100",2.75577098000733e-18,1.68102029780447e-15,0,0,4.42614513638703,178.961593431196,"GPSM2;CDCA3;NCF2;CLEC10A;HJURP;KIF14;CDCA8;HMGB3;HMMR;KIF11;WDR67;CTGF;CDC20;CCNB2;CCNB1;APOL6;CHEK2;DNMT3B;DLEU2;DLGAP5;GABPA;C11ORF68;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;CENPE;CENPF;PSRC1;DBF4;PRC1;KIF4A;DEPDC1;CKS2;CDC42EP1;FAM64A;KIF2C;KIF20A;CENPO;KIF20B;SPC25"
