"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"clonidine-1555","33/100",1.3107567210814e-10,7.99561599859653e-07,0,0,3.39680905815749,77.2952267858091,"CD86;ACVRL1;IL1RN;NCF2;RGS13;SDC2;RGS16;SLC2A5;TREM1;THBS1;FAM105A;RECQL4;RGS1;KYNU;CHN2;PDE4B;CD38;OLR1;TIMP1;PPP1R16B;ENTPD1;ANXA1;ARG1;IL10RA;RNASE6;CYP27A1;ARHGAP33;PTPRE;PNOC;FKBP9;ANXA2P2;FCGR2C;SIGLEC7"
"N-acetylmuramic acid-4406","33/100",1.3107567210814e-10,3.99780799929826e-07,0,0,3.39680905815749,77.2952267858091,"C1QB;CNTNAP2;C22ORF31;PTAFR;FAM107A;FYB;MFSD7;SGCD;APOL6;TCOF1;CLEC7A;PEG10;CCL5;SIRPA;SVEP1;TK2;HIST1H2AL;CD52;ARG1;CDKN2A;MCAM;PDE2A;PIPOX;SEZ6L;COL1A1;CYP2C9;HCK;CD6;FAM30A;ALDOB;BCAT1;CHST3;HLA-DQB1"
"phenylpropanolamine-3217","33/100",1.3107567210814e-10,2.66520533286551e-07,0,0,3.39680905815749,77.2952267858091,"RAB3B;MS4A3;SETD8;SLC43A3;GMFG;SHMT1;LST1;ITGB2;LPL;CXCR4;THBD;RGS1;ALOX5;SLC38A7;KIF21B;FCGR1B;ELANE;LAIR1;CD53;PTGIS;LAPTM5;RNASE3;IPCEF1;RNASE2;IGL@;MS4A6A;CD4;TYROBP;ZEB1;ALOX5AP;HCLS1;MNDA;ARHGEF6"
"(-)-isoprenaline-6149","31/100",2.67847070920759e-09,4.08466783154158e-06,0,0,3.19094184251158,62.9828733836162,"CD86;C1QA;SDC2;TXK;SLC35D2;FPR1;TREM2;PLA2G7;THBS1;HLA-DMA;HLA-DMB;KYNU;GNG7;CHN2;PDE4B;OLR1;PPP1R16B;TKTL1;ENTPD1;CCL22;TNFSF14;IGFBP4;MCAM;SLC6A12;PILRA;COL4A2;TNFSF4;MXRA8;PECAM1;ANGPTL2;MXD4"
"fenoterol-2378","31/100",2.67847070920759e-09,3.26773426523326e-06,0,0,3.19094184251158,62.9828733836162,"CD86;ZNF177;IL1RN;TNFAIP6;SDC2;PBXIP1;PLA2G7;CSF2RA;TREM1;THBS1;STS;KYNU;GNG7;CHN2;TRBC1;CD38;NEK3;SLC15A3;PDLIM7;POLR2L;PPP1R16B;TNFRSF12A;IL10RA;PIPOX;CTNS;CDC25C;PTPRB;PECAM1;HPSE;ALDOB;FCGR2C"
"cyclobenzaprine-1332","30/100",1.13087632644092e-08,1.14972426521493e-05,0,0,3.08800823468863,56.5034109160762,"PGCP;SMARCD1;PTAFR;F13A1;LRP3;C20ORF103;GNG7;FAM176B;ADAM23;EMILIN2;HOMER3;TK2;ABCD1;BUB1;SLC12A8;SLC19A1;JAG2;BCL11A;HSPA4;HIST1H2AJ;TFEB;TRAIP;FCER2;MS4A6A;VCAN;COL4A2;TCN1;CHMP6;SOLH;GPR124"
"paclitaxel-640","30/100",1.13087632644092e-08,9.85477941612798e-06,0,0,3.08800823468863,56.5034109160762,"SH2D4A;GSTCD;ARHGAP19;GIMAP5;PVR;KIR2DL3;WISP1;AQP1;ADD2;GNA14;EFEMP2;SGCD;ZMYM5;TRBC1;GRK6;SIRPA;PTGDS;SIL1;ATP9A;ATP6V0E1;KIR2DS1;GPR35;DNMT3A;FANCA;FCHSD2;TBC1D4;PSG4;FXYD6;EEF1E1;ENG"
"cefotetan-3997","30/100",1.13087632644092e-08,8.62293198911198e-06,0,0,3.08800823468863,56.5034109160762,"CD86;IHH;GLYAT;PRSS22;FAM105A;ADD2;THBD;EFEMP2;SGCD;ALDH3B1;ALOX5;SLC38A7;IL12B;P2RY13;EGOT;LY86;EBF2;RPL35A;LILRB1;A1CF;DKK3;PSG9;COL1A1;LAT2;KIAA1731;COL4A3;HIST1H4H;ITGA7;ACO2;TRIM31"
"deptropine-6523","29/100",4.55788683652471e-08,3.0892344114223e-05,0,0,2.98507462686567,50.4591690772475,"CNTNAP2;IL1RN;SPON1;ENPEP;SETD8;PTAFR;AK2;CLTA;FYB;CD79B;CALD1;PDGFC;TRIM3;PDE4B;RGS20;PLXNC1;KIR2DL5A;DTNA;BGN;LRRC40;CORO2B;CDC25A;GAP43;ZEB1;CD6;FSCN1;FBN1;NFKBIB;HLA-DQB1"
"sirolimus-6201","29/100",4.55788683652471e-08,2.78031097028007e-05,0,0,2.98507462686567,50.4591690772475,"HAB1;SLC4A4;FCAR;CYB5R2;CD79B;FUT6;FZR1;DBC1;SIT1;HMOX1;TK2;IGHA1;PDLIM4;MPZL2;IL10;MSR1;CD300A;FOXF1;HIST1H2AJ;HNF1B;LHFPL2;MUC3A;ELL2;IGL@;ADCY9;IRF4;KCNQ2;TIMELESS;EMID1"
"oleandomycin-5676","29/100",4.55788683652471e-08,2.52755542752734e-05,0,0,2.98507462686567,50.4591690772475,"NCF2;SDC2;SIX1;PLD1;THBS3;RGS5;SGCD;ALOX5;CXCR3;EPB41L3;PHACTR1;CD36;PTGDS;CCR5;PDLIM4;CCL22;CDKN2A;MCAM;PDE4DIP;PAX5;SDHB;ELL2;INPP4A;IGLJ3;GREM2;COL5A2;FAM30A;ALDOB;NFKBIB"
"alpha-ergocryptine-2572","29/100",4.55788683652471e-08,2.31692580856673e-05,0,0,2.98507462686567,50.4591690772475,"CD86;ZNF177;DAGLA;SDC2;SHMT1;LAMA4;PBXIP1;SLC2A5;THBS1;FCAR;LMF2;MRC2;KYNU;PDE4B;CD38;PPP1R16B;MEF2C;ZFHX3;TNFRSF12A;ARG1;MCAM;HDGFRP3;NRG1;LAT2;NUP54;BPI;ZNF215;PVRL2;GPR19"
"valproic acid-5574","28/100",1.7522389291267e-07,8.22204420590221e-05,0,0,2.88214101904272,44.8380479871087,"C14ORF105;PDE1C;LAMA4;HP;HAB1;SLC2A5;THBS1;FUT3;CD79A;ADAMTS5;RASSF2;CHRNG;SIT1;CLIC2;ENTPD1;PTGIS;KIR2DS1;BGN;CTNS;NRG1;LAT2;CYP2C9;FCGR2A;CDHR2;FSCN1;TNFRSF25;ALDOB;VGLL3"
"amodiaquine-3186","28/100",1.7522389291267e-07,7.63475533405205e-05,0,0,2.88214101904272,44.8380479871087,"RAB3B;IGHM;PGCP;SDC2;LST1;LY9;THBD;EDNRB;SLC17A9;ALOX5;TRBC1;SLAMF8;SLAMF7;DGCR8;EMILIN1;PTRF;MSR1;CD52;EGR2;BGN;EBF2;PIPOX;MYO7A;ACE2;TUBB2B;BIN2;DAAM2;CCNJL"
"etilefrine-2930","28/100",1.7522389291267e-07,7.12577164511525e-05,0,0,2.88214101904272,44.8380479871087,"CD86;SDC2;SH2D2A;SP140;CXCL13;PLA2G7;THBS1;FCAR;UGT8;FRZB;KYNU;E2F1;OLR1;LAIR2;CPA4;PPP1R16B;MAP4K1;TKTL1;ACTN2;CDKN2A;MUC3A;CLCN7;CYP2C9;CDCP1;ANGPTL2;CENPO;SIGLEC7;NFKBIB"
"isotretinoin-2407","28/100",1.7522389291267e-07,6.68041091729555e-05,0,0,2.88214101904272,44.8380479871087,"AQP9;SLA;NCF1C;HAB1;SLC2A5;TREM1;STX11;SGSH;RGS1;HMOX1;CD38;CCL2;PPP1R16B;CCR1;NQO1;CD300A;IL10RA;C2ORF18;LILRB1;SDHB;FGR;RIT1;ZNF93;PALLD;CDHR2;CD300C;HPSE;GCLM"
"mimosine-6703","28/100",1.7522389291267e-07,6.28744556921934e-05,0,0,2.88214101904272,44.8380479871087,"DOCK6;ATP8A1;NPR1;CXCR4;RETN;B3GNTL1;FZR1;SIT1;ALOX5;CHN2;GJA4;DGCR8;ST3GAL6;APOE;SKP2;PDLIM7;CD72;ST8SIA3;ETV1;RPGRIP1L;HAUS5;CLCN7;GZMK;VNN2;KIAA1731;DCX;MMP19;CHMP6"
"(+/-)-catechin-4255","28/100",1.7522389291267e-07,5.93814303759604e-05,0,0,2.88214101904272,44.8380479871087,"CNTNAP2;C17ORF53;GPR63;WDR62;RETN;CXXC4;FAM149A;IPO8;EDNRA;SIT1;GNG7;CD53;AOC3;DTNA;EDN3;DDX11;DNMT3A;BGN;CTNS;PAX5;CORO2B;PLXDC1;IGLJ3;MMP16;PKP4;IRF5;NUP54;TNIK"
"pergolide-2403","28/100",1.7522389291267e-07,5.62560919351204e-05,0,0,2.88214101904272,44.8380479871087,"CD86;C1ORF38;SDC2;SLA;HMGB3;PBXIP1;PLA2G7;TREM1;THBS1;AURKA;RGS1;KYNU;GNG7;CHN2;PDE4B;CD38;OLR1;TIMP1;PPP1R16B;CCL22;IL10RA;CDC25C;CDHR2;PECAM1;ULK1;HPSE;KIAA1539;FCGR2C"
