"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"etoposide-5027","20/100",5.26101662243175e-34,3.20922013968337e-30,0,0,80,6130.20551035971,"STIL;SPAG5;TROAP;PLK1;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;NDC80;KIF15;CDC20;CCNA2;ASPM;CENPE;CENPF;KIF4A;KIF20A;DLGAP5"
"etoposide-3241","19/100",8.33400553886978e-32,2.54187168935528e-28,0,0,76,5438.74078714307,"TROAP;PLK1;HJURP;KIF14;BUB1B;NCAPG;KIF11;NDC80;CDC20;CCNA2;ASPM;CENPE;CENPF;KIF18B;KIF4A;KIF2C;KIF20A;DTL;DLGAP5"
"5109870-904","17/100",1.56859636836572e-27,3.18947928234363e-24,0,0,68,4196.93391004919,"TROAP;PLK1;KIF14;BUB1B;NCAPG;KIF11;MKI67;NDC80;CDC20;ASPM;CENPE;CENPF;KIF18B;KIFC1;KIF4A;KIF20A;DLGAP5"
"resveratrol-841","17/100",1.56859636836572e-27,2.39210946175772e-24,0,0,68,4196.93391004919,"TROAP;PLK1;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;NDC80;CDC20;ASPM;CENPE;CENPF;KIF18B;KIFC1;KIF20A;DLGAP5"
"ciclopirox-3317","17/100",1.56859636836572e-27,1.91368756940618e-24,0,0,68,4196.93391004919,"TROAP;PLK1;HJURP;KIF14;BUB1B;KIF11;MKI67;NDC80;AURKA;CDC20;ASPM;CENPE;CENPF;KIF18B;KIF4A;KIF20A;DLGAP5"
"resveratrol-958","16/100",1.85694925580118e-25,1.88789841006453e-22,0,0,64,3644.52431160034,"TROAP;PLK1;HJURP;KIF14;BUB1B;KIF11;MKI67;NDC80;KIF15;CDC20;CCNA2;ASPM;CENPE;CENPF;KIFC1;DLGAP5"
"methotrexate-5000","15/100",1.98629726375977e-23,1.73091618699066e-20,0,0,60,3136.39109428822,"STIL;TROAP;PLK1;HJURP;KIF14;BUB1B;KIF11;NDC80;AURKA;CDC20;ASPM;CENPE;CENPF;KIF20A;DLGAP5"
"ciclopirox-5023","14/100",1.91411807922963e-21,1.45951503541259e-18,0,0,56,2671.48167828414,"TROAP;PLK1;HJURP;KIF14;BUB1B;NCAPG;NDC80;AURKA;CDC20;ASPM;CENPE;KIF18B;KIF20A;DLGAP5"
"resveratrol-622","14/100",1.91411807922963e-21,1.29734669814453e-18,0,0,56,2671.48167828414,"TROAP;PLK1;KIF14;BUB1B;KIF11;CDC20;CCNA2;ASPM;CENPE;KIF18B;KIF4A;KIF20A;DLGAP5;EZH2"
"0173570-0000-7389","14/100",1.91411807922963e-21,1.16761202833007e-18,0,0,56,2671.48167828414,"PLK1;HJURP;KIF14;KIF11;NDC80;CDC20;CCNA2;ASPM;CENPE;CENPF;KIF4A;KIF2C;KIF20A;DLGAP5"
