"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"etoposide-5027","34/100",5.23449576121116e-29,3.19304241433881e-25,0,0,13.0769230769231,851.565270787001,"CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;TTK;HMMR;KIF11;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;CCNB1;NEK2;CEP55;DLGAP5;STIL;SPAG5;UBE2C;PLK1;MATK;KIF23;CCNA2;TPX2;ASPM;CENPF;PER3;ESPL1;KIF4A;KIF20A;CDKN3"
"5109870-904","32/100",2.054872356947e-26,6.26736068868836e-23,0,0,12.3076923076923,727.96306074134,"TOP2A;CEBPA;CDCA3;TROAP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;KIF11;MKI67;NCAPH;AURKB;CDC20;AKAP12;CCNB1;GTSE1;DLGAP5;FZD2;UBE2C;PLK1;SEMA4C;KIF23;CIT;TPX2;ASPM;CENPF;KIF18B;KIFC1;KIF4A;KIF20A"
"etoposide-3241","32/100",2.054872356947e-26,4.17824045912557e-23,0,0,12.3076923076923,727.96306074134,"CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;BRCA2;AURKB;LMNB1;CDC20;CCNB1;CEP55;DLGAP5;BCL11B;UBE2C;PLK1;KIF23;CCNA2;TPX2;ASPM;MYO1E;CENPF;KIF18B;ESPL1;KIF4A;KIF2C;KIF20A;DTL;CDKN3"
"ciclopirox-3317","29/100",1.11854099176325e-22,1.70577501243896e-19,0,0,11.1538461538462,563.769446144576,"TOP2A;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;NCAPH;AURKB;AURKA;CDC20;CCNB1;DLGAP5;UBE2C;PLK1;SEMA4C;KIF23;TPX2;ASPM;H1F0;CENPF;KIF18B;KIF4A;CKS2;ECHDC3;KIF20A"
"ciclopirox-5023","28/100",1.78328376448893e-21,2.1756061926765e-18,0,0,10.7692307692308,514.508943594532,"TOP2A;CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;CDC20;CCNB1;DLGAP5;FZD2;UBE2C;PLK1;KIF23;CIT;ASPM;H1F0;SMTN;KIF18B;ESPL1;CKS2;ECHDC3;KIF20A"
"methotrexate-5419","26/100",3.88868306941246e-19,3.95349445390267e-16,0,0,10,423.910462091425,"TOP2A;TROAP;HJURP;KIF14;CDCA8;HMMR;MKI67;CDC20;AKAP12;CCNB1;DLGAP5;BCL11B;UBE2C;PLK1;MATK;KIF23;TPX2;ASPM;H1F0;SMTN;ESPL1;KIFC1;CKS2;SPRY2;KIF20A;CDKN3"
"methotrexate-5000","25/100",5.30709564967053e-18,4.62475478042718e-15,0,0,9.61538461538461,382.475836027944,"TOP2A;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;TTK;HMMR;KIF11;LMNB1;AURKA;CDC20;AKAP12;CCNB1;DLGAP5;STIL;UBE2C;PLK1;KIF23;TPX2;ASPM;H1F0;CENPF;KIF20A"
"resveratrol-841","25/100",5.30709564967053e-18,4.04666043287378e-15,0,0,9.61538461538461,382.475836027944,"CDCA3;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CDC20;NUAK1;CCNB1;GTSE1;DLGAP5;UBE2C;PLK1;KIF23;ASPM;CENPF;KIF18B;KIFC1;CDK1;KIF20A;FKBP5"
"monobenzone-5312","24/100",6.86076928327347e-17,4.65007695866313e-14,0,0,9.23076923076923,343.551941584887,"TOP2A;STIL;CDCA3;UBE2C;TROAP;PLK1;KIF14;KIF23;TTK;HMMR;KIF11;AURKB;LMNB1;AURKA;CDC20;CCNB2;TPX2;ASPM;CCNB1;H1F0;CENPF;CKS2;KIF20A;DLGAP5"
"resveratrol-958","24/100",6.86076928327347e-17,4.18506926279682e-14,0,0,9.23076923076923,343.551941584887,"CDCA3;UBE2C;TROAP;PLK1;HJURP;KIF14;BUB1B;CDCA8;KIF23;TTK;KIF11;MKI67;KIF15;LMNB1;CDC20;CCNA2;ASPM;CCNB1;H1F0;CENPF;KIFC1;GTSE1;DLGAP5;ZNF574"
