"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"5109870-904","55/100",1.9058731399415e-38,1.16258261536432e-34,0,0,8.28313253012048,719.417338990415,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;CDC20;AKAP12;NUSAP1;DNMT3B;DLEU2;GTSE1;DLGAP5;ZNF165;ELOVL4;KIF23;CIT;ASPM;NEIL3;PSRC1;KIFC1;DEPDC1;KIF20A;CEBPA;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;E2F8;FZD2;UBE2C;PLK1;SEMA4C;PLEKHA6;SUOX;NDC80;TPX2;CENPE;KIF18A;CENPF;CXCL12;KIF18B;REEP4;KIF4A;TACC3;PTTG3P;SPC25"
"etoposide-5027","55/100",1.9058731399415e-38,5.81291307682158e-35,0,0,8.28313253012048,719.417338990415,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;BUB1B;KIF11;MKI67;KIF15;LMNB1;CDC20;PTTG1;NEK2;CEP55;DLGAP5;ZNF165;MATK;KIF23;CCNA2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;KIF20A;KIF20B;CDCA3;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;HIST1H3B;E2F8;STIL;SPAG5;UBE2C;PLK1;NDC80;TPX2;CENPE;KIF18A;CENPF;XK;PER3;UBE2S;PRC1;KIF4A;TACC3;CDKN3"
"etoposide-3241","49/100",3.01118373857619e-31,6.12274026843826e-28,0,0,7.37951807228916,518.616329220481,"DAGLA;HJURP;KIF14;BUB1B;KIF11;BRCA2;LMNB1;CDC20;CEP55;DLGAP5;ZNF165;KIF23;CCNA2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;DEPDC1;KIF2C;KIF20A;DTL;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;CCNB1;BCL11B;UBE2C;PLK1;NDC80;LOC730101;TPX2;CENPE;MYO1E;KIF18A;CENPF;KIF18B;UBE2S;CENPI;PRC1;KIF4A;TACC3;MXD3;CDKN3"
"resveratrol-958","47/100",5.47033590769544e-29,8.34226225923554e-26,0,0,7.07831325301205,460.625677807245,"ARHGAP11A;ERCC6L;CDCA3;TROAP;SUV39H1;HJURP;ARHGAP19;KIF14;BUB1B;CDCA8;TTK;KIF11;MKI67;CENPA;C1ORF112;KIF15;LMNB1;CDC20;CCNB1;P2RY6;RACGAP1;AP1S1;FBXO5;GTSE1;DLGAP5;E2F8;ZNF165;ATAD5;UBE2C;TMOD3;PLK1;CKAP2;KIF23;NDC80;CCNA2;ASPM;CENPE;KIF18A;CENPF;PSRC1;KIFC1;CENPI;DEPDC1;TACC3;KIF20B;ZNF552;SPC25"
"methotrexate-5000","46/100",6.939432551221e-28,8.46610771248962e-25,0,0,6.92771084337349,433.225524019596,"TOP2A;ARHGAP11A;GPSM2;DENND1B;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;TTK;HMMR;KIF11;LMNB1;AURKA;CDC20;AKAP12;CCNB1;ZNF668;ECT2;DLGAP5;ZNF165;STIL;ELOVL4;UBE2C;PLK1;GINS4;CKAP2;COBL;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;PSRC1;DBF4;UBE2S;PRC1;PGP;DEPDC1;TACC3;TXNIP;KIF20A;EXOC5"
"ciclopirox-3317","42/100",1.196419304165e-23,1.21635962590108e-20,0,0,6.32530120481928,333.850181649459,"TOP2A;ARHGAP11A;ERCC6L;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;CENPA;NCAPH;AURKB;AURKA;CDC20;CCNB1;RACGAP1;NUSAP1;DLGAP5;RNF43;ZNF165;UBE2C;PLK1;SEMA4C;PLEKHA6;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;KIF18B;PSRC1;PRC1;KIF4A;DEPDC1;CKS2;ECHDC3;KIF20A"
"resveratrol-841","41/100",1.23727558536395e-22,1.07819729581716e-19,0,0,6.17469879518072,311.476260221772,"IPPK;ERCC6L;CDCA3;TROAP;CCNF;HJURP;ARHGAP19;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CENPA;CDC20;CCNB1;P2RY6;RACGAP1;P2RY2;DLEU2;GTSE1;DLGAP5;E2F8;SEMA4A;UBE2C;PLK1;KIF23;NDC80;ASPM;CENPE;CENPF;KIF18B;PSRC1;KIFC1;CDK1;DEPDC1;TACC3;KIF20A;FKBP5;SPC25"
"ciclopirox-5023","40/100",1.22749974784736e-21,9.35968557733611e-19,0,0,6.02409638554217,290.056069744627,"TOP2A;ARHGAP11A;ERCC6L;CDCA3;TROAP;CCNF;HJURP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;CENPA;AURKB;AURKA;CDC20;CCNB1;DLGAP5;ZNF165;FZD2;UBE2C;PLK1;KIF23;NDC80;OVOL2;CIT;ASPM;CENPE;KIF18A;KIF18B;PSRC1;DBF4;ESPL1;UBE2S;PRC1;DEPDC1;CKS2;ECHDC3;KIF20A"
"monobenzone-5312","40/100",1.22749974784736e-21,8.31972051318765e-19,0,0,6.02409638554217,290.056069744627,"TOP2A;ARHGAP11A;CDCA3;TROAP;KIF14;TTK;HMMR;KIF11;CENPA;AURKB;LMNB1;AURKA;CDC20;CCNB2;CCNB1;PTTG1;RACGAP1;DHRS7B;NUSAP1;ECT2;DLGAP5;STIL;UBE2C;PLK1;CKAP2;KIF23;C9ORF40;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;PSRC1;UBE2S;DEPDC1;CKS2;TACC3;KIF20A;KIF20B"
"methotrexate-5419","39/100",1.16793604420804e-20,7.12440986966905e-18,0,0,5.87349397590361,269.572603254844,"TOP2A;TROAP;CCNF;HJURP;KIF14;CDCA8;HMMR;MKI67;CDC20;AKAP12;CCNB1;LBR;DLGAP5;ZNF165;BCL11B;UBE2C;PLK1;RHBDF2;MATK;VASH2;KIF23;SYNGR3;C9ORF40;TPX2;ASPM;CENPE;PSRC1;ESPL1;UBE2S;REEP4;KIFC1;DEPDC1;CKS2;TACC3;TXNIP;KIF20A;PTTG3P;GPR19;CDKN3"
