"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"phenylpropanolamine-3217","26/100",1.1019374138304e-09,6.72181822436545e-06,0,0,3.91566265060241,80.7652249922036,"MS4A3;SLC43A3;GMFG;SHMT1;LST1;ITGB2;LPL;CXCR4;SAMSN1;TRPM2;THBD;ALOX5;SLC38A7;FCGR1B;ELANE;LAIR1;RALGAPA1;RNASE3;IPCEF1;RNASE2;MS4A6A;CD4;TYROBP;HCLS1;MNDA;ARHGEF6"
"physostigmine-1776","22/100",5.04852168529338e-07,0.00153979911401448,0,0,3.31325301204819,48.0388560383227,"SMAD3;HSPB6;DST;ITSN1;SH2D1A;TNK1;ARHGEF16;CARD9;PSEN2;HTRA1;FANCA;CLTA;CACYBP;CSF2RA;CLCN7;CD79A;CHAF1A;CLTCL1;AP1S1;NUCB1;HLA-DOA;SNTA1"
"hycanthone-1614","21/100",2.03626928250995e-06,0.00414041420777024,0,0,3.16265060240964,41.444610746475,"PPP1R16B;HELLS;FZD2;TAF12;FANCA;BRCA2;TRAIP;DHFR;RECQL4;DBF4;CCNE2;TST;TUBB3;CHEK1;CDK1;BMP2K;PECAM1;E2F1;LCP2;CCHCR1;PTMA"
"tetrandrine-7178","20/100",7.75068027400703e-06,0.0118197874178607,0,0,3.01204819277108,35.4449697022891,"DUSP4;CITED2;CSE1L;CYP51A1;LTBP2;TMEM97;HMGCR;PRLR;SQLE;RPS6KA5;DUSP10;TFDP2;SCD;SLCO4C1;TIMM17A;HMOX1;MVD;GBP1;TJP3;APOBEC3B"
"trichostatin A-1785","20/100",7.75068027400703e-06,0.00945582993428857,0,0,3.01204819277108,35.4449697022891,"MIPEP;GPSM2;FZD2;SH2D1A;PLA2G4A;F11R;GATA2;KIR2DL4;CLCN7;HMGN5;SPR;TFDP2;TCN1;TFEC;CALU;GPR107;MPV17;HLA-DOA;SLC37A4;PFKM"
"benfotiamine-2177","20/100",7.75068027400703e-06,0.00787985827857381,0,0,3.01204819277108,35.4449697022891,"DOCK6;PLK3;FLT1;MYOF;PSEN2;F11R;PLD1;CDC42BPA;EFNA4;OVOL2;SOCS1;SIT1;TCN1;GJA4;REPS2;TK2;IGHA1;CPEB3;GAS6;SHANK2"
"5194442-6599","20/100",7.75068027400703e-06,0.00675416423877755,0,0,3.01204819277108,35.4449697022891,"GNAZ;CSF1;AUTS2;DST;NCAPH2;HLA-F;TYMS;CDC42BPA;HLA-G;RPS6KA5;MAFG;CASP3;DMC1;HMOX1;TNFSF9;GPR107;PLEKHO2;GCLM;SCAPER;ZNF365"
"monensin-2580","20/100",7.75068027400703e-06,0.00590989370893036,0,0,3.01204819277108,35.4449697022891,"STARD13;RGS13;LAMA4;HNF1B;TRAF1;CDC42BPA;PAPSS2;REC8;DAB2;TFDP2;PARD3;GJA4;SCNN1A;CTAGE9;COL8A1;SLAMF7;TIMP3;MMP19;MAPT;PDZRN4"
"midecamycin-6745","19/100",2.77911945118771e-05,0.01883625405805,0,0,2.86144578313253,30.0188306175839,"CD93;LMOD1;NRG1;CACYBP;PLD1;CCDC28B;COMMD4;RAB30;GNG3;CYTH4;PIK3IP1;RASSF4;GJA4;KIF13A;TNFSF10;VDAC3;MVD;KRAS;HLA-DOA"
"glipizide-2008","19/100",2.77911945118771e-05,0.016952628652245,0,0,2.86144578313253,30.0188306175839,"CAST;BLK;ABCA2;IGHM;LAD1;HGF;ITSN1;CACYBP;LILRB1;GABPB1;KIR2DL4;NPEPL1;TCN1;EPHA1;GTSE1;CYB561;APBA2;TP63;CD22"
"myosmine-2199","19/100",2.77911945118771e-05,0.01541148059295,0,0,2.86144578313253,30.0188306175839,"DOCK6;MSR1;STARD13;CNTNAP1;FBXO2;IGFBP3;NCAPH2;RHBDF2;FUT2;MS4A4A;IGLJ3;CLEC3B;CD6;CALD1;TCN1;GJA4;CAT;MMP19;EPS8L2"
"lithocholic acid-2571","19/100",2.77911945118771e-05,0.0141271905435375,0,0,2.86144578313253,30.0188306175839,"DUSP4;CD163;ST14;KLF12;ARG1;LTBP2;PBXIP1;CDC25C;SAMSN1;CSF2RA;REC8;CLCN4;TFDP2;ADORA3;TIMP2;MMP19;ZNF215;CD24;FKBP5"
"spectinomycin-3327","19/100",2.77911945118771e-05,0.01304048357865,0,0,2.86144578313253,30.0188306175839,"PLK4;C1QB;KLF12;HSPB6;LAMA4;MYOF;PRLR;ALDH3B2;ALCAM;CXCL12;GJA4;STMN1;COL5A2;C3AR1;TIMP3;ZNF589;VAMP5;SIGLEC7;APBA2"
"fenoterol-2378","19/100",2.77911945118771e-05,0.0121090204658893,0,0,2.86144578313253,30.0188306175839,"CD86;PPP1R16B;ST14;TNFAIP6;LPAR2;PBXIP1;CDC25C;CSF2RA;GNG11;PAPSS2;GNAO1;ARL4C;NPEPL1;GPR183;PECAM1;REPS2;KIF3C;SLC15A3;PLEC"
"tolnaftate-4805","18/100",9.36911475387161e-05,0.0381010666657445,0,0,2.71084337349398,25.1444462796443,"RFC3;FH;RRM1;HSPA4;STAT1;PSEN2;SLC1A4;CDC25C;ALDH3B2;SQLE;BRIP1;TFDP1;CALU;MCM4;ATM;EXOC5;MS4A1;VAMP3"
"lovastatin-4978","18/100",9.36911475387161e-05,0.0357197499991355,0,0,2.71084337349398,25.1444462796443,"GAMT;DUSP4;PLK3;SLC24A3;HSPB6;KCND3;CLTA;LMF2;LMNB1;CLCN7;DAB2;CD6;AP1S1;HMOX1;TNFSF9;NUCB1;HIST1H3B;ARHGEF6"
"Prestwick-675-3682","18/100",9.36911475387161e-05,0.0336185882344805,0,0,2.71084337349398,25.1444462796443,"CD93;PGAP3;F13A1;FLT3LG;CYBRD1;LDB2;GATA2;FMO5;BMP5;PIK3IP1;GAS2;LTA;TNFRSF8;DMD;HLA-DOA;PDLIM4;BUB1;HLA-DQB1"
"clonidine-1555","18/100",9.36911475387161e-05,0.0317508888881205,0,0,2.71084337349398,25.1444462796443,"CD86;PPP1R16B;ENTPD1;SMAD3;ANXA2;ARG1;RGS13;RGS16;ATP2A3;SLC2A3;GNG11;ARHGAP33;RECQL4;GPR183;PNOC;FKBP9;TIMP1;SIGLEC7"
"triamcinolone-1395","18/100",9.36911475387161e-05,0.0300797894729562,0,0,2.71084337349398,25.1444462796443,"CD163;ST14;SMAD3;TAF12;ITSN1;CXCR4;IKZF1;CD1D;MRPL12;SAMSN1;RECQL4;SMPD2;HADHA;CHAF1A;RASSF4;ADORA3;TXNIP;FKBP5"
"methylergometrine-1607","18/100",9.36911475387161e-05,0.0285757999993084,0,0,2.71084337349398,25.1444462796443,"CD86;PPP1R16B;DUSP4;GPSM2;CCL22;CDKN2C;ANXA2;CACNA2D3;SLC4A2;CDC25C;SAMSN1;GNG11;ARL4C;GPR183;PNOC;PECAM1;TK2;TIMP1"
"tetryzoline-6069","18/100",9.36911475387161e-05,0.027215047618389,0,0,2.71084337349398,25.1444462796443,"MSR1;LAMA2;KCND3;SH2D3A;CTSZ;LPL;RNASE2;RPH3A;ADAMTS5;IGLJ3;CLCN4;CD6;CALD1;FEZ1;SIGLEC1;HLA-DOA;BUB1;IGLV3-19"
"adenosine phosphate-1622","18/100",9.36911475387161e-05,0.0259779999993713,0,0,2.71084337349398,25.1444462796443,"CD86;PPP1R16B;ENTPD1;CDCA3;TAF12;RGS13;SLC2A3;CDC25C;RECQL4;CCNE2;TUBB3;KIFC1;SCD;CHEK1;PECAM1;TXNIP;EXOC5;CYB561"
"cefapirin-3471","18/100",9.36911475387161e-05,0.024848521738529,0,0,2.71084337349398,25.1444462796443,"DUSP4;RANBP1;SLC24A3;CSF1;PSEN2;ICA1;CACNA2D2;SLC1A4;ACVR1B;HPCAL4;ARL4C;ALDH3B2;RPS6KA5;GM2A;NT5DC3;PIM2;PTGDS;GAS6"
"salbutamol-2344","18/100",9.36911475387161e-05,0.0238131666660903,0,0,2.71084337349398,25.1444462796443,"CD86;PPP1R16B;TNFAIP6;PGAP3;IGFBP4;PBXIP1;LILRB1;F11R;CDC25C;CYP7B1;ARL4C;ESPL1;CENPI;PECAM1;ST3GAL6;TK2;CD24;MXD3"
"cyproheptadine-5340","18/100",9.36911475387161e-05,0.0228606399994467,0,0,2.71084337349398,25.1444462796443,"DUSP4;PLK3;SMAD3;EAF2;PLAUR;F11R;LMF2;LMNB1;IGLJ3;DUSP10;SLCO4C1;CALU;GAS2;HMOX1;PMAIP1;APOE;ZNF589;FKBP5"
"clofibrate-263","18/100",9.36911475387161e-05,0.0219813846148526,0,0,2.71084337349398,25.1444462796443,"SMAD3;KIR3DS1;HLF;GYPC;BCL11A;HDC;CARD9;DEF6;ADAMTS2;LCN2;IL21R;CHI3L1;ATM;PTGDS;CCL18;FCGR1B;SIGLEC7;KRT6B"
"meticrane-1834","18/100",9.36911475387161e-05,0.021167259258747,0,0,2.71084337349398,25.1444462796443,"CCL23;SH2D2A;H2AFX;ICA1;ENO1;CSF2RA;LSM4;PAPSS2;REC8;TRAIP;SMPD2;TBC1D2;SLCO4C1;ZNF668;SIL1;LBR;INA;HMGN1"
"colforsin-7055","17/100",0.000296347599027758,0.0488573068667385,0,0,2.56024096385542,20.7993399121678,"FH;IGFBP3;TMPRSS3;PLAUR;CXCR4;CACYBP;WDR62;PHKA2;EHD2;THBD;MYO1E;MCF2L;FLVCR2;PIM2;KIF3C;ZNF589;GALK1"
"2,6-dimethylpiperidine-3889","17/100",0.000296347599027758,0.0475715882649822,0,0,2.56024096385542,20.7993399121678,"PLK3;RARRES2;LIMK1;HAUS5;RNASE2;REC8;RPH3A;CLCN7;ADAMTS5;CD4;HMGN5;ADAP2;PTGDS;HIST1H3B;IGHA1;MS4A1;DYNC1I1"
"clomifene-1269","17/100",0.000296347599027758,0.0463518039504955,0,0,2.56024096385542,20.7993399121678,"SMAD3;CYBB;PLD1;AURKA;ARL4C;ASXL1;UAP1L1;VDAC3;AP1S1;NEK2;ZNF589;BCAT1;GTSE1;CYB561;SIGLEC7;ITM2B;KIR2DL5A"
"tribenoside-5429","17/100",0.000296347599027758,0.0451930088517331,0,0,2.56024096385542,20.7993399121678,"ENTPD1;AUTS2;RARRES2;IL18;HNF1B;DDX60;CCDC28B;LMF2;SLFN12;CNKSR1;DAB2;CLEC3B;CD6;CCRL2;GRB10;PLEKHO2;EPHA1"
"1,4-chrysenequinone-1773","17/100",0.000296347599027758,0.0440907403431543,0,0,2.56024096385542,20.7993399121678,"DDR1;STAT1;HSPA4L;GATA2;PBX1;LMF2;ARHGAP33;ARL4C;DNAJB1;SPR;TFEC;HMOX1;CLSPN;KIF3C;GCLM;PLCB2;APBA2"
"wortmannin-1243","17/100",0.000296347599027758,0.0430409608111744,0,0,2.56024096385542,20.7993399121678,"CDKN1C;GNAZ;COL18A1;ENTPD1;NNMT;SMARCD3;RALGAPA1;BCL11A;PBXIP1;BACH2;AKAP12;THBD;ELF3;TNFSF10;ZBED2;YPEL1;DSC2"
"gallamine triethiodide-2059","17/100",0.000296347599027758,0.0420400082341704,0,0,2.56024096385542,20.7993399121678,"SLC48A1;CSF1R;NNMT;FBXW7;RARRES2;RAB27B;HAUS5;PLD3;AURKA;CLCN7;MC3R;MCM4;EPS8L1;CENPO;IGHA1;CD68;IGKV3-20"
"cefotiam-2458","17/100",0.000296347599027758,0.0410845535015756,0,0,2.56024096385542,20.7993399121678,"PLK4;ABCA2;IGHM;KCND3;CRIM1;CDC25C;ACVR1B;CSF2RA;AURKA;RPH3A;PSMB2;EXOC5;PTGDS;MAP3K6;SIL1;BUB1;SIGLEC7"
"mifepristone-7183","17/100",0.000296347599027758,0.0401715634237628,0,0,2.56024096385542,20.7993399121678,"GAMT;USP7;PGAP3;STAT1;SORT1;SLC1A4;CDC25C;HLA-F;ELL2;WDR76;RPS6KA5;TFDP2;CASP3;TXNIP;PMAIP1;TK2;PTPRCAP"
"trazodone-2379","17/100",0.000296347599027758,0.0392982685667245,0,0,2.56024096385542,20.7993399121678,"DOCK6;SLC48A1;CCL23;SMAD3;CCL22;RBPMS;RARRES2;RHBDF2;LPAR2;IKZF1;GATA2;GSPT2;KIR2DL3;DAB2;CAT;SCARF1;PDLIM4"
"spiramycin-4319","17/100",0.000296347599027758,0.0384621351929644,0,0,2.56024096385542,20.7993399121678,"PLK4;CEBPA;CDKN2B;DUSP3;SORT1;DGKA;SLC1A1;PLD1;TBC1D2;SGCD;COL4A1;SCD;CLTCL1;CALU;B9D2;PLA1A;GPR19"
"ciclopirox-6677","17/100",0.000296347599027758,0.0376608407097776,0,0,2.56024096385542,20.7993399121678,"FLT1;KCND3;SLC43A3;BIK;IGFBP3;SLC1A1;CXCR4;RNASE2;NOL3;RASSF2;RAB20;ELF3;RASSF4;GRB10;TNFSF10;PDLIM4;LAIR1"
"beta-escin-2194","17/100",0.000296347599027758,0.0368922521238638,0,0,2.56024096385542,20.7993399121678,"FOXA1;PLK3;CD80;SOX13;DTX2;GATA2;FMO5;LMF2;PAPSS2;LMF1;SPIB;SIT1;CLDN7;SLAMF7;APOE;CPEB3;CD68"
"gliquidone-3126","17/100",0.000296347599027758,0.0361544070813865,0,0,2.56024096385542,20.7993399121678,"IL10;FLT1;CCL22;RHBDF2;CRIM1;LTBP2;MERTK;LSM4;IGHG1;SGCD;STMN1;CAT;SLCO4C1;AMPH;ACO2;ABCD1;GAS8"
"cytisine-5739","17/100",0.000296347599027758,0.0354454971386142,0,0,2.56024096385542,20.7993399121678,"CDKN1C;CD93;TNFAIP6;TNFRSF13B;ATAD5;SHMT1;ARHGEF16;FHL3;KIAA0040;COMMD4;GNAO1;THBD;CLCN4;MCF2L;UST;TNFRSF8;IGHA1"
"nabumetone-3108","17/100",0.000296347599027758,0.0347638529628716,0,0,2.56024096385542,20.7993399121678,"KLF12;KLRB1;TNK1;PBXIP1;KIR2DL1;CYP7B1;NOL3;LSM4;NPEPL1;KCNQ1;ALOX5;GJA4;SLAMF8;PTGDS;GAS6;PDLIM4;GAS8"
"isosorbide-2183","17/100",0.000296347599027758,0.0341079312088552,0,0,2.56024096385542,20.7993399121678,"STARD13;FLT1;LRRN3;NCAPH2;SLC35D2;LIMK1;NOL3;CDC42BPA;LMF2;TCN1;ADORA3;CLDN7;MMP19;B9D2;EPHB1;MS4A1;FKBP5"
"gliquidone-7301","17/100",0.000296347599027758,0.0334763028531357,0,0,2.56024096385542,20.7993399121678,"FLT1;KIR2DS1;RBPMS;ATAD5;LAMA4;TNK1;FLT3LG;WDR62;GATA2;PLD1;FA2H;SMPD2;IGLJ3;MTAP;MAP7;GPR107;MAPT"
"pentoxifylline-2127","17/100",0.000296347599027758,0.0328676428012605,0,0,2.56024096385542,20.7993399121678,"SLC48A1;PLK3;BTG2;RARRES2;ICA1;COBL;HNF1B;SAMSN1;AURKA;ALDH4A1;SMPD2;HOOK1;SCD;COL6A2;UAP1L1;PDLIM4;SLC29A2"
"11-deoxy-16,16-dimethylprostaglandin E2-7514","17/100",0.000296347599027758,0.0322807206083808,0,0,2.56024096385542,20.7993399121678,"CSF1R;RANBP1;VIPR1;LRRC23;TNFRSF13B;IGFBP3;MPP6;ADAP2;CYTH4;CD6;PIM2;CLSPN;APOE;PLEKHO2;CYB561;ZBED4;GALK1"
"captopril-4585","17/100",0.000296347599027758,0.0317143921766548,0,0,2.56024096385542,20.7993399121678,"CD52;CEBPA;NCF4;CTSZ;B3GAT1;HNF1B;CCDC28B;COMMD4;DKK3;FGF5;SGCD;TCOF1;CDK2;AP2S1;MCM4;AMPH;PTGDS"
