"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HS578T 24H-QL-X-138-10","114/230",1.85419575383621e-54,6.1412817562809e-50,0,0,5.11245151019127,632.523461811723,"IFITM2;SPARC;PLOD2;MSMO1;TMEM97;PLOD1;TXNDC15;LIPA;CLU;FADS2;GJA1;ALCAM;DPYSL3;TNFSF10;SKP2;TMEM14A;FADS1;TPM2;IGFBP3;WNT5A;TPM1;ATP1B1;PDIA5;PDIA4;RAB31;SLPI;TMX1;DDIT4;PSME1;HOXB2;KDELR3;PPIC;CFI;SLC1A4;PIK3R1;AEBP1;SEL1L3;PRDX4;PDGFD;SERPINH1;EIF4EBP1;PGK1;RSU1;CD99;IDH1;PYCR1;ASNS;DHCR24;NR2F2;LYZ;HOPX;MLLT11;BST2;SQLE;CXCL10;COL1A2;P4HA1;COL5A1;FASN;PIR;CPE;FXYD5;DHCR7;CD24;ADA;FKBP11;CTSZ;QPRT;VLDLR;ME1;TMED2;TMEM109;PHGDH;MYBL2;SRGN;HMGCS1;BGN;NME4;SLC39A14;DCN;VCAN;ASPH;TMSB15A;CD47;BLVRA;TMEM45A;PRPS1;PCNA;PON2;TYMS;FSTL1;CBS;NT5DC2;RANBP1;CYB5A;EGLN3;RRM2;LUM;BNIP3;CYP51A1;LAPTM5;SULF1;HNRNPAB;FKBP1A;COL3A1;FABP4;TSPAN13;SCD;PSAT1;MGP;ALOX5AP;APOC1;P4HB;NUCB2"
"LJP006 HS578T 24H-WYE-125132-1.11","71/135",1.70823302560253e-36,2.82891930204907e-32,0,0,5.42471300594044,446.766364634006,"SCARB1;CTSZ;TNFAIP3;PLOD2;MSMO1;TMEM97;SLC7A11;LMNB1;CCND3;HEY1;ALDH2;MYBL2;PHGDH;SKP2;SLC16A3;TMEM14A;FADS1;SRGN;ALG8;WARS;HMGCS1;WNT5A;SORD;NME4;PDIA4;ASPH;MTHFD2;DDIT4;MCM5;IDI1;PCNA;PON2;SLC1A4;TYMS;ACAT2;SEL1L3;CBS;EIF4EBP1;PGK1;METTL7A;GBP1;YARS;CYB5A;DUT;EGLN3;SDF2L1;RRM2;TMEM176B;BNIP3;EPHX1;AKR1C3;ASNS;PYCR1;DHCR24;LYZ;MANF;MLLT11;CXCL10;SQLE;GCLC;COL1A2;NAT1;SCD;PSAT1;MARS;CDK2;APOC1;PIR;GCLM;CD320;AARS"
"LJP006 HS578T 24H-QL-XII-47-3.33","78/175",1.83612454347457e-33,2.02714270014738e-29,0,0,4.59736241066824,346.538379057954,"GALNT12;CTSZ;QPRT;MSMO1;TMEM97;SLC7A11;EPRS;AQP3;LIPA;FADS2;PEG10;DPYSL3;STMN1;ME1;PHGDH;SKP2;TMEM14A;FADS1;HMGCS1;DAPK1;BGN;NME4;ACSL3;ATP1B1;PDIA5;PDIA4;ALDH3A2;VCAN;MTHFD2;CEACAM6;DDIT4;CAT;HCLS1;KDELR3;IDI1;MAGED1;INSIG1;PON2;CFI;GLRX;AEBP1;HMGCR;THBS2;ACAT2;SEL1L3;PDLIM1;RAB11FIP1;CBS;EIF4EBP1;LTA4H;LDLR;FDFT1;PCK2;FDPS;CYB5A;RRM2;IDH1;BNIP3;CYP51A1;AKR1C3;ASNS;PYCR1;DHCR24;ABCA8;LYZ;MLLT11;SQLE;FABP4;TSPAN13;SCD;FASN;NMU;MGP;MFAP2;PIR;S100P;DHCR7;NUCB2"
"LJP007 HA1E 24H-INK-128-0.12","77/178",5.86453695593692e-32,4.85598321293967e-28,0,0,4.46193161075731,320.874455003191,"FKBP11;CXCL9;SERPINA1;F13A1;PLOD2;MSMO1;ITGAE;CLU;AQP3;PNP;ALDH2;FAM162A;ME1;MIR22HG;PHGDH;MAN1A1;CD36;SLC16A3;FADS1;SRGN;CBR1;TMED9;TPM4;HMGCS1;IGFBP4;IGFBP3;IGFBP2;UCHL3;REXO2;RNASE1;DCN;SLC7A5;VCAN;SUB1;DDIT4;CD47;S100A9;PPIC;TMEM45A;C1QA;INSIG1;AK4;HIGD1A;NDRG1;PTGS1;PRDX4;RAB25;RDH11;STC2;PGK1;CCL2;CD14;PLTP;CYB5A;EGLN3;CADM1;GALNT2;BNIP3;EPHX1;CYP51A1;PYCR1;DHCR24;LYZ;MLLT11;SQLE;TSPAN13;COL5A1;P4HA1;SCD;PSAT1;ALOX5AP;LCN2;SRPRB;CPE;HLA-DRA;DEGS1;P4HB"
"LJP006 HEPG2 24H-QL-XII-47-1.11","85/219",5.72587180818738e-31,3.79293200317948e-27,0,0,4.00338168005445,278.776056030639,"GALNT12;SLC25A1;IFITM1;CLIC4;IFITM2;SERPINA1;PROS1;QPRT;MSMO1;TMEM97;LIPA;IFI44L;FCGRT;DPYSL2;STMN1;TNFSF10;PHGDH;MAN1A1;SKP2;TMEM14A;MME;HMGCS1;DAPK1;DCXR;WNT5A;TPM1;KAZN;TBC1D9;RNASE4;NME4;DNTT;OLFM4;SLC39A14;NIPSNAP1;DCN;PDIA4;TGFBR3;TMSB15A;DDIT4;CAT;PSME1;S100A4;MCM5;KDELR3;PAFAH1B3;MAGED1;IGSF1;CFI;HSD17B4;GDPD5;TYMS;THBS2;ACAT2;SULT1A1;SELENBP1;C5;EBP;ERBB3;CAMK2N1;CBS;EIF4EBP1;METTL7A;FDFT1;FDPS;CYB5A;CDKN2C;CADM1;IDH1;IFI44;HMGA2;DHCR24;ABCA8;LYZ;NELL2;GLUD1;COL3A1;COL1A2;SCD;PSAT1;CCNG1;ALOX5AP;DHCR7;P4HB;NUCB2;ITM2C"
"LJP007 HA1E 24H-INK-128-3.33","67/144",2.59966193949287e-30,1.43505671829906e-26,0,0,4.79915191106527,326.92864894754,"CXCL9;CTSZ;KRT23;PLOD2;MSMO1;CXCL1;PNP;FAM162A;ARHGDIB;MIR22HG;PHGDH;MAN1A1;PHLDA2;PTGDS;SKP2;SLC16A3;GLUL;KLF10;TMED9;HMGCS1;IGFBP3;TPM1;IGFBP2;RNASE1;DDIT4;VDAC1;KDELR3;S100A9;PPIC;IDI1;ANP32A;INSIG1;PON2;AK4;NDRG1;ACAT2;SEL1L3;DNAJB1;RAB25;RDH11;PGK1;CCL2;PLTP;JUN;EGLN3;CADM1;BNIP3;CYP51A1;SPAG4;MICAL2;PYCR1;G0S2;DHCR24;LYZ;MLLT11;CXCL10;SQLE;TSPAN13;NAT1;P4HA1;SCD;ALOX5AP;CPE;GRB2;DHCR7;P4HB;EIF4G1"
"LJP006 HA1E 24H-QL-XII-47-1.11","75/178",3.05740390121682e-30,1.44663249446003e-26,0,0,4.34603728320517,295.356635669865,"SPARC;CTSZ;QPRT;PLOD2;MSMO1;PLOD1;VLDLR;LIPA;LITAF;MYLK;COMP;FADS2;ALCAM;DPYSL2;PEG10;ANPEP;STMN1;TNFSF10;RAC2;CYP1B1;IDS;TIMP3;PHGDH;TMEM14A;CTSB;BNIP3L;ST6GAL1;HMGCS1;DAPK1;MMP2;TPM1;FNDC3B;SORD;WIPI1;ACSL3;ATP1B1;SLC39A14;PDIA4;TGFBR2;DDIT4;KDELR3;CD47;TMEM45A;IDI1;MAGED1;INSIG1;RRBP1;AEBP1;HMGCR;THBS2;RAB11FIP1;NT5DC2;SERPINH1;PGK1;CCL2;LDLR;FDFT1;IL32;FDPS;GALNT2;CYP51A1;FN1;ASNS;DHCR24;SOD2;ACSF2;COL1A1;SQLE;COL5A1;SCD;BHLHE40;MFAP2;CCNG1;DHCR7;ITM2C"
"LJP006 HA1E 24H-QL-X-138-3.33","80/201",4.16121910385703e-30,1.72279672423561e-26,0,0,4.10531150333941,277.731485757056,"FKBP11;SCARB1;CTSZ;QPRT;TNFAIP3;PLOD2;MSMO1;CXCL1;PLOD1;AQP3;LIPA;ETS2;TMEM100;FADS2;HHEX;PEG10;ME1;PHGDH;PHLDA2;SLC16A3;FADS1;CPA3;SRGN;HMGCS1;IGFBP3;SORD;TBC1D9;ACSL3;SLC39A14;PDIA4;SLC7A5;SOAT1;OAS1;ASPH;SUB1;DDIT4;KDELR3;CRELD2;RIN2;IDI1;PFKFB3;SDC4;INSIG1;RRBP1;HMGCR;ACAT2;PTGS1;EBP;RAB11FIP1;G3BP2;PGK1;NDN;SPOCK1;CCL2;RSU1;LDLR;FDFT1;IL32;EGLN3;GALNT2;BNIP3;CYP51A1;EAF2;FN1;PYCR1;ASNS;DHCR24;KLF4;MLLT11;SQLE;CXCL10;P4HA1;COL5A1;NAT1;SCD;PSAT1;PIR;HYOU1;DHCR7;CD24"
"LJP005 HS578T 24H-LDN-193189-10","66/141",4.49894563084373e-30,1.65566198043528e-26,0,0,4.82810836908694,326.253193452344,"CLIC4;SPARC;PLOD3;YBX1;CAPZB;PHGDH;AP2M1;TMED9;HSP90AA1;IGFBP4;TPM1;RHOC;RNASE1;CDC25B;BACE2;VCAN;COL4A1;EEF1D;CEACAM6;MAP1B;COL6A2;COL6A3;NBL1;C1QB;C1QA;PCNA;SDC4;MAGED1;RPN1;UQCR10;TYMS;FSTL1;PSMA7;GNAI2;PRDX4;PDLIM2;PSMB2;CBS;EIF4EBP1;PACSIN2;IGFBP7;IGFBP6;CD14;CD99;HLA-DQA1;YARS;VAT1;NDUFA6;LAPTM5;ASNS;PYCR1;LSM5;SULF1;COL1A1;COL3A1;COL1A2;COL5A1;AXL;EIF3L;MAFF;RAB13;PMP22;STUB1;TGFBI;FXYD5;P4HB"
"LJP006 HA1E 24H-WYE-125132-3.33","59/114",4.89802539557564e-30,1.62227499126861e-26,0,0,5.33825538575681,360.272026468578,"FKBP11;SCARB1;MS4A3;QPRT;PLOD2;MT1X;MSMO1;VLDLR;SNX11;FAM162A;ME1;MIR22HG;PHGDH;PTGDS;SLC16A3;TMED9;HMGCS1;IGFBP3;IGFBP2;SLC39A14;SLC7A5;SLPI;DDIT4;VDAC1;KDELR3;CRELD2;MT1E;IDI1;INSIG1;CFI;AK4;HMGCR;ACAT2;PGK1;CCL2;MGAT2;LDLR;S100A10;FDFT1;CYB5A;BNIP3;EPHX1;ASNS;PYCR1;DHCR24;MLLT11;BST2;SQLE;TSPAN13;COL5A1;NAT1;P4HA1;SCD;SRPRB;SDC1;HYOU1;DHCR7;GCLM;CD24"
