"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HME1 24H-palbociclib-10","177/215",2.36497880197249e-142,7.83304629001308e-138,0,0,8.47406910914553,2763.44744300596,"ZWILCH;DSCC1;CCNF;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;PEG10;STMN1;NUSAP1;RCC1;KNTC1;NEK2;OIP5;CCDC99;FBXO5;SKP2;KPNA2;HADH;GTSE1;TMPO;TMEM194A;BORA;LIG1;CDC25C;CDC25A;IGL@;MSH6;NEIL3;MELK;CCNE2;MSH2;HAT1;TIMELESS;FAM64A;DNA2;KIF20A;KIF20B;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;CCNB1;RACGAP1;RAD21;ECT2;PLK4;BARD1;FANCI;CDT1;UBE2C;MCAM;PLK1;GGH;CDC7;CDC6;ZWINT;FANCG;NDC80;DHFR;GGCT;TPX2;POLA2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;ANP32E;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;PSIP1;MCM10;KIF11;BRCA1;FOXM1;LMNB2;KIF15;CKS1B;LMNB1;EXO1;PBK;PDE4B;MYBL2;TK1;WHSC1;CEP55;DLGAP5;RFC5;RFC3;RFC4;RMI1;H2AFX;CKAP2;H2AFV;KIF23;KIF22;SMC1A;CIT;CCNA2;ASPM;C12ORF48;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;CKS2;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;LTF;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;RANBP1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPE;CENPF;WEE1;RAD51;KIAA0101;PRC1;RPA3;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP005 A549 24H-dovitinib-10","174/215",2.14562235085462e-137,3.55325789413279e-133,0,0,8.33044081916001,2621.51248668902,"ERCC6L;DSCC1;CCNF;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;RGS4;EFEMP1;PTTG1;CHEK2;CHEK1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;CCDC99;FBXO5;SKP2;KPNA2;GTSE1;TMPO;WDHD1;IGFBP4;VRK1;CDC25A;IGL@;MSH6;NEIL3;MSH2;TIMELESS;FAM64A;DNA2;KIF20A;KIF20B;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;LPL;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;BRIP1;ORC6;RACGAP1;ECT2;ELANE;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;GGH;CDC7;CDC6;ZWINT;LSM3;NDC80;DHFR;TPX2;POLA2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;ANP32E;CDK1;APOBEC3B;TOP2A;ARHGAP11A;FEN1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;MCM10;KIF11;BRCA1;FOXM1;PFAS;LMNB2;KIF15;CKS1B;LMNB1;CHAF1A;EXO1;PBK;PDE4B;MYBL2;TK1;WHSC1;TOPBP1;POLE;CEP55;DLGAP5;RFC3;RFC4;RFC2;H2AFX;H2AFV;CACYBP;KIF23;KIF22;TUBG1;CIT;CCNA2;ASPM;C12ORF48;RBL1;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;CKS2;MCM3;BIRC5;MCM4;KIF2C;MCM5;DNAJC9;MCM6;DTL;MCM2;LTF;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;USP1;BUB1;E2F8;GINS1;GINS2;POLQ;RRM1;RRM2;SPAG5;GINS3;ATAD2;TPRKB;SHCBP1;CENPE;CENPF;RAD51;KIAA0101;PRC1;RFWD3;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 PC3 24H-NVP-TAE684-10","158/186",2.57023770834559e-131,2.83762810460381e-127,0,0,8.74382260001439,2629.22066582898,"ZWILCH;DSCC1;CCNF;HJURP;NUDT1;BUB1B;MKI67;SMC2;EFEMP1;SNRPD1;CHEK2;STMN1;NUSAP1;RCC1;KNTC1;NEK2;OIP5;FBXO5;SKP2;GTSE1;TMPO;WDHD1;TIPIN;LIG1;IGFBP3;VRK1;WDR76;NEIL3;MELK;MSH2;MTHFD1;CCNE2;TIMELESS;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;NCAPG;CDCA8;NCAPH;SKA1;RAD51AP1;ORC6;RACGAP1;ORC1;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;CDC7;NETO2;CDC6;FANCG;NDC80;ZWINT;DHFR;TPX2;KIF18A;LSM6;KIF18B;UBE2S;CDK4;CDK2;ANP32E;CDK1;EZH2;TOP2A;FEN1;HSP90AB1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;MCM10;KIF11;BRCA1;FOXM1;LMNB2;CKS1B;KIF15;LMNB1;CHAF1A;EXO1;PBK;MYBL2;WHSC1;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;RMI1;KIF23;CACYBP;UCHL5;CCNA2;ASPM;PSRC1;DBF4;ESPL1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;HSPD1;PSMC3IP;CDC45;POLD1;USP1;PDSS1;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;GINS3;GINS4;ATAD2;DONSON;SHCBP1;CENPE;CENPF;MIS18A;RAD51;PSMC3;KIAA0101;PRC1;POLE2;RFWD3;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 HME1 24H-palbociclib-3.33","156/183",3.81411739891603e-130,3.15818455923744e-126,0,0,8.77466820785839,2614.82789765305,"DSCC1;CCNF;GMNN;HJURP;NUDT1;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;CCDC99;FBXO5;KPNA2;GTSE1;TMPO;TMEM194A;LIG1;VRK1;CDC25C;CDC25A;IGL@;NEIL3;MELK;CCNE2;TIMELESS;FAM64A;KIF20A;KIF20B;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;RAD21;MAP7;MYH11;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;CDC7;CDC6;FANCG;NDC80;ZWINT;DHFR;GGCT;TPX2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;ANP32E;CDK1;CD24;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;MLF1IP;NCAPG2;KIF14;HMGB2;MCM10;KIF11;BRCA1;FOXM1;LMNB2;CKS1B;KIF15;LMNB1;EXO1;PBK;MYBL2;WHSC1;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RMI1;H2AFX;CKAP2;H2AFV;KIF23;KIF22;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;MCM3;CKS2;BIRC5;MCM4;MCM5;DNAJC9;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;KIAA0101;PRC1;POLE2;RPA3;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 HCC515 24H-PHA-793887-3.33","152/186",3.97716661206914e-121,2.63455470716684e-117,0,0,8.41177870381131,2332.01613966539,"DSCC1;CCNF;HJURP;BUB1B;CCP110;MKI67;SMC4;SMC2;CDC20;SMCHD1;PTTG1;STMN1;NUSAP1;NEK2;OIP5;CCDC99;FBXO5;KPNA2;GTSE1;TMPO;LIG1;VRK1;CDC25A;IGL@;NEIL3;MELK;CCNE2;MTHFD2;TIMELESS;FAM64A;KIF20A;ASF1B;RNASEH2A;PAXIP1;CDCA3;CDCA4;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;RACGAP1;ELANE;PLK4;FANCI;BARD1;CDT1;SIVA1;PLK1;NETO2;CDC6;NDC80;ZWINT;DHFR;TPX2;POLA2;KIF18B;NASP;UBE2S;KIF4A;ANP32E;CDK1;EZH2;APOBEC3B;TOP2A;IGHM;FEN1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;HMGB3;MCM10;KIF11;BRCA1;FOXM1;LMNB2;CKS1B;KIF15;LMNB1;CHAF1A;EXO1;PBK;MYBL2;WHSC1;TK1;POLE;CEP55;DLGAP5;HELLS;RFC4;RMI1;TUBB;H2AFX;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;MCM3;CKS2;BIRC5;MCM4;MCM5;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;RRM2;SPAG5;GINS3;ATAD2;DONSON;HNRNPAB;SHCBP1;CENPE;CENPF;WEE1;RAD51;KIAA0101;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 A375 24H-mitoxantrone-0.12","166/222",1.04132940886693e-120,5.74831189184693e-117,0,0,7.6968373417164,2126.40304328573,"ERCC6L;DSCC1;CCNF;GMNN;HJURP;BUB1B;TMEM97;MKI67;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;SEPHS1;SKP2;KPNA2;HADH;GTSE1;TMPO;VRK1;CDC25C;WDR76;CDC25A;MSH6;NEIL3;MELK;CCNE2;MSH2;TIMELESS;FAM64A;KIF20A;SLC27A2;SNRPA;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;CDT1;STIL;UBE2C;MCAM;PLK1;CDC7;NETO2;CDC6;ZWINT;FANCG;NDC80;DHFR;TPX2;KIF18B;UBE2S;KIF4A;PXMP2;ANP32E;CDK1;APOBEC3B;TOP2A;ARHGAP11A;GPSM2;FEN1;MCM7;MLF1IP;NCAPG2;KIF14;HMGB2;HMGB3;MCM10;KIF11;BRCA1;FOXM1;LMNB2;KIF15;CKS1B;LMNB1;CHAF1B;EXO1;PBK;MYBL2;TK1;WHSC1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;TUBB;H2AFX;CKAP2;H2AFV;KIF23;TUBG1;CIT;CCNA2;ASPM;VCAN;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;IGHD;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;UNG;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;NQO1;GINS2;RRM2;SPAG5;GINS3;ATAD2;RPA1;DONSON;SHCBP1;CENPE;NUDT21;CENPF;MIS18A;RAD51;KIAA0101;CENPI;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;PLP2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP005 A549 24H-torin-2-0.12","149/180",2.30877652848984e-120,1.09241410571589e-116,0,0,8.52061531423343,2347.20366666923,"DSCC1;CCNF;HJURP;NUDT1;TMEM97;MKI67;SMC4;SMC2;CDC20;PEG10;NUSAP1;NEK2;OIP5;STRA13;CCDC99;FBXO5;KPNA2;SKP2;GTSE1;TMPO;WDHD1;TIPIN;TMEM194A;LIG1;VRK1;CDC25A;IGL@;NEIL3;HAT1;TIMELESS;FAM64A;DNA2;KIF20A;SNRNP25;ASF1B;BLM;RNASEH2A;CDCA3;CDCA4;NCAPG;CDCA8;HMMR;NCAPH;SKA1;RAD51AP1;CCNB2;BRIP1;ORC6;RACGAP1;NUP85;PLK4;FANCI;STIL;SIVA1;UBE2C;MCAM;PLK1;CDC7;CDC6;NDC80;ZWINT;DHFR;TPX2;POLA2;KIF18B;KIF4A;CDK2;ANP32E;CDK1;GCLM;EZH2;TOP2A;FEN1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;MCM10;KIF11;BRCA1;FOXM1;ATP5G1;CKS1B;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;HELLS;RFC3;RFC4;RFC2;H2AFV;KIF23;TUBG1;CIT;CCNA2;ASPM;RAD51C;DBF4;ESPL1;DEPDC1;MCM3;BIRC5;MCM4;MCM5;MCM6;DTL;ITGB3BP;MCM2;LTF;MYCBP;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;RAD54L;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;GINS4;ATAD2;SHCBP1;RAD51;KIAA0101;PRC1;POLE2;RPA3;TACC3;CENPN;NCAPD3;TRIP13;POLR3K;MAD2L1;CDKN3;SPC25"
"LJP006 HT29 24H-palbociclib-0.37","154/195",2.13247573298899e-118,8.82871609404106e-115,0,0,8.12911569473587,2202.56566674838,"DSCC1;CCNF;GMNN;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;PTTG1;PEG10;CHEK1;STMN1;NUSAP1;NEK2;OIP5;CCDC99;FBXO5;SKP2;KPNA2;GTSE1;TMPO;TMEM194A;WDR76;CDC25A;NEIL3;MELK;CCNE2;MSH2;TIMELESS;FAM64A;DNA2;KIF20A;ASF1B;CDCA3;CDCA4;TROAP;NCAPG;CDCA8;HMMR;NCAPH;SKA1;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;BARD1;FANCI;CDT1;UBE2C;PLK1;CDC7;NETO2;CDC6;ZWINT;FANCG;NDC80;DHFR;TPX2;KIF18A;KIF18B;UBE2S;KIF4A;NMU;ANP32E;CDK1;CD24;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;MLF1IP;NCAPG2;KIF14;HMGB2;PSIP1;HMGB3;MCM10;KIF11;BRCA1;FOXM1;LMNB2;KIF15;CKS1B;LMNB1;EXO1;PBK;MYBL2;TK1;WHSC1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;H2AFX;H2AFV;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;C20ORF103;CDC45;USP1;BUB1;E2F8;GINS1;RANBP1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;KIAA0101;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;PLP2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 HS578T 24H-palbociclib-1.11","137/156",4.38242866818877e-118,1.61278244354534e-114,0,0,9.03968222547739,2442.77016733056,"DSCC1;CCNF;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;CCDC99;FBXO5;GTSE1;TMPO;TMEM194A;LIG1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;SLBP;DNMT1;RNASEH2A;CDCA3;CDCA4;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC6;FANCG;NDC80;ZWINT;DHFR;TPX2;POLA2;KIF18B;UBE2S;KIF4A;CDK2;CDK1;ITM2A;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;MLF1IP;SUV39H1;NCAPG2;KIF14;HMGB2;MCM10;KIF11;BRCA1;FOXM1;KIF15;LMNB1;EXO1;KYNU;PBK;MYBL2;WHSC1;TK1;CEP55;DLGAP5;RFC3;RFC4;RFC2;H2AFX;H2AFV;KIF23;CCNA2;ASPM;DBF4;ESPL1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;POLD1;USP1;BUB1;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPF;RAD51;KIAA0101;PRC1;POLE2;TACC3;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 A375 24H-palbociclib-10","136/154",5.69693895115802e-118,1.88688315001305e-114,0,0,9.09024069085829,2454.04784593108,"CCNF;GMNN;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;LIG1;CDC25C;CDC25A;MSH6;NEIL3;MSH2;CCNE2;TIMELESS;FAM64A;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;BRIP1;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC7;CDC6;NDC80;ZWINT;DHFR;TPX2;KIF18B;KIF4A;ANP32E;CDK1;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;MLF1IP;NCAPG2;KIF14;HMGB2;MCM10;KIF11;FOXM1;LMNB2;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC2;H2AFX;CKAP2;H2AFV;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;GINS3;ATAD2;SHCBP1;CENPE;CENPF;RAD51;KIAA0101;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;MAD2L1;CDKN3;SPC25"
