"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HCC515 24H-CGP-60474-10","66/221",2.85104285094892e-17,9.44436454805338e-13,0,0,3.07403534674886,117.109255170628,"CDKN1C;CD86;PLVAP;ECM2;HEXB;AQP9;ITGB2;F13A1;LDB2;CYR61;CTGF;RGS5;DACH1;FCGR3B;GM2A;TRBC1;STAB1;TIMP3;CD36;PTGDS;FCER1G;VWF;BGN;CYBB;ETV1;TYROBP;CEACAM6;LCK;COL4A3;PECAM1;HCLS1;ANGPTL2;VDAC1;RHOQ;SHANK2;PCOLCE2;IDUA;COX17;NDUFB2;THY1;AIF1;HLA-DMB;FRZB;CALD1;CCL5;CCL4;GPR116;CCL18;FCGR1B;JAM2;EGR2;TMEM176B;SH2D1A;PDE2A;NAP1L3;PHKB;SULF1;PLXDC1;GPR137B;FABP4;REEP5;COL5A2;ALOX5AP;ITGBL1;TEK;FBN1"
"LJP006 HA1E 24H-AT-7519-10","62/222",8.55072452151833e-15,1.41625650249908e-10,0,0,2.87472238064106,93.120193224186,"COL18A1;PCSK1;ADAMDEC1;SPON1;CD84;PLVAP;FLT1;NCF2;CLEC10A;AQP9;F13A1;TREM2;CXCL13;FRY;AQP1;RGS5;GM2A;TRBC1;TIMP3;VSIG4;TPSAB1;CCR5;PCOLCE;DKK3;TYROBP;COL6A2;SERPING1;HCLS1;ANGPTL2;XCL1;CFB;C1QB;C1QA;CSF1R;IGSF6;RGS16;HTRA1;CXCR4;GLT8D2;DPT;FPR3;THBS2;AIF1;FAM149A;PLD3;CECR1;CCL8;CCL5;CEP70;CCL4;SLAMF8;CD14;FCGR1B;P2RY13;NQO1;RARRES2;LAPTM5;SULF1;PTPRC;NMU;COL5A2;ITM2A"
"LJP006 HA1E 24H-alvocidib-10","60/212",1.19907145833087e-14,1.32401470428894e-10,0,0,2.91321531574399,93.3820793444476,"ADAMDEC1;CD84;PLVAP;FLT1;NCF2;F13A1;TREM2;LDB2;AQP1;MS4A4A;RGS5;GJA1;GM2A;RGS1;TIMP3;VSIG4;TPSAB1;CLIC2;MEF2C;CD300A;CYBB;PCOLCE;DKK3;TYROBP;COL6A2;SIDT1;SERPING1;ANGPTL2;LPPR4;C1QB;C1QA;IGSF6;PCOLCE2;RGS16;HTRA1;CXCR4;DPT;FPR3;THY1;THBS2;PLD3;CECR1;CCL8;CCL5;CCL4;SLAMF8;APOE;CCL18;FCGR1B;MSR1;P2RY13;BCL11A;RARRES2;LAPTM5;SULF1;PTPRC;NMU;COL5A2;APOC1;ITM2A"
"LJP006 HA1E 24H-BMS-387032-10","64/236",1.45524399153297e-14,1.20516031158803e-10,0,0,2.79141987316486,88.9374780528496,"ADAMDEC1;SPON1;PLVAP;FLT1;NCF2;AQP9;TREM2;LDB2;AQP1;MS4A4A;GM2A;OLR1;ACP5;VSIG4;CLIC2;PPP1R16B;CYBB;PCOLCE;KMO;DKK3;IGL@;TYROBP;COL6A2;SERPING1;HCLS1;ANGPTL2;ZFPM2;OPTN;CFB;C1QB;C1QA;IGSF6;RGS16;CXCR4;GLT8D2;SLC1A3;FPR3;THBS2;PLA2G7;PLD3;C2;CCL8;FRZB;CLEC7A;CCL5;CCL4;SLAMF8;APOE;CCL18;MUC4;FCGR1B;MSR1;P2RY14;RARRES2;LAPTM5;SULF1;SOD3;CXCL11;P2RX5;FABP4;PTPRC;NMU;COL5A2;ITM2A"
"LJP006 HA1E 24H-CGP-60474-0.04","61/220",2.01540473638543e-14,1.33524594595008e-10,0,0,2.85406821690918,90.0041008357486,"COL18A1;PCSK1;CD84;PLVAP;TPSB2;FLT1;NCF2;F13A1;TREM2;FRY;AQP1;RGS5;RGS1;TIMP3;VSIG4;TPSAB1;FCER1G;PCOLCE;DKK3;TYROBP;COL6A2;CDH11;SERPING1;HCLS1;ANGPTL2;PRKCQ;LPPR4;C1QB;C1QA;CSF1R;IGSF6;PCOLCE2;RGS16;HTRA1;CXCR4;DPT;FPR3;CCL8;FRZB;PERP;CEP70;MAP7;GPR116;APOE;SLC15A3;FCGR1B;MSR1;P2RY13;CD163;BCL11A;RARRES2;LAPTM5;SULF1;CD4;P2RX5;FABP4;PTPRC;NMU;COL5A2;APOC1;ITM2A"
"LJP006 HA1E 24H-alvocidib-0.37","58/204",2.66183570996626e-14,1.46959949547237e-10,0,0,2.92654375182909,91.4754910758422,"MOXD1;ADAMDEC1;PLVAP;FLT1;NCF2;AQP9;F13A1;TREM2;CXCL13;AQP1;RGS5;GJA1;STS;HMGN5;RGS1;C3AR1;TIMP3;VSIG4;CLIC2;MEF2C;FCER1G;CD300A;CYBB;DKK3;TYROBP;CDH11;SERPING1;HCLS1;ANGPTL2;XCL1;LTB;C1QB;C1QA;CSF1R;IGSF6;PCOLCE2;RGS16;HTRA1;CXCR4;DPT;FPR3;CCL8;CLEC7A;CCL5;CCL4;SLAMF8;GPR116;APOE;FCGR1B;MSR1;BCL11A;RARRES2;LAPTM5;SULF1;PTPRC;NMU;COL5A2;APOC1"
"LJP005 PC3 24H-WZ-3105-0.37","55/188",3.31625468742456e-14,1.56934646822323e-10,0,0,3.01135554801196,93.4645119637708,"IGHM;SPON1;MS4A3;NCF4;HP;F13A1;LDB2;CXCL13;GJA1;HMGN5;SOX17;ADAMTS1;PEG10;CLEC5A;TIMP3;PPP1R16B;ENTPD1;CLEC11A;OLFM4;IGL@;CLEC4A;TYROBP;IGKV4-1;XCL1;BPI;CEACAM8;GAS6;CFB;HLA-DQB1;KCNE4;SDC2;RGS16;C5AR1;PTGER3;THY1;CST7;THBS2;THBS1;CALD1;CCL5;CCL4;CCL2;ELANE;RARRES2;DEFA4;COL1A1;BST1;PTPRC;NMU;SNAI2;MNDA;TEK;CD24;ITM2A;CDK5R1"
"LJP006 HA1E 24H-PF-562271-10","59/213",5.65293355028807e-14,2.34073845983553e-10,0,0,2.85121261105836,86.9734370432762,"PCSK1;PLVAP;FLT1;NCF2;F13A1;TREM2;LDB2;CXCL13;MS4A4A;HMGN5;HEY1;GM2A;RGS1;TRBC1;C3AR1;TIMP3;VSIG4;TPSAB1;FCER1G;CYBB;KMO;DKK3;IGL@;TYROBP;COL6A2;CDH11;SERPING1;ANGPTL2;XCL1;LPPR4;FKBP9;OBSL1;C1QB;C1QA;PCOLCE2;RGS16;HTRA1;CXCR4;GLT8D2;THBS2;PLD3;C2;CCL8;FRZB;CCL5;CCL4;CCL18;SLC15A3;FCGR1B;ELANE;MSR1;LAPTM5;SULF1;PTPRC;NMU;COL5A2;ITM2A;CD200;CDK5R1"
"LJP006 HA1E 24H-JNK-9L-10","58/209",8.45395940312852e-14,3.11162065764484e-10,0,0,2.85653074341213,85.9860212865068,"CD84;PLVAP;TPSB2;FLT1;NCF2;AQP9;F13A1;TREM2;FRY;AQP1;MS4A4A;HEY1;RGS1;TIMP3;ACP5;VSIG4;TPSAB1;CLIC2;MEF2C;FCER1G;CD93;PCOLCE;DKK3;TYROBP;SERPING1;HCLS1;ANGPTL2;XCL1;LPPR4;HLA-DQB1;C1QB;C1QA;IGSF6;PCOLCE2;RGS16;LAMA4;HTRA1;CXCR4;GLT8D2;DPT;THBS2;C2;CECR1;CCL8;CCL5;CEP70;CCL4;SLAMF8;FCGR1B;MSR1;NQO1;CD163;BCL11A;SULF1;PTPRC;NMU;COL5A2;APOC1"
"LJP005 A375 24H-WZ-3105-1.11","53/182",1.18952073234802e-13,3.94040637797606e-10,0,0,2.99751715088823,89.2062774586146,"CD86;IGHM;ADAMDEC1;PLVAP;FLT1;NCF2;F13A1;LDB2;TSPAN12;CYR61;AQP1;MS4A4A;RGS5;STS;HMGN5;SOX17;RGS1;ADAMTS1;TRBC1;AOX1;OLR1;CLIC2;CD52;MEF2C;FCER1G;CD93;CYBB;TYROBP;SERPING1;ANGPTL2;LPPR4;CFB;HLA-DQB1;C1QA;SDC2;RGS16;THY1;CCL8;CALD1;CLEC7A;CCL5;CCL4;RARRES2;DEFA4;IL10RA;PDE2A;SULF1;PTPRC;FABP4;NMU;SNAI2;TEK;ITM2A"
