"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HCC515 24H-palbociclib-1.11","42/139",1.20423726068112e-85,3.98855423110193e-81,0,0,120.863309352518,23632.8726149626,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;STIL;LIG1;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;POLE2;KIF4A;BIRC5;KIF2C;KIF20A;TRIP13;DTL;EZH2"
"LJP006 HME1 24H-palbociclib-3.33","43/183",1.00136775272089e-82,1.65831506689343e-78,0,0,93.9890710382514,17746.1339119441,"TROAP;NCAPG2;NUDT1;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF20A;TRIP13;DTL;EZH2"
"LJP005 A549 24H-dovitinib-10","44/215",3.30992839158106e-82,3.65427127525187e-78,0,0,81.8604651162791,15358.2553434309,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;CHEK1;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;POLQ;GINS2;RFC3;STIL;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;TRIP13;DTL"
"LJP006 HCC515 24H-palbociclib-10","41/146",1.21117075077368e-81,1.00287966090938e-77,0,0,112.328767123288,20928.849337537,"TROAP;NCAPG2;NUDT1;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;STIL;LIG1;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;KIF18B;POLE2;KIF4A;BIRC5;KIF20A;TRIP13;DTL;EZH2"
"LJP006 BT20 24H-palbociclib-10","42/168",1.27041588713343e-81,8.41548891954927e-78,0,0,100,18627.004821547,"TROAP;NCAPG2;HJURP;KIF14;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;CHEK1;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;STIL;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF20A;TRIP13;DTL;EZH2"
"LJP006 HCC515 24H-palbociclib-0.37","40/129",2.75682119043108e-81,1.5218112441378e-77,0,0,124.031007751938,23007.170760825,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;LIG1;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;KIF18B;KIFC1;KIF4A;BIRC5;KIF2C;KIF20A;TRIP13;DTL;EZH2"
"LJP006 A375 24H-palbociclib-10","41/154",1.53886156843461e-80,7.28123342973183e-77,0,0,106.493506493506,19570.9255741498,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;LIG1;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF20A;DTL;EZH2"
"LJP006 LNCAP 24H-GDC-0941-3.33","42/185",1.26851323478519e-79,5.25180335616505e-76,0,0,90.8108108108108,16497.2709754611,"NCAPG2;HJURP;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;CHEK1;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;STIL;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;POLE2;KIF4A;BIRC5;CENPM;KIF20A;TRIP13;DTL;EZH2"
"LJP006 HCC515 24H-PHA-793887-3.33","42/186",1.63792270832754e-79,6.02773755805737e-76,0,0,90.3225806451613,16385.4910302165,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF20A;TRIP13;DTL;EZH2"
"LJP006 HME1 24H-palbociclib-10","43/215",2.39580787082073e-79,7.93515524894533e-76,0,0,80,14482.440148557,"TROAP;NCAPG2;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF20A;TRIP13;DTL;EZH2"
