"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP009 HCC515 24H-JNK-IN-5A-0.37","10/45",1.091230361204e-17,3.61480969452438e-13,0,0,88.8888888888889,3471.70139995509,"CDC20;CCNA2;ASPM;PLK1;KIF14;BIRC5;KIF20A;DLGAP5;NDC80;AURKA"
"LJP009 HCC515 24H-JNK-IN-5A-0.12","8/22",2.63614535741018e-16,4.36624755547848e-12,0,0,145.454545454545,5217.75181521592,"CENPF;PLK1;KIF14;BIRC5;KIF20A;NDC80;DLGAP5;AURKA"
"LJP005 HT29 24H-PF-477736-10","9/53",7.2639809184621e-15,8.02088773016586e-11,0,0,67.9245283018868,2211.34064471177,"CENPE;CENPF;SPAG5;PLK1;KIF14;KIF20A;DLGAP5;NDC80;AURKA"
"LJP009 HCC515 24H-ON-01910-0.12","8/37",3.09523095259493e-14,2.5633155133915e-10,0,0,86.4864864864865,2690.27708344824,"CCNA2;KIF14;TRIP13;KIF20A;BUB1;DLGAP5;NDC80;AURKA"
"LJP006 HT29 24H-AZD-7762-0.37","9/62",3.27047629390836e-14,2.16675595424017e-10,0,0,58.0645161290323,1802.97613579266,"CDC20;ASPM;CENPE;CENPF;SPAG5;PLK1;KIF14;NDC80;AURKA"
"LJP009 HCC515 24H-JNK-IN-5A-10","8/38",3.91332689388368e-14,2.16054777811318e-10,0,0,84.2105263157895,2599.73081445906,"CDC20;CCNA2;PLK1;KIF14;KIF20A;DLGAP5;NDC80;AURKA"
"LJP006 HCC515 24H-AZD-7762-0.12","9/77",2.52969106730312e-13,1.19712208993548e-09,0,0,46.7532467532467,1356.10172048217,"ASPM;CENPE;KIF18B;PLK1;KIF14;KIF11;KIF20A;NDC80;EZH2"
"LJP006 MCF7 3H-AZD-7762-3.33","8/50",4.2010981115179e-13,1.73956970052677e-09,0,0,64,1823.88865681174,"ASPM;CENPE;CENPF;PLK1;KIF14;KIF20A;DLGAP5;AURKA"
"LJP006 SKBR3 24H-AZD-7762-0.12","9/83",5.09739824922221e-13,1.87618238226372e-09,0,0,43.3734939759036,1227.68136635738,"CDC20;CENPE;PLK1;KIF14;NCAPG;KIF20A;BUB1;NDC80;AURKA"
"LJP006 HCC515 24H-AZD-7762-0.04","9/84",5.69854432729055e-13,1.88769979385827e-09,0,0,42.8571428571429,1208.28837633748,"ASPM;CENPE;CENPF;PLK1;KIF14;MKI67;FOXM1;AURKA;EZH2"
"LJP009 HCC515 24H-JNK-IN-5A-3.33","8/54",8.08112821487642e-13,2.43359502950906e-09,0,0,59.2592592592593,1650.01924240492,"CDC20;CCNA2;ASPM;PLK1;KIF14;KIF20A;NDC80;AURKA"
"LJP009 HCC515 24H-MLN-8054-3.33","7/38",4.68527658363596e-12,1.29337060091271e-08,0,0,73.6842105263158,1922.17024380948,"CDC20;PLK1;KIF14;BIRC5;KIF20A;DLGAP5;AURKA"
"LJP006 MCF7 3H-AZD-7762-1.11","7/38",4.68527658363596e-12,1.19388055468865e-08,0,0,73.6842105263158,1922.17024380948,"ASPM;CENPF;PLK1;KIF14;KIF20A;DLGAP5;AURKA"
"LJP008 HCC515 24H-MK-1775-1.11","8/67",4.94429588899142e-12,1.16989104013378e-08,0,0,47.7611940298507,1243.35696952678,"ASPM;CENPE;PLK1;KIF14;BIRC5;KIF20A;AURKA;EZH2"
"LJP005 HS578T 24H-tozasertib-10","8/71",8.00496383031839e-12,1.76781621228751e-08,0,0,45.0704225352113,1151.59253128456,"ASPM;CENPE;CENPF;KIF14;KIF20A;DLGAP5;NDC80;AURKA"
"LJP006 MCF7 3H-AZD-7762-0.37","7/47",2.29566878555876e-11,4.75289526190122e-08,0,0,59.5744680851064,1459.42027816433,"ASPM;CENPE;PLK1;KIF14;KIF20A;DLGAP5;AURKA"
"LJP005 SKBR3 3H-NVP-BEZ235-3.33","7/48",2.68256118107655e-11,5.22720715790246e-08,0,0,58.3333333333333,1419.93040117761,"ASPM;CENPE;PLK1;KIF14;KIF20A;DLGAP5;AURKA"
"LJP006 HS578T 24H-BI-2536-0.04","7/58",1.07503794286677e-10,1.97842816085581e-07,0,0,48.2758620689655,1108.09975733142,"CDC20;CENPE;PLK1;KIF20A;BUB1;DLGAP5;AURKA"
"LJP006 HCC515 24H-BI-2536-0.04","6/32",1.54317391181413e-10,2.69048310540815e-07,0,0,75,1694.4007239545,"CENPE;CENPF;PLK1;BUB1B;KIF20A;AURKA"
