"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HS578T 24H-palbociclib-1.11","62/156",3.34280248071873e-57,1.10716960963885e-52,0,0,15.2859960552268,1987.79919337359,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;CCNA2;ASPM;ESPL1;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;RHOBTB3;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;BUB1;SMAD1;RRM2;SPAG5;UBE2C;PLK1;GGH;CDC6;SHCBP1;ZWINT;NET1;TPX2;CENPF;MAFB;KIF18B;KIF4A;CDK1;TRIP13;ITM2A;EZH2;CDKN3"
"LJP006 BT20 24H-palbociclib-10","63/168",3.23440926634413e-56,5.3563434655292e-52,0,0,14.4230769230769,1842.84979187584,"TOP2A;HJURP;KIF14;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;MYOF;KIF23;CDC25A;SAP30;CIT;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;PKMYT1;TYMS;NCAPH;AURKB;ARNTL2;AURKA;CCNB2;CDC45;BUB1;STIL;RRM2;SPAG5;UBE2C;PLK1;GGH;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;PLP2;TRIP13;EZH2;CDKN3"
"LJP005 A375 24H-dovitinib-10","63/180",5.32432620533196e-54,5.87823360822666e-50,0,0,13.4615384615385,1651.29069608864,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;CIT;CCNA2;ASPM;KIFC1;COL6A2;CKS2;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;BUB1;RRM2;SPAG5;UBE2C;PLK1;AKR1C3;GGH;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;SPATS2L;SPRY2;TRIP13;EZH2;CDKN3"
"LJP006 HME1 24H-palbociclib-3.33","63/183",1.77838693568078e-53,1.47254884241708e-49,0,0,13.2408575031526,1608.25180770126,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;RPS6KA5;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;RMI1;KIF23;CDC25A;CIT;CCNA2;ASPM;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;MYH11;METTL7A;BUB1;RRM2;SPAG5;UBE2C;PLK1;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;TRIP13;EZH2;CDKN3"
"LJP006 HCC515 24H-palbociclib-0.37","55/129",7.84795290286036e-53,5.19864096191276e-49,0,0,16.3983303518187,1967.41849923024,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CIT;CCNA2;ASPM;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;E2F2;BUB1;RRM2;SPAG5;PLK1;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;TRIP13;EZH2;CDKN3"
"LJP006 LNCAP 24H-mitoxantrone-0.37","64/195",8.41204809416802e-53,4.64359074878232e-49,0,0,12.6232741617357,1513.62328935425,"TOP2A;HJURP;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;CIT;CCNA2;ASPM;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;GATA3;HMMR;TYMS;PKMYT1;NCAPH;AURKB;CCNB2;CCNB1;CDC45;IGKC;RBBP8;BUB1;PCK2;RRM2;SPAG5;UBE2C;PLK1;IGKV1-5;CDC6;SHCBP1;ZWINT;TPX2;CXCL10;CENPF;KIF18B;KIF4A;CDK1;TRIP13;EZH2;CDKN3"
"LJP006 MCF10A 24H-palbociclib-10","56/137",1.60218087683312e-52,7.58083326022711e-49,0,0,15.7215047725997,1874.99475262373,"TOP2A;HJURP;KIF14;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;KIF23;CDC25A;CIT;CCNA2;ASPM;ESPL1;BIRC5;KIF20A;DTL;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;METTL7A;BUB1;RRM2;SPAG5;UBE2C;PLK1;NETO2;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;TRIP13;EZH2;CDKN3"
"LJP005 A549 24H-dovitinib-10","66/215",2.73340004845558e-52,1.13166178756122e-48,0,0,11.8067978533095,1401.80786853656,"TOP2A;KIF14;HJURP;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;TUBG1;CDC25A;CIT;CCNA2;ASPM;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;MCM2;CDCA3;TROAP;RHOBTB3;NCAPG;CDCA8;LPL;TTK;HMMR;TYMS;NCAPH;SKA1;AURKB;AURKA;CCNB2;H1FX;BUB1;POLQ;STIL;RRM2;SPAG5;UBE2C;PLK1;GGH;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;TRIP13;CLC;CDKN3"
"LJP006 BT20 24H-PHA-793887-3.33","62/184",5.77833796894057e-52,2.12649257632534e-48,0,0,12.9598662207358,1529.00901799016,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;SAP30;CIT;CCNA2;ASPM;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;PKMYT1;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;GPNMB;BUB1;RRM2;SPAG5;UBE2C;PLK1;NETO2;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;TRIP13;CDKN3"
"LJP006 A375 24H-palbociclib-10","58/154",6.71373109289477e-52,2.22365487527768e-48,0,0,14.4855144855145,1706.83208276692,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;CIT;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;BUB1;RRM2;SPAG5;UBE2C;PLK1;GGH;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;EZH2;CDKN3"
"LJP006 BT20 24H-palbociclib-3.33","59/163",1.37462181445908e-51,4.13898628333628e-48,0,0,13.921661160925,1630.41670705826,"TOP2A;HJURP;KIF14;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;SAP30;CIT;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF20A;DTL;MCM2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CDC45;RBBP8;BUB1;RRM2;SPAG5;UBE2C;PLK1;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;PLP2;TRIP13;EZH2;CDKN3"
"LJP005 A375 24H-dovitinib-3.33","60/174",5.48400506938312e-51,1.51363109919198e-47,0,0,13.262599469496,1534.88069040586,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;KIF15;LMNB1;CDC20;AKAP12;EXO1;NEK2;MYBL2;TK1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CDC25A;CIT;CCNA2;ASPM;ESPL1;CKS2;BIRC5;KIF20A;DTL;MCM2;CDCA3;NCAPG;CDCA8;TTK;HMMR;TYMS;NCAPH;AURKB;AURKA;CCNB2;CCNB1;CDC45;BUB1;RRM2;SPAG5;UBE2C;PLK1;FN1;CDC6;SHCBP1;ZWINT;TPX2;CENPF;KIF18B;KIF4A;CDK1;SPRY2;TRIP13;EZH2;CDKN3"
