"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HCC515 24H-BI-2536-0.04","14/32",1.66459753334835e-14,5.51414578896974e-10,0,0,16.8269230769231,533.861191119986,"MAOA;PLK1;RHOBTB3;BUB1B;HMMR;AURKA;CIT;TPX2;CENPF;ME1;NEK2;KIF20A;MYBL1;CDKN3"
"LJP008 HT29 24H-mocetinostat-10","20/89",1.04322745642911e-13,1.72789763608353e-09,0,0,8.64304235090752,258.35165927095,"CEBPA;CD163;CTSZ;FN1;G0S2;CDC42BPA;PRSS23;RNASE1;MS4A4A;SCPEP1;LGALS1;IGKC;GPNMB;GRB10;ADAM9;CHI3L1;METTL7A;FADS1;BLVRA;CTSB"
"LJP005 HA1E 24H-HG-5-113-01-10","26/185",2.48006304731974e-12,2.73848561685046e-08,0,0,5.40540540540541,144.4472277501,"RGS16;SLC1A3;OLFML2A;CST7;LGALS3;IGKC;CCL4;LTA4H;METTL7A;MAPK6;CA11;PTCH1;CYBRD1;RNASE3;RNASE2;RUNX3;DUSP7;PLA2G15;CXCL10;ZNF91;MAFB;IGKV4-1;SPRY2;KIF2C;ITM2A;MT1E"
"LJP006 HA1E 24H-CGP-60474-3.33","28/220",4.16716706586483e-12,3.45103940559596e-08,0,0,4.89510489510489,128.270274616673,"C1QB;COL18A1;C1QA;SPON1;FLT1;RGS16;CTSZ;HTRA1;SLC1A3;GATA3;PLD3;SCPEP1;GPNMB;PDGFD;CCL4;VSIG4;TIMP1;A2M;MSR1;IFI44;RNASE1;CXCL10;ZNF91;COL6A2;MT1F;CHI3L1;IL7R;ITM2A"
"LJP009 HCC515 24H-JNK-IN-5A-3.33","15/54",4.67497581717499e-12,3.09726497839477e-08,0,0,10.6837606837607,278.726465021347,"IGKV1-5;PLK1;KIF14;CRIP2;AURKA;CDC20;CCNA2;ASPM;CCNB2;SMTN;IGKV4-1;MYH11;KIF20A;METTL7A;FKBP5"
"LJP006 HCC515 24H-PD-0325901-10","24/161",4.81612742067603e-12,2.65898394895524e-08,0,0,5.73339703774486,149.406885525985,"CPA3;CDKN1C;COL18A1;MAOA;IGKV1-5;DHCR24;CAPG;OLFML2A;SULT1A1;SCPEP1;IGLJ3;ZNF91;PAX8;IGKC;SCD;IGLV2-23;CAT;TNFSF10;IGKV4-1;ME1;IGKV3-20;IGLV3-19;CES1;CTSB"
"LJP006 A549 24H-ZSTK-474-0.04","16/64",5.36283206523564e-12,2.5378453570428e-08,0,0,9.61538461538461,249.533931826967,"CPA3;CD163;RNASE1;MS4A4A;IGLJ3;ALCAM;MAFB;IGKC;TCN1;DPYD;C3AR1;TNFSF10;IGKV4-1;VSIG4;CLC;LDLR"
"LJP005 HEPG2 24H-PF-431396-10","26/192",5.90283570343536e-12,2.4442166939e-08,0,0,5.20833333333333,134.664522149898,"SCARB2;C1QB;C1QA;ZBTB43;MS4A4A;SCPEP1;GPNMB;PDGFD;CREG1;MYO6;ME1;VSIG4;CTSB;CD163;CERS6;MME;GAA;CDC42BPA;PDIA5;MLF1;ZNF91;MAFB;PER3;PPT1;CHI3L1;TMEM45A"
"LJP006 MCF7 3H-AZD-7762-1.11","13/38",6.39117027344173e-12,2.35237673864479e-08,0,0,13.1578947368421,339.159259512155,"TOP2A;PLK1;KIF14;LPL;CYBRD1;AK4;AURKA;CIT;ASPM;CENPF;IGKV4-1;KIF20A;DLGAP5"
"LJP005 HA1E 24H-PF-431396-10","26/193",6.65914529950691e-12,2.20590847191466e-08,0,0,5.18134715025907,133.342124212534,"C1QB;C1QA;RGS16;SLC1A3;CST7;C2;LGALS3;GPNMB;CAMK2N1;ADAMTS1;CCL4;A2M;CAMP;CA11;CERS6;SRD5A1;FAH;PDIA5;PPT1;PLBD1;MMP19;CHI3L1;VDAC1;FKBP9;IL7R;TMEM45A"
"LJP005 A549 24H-foretinib-10","24/164",7.22404511977763e-12,2.17548835125231e-08,0,0,5.62851782363977,144.391778915668,"CDKN1C;MME;MAOA;HEXB;EPS8;SULT1A1;TGFBR3;SCPEP1;ZNF91;P2RX4;GPNMB;CAMK2N1;SCD;PDGFC;MYO6;KCNMA1;TNFSF10;VDAC1;ANG;TIMP1;METTL7A;CTSD;LDLR;FADS1"
"LJP008 HCC515 24H-GSK-461364-0.04","13/39",9.36149083700713e-12,2.58423954555582e-08,0,0,12.8205128205128,325.56944308544,"PLK1;CDCA8;AURKA;HK1;TPX2;CCNB1;ESPL1;BIRC5;KIF20A;MYBL1;CTSD;DLGAP5;CDKN3"
"LJP006 A549 24H-BMS-387032-0.37","24/166",9.41680865640372e-12,2.399547719631e-08,0,0,5.56070435588508,141.178080826108,"C1QB;CD163;MME;MAOA;SLC1A3;CYBRD1;RNASE1;ELL2;MS4A4A;AKAP12;CXCL10;SCPEP1;ZNF91;MAFB;GPNMB;PDGFD;PDGFC;MT1F;VDAC1;VSIG4;METTL7A;A2M;MT1E;CTSB"
"LJP006 HA1E 24H-BI-2536-10","23/153",1.12724629677356e-11,2.6672257733515e-08,0,0,5.78179989944696,145.751417849565,"OPN3;FZD5;MME;IDH1;HP;AKR1C3;CACNA2D2;G0S2;DHCR24;GATA3;RUNX3;NCALD;TGFBR3;ARL4C;LGALS3;GPNMB;SCD;CHI3L1;KIF2C;METTL7A;LDLR;CES1;CTSB"
"LJP006 HME1 3H-AT-7519-0.12","17/78",1.26828655030258e-11,2.80088401768823e-08,0,0,8.38264299802761,210.326960803218,"SORT1;MYOF;IGFBP2;LPL;PAPSS1;ZNF91;H1F0;C1ORF115;SCD;RAB13;TNFSF10;PPT1;PLBD1;LAP3;BCAT1;WASF1;A2M"
"CPC006 PL21 6H-BRD-K37865504-10.0","20/115",1.63685158357613e-11,3.38889659734643e-08,0,0,6.68896321070234,166.124825366711,"C1QB;C1QA;TPI1;UBE2C;GAA;AK2;ERLIN1;FN1;KIF14;NRG1;ZWINT;CCNA2;KIF18B;CDHR1;CLDN7;AP2S1;E2F2;LAP3;CLEC1B;DTL"
