"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HME1 24H-palbociclib-10","159/215",3.72117846397549e-141,1.23249151905332e-136,0,0,11.137573550014,3601.33950509398,"ARL6IP1;DSCC1;CCNF;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;RCC1;KNTC1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;BORA;LIG1;CDC25C;CDC25A;NEIL3;MELK;CCNE2;MSH2;HAT1;TIMELESS;DNA2;KIF20A;KIF20B;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;BARD1;FANCI;CDT1;RBPMS;UBE2C;PLK1;GGH;CDC7;CDC6;GNG11;ZWINT;FANCG;NDC80;DHFR;TPX2;POLA2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CKS1B;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;RFC3;RFC4;RMI1;H2AFX;CKAP2;KIF23;KIF22;SMC1A;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;CKS2;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;PTMA;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;RANBP1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;RPA3;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 HME1 24H-palbociclib-3.33","147/183",5.58806435127759e-140,9.25411396893326e-136,0,0,12.0975706103101,3878.98052612858,"ARL6IP1;DSCC1;CCNF;GMNN;HJURP;NUDT1;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;RPS6KA5;PTTG1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;LIG1;VRK1;CDC25C;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;KIF20B;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;MAP7;MYH11;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;CDC7;CDC6;FANCG;NDC80;ZWINT;DHFR;TPX2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;CDK1;CD24;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;CKS1B;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RMI1;H2AFX;CKAP2;KIF23;KIF22;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;MCM3;CKS2;BIRC5;MCM4;MCM5;DNAJC9;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;PRC1;POLE2;RPA3;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP005 A549 24H-dovitinib-10","157/215",7.17685671493477e-138,7.92348904184516e-134,0,0,10.997478285234,3472.84837270364,"ERCC6L;ARL6IP1;DSCC1;CCNF;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;WDHD1;IGFBP4;VRK1;CDC25A;NEIL3;MSH2;TIMELESS;DNA2;KIF20A;KIF20B;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;LPL;AEBP1;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;BRIP1;ORC6;RACGAP1;ECT2;ELANE;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;GGH;CDC7;CDC6;ZWINT;LSM3;NDC80;DHFR;TPX2;POLA2;KIF18A;KIF18B;UBE2S;KIF4A;CDK2;CDK1;APOBEC3B;TOP2A;ARHGAP11A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CKS1B;LMNB1;CHAF1A;EXO1;PBK;MYBL2;TK1;MYBL1;POLE;CEP55;DLGAP5;RFC3;RFC4;RFC2;H2AFX;CACYBP;KIF23;KIF22;TUBG1;CIT;CCNA2;ASPM;RBL1;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;CKS2;MCM3;BIRC5;MCM4;KIF2C;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;USP1;BUB1;E2F8;GINS1;GINS2;POLQ;RRM1;RRM2;SPAG5;GINS3;ATAD2;TPRKB;SHCBP1;CENPE;CENPF;RAD51;PRC1;RFWD3;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 PC3 24H-NVP-TAE684-10","145/186",1.75441929390743e-134,1.4527030358377e-130,0,0,11.740510428812,3615.89246980881,"DSCC1;CCNF;HJURP;NUDT1;BUB1B;MKI67;SMC2;SNRPD1;STMN1;NUSAP1;RCC1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;LIG1;IGFBP3;VRK1;WDR76;NEIL3;MELK;MSH2;MTHFD1;CCNE2;TIMELESS;ASF1B;DNMT1;BLM;RNASEH2A;CDCA3;NCAPG;CDCA8;NCAPH;SKA1;RAD51AP1;ORC6;RACGAP1;ORC1;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;CDC7;NETO2;CDC6;FANCG;NDC80;ZWINT;DHFR;TPX2;KIF18A;KIF18B;UBE2S;CDK4;CDK2;CDK1;EZH2;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;CKS1B;KIF15;LMNB1;CHAF1A;EXO1;PBK;MYBL2;TK1;MYBL1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;RMI1;KIF23;CACYBP;CCNA2;ARL4C;ASPM;PSRC1;DBF4;ESPL1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;PSMC3IP;CDC45;POLD1;USP1;PDSS1;CTNNAL1;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;GINS3;GINS4;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PSMC3;PRC1;POLE2;RFWD3;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 HS578T 24H-palbociclib-1.11","131/156",1.18978182191972e-129,7.88135274476064e-126,0,0,12.6467408093914,3754.30777179858,"DSCC1;CCNF;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;LIG1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;SLBP;DNMT1;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC6;FANCG;NDC80;ZWINT;DHFR;NET1;TPX2;POLA2;KIF18B;UBE2S;KIF4A;CDK2;CDK1;ITM2A;EZH2;APOBEC3B;TOP2A;CXCL9;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;CEP55;DLGAP5;RFC3;RFC4;RFC2;H2AFX;KIF23;CCNA2;ASPM;DBF4;ESPL1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;POLD1;USP1;BUB1;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPF;RAD51;PRC1;POLE2;TACC3;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 A375 24H-palbociclib-10","130/154",2.84049455222152e-129,1.56800033440215e-125,0,0,12.7131904240338,3762.97086202714,"ARL6IP1;CCNF;GMNN;HJURP;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;LIG1;CDC25C;CDC25A;NEIL3;MSH2;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;BRIP1;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC7;CDC6;NDC80;ZWINT;DHFR;TPX2;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;FOXM1;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC2;H2AFX;CKAP2;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;GINS3;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;MAD2L1;CDKN3;SPC25"
"LJP006 HCC515 24H-palbociclib-10","125/146",6.70962154901687e-126,3.17470536178554e-122,0,0,12.8940419211091,3716.34886079718,"CCNF;HJURP;NUDT1;BUB1B;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;LIG1;VRK1;CDC25A;NEIL3;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;ORC6;RACGAP1;ECT2;PLK4;FANCI;CDT1;STIL;PLK1;GGH;CDC6;NDC80;ZWINT;DHFR;TPX2;KIF18B;NASP;UBE2S;KIF4A;CDK1;CD24;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;CKS1B;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;H2AFX;KIF23;CCNA2;ASPM;PSRC1;DBF4;ESPL1;DEPDC1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;POLD2;USP1;BUB1;GINS1;GINS2;RRM1;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;PRC1;POLE2;TACC3;CENPN;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 BT20 24H-palbociclib-10","133/168",6.77048647705903e-125,2.8030660325834e-121,0,0,11.9226907630522,3408.82323667222,"DSCC1;CCNF;GMNN;HJURP;MKI67;SMC4;SMC2;CDC20;PTTG1;TUBB3;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;VRK1;CDC25A;NEIL3;MELK;MSH2;CCNE2;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;PKMYT1;NCAPH;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;GGH;CDC6;NDC80;ZWINT;DHFR;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;FAM57A;NCAPG2;KIF14;MCM10;KIF11;FOXM1;CKS1B;KIF15;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;HELLS;RFC3;MYOF;H2AFX;CKAP2;KIF23;CIT;CCNA2;ASPM;DBF4;ESPL1;KIFC1;MCM3;BIRC5;MCM4;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;ARNTL2;AURKA;CDC45;USP1;CTNNAL1;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;PLP2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP006 A375 24H-mitoxantrone-0.12","150/222",2.26079483284323e-123,8.31997618428896e-120,0,0,10.1758384890915,2873.67968486309,"ERCC6L;ARL6IP1;DSCC1;CCNF;GMNN;HJURP;BUB1B;TMEM97;MKI67;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;HMGN1;VRK1;CDC25C;WDR76;CDC25A;NEIL3;MELK;CCNE2;MSH2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;CDC7;NETO2;CDC6;ZWINT;FANCG;NDC80;DHFR;TPX2;KIF18B;UBE2S;KIF4A;PXMP2;CDK1;APOBEC3B;TOP2A;ARHGAP11A;GPSM2;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CKS1B;LMNB1;CHAF1B;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;H2AFX;CKAP2;KIF23;TUBG1;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;IGHD;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;UNG;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;ATAD2;RPA1;DONSON;SHCBP1;CENPE;NUDT21;CENPF;RAD51;CENPI;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;PLP2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 HT29 24H-palbociclib-0.37","141/195",1.292407345579e-122,4.28058236929222e-119,0,0,10.8897126969416,3056.29451140234,"DSCC1;CCNF;GMNN;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;WDR76;CDC25A;NEIL3;MELK;CCNE2;MSH2;TIMELESS;DNA2;KIF20A;ASF1B;CDCA3;TROAP;NCAPG;CDCA8;AEBP1;HMMR;NCAPH;SKA1;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;BARD1;FANCI;CDT1;UBE2C;PLK1;CDC7;NETO2;CDC6;ZWINT;FANCG;NDC80;DHFR;TPX2;KIF18A;CXCL12;KIF18B;UBE2S;KIF4A;CDK1;CD24;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CKS1B;LMNB1;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;H2AFX;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;RANBP1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;PLP2;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 LNCAP 24H-mitoxantrone-0.37","141/195",1.292407345579e-122,3.89143851753838e-119,0,0,10.8897126969416,3056.29451140234,"ARL6IP1;DSCC1;HJURP;TMEM97;MKI67;SMC4;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;VRK1;CDC25A;NEIL3;MELK;CCNE2;MTHFD2;TIMELESS;KIF20A;ASF1B;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;PKMYT1;NCAPH;RAD51AP1;CCNB2;EBP;CCNB1;ORC6;RACGAP1;ECT2;PLK4;FANCI;CDT1;UBE2C;PLK1;CDC7;CDC6;ZWINT;FANCG;NDC80;DHFR;TPX2;CXCL10;POLA2;KIF18B;UBE2S;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;CXCL9;MCM7;NCAPG2;MCM10;KIF11;BRCA1;FOXM1;KIF15;CKS1B;LMNB1;CHAF1B;EXO1;PBK;MYBL2;TK1;MYBL1;LBR;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;H2AFX;ELOVL6;KIF23;CIT;CCNA2;ASPM;DBF4;ESPL1;KIFC1;DEPDC1;CKS2;MCM3;BIRC5;MCM4;GARS;MCM5;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;CDC45;IGKC;BUB1;GINS1;RANBP1;GINS2;RRM1;CDKN2C;RRM2;SPAG5;ATAD2;IGKV1-5;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD3;TRIP13;CDKN3;SPC25;MAD2L1"
"LJP006 HCC515 24H-PHA-793887-3.33","137/186",5.75644990952736e-121,1.58882814544546e-117,0,0,11.0927581292914,3071.16847361015,"DSCC1;CCNF;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;PTTG1;TUBB3;STMN1;NUSAP1;NEK2;OIP5;FBXO5;KPNA2;GTSE1;TMPO;LIG1;VRK1;CDC25A;NEIL3;MELK;CCNE2;MTHFD2;TIMELESS;KIF20A;ASF1B;RNASEH2A;PAXIP1;CDCA3;TROAP;NCAPG;CDCA8;SLC1A4;HMMR;NCAPH;RAD51AP1;CCNB2;RACGAP1;ELANE;PLK4;FANCI;BARD1;CDT1;PLK1;NETO2;CDC6;NDC80;ZWINT;DHFR;TPX2;POLA2;KIF18B;NASP;UBE2S;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;IGHM;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;CKS1B;KIF15;LMNB1;CHAF1A;EXO1;PBK;MYBL2;TK1;POLE;CEP55;DLGAP5;HELLS;RFC4;RMI1;H2AFX;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;MCM3;CKS2;BIRC5;MCM4;MCM5;MCM6;DTL;MCM2;PCNA;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;CDC45;USP1;BUB1;E2F8;GINS1;GINS2;RANBP1;RRM1;RRM2;SPAG5;GINS3;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
"LJP005 A375 24H-dovitinib-1.11","133/175",1.4432687427522e-120,3.67711569451506e-117,0,0,11.4457831325301,3158.38717620511,"ARL6IP1;CSE1L;DSCC1;HJURP;BUB1B;MKI67;SMC4;SMC2;CDC20;PTTG1;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;IGFBP4;VRK1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;AEBP1;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;NUP85;ECT2;PLK4;FANCI;CDT1;UBE2C;PLK1;CDC6;FANCG;NDC80;ZWINT;DHFR;TPX2;POLA2;KIF18B;UBE2S;KIF4A;CDK1;CD24;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;CKS1B;KIF15;LMNB1;CHAF1A;EXO1;PBK;TIMP3;MYBL2;TK1;LBR;CEP55;DLGAP5;RFC5;RFC3;RFC4;RFC2;H2AFX;CKAP2;KIF23;CIT;CCNA2;ASPM;DBF4;ESPL1;KIFC1;COL6A2;DEPDC1;MCM3;BIRC5;MCM4;MCM5;DNAJC9;MCM6;DTL;MCM2;PRIM1;TTK;TYMS;CENPA;AURKB;AURKA;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25"
