"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 PC3 24H-WZ-3105-1.11","46/174",2.32820593577627e-16,7.71241498285247e-12,0,0,3.98144301343304,143.317071827993,"IGHM;BTG2;CXCL9;MS4A3;RGS16;NCF4;F13A1;FPR3;SLC2A3;THY1;CXCL13;SAMSN1;C7;CALD1;CLEC5A;CCL4;ZBED2;CCL2;ANXA9;ELANE;PPP1R16B;CPA3;CD52;ENTPD1;ITGA4;MME;IGFBP3;RARRES2;DEFA4;CYBRD1;DHCR24;HLA-F;ASPN;DKK3;CLEC4A;CXCL10;CXCL12;PTPRC;SCNN1A;CHI3L1;BPI;CEACAM8;CD24;GAS6;ITM2A;HLA-DQB1"
"LJP005 PC3 24H-WZ-3105-0.37","48/188",2.35164773410918e-16,3.89503414200503e-12,0,0,3.84516790566521,138.373155249929,"IGHM;SPON1;CXCL9;MS4A3;CITED2;RGS16;NCF4;HP;F13A1;KRT23;SLC2A3;THY1;LDB2;CXCL13;THBS2;SAMSN1;HMGN5;CALD1;ADAMTS1;CLEC5A;CCL4;PMAIP1;TIMP3;CCL2;ELANE;PPP1R16B;ENTPD1;RARRES2;DEFA4;DHCR24;HLA-F;GNG11;ASPN;CLEC4A;COL1A1;CXCL10;TYROBP;CXCL12;PTPRC;IGKV4-1;CHI3L1;BPI;MNDA;CEACAM8;CD24;GAS6;ITM2A;HLA-DQB1"
"LJP006 HA1E 24H-alvocidib-0.37","47/204",3.27942456593586e-14,3.62114060570638e-10,0,0,3.46976139853532,107.730967739335,"C1QB;C1QA;CSF1R;BTG2;PLVAP;CXCL9;FLT1;RGS16;HTRA1;CXCR4;F13A1;FPR3;TREM2;LRMP;F11R;CXCL13;SAMSN1;HMGN5;CCL8;CCRL2;CCL4;C3AR1;TNFSF10;SLAMF8;TIMP3;VSIG4;APOE;FCGR1B;MSR1;FCER1G;ITGA4;BCL11A;RARRES2;CYBB;ASPN;DKK3;ARL4C;CXCL10;TYROBP;PTPRC;FEZ1;SCNN1A;COL5A2;TXNIP;HCLS1;CHI3L1;CYB561"
"LJP006 HA1E 24H-CGP-60474-3.33","48/220",1.56761174099923e-13,1.29821766330851e-09,0,0,3.28587075575027,96.8807872896423,"C1QB;COL18A1;DENND1B;C1QA;SPON1;BTG2;PLVAP;CXCL9;FLT1;RGS16;LAMA4;CTSZ;HTRA1;CXCR4;F13A1;SLC1A3;TREM2;THBS2;SAMSN1;PLD3;CCL8;PDGFD;CCRL2;CCL4;TIMP3;VSIG4;APOE;TIMP1;FCGR1B;DUSP4;PPP1R16B;MSR1;SLC38A1;FCER1G;RARRES2;ASPN;DKK3;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;COL5A2;HCLS1;NUCB1;CHI3L1;ITM2A;CYB561"
"LJP006 HA1E 24H-alvocidib-10","46/212",6.20329106924686e-13,4.10980439919743e-09,0,0,3.26778813366674,91.8527085022098,"C1QB;C1QA;PLVAP;CXCL9;FLT1;RGS16;CTSZ;HTRA1;CXCR4;F13A1;FPR3;TREM2;THY1;LDB2;THBS2;PLD3;MS4A4A;CCL8;GM2A;CCRL2;CCL4;SLAMF8;TIMP3;VSIG4;APOE;CCL18;FCGR1B;DUSP4;MSR1;P2RY13;ITGA4;BCL11A;RARRES2;CYBB;ASPN;DKK3;IL1A;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;COL5A2;CHI3L1;ITM2A;CYB561"
"LJP006 PC3 24H-JNK-9L-3.33","43/189",6.40650280963813e-13,3.53703020120121e-09,0,0,3.42640402881367,96.2007223199919,"IGHM;PLVAP;DYRK3;CXCL9;HLF;KRT23;THY1;CXCL13;AIF1;PLD3;CCL8;PDGFD;ZBED2;HMOX1;TIMP3;ANXA9;CCR2;CD93;MME;VWF;FBXO2;IGFBP3;DEFA4;SH2D1A;IGKV1-5;GZMK;CXCL10;IGLJ3;REEP5;APOC2;RRAGD;SCNN1A;IGLV2-23;IGKV4-1;GAS2;PECAM1;CD24;GAS6;CPVL;MYL9;ITM2A;SHANK2;HLA-DQB1"
"LJP006 HA1E 24H-PF-562271-10","46/213",7.41372177744608e-13,3.5083849657097e-09,0,0,3.25244640533967,90.8417180730695,"C1QB;C1QA;PLVAP;CXCL9;FLT1;RGS16;HTRA1;CXCR4;F13A1;SLC2A3;TREM2;LDB2;CXCL13;THBS2;PLD3;C2;MS4A4A;HMGN5;CCL8;GM2A;CCL4;C3AR1;TIMP3;VSIG4;CCL18;SLC15A3;FCGR1B;ELANE;MSR1;FCER1G;MME;CYBB;ASPN;DKK3;IL1A;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;COL5A2;NUCB1;CHI3L1;FKBP9;ITM2A;CD200"
"LJP006 PC3 24H-withaferin-a-10","36/143",2.03902288906387e-12,8.44308402789123e-09,0,0,3.79138933355801,102.058704856729,"FKBP11;IGHM;BTG2;CXCL9;CITED2;RGS16;CTSZ;KRT23;CXCR4;IKZF1;CXCL13;DNAJB1;CALD1;ADAMTS1;TMEM204;CCL4;HMOX1;PMAIP1;DACT1;VWF;IGFBP4;STAT1;IGFBP3;H2AFX;IGKV1-5;CDC25A;IGLJ3;CRISPLD2;COL4A1;UBE2S;RRAGD;COL5A2;IGKV4-1;ITM2A;CD200;IGKV3-20"
"LJP006 HA1E 24H-CGP-60474-0.37","45/211",2.09095780414364e-12,7.69611869111804e-09,0,0,3.21189973162793,86.3789006305734,"C1QB;COL18A1;C1QA;SPON1;BTG2;PLVAP;CXCL9;FLT1;RGS16;LAMA4;CTSZ;CXCR4;F13A1;SLC1A3;FPR3;TREM2;LDB2;THBS2;CCL8;CCRL2;TIMP3;PTGDS;FCGR1B;DUSP4;PPP1R16B;MSR1;FCER1G;MME;ITGA4;BCL11A;HGF;RARRES2;ASPN;DKK3;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;COL5A2;CHI3L1;ITM2A;CYB561;FBP1;CD200"
"LJP006 HA1E 24H-CGP-60474-10","41/187",7.83538487865038e-12,2.59554959490172e-08,0,0,3.30197796533728,84.4394059541665,"C1QB;CSF1R;DENND1B;C1QA;PLVAP;SPON1;CXCL9;RGS16;TMPRSS3;LAMA4;HTRA1;F13A1;CXCR4;FPR3;TREM2;THBS2;NID2;AIF1;CCL8;TNFSF10;SLAMF8;APOE;FCGR1B;CCR2;DUSP4;SEMA4A;FCER1G;BCL11A;PRSS16;ASPN;ARL4C;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;COL5A2;CHI3L1;ITM2A;FBP1;HLA-DQB1"
"CPC004 HCC515 6H-forskolin-10.0","31/114",7.90989866258885e-12,2.3820300281538e-08,0,0,4.09532868315367,104.688502762573,"ARHGAP11A;IGHM;IDUA;HDC;CXCR4;GABPB1;AURKA;PRDX3;STMN1;TIMP3;CCHCR1;POLR2I;ITGA4;RPA1;NRG1;ELOVL6;KIF22;ASPN;NCR1;KLHL9;MELK;PTPRC;NPEPL1;MTHFD2;GJB3;REEP4;CAT;CALU;COPS8;LOC100508797;GAPDH"
"LJP006 HA1E 24H-BMS-387032-10","47/236",8.92937975299459e-12,2.46495528081416e-08,0,0,2.99928527670002,76.3068387826848,"C1QB;C1QA;SPON1;BTG2;PLVAP;CXCL9;FLT1;RGS16;CXCR4;SLC1A3;FPR3;TREM2;SPINT2;LDB2;THBS2;PLD3;C2;MS4A4A;CCL8;GM2A;CCRL2;CCL4;SLAMF8;VSIG4;APOE;CCL18;FCGR1B;PPP1R16B;MSR1;RARRES2;CYBB;ASPN;DKK3;IL1A;CXCL10;TYROBP;PTPRC;FEZ1;COL6A2;SCNN1A;COL5A2;HCLS1;NUCB1;CHI3L1;ITM2A;CYB561;FBP1"
"LJP005 HS578T 24H-radicicol-3.33","30/108",9.49154158229661e-12,2.41859081888583e-08,0,0,4.18340026773762,106.177292811605,"TOP2A;CITED2;SLC2A3;TMEM97;HMMR;CXCL13;ASCL1;AURKA;CCNB2;DNAJB1;PTTG1;SPR;NUSAP1;PBK;PTGDS;KPNA2;BUB1;DLGAP5;USP7;SMAD3;AUTS2;UBE2C;ARG1;PLK1;CKAP2;ASPM;GNAL;RAB13;CKS2;KIF20A"
"LJP009 HCC515 24H-JNK-IN-5A-3.33","21/54",9.87656301866308e-12,2.33693590397309e-08,0,0,5.85676037483266,148.415324431951,"IGHM;IGKV1-5;PLK1;KIF14;IKZF1;NDC80;DKK3;AURKA;CDC20;CCNA2;ASPM;CCNB2;CXCL12;UBE2S;PBK;IGHD;IGKV4-1;TXNIP;MYH11;KIF20A;FKBP5"
"LJP006 A375 24H-canertinib-10","35/147",2.2844581011179e-11,5.04499727050878e-08,0,0,3.58577165806081,87.8596786488304,"DENND1B;IGHM;PLVAP;DYRK3;BTG2;CXCL9;CITED2;TMPRSS3;LRMP;CXCL13;PAPSS2;DNAJB1;ADAMTS1;MYO6;HMOX1;TNFRSF17;CCR2;ZNF165;SLC38A1;MME;IGKV1-5;CXCL10;SQLE;BMP2;PTPRC;RRAGD;IGKV4-1;PECAM1;IGHD;MZB1;CHI3L1;GAS6;CD200;IGKV3-20;HLA-DQB1"
