"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","44'-Methylenedianiline-81 mg/kg in Corn Oil-Rat-Liver-3d-up","99/333",3.59464990026365e-25,2.83114626144765e-21,0,0,3.06650126144711,172.598577689711,"KDELR1;HP;RPL10A;CLU;ETS2;LGALS3;AKR7A3;PSMD4;RPS19;PSMD2;FTH1;STMN1;GLUL;JUNB;HMGN3;AP2M1;TPM4;RPS8;RPS5;IFRD1;TALDO1;RPSA;PDIA4;COL4A1;PSME1;VDAC3;PSME2;SUCLG1;S100A4;NUPR1;RPL29;ANP32A;CFI;C3;SULT1A1;SLC9A3R1;PRDX1;EIF4EBP1;PGK1;HMOX1;A2M;PCK1;BTF3;GSTM1;GADD45A;EPHX1;GGH;LYZ;EEF2;EIF2S1;NET1;LCN2;RPS20;DEGS1;FKBP11;BTG2;ORM1;CXCL9;CXCL1;YBX1;TMED2;GUSB;CTSD;CD53;TMED9;HMGCS1;ANXA5;LSR;RHOC;DYNLL1;REXO2;HADHB;ACTA2;UGDH;PSMA4;NPC2;MYH9;CRELD2;C1QB;C1QA;TAGLN;C1S;PON2;SLC3A2;HMGCR;PDLIM1;SELENBP1;GPNMB;SC5D;CCL2;HSPE1;SOD2;PSMB9;PPP1CA;FKBP1A;PSAT1;PSMC2;P4HB;TARDBP",5.05050505050505,5
"2","Ibuprofen-263 mg/kg in Corn Oil-Rat-Liver-3d-up","92/301",1.97273867549269e-24,7.76864490409021e-21,0,0,3.15263373420899,172.079007423453,"FKBP11;SCARB1;BTG2;COX7B;ORM1;ACADVL;TFRC;HP;UBE2L6;CXCL1;CROT;ETFB;CLU;IFIT3;IFIT2;EEF1B2;PPP1CC;RPS19;FCGRT;ANPEP;FTH1;PDK4;BANF1;CD36;JUNB;AP2M1;TMED9;SDS;RPL23;RPS5;LSR;RHOC;DYNLL1;PDIA5;NIPSNAP1;DCN;PDIA4;ACTA2;PSMA6;SLPI;PSMA2;ACOX1;IL1B;PCCB;PSME1;ERP29;IRF7;NDUFS2;NUPR1;RPL29;CRELD2;S100A9;RAI14;C1QB;C1QA;GRN;NDUFB8;RETSAT;C1S;SAR1B;SHMT2;CFI;MRPL17;NEDD8;RRBP1;USP18;C3;SULT1A1;SLC9A3R1;SDCBP;LDHA;PRDX4;CBS;EIF4EBP1;HMOX1;METTL7A;A2M;PCK1;DECR1;CHKB;SDF2L1;GADD45A;LYZ;SOD2;TM9SF2;FABP4;LCN2;RPS20;DEGS1;CHPT1;KLKB1;ITM2C",4.34782608695652,4
"3","Allyl Alcohol-32 mg/kg in Saline-Rat-Liver-1d-up","88/291",4.57044388444138e-23,1.19989386779534e-19,0,0,3.11919028655788,160.450670507408,"FKBP11;ORM1;KDELR1;HP;UBE2L6;CIB1;CXCL1;YBX1;RPL10A;PHB2;LITAF;CLU;IFIT3;IFIT2;EEF1B2;LGALS3;AKR7A3;PSMD4;RPS19;IBSP;PSMD2;ANPEP;FTH1;STMN1;TMED2;GLUL;CD53;TMED9;TPM4;RPS8;RPL23;DCAKD;ANXA5;TALDO1;RPSA;REXO2;ACTA2;UGDH;PSMA6;PSMA4;SLPI;COL4A1;PSME1;VDAC3;IRF7;PSME2;MYH9;S100A4;LCP1;RPL29;CRELD2;S100A9;PRPS1;SF3B2;GRN;MRPL17;CAPG;RRBP1;USP18;PTS;C3;PDLIM1;SLC9A3R1;SDCBP;LDHA;GPNMB;PRDX1;PGK1;HMOX1;CCL2;A2M;BTF3;SDF2L1;EPHX1;LYZ;EEF2;HSPE1;SOD2;EIF2S1;PSMB9;FKBP1A;CXCL10;COPS6;PSMC2;LCN2;RPS20;P4HB;TARDBP",3.40909090909091,3
"4","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-up","88/298",2.76579537964572e-22,5.44585110252242e-19,0,0,3.04592071606827,151.198114773306,"FKBP11;ORM1;CXCL9;ALAS1;RPL10A;CLU;EEF1B2;LGALS3;AKR7A3;PSMD4;RPS19;IBSP;PSMD2;FTH1;STMN1;TMED2;BANF1;CTSD;HMGN3;AP2M1;TMED9;DUSP2;MAP2K1;DAPK1;RPS8;RPL23;RPS5;IFRD1;ANXA5;RPL13A;RPSA;LSR;REXO2;ACTA2;EEF1G;PSMA6;COX7A2L;PSMA4;PSMA2;COL4A1;SUB1;PSME1;VDAC3;PSME2;MYH9;S100A4;RPL29;MFGE8;PFDN5;RAI14;PRPS1;SHMT2;MRPL17;NEDD8;SLC3A2;MRPS30;PTS;PDLIM1;SDCBP;GPNMB;PSMB2;PRDX1;HMOX1;CCL2;APOE;CD14;S100A10;ATP6V1F;BTF3;OSBPL9;GSTM1;GADD45A;EPHX1;HMGA2;LYZ;HSPE1;SOD2;EIF2S1;PSMB9;FKBP1A;TM9SF2;PSMC4;PSMC2;CCNG1;LCN2;RPS20;P4HB;NIT1",3.40909090909091,3
"5","Meloxicam-33 mg/kg in Corn Oil-Rat-Liver-1d-up","87/301",2.3338325029468e-21,3.6762529586418e-18,0,0,2.98129494430633,141.631708680927,"FKBP11;BTG2;ORM1;ACADVL;KDELR1;HP;CXCL1;TMEM97;ETS2;EEF1B2;ALAD;RPS19;ADAMTS1;PSMD2;PSMD3;TMED2;TMED7;JUNB;TMED9;RPL23;USP3;IFRD1;RHOC;ATP1B1;NIPSNAP1;DCN;F5;PDIA4;HADHB;ACTA2;UGDH;PSMA6;MDFIC;SUB1;UNC50;PSME1;ERP29;JTB;MYH9;RAB38;S100A4;NUPR1;CRELD2;S100A9;FBP1;PFDN5;C1QB;C1QA;IDI1;NDUFB8;RETSAT;C1S;SAR1B;CFI;MRPL17;NEDD8;C3;SLC9A3R1;EXOSC4;RDH11;SC5D;DNAJB9;APOE;METTL7A;A2M;PCK1;SEC23B;FDFT1;ATP6V1F;SDF2L1;GADD45A;YIPF5;LYZ;SOD2;PPP1CA;NET1;TJP1;TM9SF2;DLC1;LCN2;RPS20;DEGS1;P4HB;KLKB1;COPE;ITM2C;BET1",4.59770114942529,4
"6","NN-Dimethylformamide-1400 mg/kg in Saline-Rat-Liver-3d-up","89/314",3.44894455952249e-21,4.52731455846653e-18,0,0,2.92356359407798,137.747261662676,"FKBP11;COX7B;ORM1;SLC25A3;TFRC;CTSZ;HP;TMEM97;RPL10A;CLU;EEF1B2;LGALS3;PPP1CC;RPS19;PLAU;ANPEP;STMN1;ARHGDIB;TMED2;TMED7;CTSD;TMPO;CD53;TMED9;RFC3;TPM4;ANXA5;TALDO1;RPSA;RHOC;DYNLL1;REXO2;PDIA4;ACTA2;EEF1G;PSMA6;PSMA4;SLPI;COL4A1;NPC2;SUB1;PSME1;ERP29;PSME2;MYH9;S100A4;LCP1;RPL29;CRELD2;PFDN5;C1QB;TAGLN;GRN;NDUFB8;PCNA;MRPL18;DDX1;MRPL17;NEDD8;CAPG;PTS;HLA-DMA;HLA-DMB;GPNMB;PRDX1;HMOX1;CCL2;A2M;BTF3;SDF2L1;CBX5;ATAD2;EPHX1;LYZ;HSPE1;SOD2;EIF2S1;PSMB9;PPP1CA;FKBP1A;FABP4;PSMC4;PRC1;FXYD2;ALOX5AP;LCN2;RPS20;P4HB;NIT1",3.37078651685393,3
"7","Betamethasone-79 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","88/311",6.54356038431871e-21,7.36244022669917e-18,0,0,2.91859927134516,135.644252167489,"ORM1;SLC25A3;TFRC;HP;UBE2L6;IFI35;YBX1;PHB2;IFIT3;IFIT2;HK1;ALAD;HEBP1;CCND2;RPS19;FCGRT;UROD;PSMD2;RNPEP;TMED2;BANF1;PGLYRP1;GLUL;AP2M1;TOR3A;DAPK1;RPS8;RPL23;RPS5;TAP1;RPL13A;REXO2;CDC25B;EEF1G;SLC7A5;SLPI;EWSR1;PSMA2;COL4A1;HMBS;PSME1;IRF7;YME1L1;SPARCL1;PSME2;MYH9;MCM5;RPL29;S100A9;C1QB;C1QA;PRPS1;GRN;PCNA;SHMT2;MRPL18;PON2;ALOX15;MRPL17;SLC3A2;GATA1;USP18;SLC9A3R1;SDCBP;LDHA;EXOSC4;HLA-DMB;GPNMB;BAG1;EIF4EBP1;POLR2F;ASCC3;PCK2;YARS;CDKN2C;ATP13A1;PLK1;ASNS;HSPE1;PSMB9;CXCL10;COPS6;FABP4;PSMC2;MGP;ALOX5AP;GCLM;RNF187",2.27272727272727,2
"8","Vinblastine-0.3 mg/kg in Saline-Rat-Liver-5d-up","88/311",6.54356038431871e-21,6.44213519836177e-18,0,0,2.91859927134516,135.644252167489,"FKBP11;SCARB1;ORM1;SPARC;TFRC;HP;UBE2L6;CIB1;CXCL1;TMEM97;YBX1;RPL10A;CLU;EEF1B2;LGALS3;RPS19;IBSP;STMN1;TMED2;CD36;TMED7;GUSB;GLUL;CTSD;AP2M1;TMPO;CD53;TMED9;TPM4;HMGCS1;RPS8;RPL23;RPS5;ANXA5;IGFBP2;RPSA;LSR;RHOC;DYNLL1;PDIA5;DCN;ACTA2;PSMA6;COX7A2L;COL4A1;NPC2;SUB1;PCCB;VDAC3;IRF7;PSME2;MYH9;CRELD2;C1QB;C1QA;SF3B2;GRN;CFI;MRPL17;NEDD8;USP18;C3;SULT1A1;PDLIM1;SLC9A3R1;SDCBP;PRDX4;GPNMB;PGK1;HMOX1;APOE;A2M;BTF3;GSTM1;EPHX1;HSPE1;SOD2;EIF2S1;NET1;FKBP1A;TM9SF2;PRC1;PSMC2;CCNG1;LCN2;RPS20;P4HB;ITM2C",6.81818181818182,6
"9","Phenylhydrazine-78 mg/kg in Water-Rat-Liver-3d-up","92/335",7.9884634708779e-21,6.99079314407049e-18,0,0,2.8326649373042,131.085219913833,"SCARB1;BTG2;ORM1;CXCL9;TFRC;GLDC;CTSZ;HEXA;CHD7;HP;CXCL1;YBX1;ETFB;LITAF;ETS2;LGALS3;RPS19;ADAMTS1;FTH1;PDK4;GLUL;JUNB;CTSD;AP2M1;BNIP3L;SDS;RPS8;RPL23;RPS5;IFRD1;RNASE4;RPSA;ATP1B1;PDIA5;F5;ACTA2;UGDH;PSMA2;COL4A1;NPC2;ACOX1;PCCB;MYH9;NUPR1;LCP1;S100A9;C1QB;C1QA;GRN;C1S;SAR1B;SHMT2;SLC20A1;CFI;ALOX15;CAPG;SLC3A2;HMGCR;PTS;C3;SULT1A1;PDLIM1;SDCBP;LDHA;GPNMB;PRDX1;PGK1;HMOX1;DNAJB9;CD14;A2M;PCK1;MAPK6;DECR1;ATP6V1F;OSBPL9;GSTM1;GADD45A;EPHX1;EEF2;NET1;FABP4;P4HA1;PSMC4;CCNG1;PXMP4;DEGS1;CHPT1;CIAPIN1;TARDBP;KLKB1;ITM2C",6.52173913043478,6
"10","Carbon Tetrachloride-1175 mg/kg in Corn Oil-Rat-Liver-0.25d-up","86/307",3.74044645461123e-20,2.9459756276518e-17,0,0,2.88943056379174,129.251443687558,"FKBP11;BTG2;COX7B;ORM1;CXCL9;CIB1;CXCL1;RPL10A;ETS2;EEF1B2;PSMD4;RPS19;IBSP;PLAU;BANF1;TMED7;PHLDA1;TMED9;DUSP2;MAP2K1;SDS;DAPK1;RPS8;RPL23;USP3;RPS5;IFRD1;RPSA;DYNLL1;ATP1B1;PDIA4;ACTA2;UGDH;PSMA6;PSMA4;PSMA2;SUB1;VDAC3;S100A4;NUPR1;CRELD2;MFGE8;RAI14;PRPS1;PSMD11;SAR1B;SHMT2;CREM;MRPL17;NEDD8;SLC3A2;HMGCR;USP18;PAPSS1;PDLIM1;SDCBP;PSMB2;PRDX1;HMOX1;DNAJB9;CCL2;CD14;EIF4E;SEC23B;BTF3;YARS;JUN;SDF2L1;GADD45A;YIPF5;G0S2;HMGA2;LYZ;HSPE1;SOD2;EIF2S1;CXCL10;GCLC;PSMC4;PSMC2;CCNG1;RPS20;DEGS1;PTPN7;TARDBP;GCLM",3.48837209302326,3
