"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Hydroxyurea-400 mg/kg in Saline-Rat-Spleen-1d-up","93/300",3.99741397058218e-07,0.00314836324323053,0,0,1.62772381202415,23.9803564292116,"CLIC5;HIP1;GMFG;HFE;ITGB2;ARRB2;FAIM3;ETS1;CTSS;PYCARD;STK10;CAPN9;TRIM28;CDH1;SMPD1;SLCO2B1;TIMP2;COTL1;ACP5;SH3BGRL3;CD37;CTSF;CLIC2;JAK3;PTRF;GPSM3;DLGAP4;APOBEC1;CD53;ANXA1;MMP2;AKR1A1;IL16;ZFX;F5;HCK;TYROBP;RASA3;COL4A1;NPC2;LCK;SERPING1;CD48;LCP2;LCP1;CD44;RAI14;C1QB;POPDC2;C1QA;CD63;LRP1;FGL2;LTBP4;PTTG1IP;AIF1;FBLN5;STRN4;PLD2;SRM;INPP5B;POLD4;HLA-DMA;HLA-DMB;PRDX1;MGAT3;PGK1;MAN1C1;FLNA;PLCG1;PIP5K1C;MBD3;VCAM1;TNFSF12;RARRES2;CAV1;LAPTM5;HMGA2;SMAD5;FMNL1;FABP4;PTPRC;CXCL12;PSMC4;NEDD4;MGP;IL2RB;TCF4;PKN1;PTPN7;CALM2;SOLH;MXD4",2.1505376344086,2
"2","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn","95/310",5.38473106337211e-07,0.00212050709275594,0,0,1.6090922179219,23.2264871301983,"MDC1;FEN1;NUP107;NXT1;RPL32;HP1BP3;HMGB2;ATP5G3;MKI67;ATP5G1;KIF15;TUBA1B;TRIM28;PPP2R4;FGF9;NNT;CDH1;C1QBP;PSMD3;STMN1;CASP2;KNTC1;MYBL2;CD36;SEPHS1;GUSB;LBR;POLE;TMPO;HMGN1;SUPT16H;RFC3;LIG1;H2AFY;ACTL6A;TIMM23;CKAP5;DUSP7;PSMA5;CCNA2;TUBB2C;MMP14;MSH2;ESPL1;INCENP;KIFC1;CCNE1;VDAC3;TFAM;MCM4;CD48;MCM5;DNAJC9;SNRPB;PRPS1;DNMT1;AHCY;PCNA;CDCA4;HDAC1;PRIM1;CDCA8;AURKB;INPP5B;RACGAP1;PRDX1;DND1;ESD;USP1;RBM10;PCK2;RRM1;CDKN2C;UBE2B;MDH2;ATAD2;HMGA2;IMMT;HSPE1;SMAD5;EIF2S1;GNB2L1;SOD1;COQ3;POLA2;COPS6;GCLC;PRC1;TOLLIP;TBCE;ANP32E;CYCS;CALM2;MXD3;RAN",3.15789473684211,3
"3","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","97/321",8.32984776563688e-07,0.00218686270007187,0,0,1.586666764811,22.2105587868524,"RPL32;PRF1;HP;FAIM3;CTGF;STK10;GJA1;FGF9;ADORA3;SLCO2B1;COTL1;HMHA1;ACSL4;PCOLCE;SDHB;TYROBP;COL4A1;SERPING1;RAI14;ANAPC2;DNMT1;ALOX15;PTTG1IP;C2;PLD2;APOE;TSPAN3;VCAM1;LY86;RAB27A;HMGA2;ZFHX4;COL1A1;EHD2;PTPRC;CXCL12;TOLLIP;MXD4;ITGB2;ILK;CHD3;LSP1;ARRB2;CTSS;KHK;LIMD2;SMPD1;ACP5;SH3BGRL3;CD37;CTSF;CLIC2;JAK3;ADAMTS9;GPSM3;APOBEC1;CD53;MAP4K2;VWF;AKR1A1;ARHGEF18;IL16;DUSP7;F5;HCK;PTP4A3;SLC7A7;RASA3;NPC2;ARHGEF3;LCP2;LCP1;CD44;C1QB;POPDC2;C1QA;CD63;LRP1;UNC93B1;FGL2;AIF1;CLCN1;HLA-DMB;MGAT3;FLNA;BCAP31;GIT2;MDH2;STAT2;HSPE1;XAB2;FMNL1;FABP4;MGP;ALOX5AP;PTPN6;PKN1",2.06185567010309,2
"4","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","93/307",1.23430995157353e-06,0.00243035629464828,0,0,1.59060958829722,21.6402410433126,"CDKN1C;SPON1;HIP1;RPL32;GMFG;PLOD2;ATP5G3;FAIM3;CTSS;STK10;GJA1;C1QBP;SMPD1;SLCO2B1;TIMP2;COTL1;ACP5;SH3BGRL3;ACP2;CTSF;TPSAB1;CLIC2;GUSB;JAK3;ADAMTS9;HMGN1;APOBEC1;CPA3;PCYT1A;GPX3;SSR2;PGAM1;MMP2;ANXA5;ATP6AP2;AKR1A1;BGN;PCOLCE;RCN3;TYROBP;MAF;RASA3;COL4A1;NPC2;PPAP2B;COL6A1;SERPING1;VDAC2;PPARG;LCP1;C1QB;C1QA;CD63;LRP1;NDUFB5;FGL2;HTRA1;PTTG1IP;AIF1;GSPT1;FBLN5;C2;HLA-DMB;CCL5;ESD;FLNA;CCL2;PLCG1;APOE;TSPAN3;CD14;BCAP31;MBD3;MOSC2;VCAM1;RARRES2;LAPTM5;FMO1;HSPE1;ZFHX4;COL1A1;MFAP5;EHD2;FABP4;CXCL12;BMP1;COL5A1;NEDD4;MGP;PTPN6;CDO1;FGFR2;MXD4",4.3010752688172,4
"5","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","86/285",3.623791814635e-06,0.00570819686641305,0,0,1.58442838521876,19.8497023600516,"COL18A1;CLIC5;TRAF3IP3;RPL32;GMFG;ELN;ITGB2;ICAM2;CLTA;CHD3;LSP1;FAIM3;ETS1;CTSS;LIMD2;STK10;SLCO2B1;SESN1;COTL1;ACP5;CD37;CLIC2;JAK3;GPSM3;CD53;MAP4K2;H2AFY;GPX3;PGAM1;IGFBP3;MMP2;AKR1A1;IL18;HMHA1;ARHGEF18;IL16;HCK;PTP4A3;TYROBP;MAF;RASA3;NPC2;ARHGEF3;SERPING1;LCP2;LCP1;RAPGEF5;C1QB;C1QA;CD63;LRP1;UNC93B1;ALOX15;FGL2;LTBP4;PTTG1IP;FBLN5;RAB21;HLA-DMA;HLA-DMB;TCOF1;CCL5;MGAT3;FLNA;SCN7A;PLCG1;APOE;TSPAN3;ATP6V1C1;GIT2;VCAM1;STAT2;LAPTM5;LY86;RPL35A;GNB2L1;BST1;FMNL1;FABP4;PTPRC;CXCL12;TBCE;MGP;PTPN6;PKN1;MXD4",2.32558139534884,2
"6","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-3d-up","101/348",3.74154839655883e-06,0.0049114058618829,0,0,1.52391643506155,19.0428765698083,"MDC1;SCARB1;RPL32;MKI67;GJA1;CHCHD3;TRIM28;FGF9;ADORA3;PSMD3;HMGN1;SUPT16H;LIG1;ATP1B3;PCOLCE;KARS;COL4A1;VDAC3;SERPING1;SNRPB;ANAPC2;DNMT1;ALOX15;HTRA1;PTTG1IP;GSPT1;C2;STIP1;PRDX1;ESD;PLCG1;APOE;GAS2L1;PCK2;MOSC2;VCAM1;HMGA2;GP5;SMAD5;GNB2L1;TJAP1;TMEM111;SELP;COPS6;CXCL12;CYCS;NXT1;ILK;ATP5G3;ATP5G1;KHK;TUBA1B;PPP2R4;ACP5;MYBL2;TK1;CD36;LBR;POLE;RFC3;PCYT1A;VWF;GPX3;SSR2;F5;CCNA2;TUBB2C;MMP14;SLC7A7;PSMA1;NDUFS7;RASA3;KIFC1;COL6A1;MCM4;CD48;MCM5;C1QB;AHCY;PCNA;HDAC1;PRIM1;FGL2;COX5A;SRM;PSMB7;SAMM50;MFN2;POLR2F;RRM1;MDH2;ATAD2;PLCL2;SSRP1;HSPE1;RAB11B;SOD1;PRC1;NEDD4;RGS12;RAN",3.96039603960396,4
"7","Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-5d-up","83/276",6.13842529465839e-06,0.00690660537438993,0,0,1.57902146327729,18.9497454955162,"CLIC5;HIP1;ILK;ARRB2;CTSS;TUBA1B;CDH1;SMPD1;SLCO2B1;TIMP2;ACP5;ACP2;CD36;CTSF;CLIC2;GUSB;PTRF;APOBEC1;ANXA1;IL15;GPX3;IGFBP3;ANXA5;IL18;PCOLCE;DUSP7;F5;RCN3;HCK;TYROBP;MAF;NDUFS7;COL4A1;NPC2;COL6A1;SERPING1;CD302;LCP1;RAI14;ANAPC2;C1QB;C1QA;CD63;RAMP2;RTN1;LRP1;FGL2;LTBP4;HTRA1;PTTG1IP;AIF1;NID2;FBLN5;CLCN1;HLA-DMA;PRDX1;CCL5;SCN7A;PLCG1;APOE;PIP5K1C;POLR2I;XDH;BCAP31;AOC3;MOSC2;VCAM1;KCNJ8;TGFB3;TNFSF12;RARRES2;LAPTM5;NKG7;NR2F2;EHD2;CXCL11;FABP4;CXCL12;COL5A1;NEDD4;MGP;PTPN7;MAP3K12",3.6144578313253,3
"8","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-3d-up","97/336",7.36600319071353e-06,0.00725183014125747,0,0,1.51583342709623,17.9150824606673,"SPON1;PRF1;HP;PLOD2;LOXL1;CTGF;COMP;STK10;GJA1;FGF9;CDH1;SLCO2B1;PGLYRP1;CPA3;HMHA1;PCOLCE;PDGFRL;TYROBP;COL4A1;FEZ2;SERPING1;ENPEP;ALOX15;HTRA1;PTTG1IP;C2;PRDX1;SERPINH1;APOE;TSPAN3;ATP6V1C1;VCAM1;RARRES2;SMAD5;ZFHX4;COL1A1;EHD2;PTPRC;CXCL12;COL5A1;CYCS;FGFR2;MXD4;ITGB2;LSP1;CTSS;SLC6A4;KHK;SMPD1;ACP5;SH3BGRL3;CTSF;CLIC2;CTSD;ADAMTS9;DLGAP4;APOBEC1;CD53;MAP4K2;ANXA1;PCYT1A;VWF;GPX3;MMP2;ANXA5;AKR1A1;BGN;NME1;F5;RCN3;RASA3;NPC2;PPAP2B;COL6A1;ARHGEF3;PPARG;CD48;LCP2;LCP1;CD44;C1QB;POPDC2;C1QA;CD63;LRP1;PTAFR;FGL2;AIF1;CCL5;FLNA;XDH;BCAP31;MFAP5;FABP4;NEDD4;MGP;ALOX5AP",3.09278350515464,3
"9","Thioguanine-24 mg/kg in Corn Oil-Rat-Spleen-5d-up","92/315",7.51014911232944e-06,0.00657221493430074,0,0,1.53354419566024,18.0946793821447,"RPL32;GMFG;CLTA;CIB1;CHD3;LSP1;BZW2;FAIM3;ETS1;CTSS;STK10;TRIM28;CDH1;C1QBP;SMPD1;SLCO2B1;TIMP2;COTL1;ACP5;SH3BGRL3;CD37;CLIC2;JAK3;GPSM3;CD53;MAP4K2;CCT2;ADSL;ANXA1;H2AFY;GPX3;PGAM1;IGFBP3;AKR1A1;IL18;HMHA1;IL16;HCK;IMPACT;TYROBP;NDUFS7;RASA3;COL4A1;NPC2;LCK;SERPING1;VDAC2;LCP1;C1QB;BLK;C1QA;CD63;RAMP2;RTN1;LRP1;UNC93B1;LTBP4;HTRA1;PTTG1IP;HIF1A;COX5A;AIF1;FBLN5;POLD4;HLA-DMA;HLA-DMB;PRDX1;CCL5;PGK1;POLR2G;PLCG1;TSPAN3;BCAP31;GIT2;MOSC2;VCAM1;STAT2;CAV1;LAPTM5;RPL35A;EIF2S1;GNB2L1;CXCL11;FMNL1;FABP4;PTPRC;CXCL12;TOLLIP;MGP;PKN1;CALM2;MXD4",3.26086956521739,3
"10","Cyclophosphamide-25 mg/kg in Water-Rat-Bone marrow-3d-up","88/306",2.23900478684747e-05,0.0176344017012106,0,0,1.5100115481565,16.1675335689055,"FKBP11;NXT1;RPL32;ITGB2;PRF1;HP;CLTA;ATP5G3;ATP5G1;CTSS;TMEM93;KHK;MRPL42;GJA1;TUBA1B;TRIM28;FGF9;CDH1;ADORA3;SLCO2B1;CTSF;PGLYRP1;TPSAB1;CLIC2;HMGN1;APOBEC1;CPA3;ANXA1;SSR2;MMP2;AKR1A1;PCOLCE;ZFX;SDHB;NME1;PSMA5;SLC7A7;PSMA1;NDUFS7;COL4A1;NPC2;CD48;LCP1;C1QB;POPDC2;C1QA;CD63;DNMT1;PCNA;NDUFB5;ALOX15;PTTG1IP;COX5A;AIF1;GSPT1;C2;PSMB7;OGFRL1;SAMM50;PRDX1;ESD;MGAT3;PGK1;CCL2;APOE;BCAP31;VCAM1;MDH2;RARRES2;RAB27A;NKG7;HMGA2;RPL35A;NAP1L1;HSPE1;SMAD5;EIF2S1;GNB2L1;SOD1;FABP4;CXCL12;PSMC4;NEDD4;ALOX5AP;LCN2;CYCS;CALM2;RAN",2.27272727272727,2
