"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","9/265",1.71318041373874e-08,0.000134930089386063,0,0,13.5849056603774,242.929755303192,"CCNA2;RFC3;LIG1;KIFC1;CHEK1;STMN1;MYBL2;MKI67;KIF15",0,0
"2","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","9/284",3.1127194848708e-08,0.000122578893314212,0,0,12.6760563380282,219.1079657842,"CCNA2;RFC3;LIG1;KIFC1;CHEK1;STMN1;MYBL2;MKI67;KIF15",0,0
"3","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","9/286",3.30633014919365e-08,8.68021875168307e-05,0,0,12.5874125874126,216.816191570765,"CCNA2;CENPE;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
"4","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","9/288",3.51039274623142e-08,6.91196331732967e-05,0,0,12.5,214.561910240262,"CCNA2;RFC3;LIG1;KIFC1;STMN1;MYBL2;TK1;MKI67;KIF15",0,0
"5","Etoposide-100 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","9/295",4.31398797011219e-08,6.79539385052073e-05,0,0,12.2033898305085,206.955066930206,"CCNA2;CENPE;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
"6","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","9/299",4.84185390407749e-08,6.35574022475239e-05,0,0,12.0401337792642,202.796585320113,"CCNA2;RFC3;LIG1;KIFC1;CHEK1;STMN1;MYBL2;MKI67;KIF15",0,0
"7","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-up","9/307",6.06930149309188e-08,6.82883122279881e-05,0,0,11.7263843648208,194.862456009097,"CCNA2;RFC3;LIG1;KIFC1;STMN1;MYBL2;TK1;MKI67;KIF15",0,0
"8","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","9/315",7.5602844638406e-08,7.44310005465107e-05,0,0,11.4285714285714,187.403107736876,"CCNA2;CENPE;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
"9","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-1d-dn","8/250",1.81817422276656e-07,0.000159110446427882,0,0,12.8,198.65936419443,"CCNA2;LIG1;KIFC1;STMN1;MYBL2;TK1;MKI67;KIF15",0,0
"10","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-3d-dn","8/264",2.75522833674473e-07,0.000217001783802015,0,0,12.1212121212121,183.086004011355,"CCNA2;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
"11","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-dn","8/276",3.86231953537662e-07,0.000276542078732966,0,0,11.5942028985507,171.209596893433,"CCNA2;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
"12","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-dn","8/279",4.19221416379356e-07,0.000275148989616984,0,0,11.4695340501792,168.428577680899,"CCNA2;RFC3;LIG1;KIFC1;STMN1;MYBL2;MKI67;KIF15",0,0
