"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Hydroxyurea-59 mg/kg in Saline-Rat-Bone marrow-1d-dn","25/323",1.34489693633546e-06,0.0105924082705781,0,0,2.97689926172898,40.2452761821457,"COPB2;MTCH2;CTSZ;CLTA;MKI67;TYMS;COX5A;AURKB;HK1;PSMB7;GPNMB;PRDX1;ADORA3;MYBL2;TK1;PCK2;SLC16A1;SDHD;DYNLL1;NME1;NET1;HADHB;CCNA2;NDUFS7;KIFC1",0,0
"2","Gentamicin-267 mg/kg in Corn Oil-Rat-Liver-5d-up","24/302",1.374372975738e-06,0.00541228077845624,0,0,3.05654610290372,41.2557706016256,"C1QB;C1QA;CEBPA;FZD5;SRD5A1;IGFBP3;HP;PDIA5;C2;DUSP7;SULT1A1;NET1;LGALS3;H1F0;MAFB;GPNMB;ADAMTS1;ADORA3;DPYD;MGAT1;METTL7A;MAPK6;CTSD;FADS1",4.16666666666667,1
"3","Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-5d-up","22/276",3.59187168035608e-06,0.00942986045149483,0,0,3.06577480490524,38.4351194121612,"C1QB;C1QA;GSTM1;GALNT2;IGFBP3;CTSZ;ANXA5;IL18;LTBP4;HTRA1;G0S2;CAPG;DYNLL1;DUSP7;F5;SULT1A1;LGALS3;CXCL10;GPNMB;NDUFS7;PRDX1;METTL7A",0,0
"4","Prednisolone-184 mg/kg in Water-Rat-Liver-5d-up","23/306",5.78446982526299e-06,0.0113896210859428,0,0,2.89089994972348,34.8652185147522,"COL18A1;CEBPA;GSTM1;SLC16A1;GLDC;FN1;HP;G0S2;MRPL15;SDHD;COX5A;AGPAT2;ASGR2;NME1;SULT1A1;HADHB;PSMB7;H1F0;PRDX1;ADORA3;DPYD;ME1;A2M",0,0
"5","Zileuton-450 mg/kg in Corn Oil-Rat-Liver-3d-dn","23/306",5.78446982526299e-06,0.00911169686875427,0,0,2.89089994972348,34.8652185147522,"C1QB;COL18A1;C1QA;MTCH2;SRD5A1;IGFBP3;HP;HTRA1;COX5A;PDIA5;C2;ASGR2;F5;SULT1A1;PSMB7;GRHPR;H1F0;NDUFS7;PRDX1;ADORA3;DPYD;A2M;FADS1",0,0
"6","Alprazolam-115 mg/kg in Corn Oil-Rat-Liver-1d-dn","23/309",6.79259230319149e-06,0.00891640949665603,0,0,2.86283295992034,34.0667901238844,"COL18A1;C1QA;COPB2;SLC16A1;GLDC;IGFBP3;HP;G0S2;AGPAT2;ASGR2;PAPSS1;SULT1A1;HADHB;HEBP1;GRHPR;H1F0;STS;NDUFS7;ADAMTS1;ME1;A2M;CES1;MPDU1",4.34782608695652,1
"7","Beta-Estradiol 3-Benzoate-25 mg/kg in Corn Oil-Rat-Liver-5d-dn","23/309",6.79259230319149e-06,0.00764263671141946,0,0,2.86283295992034,34.0667901238844,"C1QB;C1QA;MTCH2;SLC16A1;SRD5A1;IGFBP3;G0S2;MRPL15;SDHD;AGPAT2;C2;F5;SULT1A1;HADHB;PSMB7;GRHPR;NDUFS7;PRDX1;ADORA3;DPYD;ME1;MGAT1;FADS1",0,0
"8","Ritonavir-1200 mg/kg in CMC-Rat-Kidney-5d-dn","22/292",8.86512736459292e-06,0.00872771789044173,0,0,2.89778714436249,33.7110742269606,"CDKN1C;COL18A1;SLC16A1;GLDC;GALNT2;AK2;G0S2;GGH;CAPG;SLC4A4;COX5A;DUSP7;HEBP1;H1F0;ADAM15;NDUFS7;SLCO4A1;KIFC1;CAMK2N1;UAP1L1;ME1;FADS1",4.54545454545455,1
"9","Manganese (II) Chloride-700 mg/kg in Water-Rat-Liver-1d-up","22/295",1.04162520271397e-05,0.00911537788508357,0,0,2.86831812255541,32.9057564649296,"C1QB;C1QA;COPB2;SLC16A1;FZD5;SRD5A1;HP;HTRA1;CLTA;PDIA5;C2;ASGR2;PAPSS1;HADHB;LGALS3;GPNMB;ADORA3;DPYD;MGAT1;METTL7A;A2M;FADS1",0,0
"10","Ipriflavone-1500 mg/kg in CMC-Rat-Liver-3d-up","23/318",1.08484127737047e-05,0.00854420990056982,0,0,2.78180938558297,31.8002311159635,"COL18A1;CEBPA;GSTM1;SLC16A1;HP;GGH;FAH;COX5A;PDIA5;NME1;NET1;HADHB;HEBP1;PSMB7;GRHPR;NDUFS7;ADAMTS1;PRDX1;ADORA3;ME1;CTSD;LDLR;CES1",8.69565217391304,2
