"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn","51/310",1.59469577854697e-09,1.25598239518359e-05,0,0,2.47765254566654,50.1887740731203,"MDC1;FEN1;STEAP3;NUP107;MKI67;KIF15;RPS17;TUBA1B;STMN1;KNTC1;MYBL2;LBR;POLE;FADS1;TMPO;HMGN1;SUPT16H;RFC3;LIG1;TIMM23;DUSP7;HADHB;CCNA2;MSH2;ESPL1;KIFC1;VDAC3;TFAM;MCM4;GARS;MCM5;DNAJC9;DNMT1;PCNA;GYPC;PRIM1;CDCA8;NEDD8;AURKB;RACGAP1;USP1;RRM1;CDKN2C;ATAD2;IMMT;HSPE1;SOD1;NET1;POLA2;PRC1;MXD3",5.88235294117647,3
"2","Hydroxyurea-59 mg/kg in Saline-Rat-Bone marrow-1d-dn","52/323",2.40063110472904e-09,9.45368529042295e-06,0,0,2.42455891678168,48.1215159573535,"MDC1;FEN1;MTCH2;CTSZ;CLTA;MKI67;RPS17;TUBA1B;ADORA3;MYBL2;TK1;POLE;SUPT16H;USP7;RFC3;LIG1;TIMM23;CACYBP;ATP1B3;SDHD;NME1;HADHB;CCNA2;MSH2;NDUFS7;KIFC1;PSME3;VDAC3;MCM4;MCM5;DNAJC9;DNMT1;NDUFB8;PCNA;GYPC;MRPL18;PRIM1;TYMS;COX5A;AURKB;PSMB7;RRM1;CDKN2C;SLC16A1;ATAD2;IMMT;HSPE1;SOD1;NET1;PRC1;GCLM;MXD3",3.84615384615385,2
"3","Vinorelbine-1.5 mg/kg in Saline-Rat-Bone marrow-1d-dn","52/328",4.13434821024304e-09,1.08540421679581e-05,0,0,2.38759917719659,46.0900620645898,"MDC1;BTG2;FEN1;HP;CLTA;MKI67;KIF15;RPS17;TUBA1B;STMN1;CD37;KNTC1;MYBL2;POLE;TMPO;HMGN1;SUPT16H;USP7;RFC3;LIG1;CCNA2;COX7A2L;MSH2;ESPL1;KIFC1;VDAC2;MCM4;GARS;MCM5;DNAJC9;DNMT1;GYPC;MRPL18;MRPS31;CDCA8;AURKB;RACGAP1;USP1;BCAP31;RRM1;CDKN2C;SLC16A1;ATAD2;GGH;SOD1;NET1;POLA2;PRC1;TACC3;LCN2;MXD3;CDKN3",5.76923076923077,3
"4","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-dn","45/279",2.67742598536994e-08,5.27185176519342e-05,0,0,2.42907112320249,42.3528586867968,"MDC1;FEN1;MTCH2;NDUFB8;PCNA;GYPC;CDCA8;MKI67;AURKB;KIF15;RPS17;RACGAP1;STMN1;USP1;KNTC1;MYBL2;LBR;POLE;TMPO;HMGN1;SUPT16H;USP7;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;ATAD2;SOD1;NET1;CCNA2;POLA2;ESPL1;KIFC1;PRC1;VDAC3;TACC3;LCN2;VDAC2;MCM4;GARS;MCM5;DNAJC9;MXD3;CDKN3",2.22222222222222,1
"5","Ticrynafen-570 mg/kg in CMC-Rat-Liver-1d-up","47/309",8.37797617979374e-08,0.000131969880784111,0,0,2.2907162631107,37.327391855626,"GALNT11;FEN1;PCNA;NDUFB5;MRPL18;PRIM1;HP;CDCA8;NEDD8;TMEM97;HMMR;MKI67;COX5A;AURKB;PSMB7;TUBA1B;SAMM50;RACGAP1;STMN1;KNTC1;BPNT1;APOE;SLC37A4;FADS1;TMPO;HMGN1;RRM1;GSTM1;CDKN2C;LIG1;TIMM23;IMMT;SDHD;EEF2;HSPE1;NME1;SOD1;HADHB;CCNA2;KIFC1;PRC1;VDAC3;VDAC2;GARS;DNAJC9;GCLM;FBP1",4.25531914893617,2
"6","Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-1d-dn","46/304",1.34165103825115e-07,0.000176114059621101,0,0,2.2788522511097,36.0610016624367,"MDC1;BTG2;FEN1;NDUFB8;NUP107;PCNA;GMFG;PRIM1;CDCA8;NEDD8;MKI67;KIF15;RPS17;TUBA1B;RACGAP1;STMN1;CD37;KNTC1;MYBL2;POLE;TMPO;HMGN1;SUPT16H;USP7;RFC3;RRM1;CDKN2C;LIG1;HSPE1;SOD1;COL1A1;CCNA2;COX7A2L;POLA2;TYROBP;CDK5;ESPL1;KIFC1;PRC1;TACC3;MCM4;GARS;MCM5;DNAJC9;MVD;MXD3",4.34782608695652,2
"7","Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","47/315",1.50841293977692e-07,0.000169718004481186,0,0,2.24708357238478,35.2950261305883,"MDC1;VIPR1;FEN1;MTCH2;NDUFB8;PCNA;GYPC;MRPL18;CDCA8;MKI67;TYMS;COX5A;AURKB;KIF15;PAPSS1;PSMB7;RPS17;TUBA1B;RACGAP1;STMN1;MYBL2;SLC25A21;POLE;HMGN1;USP7;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;RFC2;SSR2;ATAD2;ATP1B3;SDHD;MRPS7;SOD1;CCNA2;CENPE;POLA2;NDUFS7;ESPL1;KIFC1;VDAC3;MCM4;MCM5;DNAJC9",4.25531914893617,2
"8","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-up","50/349",2.21090120059669e-07,0.000217663223198745,0,0,2.15762764525149,33.0649865266384,"STEAP3;MTCH2;CSE1L;MKI67;TUBA1B;STMN1;KNTC1;MYBL2;FADS1;TMPO;HMGN1;LIG1;VWF;TIMM23;CACYBP;ATP1B3;MRPS7;NME1;HADHB;CCNA2;MSH2;KIFC1;COL4A1;PSME3;MCM4;GARS;MCM5;DNAJC9;DNMT1;NDUFB8;PCNA;GYPC;NDUFB5;MRPL18;PRIM1;CDCA8;TYMS;C2;PSMB7;SAMM50;TRAP1;RRM1;ATAD2;IMMT;HSPE1;SOD1;NET1;PRC1;TRIP13;CDKN3",4,2
"9","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-dn","43/287",4.50018220859409e-07,0.000393815945276522,0,0,2.25641240921876,32.9751607751948,"MDC1;BTG2;FEN1;NDUFB8;PCNA;GYPC;CDCA8;CLTA;MKI67;KIF15;RPS17;TUBA1B;RACGAP1;STMN1;CD37;KNTC1;MYBL2;TMPO;HMGN1;SUPT16H;USP7;RRM1;CDKN2C;SLC16A1;LIG1;ATAD2;IMMT;SOD1;CCNA2;POLA2;ESPL1;KIFC1;PRC1;VDAC3;TACC3;LCN2;VDAC2;MCM4;GARS;MCM5;DNAJC9;MXD3;CDKN3",2.32558139534884,1
"10","Lead(IV) Acetate-200 mg/kg in Saline-Rat-Kidney-1d-up","47/330",6.02383693762247e-07,0.000474437397207146,0,0,2.14494341000365,30.7206757845883,"FEN1;NDUFB8;PCNA;PRIM1;MRPS33;CDCA8;NEDD8;TMEM97;HMMR;MKI67;AURKB;PSMB7;RPS17;TUBA1B;RACGAP1;ADORA3;STMN1;USP1;KNTC1;CTSD;TMPO;HMGN1;ATP6V1F;RFC3;RRM1;GSTM1;CDKN2C;LIG1;SSR2;RARRES2;MMP2;ATAD2;TIMM23;IMMT;MRPS7;HSPE1;ZWINT;DUSP7;SOD1;CCNA2;CXCL10;KIFC1;PRC1;TACC3;TFAM;DNAJC9;MXD3",4.25531914893617,2
"11","Etoposide-100 mg/kg in Corn Oil-Rat-Spleen-3d-dn","47/334",8.54625804397761e-07,0.000611912075948797,0,0,2.11925546497367,29.6115134016191,"C1QB;MDC1;C1QA;FEN1;PCNA;GYPC;CDCA8;NEDD8;TMEM97;PTTG1IP;MKI67;TYMS;AIF1;PSMB7;RPS17;TUBA1B;RACGAP1;STMN1;MYBL2;LBR;FADS1;SUPT16H;USP7;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;SSR2;ATAD2;TIMM23;GGH;ATP1B3;MRPS7;HSPE1;DUSP7;SOD1;CCNA2;TYROBP;CXCL12;NDUFS7;KIFC1;PRC1;VDAC2;MCM4;DNAJC9;GCLM",4.25531914893617,2
"12","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","40/265",9.25124571838325e-07,0.000607190093983221,0,0,2.27324391907252,31.5829448425638,"BLK;BTG2;PCNA;GYPC;MRPL18;CDCA8;MKI67;NID2;KIF15;AKAP12;RPS17;TUBA1B;CHEK1;STMN1;ST3GAL6;CD37;MYBL2;LBR;TMPO;HMGN1;SUPT16H;USP7;RFC3;RRM1;CDKN2C;SLC16A1;SYK;LIG1;ATAD2;ATP1B3;SOD1;COL1A1;CCNA2;KIFC1;PRC1;VDAC3;MCM4;GARS;DNAJC9;MXD3",0,0
"13","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Spleen-3d-dn","45/320",1.48026965705391e-06,0.000896815678381274,0,0,2.11784638554217,28.4284583430568,"MDC1;FEN1;CXCL9;PCNA;GYPC;CDCA8;NEDD8;TMEM97;MKI67;TYMS;AURKB;PAPSS1;PSMB7;TUBA1B;RACGAP1;STMN1;HMOX1;KNTC1;MYBL2;TMPO;SUPT16H;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;ATAD2;TIMM23;GGH;ATP1B3;MRPS7;HSPE1;DUSP7;SOD1;CCNA2;POLA2;CXCL12;KIFC1;PRC1;VDAC3;MCM4;GARS;DNAJC9;GCLM;MXD3",8.88888888888889,4
"14","5-Fluoro-2'-Deoxyuridine-54 mg/kg in Saline-Rat-Bone marrow-3d-up","44/312",1.78647293852957e-06,0.00100501863313278,0,0,2.12388013592833,28.1101213277952,"C1QB;C1QA;STEAP3;DNMT1;NDUFB8;NUP107;GYPC;PRIM1;CLTA;MKI67;C2;PSMB7;ADORA3;HMOX1;MYBL2;CTNNAL1;FADS1;TMPO;HMGN1;USP7;RRM1;VCAM1;LIG1;VWF;SSR2;MMP2;ATAD2;IMMT;HSPE1;COL1A1;NET1;POLA1;CXCL12;KIFC1;COL4A1;PRC1;PSME3;TACC3;TXNIP;MCM4;GARS;MCM5;DNAJC9;GCLM",9.09090909090909,4
"15","Lead (II) Acetate-600 mg/kg in Saline-Rat-Kidney-1d-up","47/343",1.82523170522921e-06,0.000958368327359018,0,0,2.06364817872071,27.2686417686479,"FKBP11;MTCH2;PCNA;MRPS33;CDCA8;TMEM97;MRPL15;HMMR;MKI67;COX5A;PSMB7;RPS17;TUBA1B;RACGAP1;STMN1;HMOX1;KNTC1;BPNT1;FADS1;HMGN1;BCAP31;TRAP1;RRM1;GSTM1;CDKN2C;LIG1;SSR2;RARRES2;ATAD2;TIMM23;IMMT;ATP1B3;MRPS7;HSPE1;SOD1;CCNA2;CXCL10;TYROBP;KIFC1;COL4A1;PRC1;TFAM;TXNIP;VDAC2;GARS;DNAJC9;GCLM",4.25531914893617,2
"16","Carmustine-4 mg/kg in Corn Oil-Rat-Spleen-1d-up","43/306",2.5637162667768e-06,0.00126198933232088,0,0,2.11630837073785,27.2454654634589,"C1QB;C1QA;BTG2;FEN1;GYPC;NDUFB5;PITPNB;HTRA1;CDCA8;PTTG1IP;LOXL1;FBLN5;PSMB7;TUBA1B;RACGAP1;SLCO2B1;HMOX1;MYBL2;APOE;TK1;FADS1;TMPO;HMGN1;USP7;RRM1;CDKN2C;LIG1;IMMT;EEF2;SOD1;CCNA2;NPLOC4;TYROBP;KIFC1;COL4A1;PRC1;VDAC3;TXNIP;VDAC2;ATM;GARS;DNAJC9;GCLM",4.65116279069767,2
"17","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","41/286",2.6201721288875e-06,0.00121391033453635,0,0,2.15898559272053,27.7478669388915,"VIPR1;FEN1;PCNA;GYPC;CDCA8;MKI67;TYMS;AURKB;KIF15;PAPSS1;RACGAP1;ADORA3;STMN1;MYBL2;SLC25A21;POLR2I;HMGN1;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;GALNT2;SSR2;GGH;IMMT;SDHD;MRPS7;HSPE1;DUSP7;SOD1;CCNA2;CENPE;POLA2;ESPL1;KIFC1;VDAC3;TACC3;MCM5;DNAJC9;GCLM",7.31707317073171,3
"18","Acyclovir-330 mg/kg in Saline-Rat-Bone marrow-0.25d-up","45/327",2.67691914832973e-06,0.00117130084512472,0,0,2.07251022438377,26.5920553696483,"C1QB;C1QA;BTG2;FEN1;PCNA;GYPC;GMFG;CTSZ;ITGB2;HP;CLTA;MKI67;COX5A;NID2;PAPSS1;RPS17;LGALS1;ADORA3;STMN1;CD37;MYBL2;TK1;PTGDS;PGLYRP1;CTSD;NUDC;SUPT16H;RRM1;GALNT2;SSR2;MMP2;TIMM23;ATP1B3;EEF2;HSPE1;DUSP7;SOD1;HADHB;POLA2;NDUFS7;VDAC3;TACC3;TXNIP;DNAJC9;GCLM",2.22222222222222,1
"19","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-3d-up","47/348",2.73748509084586e-06,0.00113475960923695,0,0,2.03399806121036,26.0524049961844,"C1QB;MDC1;DNMT1;PCNA;GYPC;PRIM1;CTSZ;HTRA1;PTTG1IP;MKI67;COX5A;C2;PSMB7;RPS17;TUBA1B;SAMM50;ADORA3;HMOX1;MYBL2;APOE;TK1;LBR;POLE;FADS1;HMGN1;SUPT16H;USP7;RFC3;RRM1;VCAM1;LIG1;VWF;SSR2;ATAD2;ATP1B3;SSRP1;HSPE1;SOD1;CCNA2;CXCL12;NDUFS7;KIFC1;COL4A1;PRC1;VDAC3;MCM4;MCM5",6.38297872340426,3
"20","Leflunomide-30 mg/kg in Corn Oil-Rat-Spleen-3d-dn","44/324",4.88439948929566e-06,0.00192347651888463,0,0,2.04521790867172,25.011919214823,"MDC1;C1QA;FEN1;PCNA;GYPC;CDCA8;NEDD8;TMEM97;PTTG1IP;MKI67;TYMS;AIF1;AURKB;PSMB7;RPS17;TUBA1B;RACGAP1;STMN1;KNTC1;MYBL2;APOE;TMPO;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;SSR2;ATAD2;TIMM23;GGH;MRPS7;HSPE1;SOD1;CCNA2;POLA2;TYROBP;NDUFS7;KIFC1;PRC1;MCM4;DNAJC9;GCLM;MXD3",6.81818181818182,3
"21","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","41/294",5.27002565491718e-06,0.00197651057419656,0,0,2.10023768543562,25.5251868914434,"BLK;NDUFB8;PCNA;GYPC;CTSZ;MKI67;NID2;KIF15;AKAP12;PSMB7;RPS17;STMN1;ST3GAL6;CD37;KNTC1;MYBL2;LBR;TMPO;HMGN1;SUPT16H;RFC3;RRM1;CDKN2C;SLC16A1;SYK;LIG1;VWF;ATAD2;ATP1B3;HSPE1;SOD1;COL1A1;CCNA2;CXCL12;KIFC1;PRC1;VDAC3;MCM4;GARS;DNAJC9;MXD3",0,0
"22","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","40/284",5.3595501434807e-06,0.00191871895136609,0,0,2.12116069913457,25.7437436680359,"FEN1;DNMT1;PCNA;GYPC;GMFG;CDCA8;NEDD8;MKI67;COX5A;KIF15;TUBA1B;RACGAP1;ADORA3;CHEK1;STMN1;KNTC1;MYBL2;TMPO;HMGN1;SUPT16H;USP7;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;ATAD2;SOD1;CCNA2;ESPL1;KIFC1;PRC1;VDAC3;LCN2;VDAC2;MCM4;GARS;MCM5;DNAJC9;MXD3",2.5,1
"23","Doxifluridine-1230 mg/kg in CMC-Rat-Bone marrow-1d-dn","43/315",5.45855915386269e-06,0.00186920051720968,0,0,2.0558424172882,24.9133679887872,"MDC1;FEN1;NDUFB8;NUP107;PCNA;GYPC;GMFG;MRPS33;CDCA8;MKI67;KIF15;RPS17;TUBA1B;EMG1;SAMM50;RACGAP1;ADORA3;STMN1;KNTC1;MYBL2;POLR2I;TMPO;HMGN1;SUPT16H;RFC3;RRM1;CDKN2C;SLC16A1;LIG1;ATAD2;IMMT;NME1;SOD1;COL1A1;CCNA2;POLA2;KIFC1;PRC1;VDAC2;MCM4;GARS;MCM5;DNAJC9",2.32558139534884,1
