"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","tamoxifen homo sapiens gpl3921 gse33366 chdir up","33/583",5.43623416595143e-39,3.7944914478341e-36,0,0,22.6415094339623,1994.89204651745,"TROAP;NUDT1;KIF14;NCAPG;KIF11;MKI67;KIF15;CDC20;CHEK1;MYBL2;TK1;BUB1;POLQ;RFC3;SPAG5;PLK1;CDC6;NDC80;CCNA2;DHFR;ASPM;CENPE;RAD51;KIF18B;POLE2;KIF4A;BIRC5;KIF2C;KIF20A;TRIP13;DTL;ASF1A;EZH2",0,0
"2","vitamin c homo sapiens gpl570 gds3635 chdir up","49/3773",1.01567616238744e-34,3.54470980673218e-32,0,0,5.19480519480519,406.609551175359,"NCAPG2;NUDT1;HJURP;KIF14;BUB1B;KIF11;MKI67;FOXM1;KIF15;CDC20;CHEK1;STMN1;MYBL2;TK1;DLGAP5;RFC3;LIG1;RMI1;CCNA2;ASPM;KIFC1;BIRC5;KIF2C;KIF20A;DTL;ASF1A;PARPBP;TROAP;NCAPG;AURKA;BUB1;PLK4;GINS2;STIL;SPAG5;PLK1;CDC6;SHCBP1;NDC80;DHFR;CENPE;CENPF;RAD51;KIF18B;POLE2;KIF4A;CENPM;TRIP13;EZH2",2.04081632653061,1
"3","estradiol homo sapiens gpl570 gse5102 chdir up","42/2315",6.96953984757985e-32,1.62157960453691e-29,0,0,7.25701943844492,520.627092601819,"PARPBP;TROAP;NCAPG2;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;AURKA;CDC20;STMN1;MYBL2;TK1;BUB1;PLK4;POLQ;GINS2;RFC3;STIL;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;POLE2;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;TRIP13;DTL",2.38095238095238,1
"4","bleomycin mus musculus gpl1261 gse25640 chdir up","31/802",4.16750115869451e-31,7.27228952192193e-29,0,0,15.4613466334165,1081.56481762763,"NCAPG2;BUB1B;NCAPG;KIF11;MKI67;AURKA;CDC20;CHEK1;TK1;BUB1;DLGAP5;PLK4;GINS2;STIL;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;ASPM;CENPE;CENPF;RAD51;POLE2;BIRC5;KIF2C;KIF20A;TRIP13;DTL;EZH2",3.2258064516129,1
"5","letrozole homo sapiens gpl3921 gse33366 chdir up","26/429",1.47115313379628e-30,2.05372977477961e-28,0,0,24.2424242424242,1665.24863640697,"TROAP;KIF14;BUB1B;KIF11;MKI67;FOXM1;KIF15;CDC20;CHEK1;STMN1;MYBL2;PLK4;RFC3;CDC6;NDC80;CCNA2;DHFR;ASPM;RAD51;POLE2;BIRC5;KIF2C;KIF20A;TRIP13;DTL;EZH2",0,0
"6","acetaminophen homo sapiens gpl6244 gse27420 chdir up","25/413",2.84285787620723e-29,3.30719132932108e-27,0,0,24.2130750605327,1591.52924591259,"TROAP;NCAPG2;HJURP;KIF14;KIF11;FOXM1;MYBL2;TK1;BUB1;DLGAP5;PLK4;POLQ;STIL;CDC6;SHCBP1;NDC80;ASPM;CENPE;CENPF;RAD51;KIFC1;KIF4A;KIF2C;KIF20A;DTL",4,1
"7","valproic acid homo sapiens gpl6244 gse23909 chdir up","22/258",7.02962595106733e-29,7.00954130549285e-27,0,0,34.1085271317829,2211.07961612232,"PLK4;PLK1;MKI67;FOXM1;SHCBP1;NDC80;KIF15;AURKA;CDC20;CCNA2;ASPM;CENPE;CENPF;KIF18B;KIFC1;KIF4A;MYBL2;KIF2C;KIF20A;TRIP13;BUB1;DLGAP5",4.54545454545455,1
"8","estradiol homo sapiens gpl96 gds2324 chdir up","28/937",1.34692480539498e-24,1.17519189270712e-22,0,0,11.9530416221985,656.989587395058,"NCAPG2;HJURP;KIF14;BUB1B;FOXM1;AURKA;CDC20;CHEK1;MYBL2;BUB1;DLGAP5;GINS2;RFC3;SPAG5;PLK1;CDC6;NDC80;CCNA2;DHFR;ASPM;CENPF;KIF18B;KIFC1;BIRC5;KIF2C;KIF20A;TRIP13;EZH2",3.57142857142857,1
"9","fulvestrant homo sapiens gpl570 gse22533 chdir up","48/5839",1.18087685173482e-23,9.15835602789893e-22,0,0,3.28823428669293,173.596409955085,"PARPBP;TROAP;NCAPG2;NUDT1;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;CHEK1;STMN1;MYBL2;TK1;BUB1;PLK4;POLQ;GINS2;RFC3;STIL;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;TRIP13;DTL;ASF1A;EZH2",2.08333333333333,1
"10","estradiol homo sapiens gpl6947 gse27375 chdir up","21/463",1.04486615519051e-21,7.29316576322977e-20,0,0,18.1425485961123,876.473746257618,"PLK4;POLQ;GINS2;LIG1;RMI1;NCAPG2;PLK1;NUDT1;HJURP;NCAPG;CDC20;CCNA2;CENPF;CHEK1;STMN1;BIRC5;CENPM;KIF2C;TK1;TRIP13;EZH2",4.76190476190476,1
"11","ribavirin homo sapiens gpl570 gds4391 chdir up","45/5340",6.41191667564782e-21,4.06865258145652e-19,0,0,3.37078651685393,156.728523752617,"PARPBP;TROAP;NCAPG2;NUDT1;HJURP;KIF14;BUB1B;NCAPG;KIF11;MKI67;FOXM1;KIF15;AURKA;CDC20;CHEK1;STMN1;BUB1;DLGAP5;POLQ;GINS2;RFC3;STIL;LIG1;SPAG5;RMI1;PLK1;CDC6;SHCBP1;NDC80;CCNA2;ASPM;CENPE;CENPF;RAD51;KIF18B;KIFC1;POLE2;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;TRIP13;ASF1A;EZH2",2.22222222222222,1
"12","sirolimus mus musculus gpl1261 gse5332 chdir up","41/4467",4.91759033442705e-19,2.8603983778584e-17,0,0,3.67136780837251,154.771275859159,"TROAP;NCAPG2;HJURP;BUB1B;NCAPG;KIF11;MKI67;FOXM1;AURKA;CDC20;CHEK1;MYBL2;TK1;BUB1;DLGAP5;PLK4;GINS2;RFC3;STIL;LIG1;SPAG5;PLK1;CDC6;SHCBP1;NDC80;CCNA2;DHFR;ASPM;CENPE;CENPF;RAD51;KIF18B;POLE2;BIRC5;CENPM;KIF2C;KIF20A;TRIP13;DTL;ASF1A;EZH2",2.4390243902439,1
"13","cyclophosphamide homo sapiens gpl6244 gse42913 chdir down","10/38",1.63766844408302e-18,8.79301979976881e-17,0,0,105.263157894737,4310.86927621478,"CDC20;ASPM;CENPE;CENPF;PLK1;KIF14;MKI67;BUB1;DLGAP5;AURKA",10,1
"14","vitamin c mus musculus gpl6246 gse32994 chdir down","15/215",2.91790904302695e-18,1.45478608002344e-16,0,0,27.906976744186,1126.76272731004,"SPAG5;PLK1;BUB1B;NCAPG;KIF11;SHCBP1;KIF15;ASPM;POLE2;BIRC5;KIF2C;TK1;TRIP13;BUB1;DLGAP5",0,0
