"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","bleomycin mus musculus gpl1261 gse25640 chdir up","88/802",3.26321184931514e-31,2.27772187082197e-28,0,0,4.22021868405908,296.248488535839,"TOP2A;COL18A1;HEXB;CTSZ;HDLBP;BUB1B;KIF11;MKI67;LIPA;LMNB1;CDC20;LGALS3;IGHG1;ADAMTS2;LGALS1;EXO1;ADAMTS1;C3AR1;ITGB8;TIMP1;TK1;CTSD;DLGAP5;CEP55;CTSB;CCR2;IGFBP2;KIF23;MYO7A;PLA2G15;CCNA2;ASPM;TBC1D2;ESPL1;TFDP2;ADAM15;MTHFD2;CKS2;MMP19;BIRC5;KIF2C;KIF20A;DTL;MCM2;C1QB;C1QA;CDCA3;RGS16;NCAPG;CDCA8;LPL;TTK;CAPG;SKA1;PLD3;AURKB;AURKA;CCNB2;CCNB1;RAB20;GPNMB;PDGFC;CLSPN;BUB1;LAIR1;MSR1;STIL;EGR3;RRM2;SPAG5;UBE2C;PLK1;FN1;CDC6;LHFPL2;SHCBP1;MARCH1;CXCL10;TPX2;CENPF;MAFB;CDK1;SDC1;SPATS2L;TRIP13;ITM2A;EZH2;CDKN3",3.40909090909091,3
"2","estradiol homo sapiens gpl96 gds2324 chdir up","91/937",2.95508184521789e-28,1.03132356398105e-25,0,0,3.73532550693703,236.778011629205,"TOP2A;HJURP;KIF14;HDLBP;BUB1B;MCM10;PRSS23;LMNB1;CDC20;LGALS1;PNP;ME1;NEK2;MYBL2;TIMP1;CTSD;MYBL1;DLGAP5;CEP55;FADS1;TPI1;ANXA2;ANXA5;KIF23;DYNLL1;PGD;TUBG1;SAP30;NME1;CCNA2;ASPM;ESPL1;MTHFD2;KIFC1;CKS2;MT1F;BIRC5;VDAC1;KIF2C;KIF20A;GAPDH;MCM2;COPB2;CDCA3;SHMT1;AK2;RHOBTB3;CDCA8;AK4;TTK;HMMR;PKMYT1;TYMS;AURKB;AURKA;CCNB2;CCNB1;CDC45;PSMB2;PRDX1;NRIP1;AP2S1;RBBP8;H1FX;PDSS1;CCT8;MAPK6;LDLR;SEC11A;BUB1;CCT5;EGR3;RRM2;SPAG5;UBE2C;PLK1;GGH;CDC6;ZWINT;NET1;TPX2;AIMP2;CENPF;KIF18B;SCD;CDK1;PLP2;TRIP13;EZH2;CDKN3;EIF4G1",2.1978021978022,2
"3","tamoxifen homo sapiens gpl3921 gse33366 chdir up","70/583",3.59541760627155e-27,8.36533829725848e-25,0,0,4.61802348594801,281.192084406472,"TOP2A;KIF14;MCM10;KIF11;BZW2;MKI67;BRCA2;KIF15;LMNB1;CDC20;LGALS1;PNP;EXO1;MYBL2;TK1;JAK2;GTSE1;MYBL1;CEP55;MYOF;CIT;CCNA2;ASPM;ESPL1;CKS2;BIRC5;KIF2C;KIF20A;DTL;MCM2;CDCA3;SHMT1;TROAP;RGS16;NCAPG;CDCA8;TTK;CAPG;GATA3;HMMR;PKMYT1;TYMS;AURKB;CCNB2;CCNB1;CDC45;MYO6;RBBP8;PDSS1;METTL7A;LDLR;BUB1;POLQ;SPAG5;UBE2C;PLK1;SEMA4C;ERLIN1;FN1;CDC6;CDC42BPA;TPX2;KIF18B;MGAT4A;KIF4A;CDK1;TRIP13;EZH2;CDKN3;EIF4G1",2.85714285714286,2
"4","vitamin c homo sapiens gpl570 gds3635 chdir up","196/3773",1.98857185821798e-24,3.47005789259038e-22,0,0,1.998001998002,109.040210809087,"ITSN1;MKI67;LIPA;EPS8;CDC20;KIAA0930;LGALS3;LGALS1;PNP;CAPNS1;GTSE1;UNC13B;TSPYL1;RNASE3;SYTL2;MTHFD2;ADPRH;AKIP1;MT1F;KIF20A;LAP3;MT1E;CDCA3;TWF2;NCAPG;CDCA8;MRPL15;NCAPH;SKA1;NUAK1;COMMD9;PDGFD;ERI2;MYO6;A2M;GSTM2;ST14;STARD13;GSTM1;FZD2;YES1;PLK1;ERLIN1;FN1;PYCR1;CDC6;ZWINT;DERA;NET1;TPX2;AIMP2;PPT1;SDC1;NDUFAF3;NDUFAF1;EZH2;ACVRL1;TOP2A;HEXB;KIF14;CLTA;WFDC1;KIF11;PRSS23;KIF15;AKAP12;TSPO;TK1;DLGAP5;CEP55;CTSB;ANXA2;MME;RMI1;GSTO1;MYOF;ANXA5;KIF23;TUBG1;DUSP7;CIT;NME1;HADHA;KIFC1;DPYD;CKS2;MMP19;KIF2C;FH;SLC43A3;HSD17B4;CAPG;PTGS2;TYMS;COX5A;ARNTL2;PAPSS1;PSMB7;PSMB2;GPNMB;METTL7A;CCT8;LDLR;CCT5;CDKN2B;SORT1;AKR1C3;C1ORF21;LHFPL2;CENPF;PLP2;TRIP13;CDKN3;MTCH2;HJURP;BUB1B;PRDM1;BZW2;OLFML2A;GRB10;NEK2;FADS1;KCTD3;SDHD;PDIA5;PLA2G15;ADAM9;AMPH;FKBP9;FKBP5;COPB2;TROAP;RHOBTB3;SLC1A3;HMMR;PKMYT1;CCNB2;CCNB1;SLC38A7;H1FX;CLSPN;MPDU1;SMAD1;STIL;UBE2C;IDH1;ARHGAP29;GGH;DHCR24;GRHPR;H1F0;KIF18B;TP53I3;MAFG;KIF4A;CDK1;ANXA2P2;ACO2;LMNB1;SCPEP1;ADAMTS2;MYBL2;MYBL1;GPX1;ARL4C;CCNA2;TGFBR3;ASPM;TBC1D2;ESPL1;TFDP2;NDUFS7;COL6A2;NDUFS4;CRY1;BIRC5;DTL;BLVRA;MCM2;LAMA2;TTK;ACVR1B;HSD17B10;AURKB;AURKA;CDC45;RBBP8;BUB1;TIMM8B;RRM2;SPAG5;GALNT2;NAGA;SHCBP1;KLF2;SCD",4.59183673469388,9
"5","acetaminophen homo sapiens gpl6244 gse27420 chdir up","54/413",7.57875612848397e-23,1.05799435553636e-20,0,0,5.0288694356491,256.140979213842,"TOP2A;HJURP;KIF14;MCM10;KIF11;BRCA2;SCPEP1;EXO1;NEK2;MYBL2;TK1;TIMP1;GTSE1;MYBL1;CEP55;DLGAP5;KIF23;CIT;ASPM;ESPL1;KIFC1;KIF2C;KIF20A;DTL;CDCA3;TROAP;CDCA8;TTK;CRIP2;HMMR;NCAPH;SKA1;AURKB;CCNB2;CDC45;RRAS;E2F2;CLSPN;BUB1;GDF11;POLQ;STIL;RRM2;UBE2C;NAGA;CDC6;SHCBP1;TPX2;CENPF;SMTN;TP53I3;KIF4A;CDK1;CDKN3",3.7037037037037,2
"6","hydrocortisone homo sapiens gpl201 gse21909 chdir up","94/1270",1.42454696233227e-20,1.65722296617987e-18,0,0,2.84675953967293,130.090784787418,"CDKN1C;PRDM8;FLT1;FLT3;ITSN1;CTSZ;GLI1;MS4A4A;HK1;AKAP12;ADAMTS2;STS;CAPNS1;ADORA3;C3AR1;GRB10;ME1;TIMP1;VSIG4;MAP3K6;CLEC1B;ABCD1;CCR3;CPA3;GSTO1;IGFBP3;TPM2;ZBTB32;MATK;CACNA2D2;DYNLL1;RNASE1;TOPORS;TPST1;ARL4D;ZNF91;BIN1;KCNMA1;MMP19;CHI3L1;PPARG;ANG;AMPH;IRF5;BCAT1;FKBP5;SERPINB10;C1QB;C1QA;KLRB1;LAMA2;MAOA;SHMT1;RGS16;TWF2;SLC1A3;LPL;GATA3;KIR2DL1;MRPL12;NOL3;TYMS;CST7;PAPSS1;PDGFD;PDGFC;CCL4;NRIP1;E2F1;TNFRSF17;H1FX;CLSPN;SMAD1;ST14;CDKN2B;CD163;YES1;OPN3;BCL11B;ERLIN1;AKR1C3;G0S2;ARHGAP29;MERTK;FAH;ELL2;ALOX15B;GSTZ1;H1F0;MAFB;CLC;CD247;IL7R;ITM2A",0,0
"7","letrozole homo sapiens gpl3921 gse33366 chdir up","51/429",8.94188710310251e-20,8.9163388542365e-18,0,0,4.57235072619688,200.547670395217,"TOP2A;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;PRSS23;KIF15;LMNB1;CDC20;EXO1;GRB10;MYBL2;JAK2;GTSE1;CTSD;MYBL1;MYOF;CIT;CCNA2;ASPM;ESPL1;BIRC5;KIF2C;KIF20A;DTL;MCM2;CDCA3;TROAP;CDCA8;TTK;PKMYT1;TYMS;AURKB;CCNB2;CCNB1;CDC45;NRIP1;RBBP8;PDSS1;METTL7A;FZD2;EGR3;UBE2C;FN1;GGH;CDC6;TRIP13;EZH2;CDKN3",3.92156862745098,2
"8","imatinib homo sapiens gpl96 gds3045 chdir up","194/4070",1.22444410937788e-19,1.0683274854322e-17,0,0,1.83330183330183,79.8341162723905,"ENO1;MKI67;SLC4A4;MILR1;CDC20;KIAA0930;LGALS1;RPS6KA5;PNP;C3AR1;GTSE1;SLC35A5;TSPYL1;SOX13;MYO7A;MTHFD2;AKIP1;VDAC1;KIF20A;LAP3;CDCA3;SHMT1;SH2D2A;TWF2;NCAPG;CDCA8;AGAP1;MRPL15;MRPL12;NCAPH;RRAS;PRDX1;RAB11FIP5;PCK2;MSR1;EGR3;YES1;PLK1;ERLIN1;FN1;PYCR1;CDC6;NETO2;ERAL1;NET1;TPX2;AIMP2;SMTN;SDC1;SPATS2L;NDUFAF1;ITM2A;EZH2;TOP2A;KIF14;WFDC1;KIF11;MS4A4A;AKAP12;CCR9;TIMP1;DLGAP5;CEP55;IL10;CBR1;TPI1;MME;GSTO1;KIF23;DYNLL1;TUBG1;NME1;HADHA;SLCO4A1;KIFC1;CKS2;KIF2C;FH;SLC43A3;CAPG;TYMS;PAPSS1;BEGAIN;PSMB7;PSMB2;CCT8;LDLR;CCT5;LAIR1;SLC16A1;PLEKHA1;SORT1;LHFPL2;FAH;MPP6;CENPF;PER3;PLP2;CLC;TRIP13;CDKN3;MTCH2;HJURP;BUB1B;BZW2;GRB10;NEK2;FADS1;CPA3;MATK;KCTD3;PGD;CDC25A;PDIA5;SAP30;TPST1;ADAM9;FKBP5;KCNE1;TROAP;AK2;RHOBTB3;LPL;AK4;HMMR;KIR2DL1;SLC1A5;CCNB2;CCNB1;IGLV1-40;KIF3A;STIL;IDH1;ARHGAP29;GGH;DHCR24;H1F0;MAFB;G6PC3;KIF18B;KIF4A;CDK1;STT3A;IGKV3-20;EIF4G1;FLT1;MCM10;OPLAH;LMNB1;ME1;CERS6;NRG1;CCNA2;TGFBR3;ASPM;ESPL1;OAS1;IFNG;CRY1;BIRC5;ITGA7;CHI3L1;BCAT1;GAPDH;LAMA2;TTK;FAM169A;ACVR1B;HSD17B10;AURKB;AURKA;CDC45;NRIP1;RBBP8;PDSS1;WASF1;S1PR5;MAPK6;SEC23B;BUB1;NTRK1;TIMM8B;POLQ;RRM2;SPAG5;NAGA;CDC42BPA;MERTK;MYO1E;CLCN4;SCD;SPRY2;CD247;RPL26L1",3.09278350515464,6
"9","imatinib homo sapiens gpl96 gds3042 chdir up","158/3004",1.77485447530495e-19,1.3764982486254e-17,0,0,2.02294376728465,87.3414029579041,"MTCH2;HJURP;BUB1B;ENO1;PRDM1;BZW2;MKI67;LIPA;MILR1;CDC20;KIAA0930;STS;LGALS1;RPS6KA5;PNP;C3AR1;GRB10;NEK2;GTSE1;FADS1;MATK;RNASE2;PGD;CDC25A;PDIA5;SAP30;TPST1;MTHFD2;ADAM9;VDAC1;KIF20A;FKBP5;CDCA3;SH2D2A;AK2;RHOBTB3;TWF2;NCAPG;CDCA8;AK4;MRPL15;HMMR;SLC1A5;MRPL12;NCAPH;CD1A;CCNB1;RRAS;KIF3A;PRDX1;SLC38A7;IGHA1;PCK2;CD163;STIL;EGR3;YES1;BCL11B;PLK1;ERLIN1;FN1;PYCR1;IFI44;GGH;DHCR24;CDC6;NETO2;ERAL1;NET1;TPX2;AIMP2;G6PC3;KIF18B;CDK1;SPATS2L;NDUFAF3;NDUFAF1;ITM2A;EZH2;EIF4G1;TOP2A;FLT1;KIF14;MCM10;KIF11;OPLAH;KIF15;LMNB1;AKAP12;ME1;TIMP1;DLGAP5;CEP55;CCR3;CBR1;TPI1;MME;GSTO1;KIF23;NME1;CCNA2;TGFBR3;HADHA;ASPM;NCR3;OAS1;SLCO4A1;KIFC1;CKS2;CRY1;BIRC5;CHI3L1;KIF2C;BCAT1;GAPDH;DOCK1;TMEM45A;C1QA;FH;SLC43A3;ZBTB43;CAPG;ACVR1B;HSD17B10;AURKB;PAPSS1;AURKA;CDC45;PSMB2;NRIP1;RBBP8;PDSS1;CCT8;WASF1;MAPK6;LDLR;SEC23B;BUB1;CCT5;NTRK1;TIMM8B;POLQ;SLC16A1;RRM2;SPAG5;SORT1;LHFPL2;CDC42BPA;FAH;MPP6;CENPF;PER3;SCD;SPRY2;PLP2;TRIP13;RPL26L1;CDKN3",3.79746835443038,6
"10","valproic acid homo sapiens gpl6244 gse23909 chdir up","39/258",5.30546362610176e-19,3.70321361101903e-17,0,0,5.81395348837209,244.653369793395,"CDCA3;CDCA8;HMMR;MKI67;TYMS;NCAPH;SKA1;KIF15;LMNB1;AURKA;CDC20;MILR1;CCNB2;CCNB1;STS;MYBL2;CLSPN;GTSE1;BUB1;DLGAP5;MPDU1;KLRG1;RRM2;PLK1;KIF23;SHCBP1;CCNA2;TPX2;CXCL10;ASPM;CENPF;TP53I3;KIF18B;KIFC1;KIF4A;CDK1;KIF2C;KIF20A;TRIP13",2.56410256410256,1
