"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"vorinostat-6179","3/100",0.00157518599530849,0.206131004383124,0,0,14.2821865260129,92.1684043252849,"FGR;CD69;PARP8"
"brinzolamide-1615","3/100",0.00157518599530849,0.206131004383124,0,0,14.2821865260129,92.1684043252849,"FGR;BIN2;CD69"
"trichostatin A-1175","3/100",0.00157518599530849,0.206131004383124,0,0,14.2821865260129,92.1684043252849,"FGR;CD69;PARP8"
"apigenin-1321","3/100",0.00157518599530849,0.206131004383124,0,0,14.2821865260129,92.1684043252849,"NCF2;NCF1C;MNDA"
"vorinostat-1161","3/100",0.00157518599530849,0.206131004383124,0,0,14.2821865260129,92.1684043252849,"FGR;CD69;PARP8"
"ascorbic acid-1610","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"BIN2;ARHGAP15"
"bephenium hydroxynaphthoate-3089","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"SP140;TRAF1"
"troleandomycin-3985","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"SLAMF7;MYO1F"
"troglitazone-2692","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"NCF1C;CD69"
"benzethonium chloride-2508","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"NCF1C;CD69"
"tetraethylenepentamine-406","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"SAMHD1;PARP8"
"valinomycin-5906","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"FGR;SLAMF7"
"ketoconazole-1285","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"NCF1C;CD69"
"chlorpropamide-1594","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"FGR;BIN2"
"theophylline-2986","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"VNN2;LTA"
"rofecoxib-371","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"IL10;NKG7"
"isometheptene-3145","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"SP140;TRAF1"
"albendazole-1547","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"CD69;GIMAP6"
"progesterone-2426","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"TRAF1;CD69"
"valproic acid-1150","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"FGR;NCF1C"
"dequalinium chloride-1276","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"NCF1C;CD69"
"lymecycline-2953","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"VNN2;CD69"
"sisomicin-4014","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"SLAMF7;MYO1F"
"flunisolide-2168","2/100",0.0222080432575084,0.206131004383124,0,0,9.20964749536178,35.0638977870873,"ICAM2;TRAF1"
