"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"molsidomine-1711","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"PELI1;TNFRSF1B"
"foliosidine-3636","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;TLR2"
"diflorasone-4158","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;TLR2"
"mepyramine-5869","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"PELI1;NDEL1"
"hydroxyzine-1941","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;RAF1"
"cefmetazole-5868","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;PELI1"
"piperlongumine-1764","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"TNFRSF1B;TLR2"
"rolipram-6730","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;TLR2"
"phentolamine-2362","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;NINJ1"
"phenindione-1718","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;PELI1"
"acetohexamide-1829","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;PELI1"
"ticarcillin-6146","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;NDEL1"
"salbutamol-7376","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;TLR2"
"SR-95531-1316","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;NINJ1"
"diphenylpyraline-3640","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;TLR2"
"adenosine phosphate-6760","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;TLR2"
"0316684-0000-7098","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;NINJ1"
"berberine-1778","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;RAF1"
"lycorine-3808","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"NINJ1;TLR2"
"etiocholanolone-3639","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"C5AR1;TLR2"
"etynodiol-3102","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;SLC2A3"
"tiapride-7362","2/100",0.00359423711737408,0.0831575769428822,0,0,25.3622448979592,142.749455625051,"RAB11FIP1;NINJ1"
