"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"harmine-1758","3/100",0.000174309995477304,0.0716275755975869,0,0,32.3619099294628,280.081821254999,"RNASE6;PTPRCAP;CRIP1"
"cefaclor-2483","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;GIMAP5"
"skimmianine-6066","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"LY-294002-5965","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"oleandomycin-2018","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;GIMAP6"
"mometasone-1746","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"parthenolide-1736","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"IL10RA;RNASE6"
"pheniramine-1992","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;PTPRCAP"
"calycanthine-1771","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"NOSIP;PTPRCAP"
"pyrimethamine-1974","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;RNASE6"
"delsoline-6075","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"phenazopyridine-6100","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"prochlorperazine-1156","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"riluzole-4689","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"alclometasone-6094","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"diloxanide-3399","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"terfenadine-1381","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"dirithromycin-1712","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"sulfaquinoxaline-6090","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"gabexate-4804","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"albendazole-1547","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"metoprolol-6106","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"flunisolide-2168","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"MLPH;ICAM2"
"Prestwick-689-6076","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"spiperone-1559","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;GIMAP6"
"lisuride-2046","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"EVL;PTPRCAP"
"oxybenzone-5410","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"quipazine-1789","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"RNASE6;PTPRCAP"
"azacyclonol-5398","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"amphotericin B-5404","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"propidium iodide-6104","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"pimozide-1562","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;SLC2A5"
"oxymetazoline-2278","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"zalcitabine-4799","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
"pyrvinium-2957","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"SLC2A5;GIMAP6"
"ethaverine-3375","2/100",0.00535649695773258,0.0716275755975869,0,0,20.2857142857143,106.083028567318,"PTPRCAP;CRIP1"
