"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"vorinostat-6179","13/100",1.07824530483966e-13,3.84502275705824e-10,0,0,24.8385009176084,741.634696768619,"SPI1;RGS19;FGL2;SLA;LRMP;GMIP;PARP8;FGR;MS4A6A;FMNL1;C3AR1;LCP2;FCGR1B"
"trichostatin A-6193","12/100",2.63591887293289e-12,4.69984335043934e-09,0,0,22.4772727272727,599.284308961431,"LAT2;FGR;MS4A6A;FMNL1;SPI1;RGS19;MX2;FGL2;C3AR1;SLA;GMIP;FCGR1B"
"trichostatin A-1175","11/100",5.83618918265546e-11,5.20296265633734e-08,0,0,20.2032686414709,476.077054559097,"FGR;MS4A6A;FMNL1;RASSF2;RGS19;PECAM1;SLA;LRMP;LCP2;FCGR1B;PARP8"
"vorinostat-1161","11/100",5.83618918265546e-11,5.20296265633734e-08,0,0,20.2032686414709,476.077054559097,"FGR;MS4A6A;RGS19;C3AR1;PECAM1;SLA;LRMP;LCP2;FCGR1B;PARP8;TLR2"
"anisomycin-1304","8/100",3.25150441942447e-07,0.000231897295193354,0,0,13.8681626928471,207.17617547498,"SASH3;MS4A6A;RGS19;SEMA4D;RPS6KA1;PRKCD;SLA;IL17RA"
"valproic acid-410","7/100",4.46896894427512e-06,0.00227662046504072,0,0,11.9075268817204,146.681117547252,"MS4A6A;FMNL1;SPI1;FGL2;RNASE6;MNDA;GMIP"
"apigenin-1321","7/100",4.46896894427512e-06,0.00227662046504072,0,0,11.9075268817204,146.681117547252,"HCK;NCF2;RNASE6;NCF1C;LRMP;MNDA;TLR2"
"valproic acid-1181","6/100",5.29005031957627e-05,0.0157202661996742,0,0,10.0172239108409,98.6405826023265,"FGR;RGS19;SEMA4D;NCF1C;VAV1;IL17RA"
"trichostatin A-3077","6/100",5.29005031957627e-05,0.0157202661996742,0,0,10.0172239108409,98.6405826023265,"FMNL1;SPI1;RGS19;CXCR2;DYSF;GMIP"
"clotrimazole-1549","6/100",5.29005031957627e-05,0.0157202661996742,0,0,10.0172239108409,98.6405826023265,"TSEN34;PRKCD;IRF2;NCF1C;TNFRSF1B;TREM1"
