"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"phenylpropanolamine-3217","6/100",6.76605439107268e-06,0.00396896750580324,0,0,14.7060860959921,175.055255403014,"MS4A6A;CD4;PLEK;LST1;IRF8;MNDA"
"tretinoin-1548","6/100",6.76605439107268e-06,0.00396896750580324,0,0,14.7060860959921,175.055255403014,"CD300A;PLEK;SLA;CD38;LCP2;LILRB2"
"tretinoin-1152","6/100",6.76605439107268e-06,0.00396896750580324,0,0,14.7060860959921,175.055255403014,"PRKCH;CD300A;PLEK;SLA;CD38;LILRB2"
"dinoprost-2446","6/100",6.76605439107268e-06,0.00396896750580324,0,0,14.7060860959921,175.055255403014,"GPR65;IL10RA;GPR183;FPR1;CD38;LILRB2"
"griseofulvin-2332","6/100",6.76605439107268e-06,0.00396896750580324,0,0,14.7060860959921,175.055255403014,"FCN1;TRAF3IP3;DACH1;CD38;AOAH;CD3D"
"pergolide-2403","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"GNLY;IL10RA;GPR183;SLA;CD38"
"chlorcyclizine-4367","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"EGFL6;SP110;CCL5;PLEK;CYTH1"
"butyl hydroxybenzoate-4647","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"CLEC4A;TRAF3IP3;CD300A;SLA;PARP8"
"mafenide-5499","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"FCN1;CD52;DACH1;GIMAP5;TPSAB1"
"sirolimus-402","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"MS4A6A;TRAC;SLAMF8;CCR2;TYMP"
"tetryzoline-2507","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"IL10RA;GPR183;PRF1;CD38;TYMP"
"fenoterol-2378","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"IL10RA;GPR183;TRBC1;CD38;TYMP"
"vigabatrin-2452","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"GNLY;SP110;GPR183;CD38;TYMP"
"isoetarine-2711","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"GNLY;GPR183;CD38;AOAH;CYTH1"
"methylergometrine-1607","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"TRAF3IP3;IL10RA;GPR183;SLA;CD38"
"cephaeline-2429","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"TRAF3IP3;GPR65;IL10RA;GPR183;LCP2"
"mebendazole-2338","5/100",9.84688910332156e-05,0.0120337190583509,0,0,11.9860859044162,110.580870396891,"IL10RA;TRAC;FPR1;LTB;CYTIP"
