"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"vorinostat-6179","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"FGR;FGL2;LCP2"
"valproic acid-348","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"CCL22;CCL21;PRF1"
"khellin-6641","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;PLA1A"
"apigenin-1321","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"HCK;NCF2;MNDA"
"cefaclor-6622","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;MYO1F"
"ascorbic acid-1610","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;ARHGAP15"
"mephenytoin-5801","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"fulvestrant-367","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;RASGRP1"
"indometacin-452","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"NCF2;ZBED2"
"iodixanol-4848","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"naltrexone-5765","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"ketoprofen-2316","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"doxylamine-4235","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"fulvestrant-5598","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;RASGRP1"
"chlorpropamide-1594","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;BIN2"
"prochlorperazine-455","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"EGFL6;PRF1"
"vigabatrin-5415","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"pentamidine-4573","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"hydroquinine-5789","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"Prestwick-691-2813","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;NCF2"
"glibenclamide-1546","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"APOC2;CST7"
"valproic acid-345","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL21;RASGRP1"
"valproic acid-346","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;MYO1F"
"tolnaftate-2001","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;NCF2"
"flufenamic acid-316","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;MYO1F"
"suloctidil-6675","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"valproic acid-2669","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;PRF1"
"citalopram-3820","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;PRF1"
"clemizole-3672","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;CWH43"
"PHA-00745360-4384","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"AG-028671-6557","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"brinzolamide-1615","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;BIN2"
