"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","vorinostat-6179-dn","6/100",2.77910434385214e-06,0.00402136398555404,0,0,17.3363450888954,221.790482790118,"ADORA3;FGL2;LCP2;CYTIP;LAIR1;CCR2"
"2","trichostatin A-6193-dn","4/100",0.000663246653833737,0.239929477024354,0,0,11.0138888888889,80.6036436497405,"LAT2;FGL2;LAIR1;CCR2"
"3","valproic acid-410-dn","4/100",0.000663246653833737,0.239929477024354,0,0,11.0138888888889,80.6036436497405,"FGL2;MNDA;LAIR1;CCR2"
"4","genistein-267-dn","4/100",0.000663246653833737,0.239929477024354,0,0,11.0138888888889,80.6036436497405,"KLRB1;CD48;FOLR2;JAM2"
"5","LY-294002-6198-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"APOL6;ADORA3;CCR2"
"6","monorden-484-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"HPGDS;APOL6;FOLR2"
"7","ribostamycin-2705-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"GPR65;PRF1;CD37"
"8","lasalocid-3021-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADORA3;CD37;CCR2"
"9","valproic acid-348-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"CCL21;PRF1;FOLR2"
"10","scopolamine-3018-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADORA3;PRF1;CD37"
"11","acacetin-2189-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;NCF1C;CCR2"
"12","chrysin-3106-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;ADORA3;CCR2"
"13","ciclacillin-3800-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;SELL;PRF1"
"14","metoclopramide-3728-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;APOL6;CORO1A"
"15","glycopyrronium bromide-3687-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;PRF1;CORO1A"
"16","flecainide-3761-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"APOL6;SELL;LY86"
"17","luteolin-3041-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"FGL2;NCF1C;CCR2"
"18","monorden-493-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"FCN1;ADAP2;PLEK"
"19","halcinonide-2185-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"CD52;APOL6;CD37"
"20","apigenin-1321-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"HCK;NCF1C;MNDA"
"21","vorinostat-1161-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"LCP2;CYTIP;LAIR1"
"22","solasodine-3749-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADAP2;SELL;CORO1A"
"23","chlorambucil-3788-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"APOL6;SELL;PRF1"
"24","colistin-4212-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"SELL;CORO1A;MYO1F"
"25","isosorbide-2183-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"APOL6;CD37;AOAH"
"26","diphenylpyraline-3640-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"FCN1;ADAP2;MYO1F"
"27","tocainide-4838-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"PRF1;MYO1F;C2"
"28","tamoxifen-380-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"BIN2;AOAH;JAM2"
"29","sitosterol-2912-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"GPR65;FGL2;CD37"
"30","tacrolimus-169-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"ADORA3;LY86;C2"
"31","cefaclor-6622-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"PRF1;MNDA;MYO1F"
"32","trifluoperazine-421-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"SELL;JAM2;MYO1F"
"33","C-75-6394-dn","3/100",0.0072868662544486,0.319518044551125,0,0,8.06728160607705,39.7045922046513,"APOL6;SELL;MYO1F"
