"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","vorinostat-6179-dn","10/100",1.25262802272493e-11,3.28063279151659e-08,0,0,29.7687687687688,747.291125758646,"FGR;NFE2;DOK2;FMNL1;SPI1;ELF4;LCP2;GMIP;IL6R;CCR2"
"2","trichostatin A-6193-dn","8/100",9.3695781088912e-09,1.2269462533593e-05,0,0,22.6819221967963,419.293426706826,"FGR;NFE2;DOK2;FMNL1;SPI1;MX2;GMIP;CCR2"
"3","trichostatin A-3077-dn","6/100",3.98310264026131e-06,0.00208634916296887,0,0,16.2209492635025,201.682353258569,"FMNL1;SPI1;CXCR2;DYSF;GMIP;CFP"
"4","valproic acid-410-dn","6/100",3.98310264026131e-06,0.00208634916296887,0,0,16.2209492635025,201.682353258569,"NFE2;FMNL1;SPI1;RNASE6;GMIP;CCR2"
"5","trifluoperazine-2684-dn","6/100",3.98310264026131e-06,0.00208634916296887,0,0,16.2209492635025,201.682353258569,"TLR1;NFE2;FMNL1;TNFSF13;DPEP2;CCR2"
"6","prochlorperazine-2675-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"NFE2;CXCR2;AOAH;LTC4S;CCR2"
"7","domperidone-1301-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"FMNL1;CCRL2;NCF1C;AOAH;GPSM3"
"8","glibenclamide-1546-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"PGS1;PRKCD;RNASE6;NCF1C;CST7"
"9","chrysin-3106-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"MAP3K3;NFE2;MX2;CXCR2;CCR2"
"10","trichostatin A-1400-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"FGR;FMNL1;SPI1;NCF1C;GMIP"
"11","pentetrazol-1408-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"FGR;STXBP2;TCIRG1;LSP1;TNFRSF1B"
"12","clotrimazole-1549-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"PGS1;PRKCD;NCF1C;TNFRSF1B;TREM1"
"13","tanespimycin-521-dn","5/100",6.37964752715953e-05,0.0128525360566391,0,0,13.2051965356429,127.559724087358,"FGR;PGS1;ELF4;PRKCD;GMIP"
"14","bendroflumethiazide-3934-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"MX2;DYSF;VAV1;TLR2"
"15","novobiocin-342-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"PRKCD;TNFSF13;TCIRG1;GMIP"
"16","diethylcarbamazine-7425-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FRAT1;RPS6KA1;TNFSF13;DYSF"
"17","prazosin-6315-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CCRL2;ARRB2;GMIP;IL17RA"
"18","tranexamic acid-1401-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"MAP3K3;DOK2;FMNL1;IL17RA"
"19","lasalocid-3021-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"TLR1;NFE2;VNN2;CCR2"
"20","valdecoxib-6403-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"LILRA6;DYSF;NCF1C;LTC4S"
"21","serotonin-2449-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"MX2;IL3RA;DPEP2;AOAH"
"22","valproic acid-1181-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;NCF1C;VAV1;IL17RA"
"23","tremorine-3196-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CXCR2;TNFSF13;DYSF;GMIP"
"24","naftidrofuryl-1267-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CCRL2;C5AR1;GPSM3;SIPA1"
"25","verteporfin-6133-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"IL6R;CCR2;IL17RA;TLR2"
"26","luteolin-3041-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;NCF1C;CCR2;TLR2"
"27","anisomycin-1304-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;RPS6KA1;PRKCD;IL17RA"
"28","trichostatin A-2694-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;NFE2;DOK2;FMNL1"
"29","trichostatin A-2474-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"DOK2;SPI1;IL3RA;DYSF"
"30","vorinostat-1161-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;NFE2;LCP2;TLR2"
"31","15-delta prostaglandin J2-2691-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;TNFRSF1B;SIPA1;CCR2"
"32","rolitetracycline-5331-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FRAT1;ARRB2;GMIP;VAV1"
"33","quercetin-2499-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;VNN2;CXCR2;NCF1C"
"34","etiocholanolone-3639-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FCN1;C5AR1;DYSF;TLR2"
"35","parthenolide-1736-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"RPS6KA1;PRKCD;RNASE6;TLR2"
"36","chlorpropamide-1594-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;LILRA6;SPI1;BIN2"
"37","androsterone-1296-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"DOK2;CSF3R;LSP1;GPSM3"
"38","dequalinium chloride-1276-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CCRL2;NCF1C;CFP;TREM1"
"39","Trolox C-1734-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"DOK2;ARRB2;GMIP;SIPA1"
"40","0173570-0000-7391-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CCRL2;PRKCD;SIPA1;TLR2"
"41","acacetin-2189-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;MX2;NCF1C;CCR2"
"42","valproic acid-2669-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;CCRL2;DPEP2;IL17RA"
"43","diflorasone-2142-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;CCRL2;DYSF;CFP"
"44","trichostatin A-1175-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;NFE2;FMNL1;LCP2"
"45","apigenin-1321-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;RNASE6;NCF1C;TLR2"
"46","hemicholinium-1601-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FGR;FMNL1;SPI1;TREM1"
"47","alprenolol-7141-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"CCRL2;TCIRG1;GMIP;SIPA1"
"48","diphenylpyraline-3640-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"FCN1;DOK2;C5AR1;TLR2"
"49","mefloquine-1364-dn","4/100",0.000835661892532606,0.0446652754396509,0,0,10.3229166666667,73.1614675343946,"NFE2;DOK2;LSP1;TNFRSF1B"
"50","fulvestrant-2665-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CCRL2;C5AR1;LTC4S"
"51","bambuterol-3199-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CXCR2;DYSF;IL17RA"
"52","PF-01378883-00-6410-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"LILRA6;LSP1;ARRB2"
"53","moracizine-2959-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"SPI1;LSP1;GMIP"
"54","tetracycline-2080-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"MAP3K3;RPS6KA1;IL17RA"
"55","foliosidine-3636-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"DOK2;C5AR1;TLR2"
"56","Chicago Sky Blue 6B-1330-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"C5AR1;CXCR2;PILRA"
"57","valproic acid-2682-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CCRL2;C5AR1;SIPA1"
"58","trichostatin A-1732-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"DOK2;FMNL1;GMIP"
"59","danazol-5315-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"FRAT1;TNFSF13;ARRB2"
"60","myosmine-4759-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CCRL2;DYSF;SIPA1"
"61","amantadine-4222-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"ARRB2;LTC4S;IL17RA"
"62","mometasone-5116-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"TNFSF13;ARRB2;IL17RA"
"63","metaraminol-7368-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CYB5R4;GMIP;TLR2"
"64","tacrine-1278-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"FMNL1;C5AR1;SIPA1"
"65","antazoline-7128-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CCRL2;GMIP;SIPA1"
"66","sirolimus-5975-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"CCRL2;VAV1;IL17RA"
"67","trichostatin A-1306-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"FGR;SPI1;GMIP"
"68","isoxsuprine-4205-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"ARRB2;LTC4S;TLR2"
"69","chlorprothixene-5291-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"RPS6KA1;STXBP2;ARRB2"
"70","pentamidine-2473-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"DYSF;LSP1;CFP"
"71","hydrastinine-1436-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"BIN2;RNASE6;SIPA1"
"72","vorinostat-2680-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"FGR;NFE2;DOK2"
"73","amoxapine-2013-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"DOK2;STXBP2;NCF1C"
"74","hyoscyamine-1424-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"PGS1;TCIRG1;GMIP"
"75","valproic acid-348-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"TCIRG1;GMIP;TREM1"
"76","trichostatin A-2035-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"FGR;FMNL1;GMIP"
"77","terguride-3082-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"SPI1;MX2;LTC4S"
"78","dropropizine-5531-dn","3/100",0.00862416910440388,0.124102741123262,0,0,7.56739213440244,35.9692273171892,"TNFSF13;VAV1;IL17RA"
