"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","vorinostat-6179-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"FGR;FGL2;LCP2"
"2","valproic acid-348-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"CCL22;CCL21;PRF1"
"3","khellin-6641-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;PLA1A"
"4","apigenin-1321-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"HCK;NCF2;MNDA"
"5","cefaclor-6622-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;MYO1F"
"6","ascorbic acid-1610-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;ARHGAP15"
"7","mephenytoin-5801-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"8","fulvestrant-367-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;RASGRP1"
"9","indometacin-452-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"NCF2;ZBED2"
"10","iodixanol-4848-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"11","naltrexone-5765-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"12","ketoprofen-2316-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"13","doxylamine-4235-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"14","fulvestrant-5598-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;RASGRP1"
"15","chlorpropamide-1594-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;BIN2"
"16","prochlorperazine-455-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"EGFL6;PRF1"
"17","vigabatrin-5415-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"18","pentamidine-4573-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"19","hydroquinine-5789-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"20","Prestwick-691-2813-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;NCF2"
"21","glibenclamide-1546-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"APOC2;CST7"
"22","valproic acid-345-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL21;RASGRP1"
"23","valproic acid-346-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;MYO1F"
"24","tolnaftate-2001-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;NCF2"
"25","flufenamic acid-316-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;MYO1F"
"26","suloctidil-6675-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"27","valproic acid-2669-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;PRF1"
"28","citalopram-3820-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;PRF1"
"29","clemizole-3672-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;CWH43"
"30","PHA-00745360-4384-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"31","AG-028671-6557-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"32","brinzolamide-1615-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;BIN2"
"33","trichostatin A-6193-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;FGL2"
