"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Metoclopramide-185 mg/kg in CMC-Rat-Intestine-1d-dn","3/306",0.00635689270329751,0.365458384824469,0,0,8.85328532853285,44.7818258686929,"NCOA1;CLIC5;CCL11"
"Amiloride-22 mg/kg in CMC-Rat-Heart-3d-up","2/254",0.0397859282293627,0.365458384824469,0,0,6.80572808833678,21.9433142836892,"NCOA1;CLIC5"
"Cobalt(II) Acetylacetonate-100 mg/kg in Corn Oil-Rat-Heart-1d-dn","2/258",0.0409276327353526,0.365458384824469,0,0,6.69802989130435,21.4065674727469,"NCOA1;CLIC5"
"Prednisolone-184 mg/kg in Water-Rat-Heart-3d-up","2/260",0.0415031738382602,0.365458384824469,0,0,6.64543309740479,21.1456709373776,"NCOA1;CLIC5"
"Alendronic Acid-138 mg/kg in CMC-Rat-Heart-5d-up","2/265",0.0429555599007459,0.365458384824469,0,0,6.5174408993222,20.5142265106685,"NCOA1;CLIC5"
"Cisplatin-1.17 mg/kg in Saline-Rat-Spleen-3d-up","2/266",0.0432483394416172,0.365458384824469,0,0,6.49242424242424,20.3913829524763,"NCOA1;CLIC5"
"Clozapine-95 mg/kg in CMC-Rat-Heart-1d-up","2/268",0.0438361832622359,0.365458384824469,0,0,6.44295521412226,20.1490261412916,"NCOA1;CLIC5"
"Maprotiline-380 mg/kg in CMC-Rat-Heart-5d-up","2/270",0.0444270588025975,0.365458384824469,0,0,6.39422452952628,19.9110177257515,"NCOA1;CLIC5"
"Buspirone-196 mg/kg in CMC-Rat-Heart-1d-up","2/277",0.04651874650485,0.365458384824469,0,0,6.22924901185771,19.110712401805,"NCOA1;CLIC5"
"Bisacodyl-1750 mg/kg in CMC-Rat-Intestine-1d-dn","2/278",0.0468205299393994,0.365458384824469,0,0,6.20636420919975,19.0003712928744,"NCOA1;CLIC5"
"Clindamycin-161 mg/kg in Saline-Rat-Kidney-5d-dn","2/283",0.0483404481795524,0.365458384824469,0,0,6.09438341327557,18.4628530829229,"NCOA1;CLIC5"
"Prochlorperazine-85 mg/kg in CMC-Rat-Heart-5d-up","2/283",0.0483404481795524,0.365458384824469,0,0,6.09438341327557,18.4628530829229,"NCOA1;CLIC5"
"Doxorubicin-3 mg/kg in Saline-Rat-Spleen-5d-up","2/283",0.0483404481795524,0.365458384824469,0,0,6.09438341327557,18.4628530829229,"NCOA1;CLIC5"
"Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","2/287",0.0495694559308419,0.365458384824469,0,0,6.00762776506484,18.0491993648912,"NCOA1;CLIC5"
"Galantamine-110 mg/kg in CMC-Rat-Heart-3d-up","2/287",0.0495694559308419,0.365458384824469,0,0,6.00762776506484,18.0491993648912,"NCOA1;CLIC5"
"Emetine-1 mg/kg in Saline-Rat-Heart-1d-dn","2/288",0.0498785058762428,0.365458384824469,0,0,5.98631802979629,17.9479698721657,"NCOA1;CLIC5"
