"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","4/253",0.00392100017626918,0.604611417353615,0,0,6.7333162436982,37.3120559381768,"NFE2;HAL;NUMB;PPM1F"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-3d-up","4/293",0.00656882020284186,0.604611417353615,0,0,5.7895899285872,29.0951270169283,"NCOA1;HAL;NUMB;PPM1F"
"Leflunomide-30 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","4/304",0.00746380183986884,0.604611417353615,0,0,5.57418439716312,27.3006292123474,"NFE2;HAL;NUMB;PPM1F"
"Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-1d-up","4/310",0.00798437047879228,0.604611417353615,0,0,5.46321791127799,26.3888139658175,"HAL;NUMB;PLCG2;PPM1F"
"Carboplatin-6 mg/kg in Saline-Rat-Spleen-3d-up","4/317",0.00862133132394894,0.604611417353615,0,0,5.33913398137448,25.379657526808,"NCOA1;HAL;PLCG2;PPM1F"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","3/251",0.026143263669016,0.604611417353615,0,0,4.96496975806452,18.0931626887359,"HAL;NUMB;PPM1F"
"Lomustine-4.2 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/253",0.0266815509532042,0.604611417353615,0,0,4.92475,17.846224974397,"NCOA1;IL18;NUMB"
"NN-Dimethylformamide-140 mg/kg in Saline-Rat-Spleen-3d-up","3/255",0.0272257952251557,0.604611417353615,0,0,4.88516865079365,17.6041468583291,"NCOA1;HAL;PPM1F"
"Cytarabine-23 mg/kg in Saline-Rat-Spleen-0.25d-dn","3/256",0.0275001502738736,0.604611417353615,0,0,4.86561264822134,17.4848895252509,"HAL;NUMB;PPM1F"
"Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-3d-up","3/261",0.0288942365092991,0.604611417353615,0,0,4.77010658914729,16.9057974060039,"HAL;NUMB;PPM1F"
"Ethinylestradiol-10 mg/kg in Corn Oil-Rat-Liver-3d-up","3/267",0.0306161516339084,0.604611417353615,0,0,4.66027462121212,16.2467779060088,"HAL;NUMB;PPM1F"
"Streptomycin-120 mg/kg in Saline-Rat-Bone marrow-5d-dn","3/271",0.0317937333768687,0.604611417353615,0,0,4.58978544776119,15.8278111911563,"HAL;NUMB;PPM1F"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Liver-5d-up","3/272",0.0320918266166698,0.604611417353615,0,0,4.5724907063197,15.7254992627361,"HAL;NUMB;PPM1F"
"Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-1d-up","3/275",0.0329949674507162,0.604611417353615,0,0,4.52136948529412,15.4242009049349,"NFE2;HAL;NUMB"
"Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-1d-dn","3/275",0.0329949674507162,0.604611417353615,0,0,4.52136948529412,15.4242009049349,"NFE2;IL18;PPM1F"
