"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Leflunomide-30 mg/kg in Corn Oil-Rat-Spleen-3d-up","4/276",0.00397192757432064,0.581238551361317,0,0,6.73084815321477,37.2115193703124,"LCK;MGAT3;ARHGEF18;IL16"
"Lomustine-4.2 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","4/283",0.00434073526881446,0.581238551361317,0,0,6.55963990997749,35.6825488407309,"PLCL2;MGAT3;ARHGEF18;IL16"
"Teicoplanin-41 mg/kg in Saline-Rat-Bone marrow-3d-up","4/285",0.00445022110739347,0.581238551361317,0,0,6.51228999420674,35.2627576094222,"PLCL2;MGAT3;ARHGEF18;IL16"
"Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","4/285",0.00445022110739347,0.581238551361317,0,0,6.51228999420674,35.2627576094222,"TRAF3IP3;MGAT3;ARHGEF18;IL16"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up","4/287",0.00456156155253997,0.581238551361317,0,0,6.46560933519599,34.8502179565576,"LCK;MGAT3;ARHGEF18;IL16"
"Noscapine-570 mg/kg in CMC-Rat-Bone marrow-3d-dn","4/294",0.0049660679176599,0.581238551361317,0,0,6.30729751403368,33.4610138054969,"PLCL2;MGAT3;ARHGEF18;IL16"
"Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-1d-up","4/295",0.00502575980560148,0.581238551361317,0,0,6.28530328458403,33.2692330376557,"LCK;MGAT3;IL16;ATM"
"N-Nitrosodiethylamine-34 mg/kg in Saline-Rat-Spleen-5d-up","4/296",0.00508593337162531,0.581238551361317,0,0,6.26345970054157,33.0790638556323,"TRAF3IP3;LCK;ARHGEF18;IL16"
"Famciclovir-1200 mg/kg in Saline-Rat-Spleen-5d-up","4/296",0.00508593337162531,0.581238551361317,0,0,6.26345970054157,33.0790638556323,"TRAF3IP3;LCK;ARHGEF18;IL16"
"Carmustine-16 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","4/304",0.00558487420138341,0.581238551361317,0,0,6.09395348837209,31.6135621153371,"TRAF3IP3;PLCL2;ARHGEF18;IL16"
"Etoposide-100 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","4/305",0.00564946210993166,0.581238551361317,0,0,6.07339874835819,31.4370958706907,"TRAF3IP3;LCK;ARHGEF18;IL16"
"Doxorubicin-0.65 mg/kg in Saline-Rat-Spleen-0.25d-dn","4/311",0.00604753260511612,0.581238551361317,0,0,5.95288235739717,30.4079476817616,"TRAF3IP3;MGAT3;ARHGEF18;IL16"
"Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-0.25d-up","4/314",0.00625342225352926,0.581238551361317,0,0,5.89437359339835,29.9117438751985,"LCK;MGAT3;ARHGEF18;IL16"
"Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-5d-dn","4/324",0.00697341415997092,0.581238551361317,0,0,5.70726744186047,28.340294500034,"TRAF3IP3;MGAT3;ARHGEF18;IL16"
"Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-1d-up","4/325",0.00704830661562457,0.581238551361317,0,0,5.68919800043469,28.1897933970721,"LCK;ARHGEF18;IL16;ATM"
"Acyclovir-980 mg/kg in Saline-Rat-Bone marrow-3d-up","4/331",0.00750890107136204,0.581238551361317,0,0,5.58310219756774,27.3106720464975,"PLCL2;MGAT3;ARHGEF18;IL16"
"Azathioprine-20 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","4/335",0.00782678500721525,0.581238551361317,0,0,5.51450853649968,26.7464883433014,"TRAF3IP3;LCK;ARHGEF18;IL16"
"Pentamidine-18 mg/kg in Saline-Rat-Bone marrow-3d-up","3/184",0.00923126651017056,0.581238551361317,0,0,7.44801607232546,34.8951397060269,"MGAT3;ARHGEF18;IL16"
"Podophyllotoxin-4 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","3/247",0.0202425971098715,0.581238551361317,0,0,5.50735842026826,21.4785112887874,"PLCL2;MGAT3;ARHGEF18"
"Ifosfamide-143 mg/kg in Saline-Rat-Spleen-3d-dn","3/248",0.0204572920837397,0.581238551361317,0,0,5.48460111317254,21.3318946592324,"MGAT3;ARHGEF18;IL16"
"Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/251",0.0211089583282421,0.581238551361317,0,0,5.41743035190616,20.9007592262162,"MGAT3;ARHGEF18;IL16"
"Busulfan-9 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/252",0.0213287084904517,0.581238551361317,0,0,5.39539978094195,20.7598867365981,"LCK;ARHGEF18;IL16"
"Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/252",0.0213287084904517,0.581238551361317,0,0,5.39539978094195,20.7598867365981,"MGAT3;ARHGEF18;IL16"
"Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/256",0.0222203559633272,0.581238551361317,0,0,5.30901904419691,20.2100895319244,"MGAT3;ARHGEF18;IL16"
"Ifosfamide-17 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/257",0.0224464304718305,0.581238551361317,0,0,5.28784896206156,20.075972566924,"PLCL2;ARHGEF18;IL16"
"Etoposide-188 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/259",0.0229023756431826,0.581238551361317,0,0,5.24600497159091,19.8116145448594,"LCK;MGAT3;ARHGEF18"
"Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/265",0.024300585240877,0.581238551361317,0,0,5.12430603747398,19.04835144475,"MGAT3;ARHGEF18;IL16"
"Cisplatin-1.17 mg/kg in Saline-Rat-Spleen-3d-up","3/266",0.0245380498503288,0.581238551361317,0,0,5.10456273764259,18.9253210745117,"LCK;MGAT3;ARHGEF18"
"Leflunomide-60 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/267",0.0247767799619129,0.581238551361317,0,0,5.08496900826446,18.803444288867,"LCK;ARHGEF18;IL16"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/267",0.0247767799619129,0.581238551361317,0,0,5.08496900826446,18.803444288867,"MGAT3;ARHGEF18;IL16"
"Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-1d-dn","3/274",0.0264833144264396,0.581238551361317,0,0,4.95186179134519,17.9814005354209,"PLCL2;ARHGEF18;IL16"
"Bisphenol A-610 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/276",0.0269822763980911,0.581238551361317,0,0,4.91508491508491,17.7561131732811,"LCK;ARHGEF18;IL16"
"Bisphenol A-100 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/277",0.0272336529625005,0.581238551361317,0,0,4.89689781021898,17.6450008367914,"MGAT3;ARHGEF18;IL16"
"Mycophenolate Mofetil-63 mg/kg in CMC-Rat-Bone marrow-3d-dn","3/279",0.0277401957457002,0.581238551361317,0,0,4.86091897233202,17.425776244241,"PLCL2;MGAT3;ARHGEF18"
