"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"prednisolone homo sapiens gpl570 gse32962 chdir down","35/845",2.23333136746126e-20,1.55886529448796e-17,0,0,6.96136442742778,314.989262112034,"FCN1;ITGAM;SELPLG;NCF2;LST1;PLEK;ITGB2;FGL2;TCIRG1;SAMHD1;CST7;SAMSN1;CLEC7A;C3AR1;CASP1;FCGR1B;CCR1;ENTPD1;CD93;GZMA;RNASE6;NKG7;TNFRSF1B;FGR;TYROBP;SLC7A7;BIN2;GPR183;PECAM1;IRF8;LCP2;MNDA;TKT;FCGR2C;TLR2"
"sirolimus homo sapiens gpl8300 gds3603 chdir up","40/1225",1.13846378577074e-19,3.97323861233987e-17,0,0,5.48790944949408,239.379520327038,"FCN1;SASH3;RGS19;KLRB1;PLEK;ITGB2;WAS;SLA;TCIRG1;LSP1;ARRB2;CST7;CORO1A;CD3D;AIF1;FCGR3B;RGS1;GNLY;CD37;MPP1;CD52;PRKCB;IL10RB;IL10RA;NKG7;GZMB;CFLAR;FGR;PTPRE;HCK;TYROBP;PTPRC;SLC7A7;THEMIS2;GPR183;PECAM1;LCP2;DOCK2;TKT;MYO1F"
"valproic acid mus musculus gpl6885 gse35291 chdir up","26/498",1.46741994429862e-17,3.41419707040146e-15,0,0,8.7745941750194,340.1071386098,"ITGAM;AQP9;LST1;PLEK;ITGB2;FPR1;LY96;TREM2;SAMHD1;CTSS;PYCARD;RGS1;CLEC7A;CCR5;MPP1;CD52;IL10RB;IL10RA;RNASE6;FGR;TYROBP;PTPRC;EVI2A;GPR183;MYO1F;TLR2"
"rosiglitazone homo sapiens gpl570 gds2453 chdir down","22/403",2.408114641716e-15,4.20216004979443e-13,0,0,9.17488583522739,308.826035706174,"SASH3;MPP1;MSR1;CD52;CCL13;AQP9;C5AR1;ITGB2;SLA;TREM2;TCIRG1;SAMHD1;AIF1;CTSS;FGR;GLIPR1;TYROBP;SLC7A7;THEMIS2;IRF8;TKT;FCGR2C"
"bleomycin mus musculus gpl1261 gse25640 chdir up","29/802",2.59636539876469e-15,3.62452609667551e-13,0,0,6.0772438651271,204.102192353532,"NCF2;C5AR1;PLEK;ITGB2;SLA;CSF2RB;TREM2;ARRB2;AIF1;CTSS;PYCARD;GLIPR1;CCL8;RGS1;CLEC7A;C3AR1;CCR5;CCR1;MSR1;LY86;CYBB;TNFRSF1B;LAT2;TYROBP;SLC7A7;EVI2A;CD48;MYO1F;TLR2"
"ethanol homo sapiens gpl96 gds2767 chdir down","17/312",4.82394952109263e-12,5.61186127620443e-10,0,0,9.15750915750916,238.621136636235,"CCR1;IGSF6;ITGAM;SP110;IL10RB;AQP9;FPR1;NCF1C;NKG7;GZMB;CSF2RB;CFLAR;PTPRE;PTPRC;FCGR2A;SLAMF8;LCP2"
"tretinoin homo sapiens gpl96 gse5007 chdir up","12/128",1.48565499457685e-11,1.48141026602092e-09,0,0,15.7563025210084,392.8452774286,"CCR1;TYROBP;LST1;NCF4;ITGB2;CCL4;SLA;CYBB;NCF1C;PTPN6;LSP1;AIF1"
"dexamethasone rattus norvegicus gpl1355 gse29912 chdir up","23/820",4.76953834839653e-10,4.16142220897597e-08,0,0,4.71408075425292,101.18115033341,"FCN1;CD93;WIPF1;PRKCB;AQP9;PLEK;ITGB2;FGL2;PRF1;LY86;CYBB;LSP1;TNFRSF1B;CORO1A;AIF1;PYCARD;FGR;TYROBP;PTPRC;EVI2A;BIN2;CD37;CD48"
"rosiglitazone homo sapiens gpl570 gds2453 chdir up","16/366",5.54850679320465e-10,4.3031752685076e-08,0,0,7.34720117555219,156.585917874095,"IGSF6;SELPLG;NCF2;PLEK;FGL2;FPR3;CSF2RB;LSP1;CFLAR;SAMSN1;LAT2;HCK;RGS1;CLEC7A;SLAMF8;CYTIP"
"mycophenolate mofetil homo sapiens gpl6255 gse13922 chdir up","12/178",7.06346811127105e-10,4.93030074166719e-08,0,0,11.3303748465678,238.741362649345,"GNLY;ITGB2;C3AR1;LY86;WAS;CYBB;FPR3;CD37;CD48;MNDA;AIF1;CTSS"
"sirolimus rattus norvegicus gpl6247 gse35048 chdir up","18/525",2.08600556264319e-09,1.32366534793177e-07,0,0,5.76230492196879,115.177036141461,"IL10RB;MX2;PLEK;PRF1;LY86;LY96;NKG7;CD3D;AIF1;PYCARD;GLIPR1;TYROBP;SLC7A7;GPR183;C3AR1;CASP1;LCP2;CYTIP"
"arsenic trioxide homo sapiens gpl201 gse48441 chdir up","48/3998",2.72924993868991e-07,1.58751371433797e-05,0,0,2.01781563050433,30.4974043201315,"IGSF6;ITGAM;SELPLG;WIPF1;NCF2;GMFG;AQP9;C5AR1;PRF1;WAS;NCF1C;TREM2;ARRB2;CST7;CORO1A;ADCY7;AIF1;GLIPR1;RASSF2;FCGR3B;CCL8;RGS1;C3AR1;CD37;CYTIP;CCR1;ENTPD1;GCA;SP110;IL10RB;IL10RA;GZMA;LY86;FMO1;GZMB;TNFRSF1B;PLXDC1;LAT2;PTPRE;FCGR2A;EVI2A;BIN2;THEMIS2;CD48;TKT;RAPGEF5;FOLR2;TLR2"
"hydrocortisone homo sapiens gpl201 gse21909 chdir up","24/1270",3.78637464405223e-07,2.03299192426804e-05,0,0,3.17607357903791,46.9636047840838,"MPP1;RGS19;KLRB1;GZMA;AQP9;C5AR1;PRF1;SLA;NKG7;GZMB;ARRB2;LILRB2;CST7;CORO1A;SAMSN1;FCGR3B;BIN2;THEMIS2;RGS1;GNLY;GPR183;CCL4;C3AR1;IRF8"
"imatinib homo sapiens gpl571 gds3518 chdir up","13/379",4.22068261166953e-07,2.10431175924666e-05,0,0,5.76483891709718,84.6168750740483,"CD52;WIPF1;PRKCB;GMFG;AIF1;LAT2;GLIPR1;PTPRC;SELL;PECAM1;CD37;TKT;EVI2B"
