"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"valproic acid mus musculus gpl6885 gse41020 chdir up","4/467",0.0012809846110481,0.894127258511573,0,0,8.15743856429081,54.3295708728299,"SYT11;RASSF4;NEFH;AGPAT4"
"paclitaxel homo sapiens gpl1998 gse4298 chdir down","2/69",0.00236113353212718,0.824035602712385,0,0,27.6052449965493,166.973456591671,"RASSF4;IFFO1"
"estradiol homo sapiens gpl570 gse11869 chdir up","2/89",0.00389180381420114,0.905493020770799,0,0,21.4018191546281,118.75618027565,"PERP;EZR"
"etoposide homo sapiens gpl10558 gse33990 chdir up","4/635",0.0039165916770389,0.683445247643287,0,0,5.99925009373828,33.2510444606303,"SYPL1;PERP;BCAT1;EZR"
"zinc acetate homo sapiens gds1617 chdir up","3/363",0.00618703312173861,0.863709823794711,0,0,7.87091696182605,40.0259709484986,"SYPL1;BCAT1;EZR"
"zinc acetate homo sapiens gpl570 gds1617 chdir down","3/408",0.0085306274377962,0.992396325263624,0,0,7.00280112044818,33.3619913416241,"SYPL1;BCAT1;EZR"
"dexamethasone mus musculus gpl1261 gds2802 chdir down","2/138",0.00910878978543092,0.908276467175826,0,0,13.8026224982747,64.8518346606457,"EZR;AGPAT4"
"vincristine rattus norvegicus gpl1355 gse19290 chdir up","3/432",0.00996813239485414,0.869719551451024,0,0,6.61375661375661,30.478584887814,"FHL3;TOB1;ARSB"
"tamoxifen homo sapiens gpl96 gds2367 chdir down","2/156",0.011518494030447,0.893323203694666,0,0,12.2100122100122,54.5030690938162,"PERP;TOB1"
"valproic acid mus musculus gpl6885 gse35291 chdir up","3/498",0.0146206600808733,1,0,0,5.7372346528973,24.2416504676372,"CAMK1;TOB1;AGPAT4"
"doxorubicin homo sapiens gpl96 gse2715 chdir up","2/193",0.0172462123066551,1,0,0,9.86923266716013,40.070690708522,"SYPL1;EZR"
"vorinostat homo sapiens gpl6947 gse41504 chdir up","3/563",0.0202362004241269,1,0,0,5.07485409794468,19.7933629955154,"SYT11;FHL3;AGPAT4"
"valproic acid homo sapiens gpl6883 gse26940 chdir up","8/3508",0.0208272371157898,1,0,0,2.17190639083456,8.40852184866398,"CHST7;SYT11;FHL3;MSC;BCAT1;TOB1;IFFO1;ARSB"
"ethanol rattus norvegicus gpl341 gse1996 chdir up","2/231",0.0241443488293055,1,0,0,8.24572253143682,30.7046376350758,"SYT11;BCAT1"
"valproic acid homo sapiens gpl96 gds1050 chdir up","5/1642",0.0248413893028175,1,0,0,2.90006380140363,10.7164436326657,"SYPL1;SYT11;PERP;TOB1;NEFH"
"paclitaxel homo sapiens gpl570 gse11550 chdir down","3/617",0.0256984914689444,1,0,0,4.63070155128502,16.9544940333882,"SYPL1;PERP;TOB1"
"sirolimus rattus norvegicus gpl1355 gse19366 chdir up","2/307",0.0407072804002435,1,0,0,6.20443617186288,19.8625613334436,"PERP;EZR"
"arsenic trioxide homo sapiens gpl201 gse48441 chdir up","8/3998",0.0428520087825333,1,0,0,1.90571476214298,6.00300675219796,"CHST7;PERP;FHL3;MSC;EZR;NEFH;ARSB;AGPAT4"
"sirolimus homo sapiens gpl96 gds2494 chdir down","3/775",0.0458521175870839,1,0,0,3.68663594470046,11.3634429354497,"SYPL1;BCAT1;EZR"
"medroxyprogesterone acetate mus musculus gpl1261 gds3194 chdir down","1/47",0.0482306763303603,1,0,0,20.2634245187437,61.4338403642834,"BCAT1"
