"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CPC001 PC3 24H-lfm-a12-10.0","2/18",0.000644780459847493,0.271708265043488,0,0,62.31875,457.830970593163,"TNIP1;PYGL"
"CPC016 MCF7 6H-clofarabine-10.0","3/83",0.000703953007860023,0.271708265043488,0,0,19.1134615384615,138.740774627156,"FRAT1;FRAT2;DYSF"
"LJP006 HME1 3H-alvocidib-3.33","4/194",0.000720071830140948,0.271708265043488,0,0,10.9518005540166,79.2489765721686,"ISG20;STX3;NRBF2;TNFRSF1A"
"CPC015 MCF7 24H-sertraline hydrochloride-10.0","2/20",0.000798579474022515,0.271708265043488,0,0,55.3888888888889,395.07100210657,"FRAT1;FRAT2"
"CPC003 PC3 24H-cgp 71683 hydrochloride-10.0","3/87",0.000807371157614666,0.271708265043488,0,0,18.1996336996337,129.61282403248,"FRAT1;FRAT2;TNIP1"
"CPC012 VCAP 6H-BRD-K82837433-10.0","2/23",0.00105913579860624,0.271708265043488,0,0,47.4690476190476,325.177311259791,"RNF34;OAZ2"
"LJP006 A549 24H-KIN001-043-3.33","3/98",0.00114012107963069,0.271708265043488,0,0,16.0834008097166,108.991108655077,"ISG20;TNIP1;QPCT"
"CPC006 MDST8 6H-importazole-60.0","3/98",0.00114012107963069,0.271708265043488,0,0,16.0834008097166,108.991108655077,"IL4R;MBOAT7;PYGL"
"LJP008 HEPG2 24H-dasatinib-10","2/25",0.00125255578049936,0.271708265043488,0,0,43.3369565217391,289.602210469497,"TNIP1;MBOAT7"
"CPC014 PC3 24H-s1017-10.0","3/105",0.00139097238804724,0.271708265043488,0,0,14.974358974359,98.4976229368197,"FRAT1;FRAT2;TNIP1"
"LJP006 MDAMB231 24H-mitoxantrone-10","2/31",0.00192603612559377,0.271708265043488,0,0,34.3603448275862,214.830881903165,"ISG20;STX3"
"CPC006 VCAP 6H-BRD-K31342827-12.12","3/120",0.00203890415224083,0.271708265043488,0,0,13.0447074293228,80.8164341947016,"FRAT1;FRAT2;PYGL"
"CPC015 A549 24H-way 170523-10.0","2/32",0.00205171011354824,0.271708265043488,0,0,33.2133333333333,205.560031265973,"ISG20;TNIP1"
"CPC006 HA1E 6H-BRD-K90999434-10.0","2/32",0.00205171011354824,0.271708265043488,0,0,33.2133333333333,205.560031265973,"CXCR1;TNIP1"
"CPC002 PC3 24H-cyclosporin a-10.0","2/33",0.00218117826730547,0.271708265043488,0,0,32.1403225806452,196.952363222241,"FRAT1;FRAT2"
"CPC014 A375 6H-BRD-K56343971-10.0","3/131",0.00261607642377465,0.271708265043488,0,0,11.9170673076923,70.8598311894494,"IL4R;MBOAT7;PYGL"
"CPC006 MCF7 24H-akti-1/2-9.1","3/138",0.00303089191686263,0.271708265043488,0,0,11.2951566951567,65.4994654183489,"FRAT1;FRAT2;PYGL"
"CPC003 PC3 24H-cgk 733-10.0","3/139",0.00309325629204743,0.271708265043488,0,0,11.2115384615385,64.7862217364516,"FRAT1;FRAT2;TNIP1"
"LJP006 LNCAP 24H-CGP-60474-0.04","3/140",0.00315640685195204,0.271708265043488,0,0,11.1291409320606,64.0851656128173,"ISG20;FRAT2;USP10"
"CPC006 SKLU1 6H-BRD-K53903639-80.0","2/40",0.00319237751918603,0.271708265043488,0,0,26.2105263157895,150.631615226906,"CTDSP1;MBOAT7"
"CPC014 MCF7 24H-bl-009-10.0","3/143",0.00335060786983345,0.271708265043488,0,0,10.889010989011,62.0522649792456,"FRAT1;FRAT2;TNIP1"
"CPC009 MCF7 24H-BRD-K19724398-10.0","3/143",0.00335060786983345,0.271708265043488,0,0,10.889010989011,62.0522649792456,"FRAT1;FRAT2;TNIP1"
"CPC006 MCF7 24H-gemcitabine-0.08","3/143",0.00335060786983345,0.271708265043488,0,0,10.889010989011,62.0522649792456,"FRAT1;FRAT2;TNIP1"
"CPC015 MCF7 24H-perphenazine-10.0","2/41",0.00335163704372498,0.271708265043488,0,0,25.5371794871795,145.518672868888,"FRAT2;PYGL"
"CPC004 VCAP 24H-epitestosterone-10.0","2/41",0.00335163704372498,0.271708265043488,0,0,25.5371794871795,145.518672868888,"FRAT1;FRAT2"
"CPC005 PC3 6H-quinacrine dihydrochloride dihydrate-10.0","3/144",0.00341693525290256,0.271708265043488,0,0,10.8112384069831,61.3971445888786,"CSF3R;CXCR1;TNIP1"
"LJP006 HME1 3H-QL-XII-47-3.33","2/42",0.00351455093680196,0.271708265043488,0,0,24.8975,140.691876492521,"QPCT;SLC11A2"
"CPC009 A549 24H-BRD-K03829970-10.0","3/146",0.00355199936140366,0.271708265043488,0,0,10.6589564281872,60.119121794256,"FRAT1;FRAT2;PYGL"
"LJP009 A375 24H-SB-239063-3.33","2/43",0.00368110389528364,0.271708265043488,0,0,24.2890243902439,136.128871913373,"ISG20;TNIP1"
"LJP005 A375 24H-WZ-3105-0.37","2/44",0.00385128066004653,0.271708265043488,0,0,23.7095238095238,131.809530450569,"QPCT;TNFRSF1A"
"CPC006 HCC515 24H-hki-272-10.0","3/151",0.00390385653453113,0.271708265043488,0,0,10.2962577962578,57.1008872247295,"FRAT1;FRAT2;TNIP1"
"CPC011 A549 24H-maprotiline hydrochloride-10.0","3/152",0.00397668563090276,0.271708265043488,0,0,10.2266391326794,56.5257695921608,"FRAT1;FRAT2;IL4R"
"CPC006 MCF7 24H-BRD-K45399554-10.0","2/45",0.00402506602018441,0.271708265043488,0,0,23.156976744186,127.715681543292,"FRAT1;FRAT2"
"CPC007 A549 6H-BRD-K71835137-10.0","2/46",0.00420244480679031,0.271708265043488,0,0,22.6295454545455,123.830882823591,"RNF34;CTDSP1"
"LJP006 HME1 3H-celastrol-1.11","2/46",0.00420244480679031,0.271708265043488,0,0,22.6295454545455,123.830882823591,"TNIP1;OPTN"
"CPC010 A375 6H-geldanamycin-10.0","2/47",0.00438340189881175,0.271708265043488,0,0,22.1255555555556,120.14022156908,"MBOAT7;OAZ2"
"CPC013 HT29 6H-BRD-K49865102-10.0","2/47",0.00438340189881175,0.271708265043488,0,0,22.1255555555556,120.14022156908,"IL4R;TNIP1"
"CPC016 MCF7 24H-aminopurvalanol a-10.0","3/160",0.00458929384675408,0.271708265043488,0,0,9.7016168544831,52.2337875854603,"FRAT1;FRAT2;PYGL"
"CPC014 PC3 24H-s1170-10.0","2/49",0.00475599073188913,0.271708265043488,0,0,21.181914893617,113.28829979293,"FRAT1;FRAT2"
"CPC006 HA1E 24H-4-demethoxydaunorubicin hydrochloride (65)-0.08","3/165",0.00499965209483872,0.271708265043488,0,0,9.39981006647673,49.8038309887099,"FRAT1;FRAT2;CXCR1"
"CPC014 VCAP 6H-BRD-K04923131-10.0","2/51",0.00514271244058803,0.271708265043488,0,0,20.315306122449,107.06521085671,"FRAT1;FRAT2"
"CPC006 OV7 6H-(e)-capsaicin-160.0","2/52",0.0053413357938857,0.271708265043488,0,0,19.908,104.164220457692,"CTDSP1;OAZ2"
"CPC006 AGS 6H-akti-1/2-9.1","2/54",0.00574903322863436,0.271708265043488,0,0,19.1403846153846,98.7399533013268,"TNIP1;PYGL"
"CPC006 VCAP 6H-pf 750-80.0","2/56",0.00617056645834449,0.271708265043488,0,0,18.4296296296296,93.7693038247899,"FRAT1;FRAT2"
"CPC005 HCC515 6H-thioridazine hydrochloride-10.0","2/56",0.00617056645834449,0.271708265043488,0,0,18.4296296296296,93.7693038247899,"DYSF;PYGL"
"CPC006 PC3 24H-pp-110-22.2","3/179",0.00626417394756582,0.271708265043488,0,0,8.64597902097902,43.860260909644,"FRAT1;FRAT2;MBOAT7"
"CPC006 MCF7 6H-gemcitabine-0.08","2/57",0.00638648472108938,0.271708265043488,0,0,18.0936363636364,91.437481147887,"FRAT1;FRAT2"
"CPC006 HT29 24H-bms-754807-10.0","3/186",0.00696176946118546,0.271708265043488,0,0,8.31231609920134,41.2899473389943,"FRAT1;FRAT2;TNIP1"
"CPC014 HT29 6H-axon1408-10.0","2/60",0.00705467063232904,0.271708265043488,0,0,17.1551724137931,84.9878457512576,"IL4R;TNIP1"
"CPC006 VCAP 24H-BRD-K17140735-11.1","2/61",0.0072841611569717,0.271708265043488,0,0,16.8635593220339,83.0033326264213,"FRAT1;FRAT2"
"CPC006 MCF7 24H-mln2238-10.0","4/370",0.00741288735449658,0.271708265043488,0,0,5.63474259419039,27.6357937291213,"FRAT1;FRAT2;DYSF;OPTN"
"CPC011 PC3 24H-wortmannin-10.0","3/195",0.00792421429755357,0.271708265043488,0,0,7.91907051282051,38.3111335797547,"FRAT1;FRAT2;TNIP1"
"CPC009 HEPG2 6H-BRD-K95138506-10.0","2/64",0.00799271597073219,0.271708265043488,0,0,16.0451612903226,77.4856885082462,"XPO6;PYGL"
"CPC011 A549 24H-methotrexate-10.0","2/64",0.00799271597073219,0.271708265043488,0,0,16.0451612903226,77.4856885082462,"TNIP1;DYSF"
"CPC013 PC3 6H-s1011-10.0","2/64",0.00799271597073219,0.271708265043488,0,0,16.0451612903226,77.4856885082462,"NUP214;TNIP1"
"CPC003 HCC515 24H-nnc 55-0396 dihydrochloride-10.0","3/197",0.00814823156932515,0.271708265043488,0,0,7.83663758921491,37.6938691449445,"FRAT1;FRAT2;TNIP1"
"CPC004 PC3 24H-BRD-K87343924 (wortmannin)-10.0","2/65",0.00823554741296649,0.271708265043488,0,0,15.7896825396825,75.7793514687982,"FRAT1;FRAT2"
"LJP006 HT29 24H-GW-843682X-3.33","2/65",0.00823554741296649,0.271708265043488,0,0,15.7896825396825,75.7793514687982,"ISG20;QPCT"
"CPC006 MDST8 6H-temsirolimus [ci779]-10.0","2/65",0.00823554741296649,0.271708265043488,0,0,15.7896825396825,75.7793514687982,"TNIP1;PYGL"
"CPC011 VCAP 24H-flucytosine-10.0","3/201",0.00860743752665219,0.271708265043488,0,0,7.67676767676768,36.5040176949615,"FRAT1;FRAT2;TNIP1"
"CPC006 MCF7 6H-BRD-A36630025-0.35","3/206",0.0092025318295579,0.271708265043488,0,0,7.48579007199697,35.0954546809918,"FRAT1;FRAT2;IL4R"
