"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 HA1E 24H-HG-5-113-01-10","10/185",6.78406337039979e-12,7.2474148985981e-08,0,0,33.2453781512605,854.952934619535,"CX3CR1;GNLY;PLEK;LST1;PRF1;S100A12;GZMB;NKG7;MNDA;CST7"
"LJP006 HCC515 24H-CGP-60474-0.37","9/225",1.23849653870908e-09,6.61542926151453e-06,0,0,23.5,481.970140051065,"FCGR3B;NR4A3;GNLY;AQP9;TRBC1;PRF1;KDR;NCF1C;CST7"
"LJP005 A549 24H-CYT387-10","7/111",4.33288712269609e-09,1.54294110439208e-05,0,0,36.1133056133056,695.435072617385,"CX3CR1;FCN1;IGHM;SELL;GNLY;PRF1;GZMB"
"LJP006 HS578T 24H-withaferin-a-10","7/167",7.37099068070121e-08,0.000196860733604828,0,0,23.4074324324324,384.423273643775,"IGHM;MS4A6A;NR4A3;FGL2;FPR1;LRMP;MNDA"
"LJP006 LNCAP 3H-JW-7-24-1-1.11","5/52",9.80900712691804e-08,0.000209579246273731,0,0,54.3071467539553,876.375046821101,"VCAN;GNLY;PRF1;NKG7;LRMP"
"LJP006 HS578T 24H-AZD-8055-0.12","5/66",3.29710639947494e-07,0.000493870844175142,0,0,41.8137873055906,624.072883610913,"CX3CR1;VCAN;GNLY;PRF1;NKG7"
"LJP006 HCC515 24H-A443654-3.33","7/211",3.62317402079288e-07,0.000493870844175142,0,0,18.3179650238474,271.669071997047,"GNLY;PLEK;FGL2;LST1;TRBC1;NKG7;CST7"
"LJP007 MCF7 24H-tivantinib-10","6/129",3.69836820499966e-07,0.000493870844175142,0,0,25.4595635430039,377.06132865844,"IGHM;TRBC1;PRF1;GZMB;NKG7;CST7"
"LJP005 HS578T 3H-AS-601245-0.37","4/31",6.13727321627599e-07,0.00072849433077196,0,0,73.8111111111111,1055.77310521395,"MS4A6A;VCAN;SELL;S100A12"
"LJP006 HEPG2 24H-withaferin-a-3.33","6/144",7.07007396126108e-07,0.000755296001281521,0,0,22.675057208238,321.129255491157,"IGHM;FCGR3B;NR4A3;GNLY;S100A12;PPBP"
"LJP006 HS578T 3H-sorafenib-3.33","5/81",9.22492687167934e-07,0.000895908125183185,0,0,33.5357624831309,466.019206137749,"SELL;PLEK;PRF1;NKG7;LRMP"
"LJP006 PC3 24H-Y-39983-10","5/83",1.04197611851825e-06,0.000908979191133448,0,0,32.67258382643,450.044962045631,"IGHM;RASSF2;GNLY;S100A12;CST7"
"LJP006 HS578T 3H-celastrol-3.33","5/84",1.10612463584525e-06,0.000908979191133448,0,0,32.2573839662447,442.398665548736,"FCN1;IGHM;ITGAM;FCGR3B;NR4A3"
"LJP006 HS578T 3H-torin-1-0.04","4/46",3.10750995637923e-06,0.0023070843304252,0,0,47.4142857142857,601.293216557229,"SELL;PRF1;GZMB;NKG7"
"LJP006 HCC515 24H-BMS-387032-10","6/187",3.23937704356248e-06,0.0023070843304252,0,0,17.2506542599593,218.050504101492,"FCGR3B;GNLY;AQP9;TRBC1;NKG7;CST7"
"LJP006 HA1E 24H-QL-XII-47-10","6/190",3.55113729833682e-06,0.00237104998488326,0,0,16.966819221968,212.903764427193,"MS4A6A;NR4A3;GNLY;FGL2;TRBC1;MNDA"
"LJP008 HCC515 24H-CGP-60474-10","5/127",8.49406111352531e-06,0.00533776793387005,0,0,20.8427910886927,243.363416173705,"FCGR3B;TRBC1;PRF1;NKG7;CST7"
"LJP006 HEPG2 24H-OSI-027-0.12","4/60",9.08043802727553e-06,0.00538923996918803,0,0,35.5357142857143,412.547899464183,"CX3CR1;VCAN;NKG7;PPBP"
"LJP007 MCF7 24H-idelalisib-3.33","4/61",9.70214005227768e-06,0.00545515590413066,0,0,34.9105263157895,402.97793313245,"LAT2;IGHM;PRF1;CST7"
"LJP006 A549 24H-ZSTK-474-0.04","4/64",1.17561698541122e-05,0.00627955812757403,0,0,33.16,376.403549098079,"IGHM;VCAN;AQP9;APOBEC3A"
"LJP005 MDAMB231 3H-torin-2-0.04","4/65",1.25070585691626e-05,0.0063625193663983,0,0,32.6147540983607,368.195049056181,"GNLY;PRF1;GZMB;NKG7"
"LJP006 A375 24H-canertinib-10","5/147",1.72712686647461e-05,0.00838677105206738,0,0,17.889129649693,196.180535791978,"CX3CR1;IGHM;NR4A3;FGL2;LRMP"
"LJP007 HA1E 24H-dinaciclib-0.04","4/72",1.87935415732973e-05,0.008729191505545,0,0,29.2470588235294,318.266414579824,"FGL2;TRBC1;PRF1;GZMB"
"LJP006 HS578T 24H-alvocidib-1.11","5/152",2.02963663760484e-05,0.00903442008313856,0,0,17.276295133438,186.67155552517,"FCGR3B;GNLY;LST1;AQP9;NKG7"
"LJP009 MCF7 24H-MLN-8054-1.11","4/75",2.20971768085775e-05,0.00921410830498904,0,0,28.0070422535211,300.237193092171,"CX3CR1;IGHM;SELL;MNDA"
"LJP009 HEPG2 24H-PF-3758309-10","5/156",2.30010368634688e-05,0.00921410830498904,0,0,16.8152487688912,179.586373615657,"ITGAM;GNLY;FGL2;PRF1;NKG7"
"LJP005 A375 24H-AS-601245-3.33","4/76",2.32875525821122e-05,0.00921410830498904,0,0,27.6166666666667,294.603320361474,"CX3CR1;PRF1;GZMB;NKG7"
"LJP006 HS578T 24H-BMS-387032-0.37","5/160",2.59783009578334e-05,0.00986055799586161,0,0,16.3779983457403,172.922983786934,"FCGR3B;FGL2;LST1;AQP9;FPR1"
"LJP006 HS578T 24H-CGP-60474-0.12","5/161",2.67674044631645e-05,0.00986055799586161,0,0,16.2721893491124,171.318908702093,"FCGR3B;NR4A3;FGL2;AQP9;PRF1"
"LJP006 HS578T 24H-CGP-60474-0.37","5/164",2.92470190092737e-05,0.0104148634692024,0,0,15.96274794388,166.64682494308,"FCGR3B;GNLY;FGL2;FPR1;PRF1"
"LJP005 SKBR3 3H-dasatinib-1.11","3/29",3.48761695119704e-05,0.0120187780289155,0,0,56.0881801125704,575.672634723131,"GNLY;PRF1;GZMB"
"LJP006 HS578T 24H-AT-7519-0.37","5/174",3.88240512192249e-05,0.0129611668492181,0,0,15.0106205431649,152.45492663362,"FCGR3B;AQP9;TRBC1;FPR1;MNDA"
"LJP006 BT20 24H-radicicol-10","5/180",4.56382876929788e-05,0.0147743584067907,0,0,14.4915750915751,144.839866527021,"FCGR3B;GNLY;AQP9;PRF1;GZMB"
"LJP005 BT20 3H-torin-2-0.04","3/32",4.7123936188012e-05,0.014806617949898,0,0,50.2783851976451,500.909950752772,"CX3CR1;IGHM;VCAN"
"LJP008 HT29 24H-MK-1775-1.11","3/33",5.1756811151355e-05,0.0157976575294264,0,0,48.6,479.631189576169,"MS4A6A;VCAN;S100A12"
"LJP005 SKBR3 24H-crizotinib-1.11","3/34",5.66784581958212e-05,0.0168193324696099,0,0,47.029897718332,459.86381160307,"VCAN;AQP9;FPR1"
