"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","CPC006 MCF7 24H-BRD-K45399554-10.0-dn","5/45",4.30271905877955e-06,0.0241831280730094,0,0,24.0922330097087,297.689976862296,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
"2","CPC002 VCAP 24H-medrysone-10.0-dn","6/83",5.80597876264742e-06,0.0241831280730094,0,0,15.1375095492743,182.507235958102,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"3","CPC014 VCAP 6H-BRD-K04923131-10.0-dn","5/51",8.06277131795278e-06,0.0241831280730094,0,0,20.9434360489658,245.629921374848,"CLEC4A;P2RY13;CD84;FRAT1;FRAT2"
"4","CPC015 MCF7 24H-wortmannin-10.0-dn","6/88",8.15619833828312e-06,0.0241831280730094,0,0,14.2109038737446,166.505357672655,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"5","LJP006 PC3 24H-MK-2206-1.11-dn","5/54",1.07161927030568e-05,0.0254188090916507,0,0,19.658212799683,224.963763620094,"GLIPR1;LST1;FGL2;RNASE6;MNDA"
"6","CPC006 HCC515 24H-su11652-10.0-dn","7/145",1.3781693455211e-05,0.0272418140631337,0,0,9.92093557181805,111.036791602456,"STAT5B;CD84;FRAT1;CYB5R4;RPS6KA1;AOAH;GMIP"
"7","CPC006 VCAP 6H-BRD-K15563106-177.6-dn","6/102",1.90654536481226e-05,0.0281508537330939,0,0,12.1299019607843,131.823317621433,"STAT5B;CD84;FRAT1;FRAT2;GPR65;GMIP"
"8","LJP009 A375 24H-saracatinib-1.11-dn","4/30",1.97749859317756e-05,0.0281508537330939,0,0,29.387573964497,318.29953947521,"SELPLG;RNASE6;CSF2RB;AIF1"
"9","LJP008 HEPG2 24H-KU-55933-10-dn","4/31",2.26105050803735e-05,0.0281508537330939,0,0,28.2977207977208,302.703434061843,"FGL2;GIMAP4;MNDA;APOBEC3A"
"10","CPC019 A549 24H-BRD-K98824517-10.0-dn","6/106",2.37359643617993e-05,0.0281508537330939,0,0,11.6423529411765,123.973818552741,"STAT5B;CD84;FRAT1;FRAT2;FGL2;GMIP"
"11","CPC016 MCF7 24H-ag 592-10.0-dn","6/111",3.08255842300462e-05,0.0311081857644132,0,0,11.0851540616246,115.143330451523,"STAT5B;CD84;FRAT1;CD40;FRAT2;GMIP"
"12","CPC006 HA1E 24H-4-demethoxydaunorubicin hydrochloride (65)-0.08-dn","7/165",3.174394345939e-05,0.0311081857644132,0,0,8.65634791327234,89.6607949299923,"CCR1;STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"13","CPC002 VCAP 24H-api-2-10.0-dn","6/113",3.40983486456468e-05,0.0311081857644132,0,0,10.8768554150632,111.882180202787,"STAT5B;CD84;FRAT1;FRAT2;ADAM8;GMIP"
"14","CPC014 PC3 24H-ei-195-10.0-dn","6/116",3.95252575125018e-05,0.0334187841831503,0,0,10.5786096256684,107.251981171324,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"15","LJP008 HCC515 24H-IOX2-10-dn","4/37",4.62918053323601e-05,0.0334187841831503,0,0,23.1456876456876,231.006591065175,"FCN1;C5AR1;MNDA;CST7"
"16","CPC004 PC3 24H-BRD-A75409952 (wortmannin)-10.0-dn","6/120",4.78166888111168e-05,0.0334187841831503,0,0,10.2053663570691,101.52437082825,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"17","CPC005 A549 24H-wortmannin-10.0-dn","7/176",4.79021358443133e-05,0.0334187841831503,0,0,8.08840588200832,80.4501196047313,"STAT5B;CD84;FRAT1;FRAT2;ALOX5;CFLAR;GMIP"
"18","CPC002 HCC515 24H-niguldipine-10.0-dn","7/179",5.33197017272982e-05,0.0344772023285392,0,0,7.94612019341469,78.1835028095933,"STAT5B;P2RY13;CD84;FRAT1;FRAT2;ALOX5;GMIP"
"19","CPC015 MCF7 24H-homosalate-10.0-dn","7/180",5.52332920946244e-05,0.0344772023285392,0,0,7.89978824472043,77.4490868466918,"STAT5B;CD84;FRAT1;CD40;FRAT2;ALOX5;GMIP"
"20","CPC006 MCF7 24H-mk-0591-80.0-dn","7/182",5.92294154719959e-05,0.0351230433748936,0,0,7.80871287128713,76.0107314936816,"STAT5B;P2RY13;CD84;FRAT1;FRAT2;ALOX5;GMIP"
"21","LJP007 HEPG2 24H-DCC-2036-0.12-dn","4/40",6.32640228832355e-05,0.0357291100664368,0,0,21.2136752136752,205.097922099812,"HCAR3;CSF3R;NKG7;LYST"
"22","CPC004 HCC515 24H-paroxetine hydrochloride-10.0-dn","7/187",7.02646812578951e-05,0.0378790508963016,0,0,7.58987898789879,72.5838440905969,"STAT5B;FRAT1;FRAT2;ALOX5;FPR2;AOAH;GMIP"
"23","CPC001 HCC515 24H-t 98475-10.0-dn","5/81",7.73469307435272e-05,0.0383747153496791,0,0,12.657128257537,119.827686930928,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
"24","CPC006 HCC515 24H-BRD-K64642496-40.0-dn","7/190",7.76554104883895e-05,0.0383747153496791,0,0,7.46431856300384,70.6365583755577,"STAT5B;P2RY13;CD84;FRAT1;FRAT2;ALOX5;GMIP"
"25","CPC013 MCF7 24H-hy-10181-10.0-dn","3/16",8.14723481560435e-05,0.0386504819652271,0,0,43.6901098901099,411.353170904732,"P2RY13;CFLAR;AOAH"
"26","CPC002 HCC515 24H-aminopurvalanol a-10.0-dn","7/196",9.43450628003973e-05,0.0388154760816973,0,0,7.22515584891823,66.9667299199104,"STAT5B;CD84;FRAT1;FRAT2;RPS6KA1;GMIP;LILRB3"
"27","CPC004 VCAP 6H-robustic acid-10.0-dn","4/45",0.000101023989661184,0.0388154760816973,0,0,18.6219512195122,171.324791959603,"P2RY13;CD40;CD84;CFLAR"
"28","CPC014 A549 24H-s1017-10.0-dn","5/86",0.000102912027337852,0.0388154760816973,0,0,11.8728275200767,109.011981033727,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
"29","CPC004 VCAP 24H-BRD-A75409952 (wortmannin)-10.0-dn","5/86",0.000102912027337852,0.0388154760816973,0,0,11.8728275200767,109.011981033727,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
"30","CPC006 MCF7 24H-akti-1/2-9.1-dn","6/138",0.00010399843486365,0.0388154760816973,0,0,8.80570409982175,80.7582985011073,"STAT5B;CD84;FRAT1;FRAT2;ADAM8;GMIP"
"31","CPC014 MCF7 24H-BRD-K52911425-10.0-dn","6/139",0.000108218248241746,0.0388154760816973,0,0,8.7390535161433,79.7994485469142,"STAT5B;CD84;FRAT2;GPR65;CFLAR;GMIP"
"32","CPC003 PC3 24H-cgk 733-10.0-dn","6/139",0.000108218248241746,0.0388154760816973,0,0,8.7390535161433,79.7994485469142,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"33","CPC003 PC3 24H-wortmannin-10.0-dn","6/140",0.00011257303834227,0.0388154760816973,0,0,8.67339771729587,78.8577368448658,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"34","CPC002 VCAP 24H-wortmannin-10.0-dn","6/141",0.000117065923969446,0.0388154760816973,0,0,8.60871459694989,77.9327419012404,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"35","CPC019 MCF7 24H-BRD-K00627859-10.0-dn","4/47",0.00011993944433366,0.0388154760816973,0,0,17.7540250447227,160.292633633756,"STAT5B;CD84;FRAT2;GMIP"
"36","CPC006 JHUEM2 6H-vorinostat-11.1-dn","5/89",0.000121093812396526,0.0388154760816973,0,0,11.4470642625982,103.240443038218,"STAT5B;CD40;GPR65;LST1;CFLAR"
"37","CPC006 MCF7 24H-perhexiline maleate-10.0-dn","5/89",0.000121093812396526,0.0388154760816973,0,0,11.4470642625982,103.240443038218,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
"38","LJP006 SKBR3 3H-KIN001-043-3.33-dn","4/48",0.000130301899543098,0.0399605884126864,0,0,17.3496503496504,155.204012348678,"FCGR2A;ALOX5;C5AR1;NCF4"
"39","CPC014 A549 24H-s1205-10.0-dn","6/144",0.000131404970328396,0.0399605884126864,0,0,8.42028985507246,75.2540386972018,"STAT5B;CD84;ABCA6;GPR65;LST1;CFLAR"
"40","CPD002 MCF7 24H-thiostrepton-10.0-dn","7/211",0.000149146581331333,0.0442219613647402,0,0,6.68879829159386,58.9321989285565,"STAT5B;CD84;FRAT1;CD40;FRAT2;RPS6KA1;CFLAR"
"41","CPC015 MCF7 24H-sertraline hydrochloride-10.0-dn","3/20",0.000163266618196085,0.044410234037728,0,0,33.4033613445378,291.281519714302,"STAT5B;FRAT1;FRAT2"
"42","CPC001 PC3 24H-wortmannin-10.0-dn","6/150",0.000164251554204971,0.044410234037728,0,0,8.06699346405229,70.2966800170568,"STAT5B;CD84;FRAT1;FRAT2;CFLAR;GMIP"
"43","CPC016 MCF7 24H-pi 828-10.0-dn","6/150",0.000164251554204971,0.044410234037728,0,0,8.06699346405229,70.2966800170568,"STAT5B;CD84;CD40;FRAT2;RPS6KA1;GMIP"
"44","CPC019 A549 24H-BRD-K31706415-10.0-dn","5/95",0.000164759721556495,0.044410234037728,0,0,10.680690399137,93.0397330835631,"STAT5B;CD84;FRAT1;FRAT2;GMIP"
