"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"phenylpropanolamine-3217","3/100",5.2826809188519e-05,0.0224513939051206,0,0,51.2577319587629,504.811350131513,"PLEK;LST1;MNDA"
"finasteride-6062","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;HCK"
"serotonin-4673","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"SELL;PLEK"
"ketoconazole-5685","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;LCP2"
"betamethasone-1590","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"LCP2;AIF1"
"solasodine-4305","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;FGL2"
"altretamine-5688","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FGL2;MNDA"
"harman-4408","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"SELL;FGL2"
"paromomycin-4420","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FGL2;GZMB"
"valproic acid-4446","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"PLEK;AIF1"
"prasterone-6474","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;AIF1"
"ergocalciferol-6746","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"LCP2;AIF1"
"antazoline-3173","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"HCK;LST1"
"meclofenoxate-4268","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"SELL;FGL2"
"amodiaquine-3186","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"BIN2;LST1"
"oxolinic acid-5094","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"PLEK;LST1"
"pseudopelletierine-1774","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FGL2;S100A12"
"labetalol-4473","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"MNDA;AIF1"
"tretinoin-1548","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"PLEK;LCP2"
"oxybuprocaine-4115","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;PLEK"
"tranylcypromine-5996","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FGL2;GZMB"
"mephentermine-3685","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"FCN1;S100A12"
"pentoxifylline-2290","2/100",0.00249083430520832,0.0460262860745015,0,0,31.2197802197802,187.166877082159,"PLEK;AIF1"
