"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"benfluorex-6727","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"PADI4;LILRA5"
"fenoprofen-4736","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"MGAM;PADI4"
"methazolamide-2733","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"PADI4;SIGLEC5"
"diazoxide-1368","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"MGAM;FPR2"
"diflunisal-1990","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"MGAM;FPR2"
"carteolol-4176","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"PADI4;F5"
"cyanocobalamin-1315","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"FPR2;PADI4"
"dimethadione-4607","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"PADI4;LILRA3"
"cycloserine-6782","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"FOLR3;F5"
"practolol-4603","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"PADI4;LILRA5"
"trapidil-3136","2/100",0.000870867194754317,0.0209008126741036,0,0,57.997084548105,408.648679561366,"F5;LILRA5"
"rottlerin-914","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"PADI4"
"genistein-2695","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"PADI4"
"thalidomide-5990","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"LILRA5"
"pentoxyverine-4649","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"PADI4"
"hesperetin-6750","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"F5"
"wortmannin-1184","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"F5"
"salsolidin-2463","1/100",0.0441188457824273,0.0441188457824273,0,0,25.1161616161616,78.3842312444799,"PADI4"
