"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ketorolac-3110","3/100",5.2826809188519e-05,0.00620715007965098,0,0,51.2577319587629,504.811350131513,"MSR1;SLCO2B1;LILRB2"
"amodiaquine-3186","3/100",5.2826809188519e-05,0.00620715007965098,0,0,51.2577319587629,504.811350131513,"MSR1;BIN2;LST1"
"dimethadione-4607","3/100",5.2826809188519e-05,0.00620715007965098,0,0,51.2577319587629,504.811350131513,"SLCO2B1;LST1;LILRB2"
"tretinoin-1548","3/100",5.2826809188519e-05,0.00620715007965098,0,0,51.2577319587629,504.811350131513,"ITGAM;LCP2;LILRB2"
"trichostatin A-1561","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;GPR65"
"pentoxifylline-1444","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;LILRB2"
"ketoconazole-5685","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"FCN1;LCP2"
"tetryzoline-6069","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LILRB2"
"betamethasone-1590","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"GPR65;LCP2"
"hydralazine-4746","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LST1"
"pargyline-2265","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LILRB2"
"triflusal-2867","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LILRB2"
"0173570-0000-3690","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"FCN1;ITGAM"
"dicloxacillin-6666","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"FCN1;MSR1"
"clozapine-4453","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"LCP2;LILRB2"
"antazoline-3173","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LST1"
"cephaeline-2429","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"GPR65;LCP2"
"isoniazid-2246","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"SLCO2B1;LILRB5"
"tretinoin-2671","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;LILRB2"
"picrotoxinin-2161","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;LILRB2"
"xylometazoline-1423","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;LILRB2"
"propranolol-3396","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"FCN1;SLCO2B1"
"tretinoin-1152","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;LILRB2"
"dinoprost-2446","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"GPR65;LILRB2"
"pyrantel-5513","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"MSR1;LILRB2"
"altizide-4491","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"SLCO2B1;LILRB2"
"heliotrine-4277","2/100",0.00249083430520832,0.0433589675351077,0,0,31.2197802197802,187.166877082159,"ITGAM;SLCO2B1"
