"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"amoxicillin-2620","3/100",6.4781775896681e-05,0.0299291804642666,0,0,47.3124504361618,456.304276754387,"KLRB1;GIMAP5;CCR2"
"famotidine-6665","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;CCR7"
"phthalylsulfathiazole-5614","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;KLRB1"
"iopanoic acid-6348","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"CCR7;GIMAP5"
"fluphenazine-6196","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"IL16;GIMAP4"
"chlorzoxazone-2263","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;KLRB1"
"Prestwick-674-4738","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"KLRB1;CCR7"
"torasemide-5476","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"CCR7;GIMAP5"
"crotamiton-5689","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"GIMAP5;GIMAP6"
"tocainide-4256","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;GIMAP6"
"propantheline bromide-3013","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"CCR7;CD247"
"midodrine-1403","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;GIMAP5"
"milrinone-3552","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"IL16;CCR7"
"tanespimycin-5919","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"ITK;GIMAP5"
"erastin-6369","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"GIMAP5;CCR2"
"sulfametoxydiazine-5732","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"GZMB;CD247"
"diclofenac-333","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"GZMA;GIMAP5"
"pilocarpine-6741","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"KLRB1;CCR7"
"fulvestrant-5565","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"CCR7;GIMAP6"
"tenoxicam-4102","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;CCR7"
"norfloxacin-7283","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"ITK;CCR7"
"paromomycin-4595","2/100",0.00283741499181759,0.0595857148281695,0,0,28.9883381924198,170.012598917729,"TRAF3IP3;GIMAP5"
