"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"retrorsine-2129","3/100",1.943756475353e-05,0.00713358626454552,0,0,76.9020618556701,834.256871154208,"HP;BPI;RETN"
"pivmecillinam-2973","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"sulindac-307","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"LCN2;MMP8"
"gabexate-2937","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;BPI"
"oleandomycin-2018","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"sulfabenzamide-2159","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;RETN"
"isoxicam-1862","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"hydroxyachillin-2157","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"oxprenolol-6145","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"LY-294002-2687","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"mebhydrolin-1333","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"trichostatin A-3077","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"trichostatin A-2474","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"acetylsalicylic acid-2664","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"pirenperone-2455","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;BPI"
"pentoxyverine-1268","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"3-nitropropionic acid-6372","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"MS4A3;RETN"
"wortmannin-6202","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;RETN"
"etomidate-2958","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"progesterone-2426","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"metacycline-2901","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;BPI"
"ozagrel-2942","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"trichostatin A-1306","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"delsoline-2513","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"prochlorperazine-6174","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;HP"
"dequalinium chloride-1276","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"natamycin-6126","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"oxyphenbutazone-6160","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"Prestwick-984-2903","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"gelsemine-2162","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;RETN"
"valproic acid-6199","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"proguanil-2944","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
