"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","etifenin-2477-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"TLR8;MCTP2"
"2","metitepine-5413-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"IGSF6;TLR5"
"3","Prestwick-682-2164-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"TLR8;F5"
"4","chlorhexidine-5403-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"IGSF6;TLR5"
"5","amiodarone-2434-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"IGSF6;MCTP2"
"6","eldeline-2171-dn","2/100",0.00108503842061186,0.0489003911418305,0,0,50.7448979591837,346.391771762865,"TLR8;MCTP2"
"7","methoxamine-2488-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"MCTP2"
"8","prilocaine-2314-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
"9","tyloxapol-3074-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"MCTP2"
"10","coralyne-5418-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"IGSF6"
"11","zoxazolamine-5390-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
"12","thiethylperazine-5756-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"MCTP2"
"13","reserpine-3003-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR8"
"14","Prestwick-692-4424-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"MCTP2"
"15","josamycin-2034-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"IGSF6"
"16","karakoline-6059-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
"17","monastrol-311-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"SIGLEC5"
"18","carbimazole-5399-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"IGSF6"
"19","diazoxide-7168-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
"20","clindamycin-7172-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
"21","felbinac-3398-dn","1/100",0.0489003911418305,0.0489003911418305,0,0,22.324354657688,67.3742300304506,"TLR5"
