"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","retrorsine-2129-dn","3/100",1.943756475353e-05,0.00713358626454552,0,0,76.9020618556701,834.256871154208,"HP;BPI;RETN"
"2","pivmecillinam-2973-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"3","sulindac-307-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"LCN2;MMP8"
"4","gabexate-2937-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;BPI"
"5","oleandomycin-2018-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"6","sulfabenzamide-2159-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;RETN"
"7","isoxicam-1862-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"8","hydroxyachillin-2157-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"9","oxprenolol-6145-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"10","LY-294002-2687-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"11","mebhydrolin-1333-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"12","trichostatin A-3077-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"13","trichostatin A-2474-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"14","acetylsalicylic acid-2664-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"15","pirenperone-2455-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;BPI"
"16","pentoxyverine-1268-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"17","3-nitropropionic acid-6372-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"MS4A3;RETN"
"18","wortmannin-6202-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;RETN"
"19","etomidate-2958-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"20","progesterone-2426-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"21","metacycline-2901-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;BPI"
"22","ozagrel-2942-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"23","trichostatin A-1306-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"24","delsoline-2513-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"25","prochlorperazine-6174-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"TCN1;HP"
"26","dequalinium chloride-1276-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"27","natamycin-6126-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"28","oxyphenbutazone-6160-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"29","Prestwick-984-2903-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"30","gelsemine-2162-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"ARG1;RETN"
"31","valproic acid-6199-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"32","proguanil-2944-dn","2/100",0.0013218400851343,0.015159853476384,0,0,45.1043083900227,298.984305122014,"HP;RETN"
"33","pempidine-3926-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"PADI4;MMP8"
"34","alpha-ergocryptine-2572-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;BPI"
"35","chlorpropamide-1594-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"TCN1;BPI"
"36","moxisylyte-1846-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;TCN1"
"37","Prestwick-860-5679-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"38","levobunolol-3354-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"TCN1;RETN"
"39","citiolone-6031-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"TCN1;HP"
"40","dacarbazine-1762-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"HP;PADI4"
"41","cefoperazone-1627-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;BPI"
"42","cinchocaine-4068-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"PADI4;PGLYRP1"
"43","nitrofural-3320-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"HP;PADI4"
"44","hydralazine-2311-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;RETN"
"45","thalidomide-2095-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"RETN;PGLYRP1"
"46","pyridoxine-1759-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;HP"
"47","practolol-1587-up","2/100",0.0013218400851343,0.0389502211752908,0,0,45.1043083900227,298.984305122014,"ARG1;BPI"
