"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/251",0.000219581419119476,0.0109241597803051,0,0,34.1163594470046,287.388961037137,"ORM1;HP;PGLYRP1"
"Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/256",0.000232714376266293,0.0109241597803051,0,0,33.4336533032185,279.695870286094,"ORM1;HP;PGLYRP1"
"Crotamiton-750 mg/kg in Corn Oil-Rat-Liver-3d-up","3/258",0.000238107383452131,0.0109241597803051,0,0,33.1680672268908,276.714179614749,"ORM1;ARG1;HP"
"Cyproterone Acetate-2500 mg/kg in CMC-Rat-Liver-5d-up","3/266",0.000260491924531315,0.0109241597803051,0,0,32.1461162411733,265.299926689255,"ORM1;ARG1;HP"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","3/268",0.000266293877491906,0.0109241597803051,0,0,31.900269541779,262.568249374151,"ORM1;ARG1;HP"
"Dexamethasone-1 mg/kg in Corn Oil-Rat-Liver-5d-up","3/272",0.000278148511925279,0.0109241597803051,0,0,31.4195432819968,257.242966455453,"ORM1;ARG1;HP"
"1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-1d-up","3/273",0.000281164794245123,0.0109241597803051,0,0,31.3015873015873,255.93960729151,"ORM1;ARG1;HP"
"Lead (II) Acetate-600 mg/kg in Saline-Rat-Liver-1d-dn","3/273",0.000281164794245123,0.0109241597803051,0,0,31.3015873015873,255.93960729151,"ORM1;ARG1;HP"
"Methotrexate-27 mg/kg in Corn Oil-Rat-Liver-1d-up","3/275",0.000287260972413796,0.0109241597803051,0,0,31.0682773109244,253.365512384672,"ORM1;ARG1;HP"
"Phenobarbital-25 mg/kg in Water-Rat-Liver-0.25d-dn","3/276",0.000290341000785266,0.0109241597803051,0,0,30.9529042386185,252.094519006952,"ORM1;ARG1;HP"
"Piclamilast-17 mg/kg in CMC-Rat-Liver-3d-up","3/277",0.000293442410305368,0.0109241597803051,0,0,30.8383733055266,250.834059884239,"ORM1;ARG1;HP"
"Zomepirac-2.8 mg/kg in Saline-Rat-Liver-3d-up","3/277",0.000293442410305368,0.0109241597803051,0,0,30.8383733055266,250.834059884239,"ORM1;ARG1;HP"
"Isoeugenol-1560 mg/kg in CMC-Rat-Liver-1d-up","3/278",0.000296565266965607,0.0109241597803051,0,0,30.7246753246753,249.58401110401,"ORM1;ARG1;HP"
"Oxytetracycline-1500 mg/kg in Water-Rat-Liver-3d-dn","3/279",0.000299709636769595,0.0109241597803051,0,0,30.611801242236,248.344250636571,"ORM1;ARG1;HP"
"6-Mercaptopurine-25 mg/kg in Corn Oil-Rat-Liver-3d-dn","3/280",0.000302875585720802,0.0109241597803051,0,0,30.4997421351212,247.114658301429,"ORM1;ARG1;HP"
"Betamethasone-79 mg/kg in Corn Oil-Rat-Liver-3d-up","3/281",0.000306063179584685,0.0109241597803051,0,0,30.3884892086331,245.895115756717,"ORM1;ARG1;HP"
"Modafinil-17.5 mg/kg in Saline-Rat-Liver-3d-up","3/281",0.000306063179584685,0.0109241597803051,0,0,30.3884892086331,245.895115756717,"ORM1;ARG1;HP"
