"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Tacrine-24 mg/kg in Water-Rat-Heart-3d-dn","2/223",0.0018024933182938,0.0244174410325912,0,0,44.7352941176471,282.663731349824,"CD48;IL2RG"
"Cisplatin-1.17 mg/kg in Saline-Rat-Spleen-3d-up","2/266",0.0025517686912308,0.0244174410325912,0,0,37.3674242424242,223.119715164246,"CD48;IL2RG"
"Leflunomide-60 mg/kg in Corn Oil-Rat-Spleen-3d-up","2/267",0.00257068270994816,0.0244174410325912,0,0,37.2245283018868,221.991592806877,"FNBP1;IL2RG"
"Dexamethasone-1 mg/kg in Corn Oil-Rat-Heart-3d-dn","2/268",0.00258966398622682,0.0244174410325912,0,0,37.0827067669173,220.87302471951,"CD48;IL2RG"
"Irinotecan-5 mg/kg in Saline-Rat-Heart-1d-up","2/272",0.0026662611016698,0.0244174410325912,0,0,36.5259259259259,216.492016529398,"CD48;IL2RG"
"Droperidol-94 mg/kg in CMC-Rat-Heart-1d-dn","2/273",0.00268557824225724,0.0244174410325912,0,0,36.3892988929889,215.419526341322,"CD48;IL2RG"
"Leflunomide-30 mg/kg in Corn Oil-Rat-Spleen-3d-up","2/276",0.00274393208078744,0.0244174410325912,0,0,35.985401459854,212.254972073938,"FNBP1;IL2RG"
"Cisplatin-1.17 mg/kg in Saline-Rat-Spleen-0.25d-up","2/279",0.00280288895173848,0.0244174410325912,0,0,35.5902527075812,209.167638800838,"CD48;IL2RG"
"Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-3d-dn","2/279",0.00280288895173848,0.0244174410325912,0,0,35.5902527075812,209.167638800838,"CD48;IL2RG"
"Dobutamine-43 mg/kg in Saline-Rat-Heart-1d-dn","2/280",0.00282267511840692,0.0244174410325912,0,0,35.4604316546763,208.155223849515,"CD48;IL2RG"
"Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","2/281",0.00284252817577014,0.0244174410325912,0,0,35.331541218638,207.150996230557,"CD48;IL2RG"
"Azathioprine-20 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/281",0.00284252817577014,0.0244174410325912,0,0,35.331541218638,207.150996230557,"CD48;IL2RG"
"Meropenem-1500 mg/kg in CMC-Rat-Spleen-5d-up","2/282",0.00286244809538642,0.0244174410325912,0,0,35.2035714285714,206.154861673895,"CD48;IL2RG"
"Clofibrate-500 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","2/283",0.00288243485017292,0.0244174410325912,0,0,35.076512455516,205.166727304123,"CD48;IL2RG"
"Coumarin-111 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","2/283",0.00288243485017292,0.0244174410325912,0,0,35.076512455516,205.166727304123,"CD48;IL2RG"
"Fluorouracil-29 mg/kg in CMC-Rat-Spleen-5d-up","2/283",0.00288243485017292,0.0244174410325912,0,0,35.076512455516,205.166727304123,"CD48;IL2RG"
"Tacrine-24 mg/kg in Water-Rat-Heart-5d-dn","2/283",0.00288243485017292,0.0244174410325912,0,0,35.076512455516,205.166727304123,"CD48;IL2RG"
"Catechol-40 mg/kg in Saline-Rat-Bone marrow-3d-up","2/284",0.00290248841133397,0.0244174410325912,0,0,34.9503546099291,204.186501652357,"CD48;IL2RG"
"Bisphenol A-100 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","2/285",0.00292260875081868,0.0244174410325912,0,0,34.8250883392226,203.214094600425,"CD48;IL2RG"
"Furan-24 mg/kg in Corn Oil-Rat-Heart-5d-dn","2/285",0.00292260875081868,0.0244174410325912,0,0,34.8250883392226,203.214094600425,"CD48;IL2RG"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/285",0.00292260875081868,0.0244174410325912,0,0,34.8250883392226,203.214094600425,"CD48;IL2RG"
"Doxifluridine-1230 mg/kg in CMC-Rat-Bone marrow-1d-up","2/285",0.00292260875081868,0.0244174410325912,0,0,34.8250883392226,203.214094600425,"CD48;IL2RG"
"Emetine-1 mg/kg in Saline-Rat-Heart-3d-up","2/286",0.00294279584105644,0.0244174410325912,0,0,34.7007042253521,202.249417359575,"CD48;IL2RG"
"123-Trichloropropane-108 mg/kg in CMC-Rat-Heart-1d-dn","2/287",0.00296304965267495,0.0244174410325912,0,0,34.5771929824561,201.292382473059,"CD48;IL2RG"
"Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","2/287",0.00296304965267495,0.0244174410325912,0,0,34.5771929824561,201.292382473059,"CD48;IL2RG"
"Bithionol-59 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","2/288",0.00298337015919565,0.0244174410325912,0,0,34.4545454545455,200.342903737,"CD48;IL2RG"
"Tazobactam-1500 mg/kg in CMC-Rat-Spleen-5d-up","2/289",0.00300375733118439,0.0244174410325912,0,0,34.3327526132404,199.400896245689,"CD48;IL2RG"
"Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-3d-up","2/290",0.00302421114077483,0.0244174410325912,0,0,34.2118055555556,198.466276315855,"CD48;IL2RG"
"Noscapine-570 mg/kg in CMC-Rat-Spleen-3d-up","2/290",0.00302421114077483,0.0244174410325912,0,0,34.2118055555556,198.466276315855,"CD48;IL2RG"
"Myrtecaine-140 mg/kg in Corn Oil-Rat-Heart-3d-dn","2/291",0.00304473156034437,0.0244174410325912,0,0,34.0916955017301,197.538961480108,"CD48;IL2RG"
"Idarubicin-4 mg/kg in Saline-Rat-Heart-28d-up","2/293",0.00308597211609899,0.0244174410325912,0,0,33.8539518900344,195.70592321541,"CD48;IL2RG"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-3d-up","2/293",0.00308597211609899,0.0244174410325912,0,0,33.8539518900344,195.70592321541,"CD48;IL2RG"
"Tazobactam-1500 mg/kg in CMC-Rat-Spleen-3d-up","2/294",0.00310669219640836,0.0244174410325912,0,0,33.736301369863,194.800040757252,"CD48;IL2RG"
"Camptothecin-0.24 mg/kg in Saline-Rat-Bone marrow-1d-up","2/294",0.00310669219640836,0.0244174410325912,0,0,33.736301369863,194.800040757252,"CD48;IL2RG"
"Noscapine-570 mg/kg in CMC-Rat-Bone marrow-3d-dn","2/294",0.00310669219640836,0.0244174410325912,0,0,33.736301369863,194.800040757252,"CD48;IL2RG"
"Noscapine-570 mg/kg in CMC-Rat-Bone marrow-5d-dn","2/294",0.00310669219640836,0.0244174410325912,0,0,33.736301369863,194.800040757252,"CD48;IL2RG"
"Carmustine-4 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/294",0.00310669219640836,0.0244174410325912,0,0,33.736301369863,194.800040757252,"CD48;IL2RG"
"Oxaliplatin-1.31 mg/kg in Saline-Rat-Bone marrow-0.25d-up","2/295",0.00312747877410585,0.0244174410325912,0,0,33.6194539249147,193.901145302746,"CD48;IL2RG"
"Hydroxyurea-400 mg/kg in Saline-Rat-Spleen-3d-up","2/295",0.00312747877410585,0.0244174410325912,0,0,33.6194539249147,193.901145302746,"CD48;IL2RG"
"Doxorubicin-3 mg/kg in Saline-Rat-Spleen-1d-up","2/295",0.00312747877410585,0.0244174410325912,0,0,33.6194539249147,193.901145302746,"CD48;IL2RG"
"Tranilast-300 mg/kg in CMC-Rat-Spleen-3d-up","2/296",0.00314833182099359,0.0244174410325912,0,0,33.5034013605442,193.009160165069,"CD48;IL2RG"
"Penciclovir-1200 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","2/296",0.00314833182099359,0.0244174410325912,0,0,33.5034013605442,193.009160165069,"CD48;IL2RG"
"Aztreonam-1100 mg/kg in CMC-Rat-Spleen-5d-up","2/296",0.00314833182099359,0.0244174410325912,0,0,33.5034013605442,193.009160165069,"CD48;IL2RG"
"33'5-Triiodo-L-Thyronine-0.001 mg/kg in PEG400-Rat-Heart-1d-dn","2/297",0.00316925130913373,0.0244174410325912,0,0,33.3881355932203,192.124009748841,"CD48;IL2RG"
"Carbon Tetrachloride-400 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","2/297",0.00316925130913373,0.0244174410325912,0,0,33.3881355932203,192.124009748841,"CD48;IL2RG"
"Carmustine-16 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/297",0.00316925130913373,0.0244174410325912,0,0,33.3881355932203,192.124009748841,"CD48;IL2RG"
"Fludrocortisone Acetate-125 mg/kg in CMC-Rat-Heart-5d-dn","2/298",0.00319023721038435,0.0244174410325912,0,0,33.2736486486486,191.245619535898,"CD48;IL2RG"
"Lomustine-4.2 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/298",0.00319023721038435,0.0244174410325912,0,0,33.2736486486486,191.245619535898,"CD48;IL2RG"
"Melphalan-12 mg/kg in CMC-Rat-Bone marrow-1d-dn","2/298",0.00319023721038435,0.0244174410325912,0,0,33.2736486486486,191.245619535898,"CD48;IL2RG"
"Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn","2/299",0.00321128949755676,0.0244174410325912,0,0,33.1599326599327,190.373916054414,"CD48;IL2RG"
"Thioguanine-12 mg/kg in Corn Oil-Rat-Spleen-1d-dn","2/299",0.00321128949755676,0.0244174410325912,0,0,33.1599326599327,190.373916054414,"CD48;IL2RG"
"Tranilast-300 mg/kg in CMC-Rat-Spleen-5d-up","2/299",0.00321128949755676,0.0244174410325912,0,0,33.1599326599327,190.373916054414,"CD48;IL2RG"
"Cytarabine-23 mg/kg in Saline-Rat-Spleen-3d-up","2/299",0.00321128949755676,0.0244174410325912,0,0,33.1599326599327,190.373916054414,"CD48;IL2RG"
"Carbon Tetrachloride-400 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn","2/299",0.00321128949755676,0.0244174410325912,0,0,33.1599326599327,190.373916054414,"CD48;IL2RG"
