"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-3d-up","5/352",1.16462273739777e-05,0.00888607148634499,0,0,21.76346708047,247.244482824083,"LCK;IL2RB;PRF1;ARHGEF3;NKG7"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-1d-up","4/268",8.3195107759302e-05,0.0162938329658293,0,0,21.3398268398268,200.473205031491,"LCK;GZMA;IL2RB;PRF1"
"Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","4/287",0.00010841537186737,0.0162938329658293,0,0,19.8879353861686,181.567714992477,"LCK;IL2RB;PRF1;NKG7"
"Acyclovir-330 mg/kg in Saline-Rat-Spleen-0.25d-up","4/304",0.00013533572072901,0.0162938329658293,0,0,18.7447619047619,166.973691215139,"LCK;PRF1;ARHGEF3;NKG7"
"Ferulic Acid-1500 mg/kg in CMC-Rat-Liver-5d-up","4/304",0.00013533572072901,0.0162938329658293,0,0,18.7447619047619,166.973691215139,"LCK;GZMA;ARHGEF3;NKG7"
"Carboplatin-6 mg/kg in Saline-Rat-Spleen-3d-up","4/317",0.000158975297545288,0.0162938329658293,0,0,17.9543587403012,157.042497901353,"LCK;IL2RB;PRF1;NKG7"
"Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-1d-up","4/317",0.000158975297545288,0.0162938329658293,0,0,17.9543587403012,157.042497901353,"LCK;IL2RB;PRF1;NKG7"
"Mitomycin C-0.5 mg/kg in Saline-Rat-Spleen-3d-up","4/323",0.000170839664124029,0.0162938329658293,0,0,17.6112852664577,152.774114634211,"LCK;IL2RB;PRF1;NKG7"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","3/251",0.00138626287776854,0.0422839895062705,0,0,15.9145161290323,104.735718033777,"GZMA;IL2RB;PRF1"
"NN-Dimethylformamide-140 mg/kg in Saline-Rat-Spleen-3d-up","3/255",0.00145060490569662,0.0422839895062705,0,0,15.6587301587302,102.341931359568,"GZMA;IL2RB;PRF1"
"Cisplatin-2 mg/kg in Saline-Rat-Spleen-1d-up","3/275",0.0018005766630291,0.0422839895062705,0,0,14.4926470588235,91.5884323048597,"LCK;IL2RB;PRF1"
"NN-Dimethylformamide-1400 mg/kg in Saline-Rat-Spleen-1d-up","3/282",0.0019344967512921,0.0422839895062705,0,0,14.1240143369176,88.2455430600671,"LCK;GZMA;IL2RB"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-0.25d-up","3/282",0.0019344967512921,0.0422839895062705,0,0,14.1240143369176,88.2455430600671,"GZMA;IL2RB;NKG7"
"Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-5d-up","3/283",0.00195412326714759,0.0422839895062705,0,0,14.0728571428571,87.7838602793624,"GZMA;ARHGEF3;NKG7"
"Carboplatin-6 mg/kg in Saline-Rat-Spleen-1d-up","3/283",0.00195412326714759,0.0422839895062705,0,0,14.0728571428571,87.7838602793624,"LCK;IL2RB;PRF1"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up","3/287",0.00203387879527523,0.0422839895062705,0,0,13.8718309859155,85.974980744091,"LCK;GZMA;IL2RB"
"NN-Dimethylformamide-140 mg/kg in Saline-Rat-Spleen-0.25d-up","3/288",0.00205413150060725,0.0422839895062705,0,0,13.8224561403509,85.5320060388565,"GZMA;IL2RB;NKG7"
"Hydrocortisone-56 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","3/288",0.00205413150060725,0.0422839895062705,0,0,13.8224561403509,85.5320060388565,"PRF1;ARHGEF3;NKG7"
"Mitomycin C-0.5 mg/kg in Saline-Rat-Bone marrow-0.25d-up","3/289",0.00207451031519596,0.0422839895062705,0,0,13.7734265734266,85.0926445819609,"GZMA;IL2RB;PRF1"
"Ethylene Glycol-3525 mg/kg in Water-Rat-Bone marrow-1d-up","3/292",0.00213640629062471,0.0422839895062705,0,0,13.6283737024221,83.7958296466788,"IL2RB;PRF1;NKG7"
"Ethylene Glycol-352 mg/kg in Water-Rat-Bone marrow-3d-up","3/292",0.00213640629062471,0.0422839895062705,0,0,13.6283737024221,83.7958296466788,"IL2RB;PRF1;NKG7"
"Etoposide-188 mg/kg in Corn Oil-Rat-Spleen-1d-up","3/293",0.00215729241493185,0.0422839895062705,0,0,13.5806896551724,83.3705141286142,"GZMA;IL2RB;NKG7"
"Catechol-40 mg/kg in Saline-Rat-Bone marrow-1d-up","3/293",0.00215729241493185,0.0422839895062705,0,0,13.5806896551724,83.3705141286142,"IL2RB;PRF1;NKG7"
"Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-3d-up","3/293",0.00215729241493185,0.0422839895062705,0,0,13.5806896551724,83.3705141286142,"LCK;IL2RB;PRF1"
"Catechol-40 mg/kg in Saline-Rat-Bone marrow-0.25d-up","3/294",0.00217830608099065,0.0422839895062705,0,0,13.5333333333333,82.9486112968137,"IL2RB;PRF1;NKG7"
"Melphalan-12 mg/kg in CMC-Rat-Spleen-3d-dn","3/295",0.00219944757177944,0.0422839895062705,0,0,13.486301369863,82.5300827883708,"PRF1;ARHGEF3;NKG7"
"Lomustine-4.2 mg/kg in Corn Oil-Rat-Spleen-0.25d-dn","3/296",0.00222071717115862,0.0422839895062705,0,0,13.439590443686,82.1148907866367,"GZMA;IL2RB;PRF1"
"Lead(IV) Acetate-200 mg/kg in Saline-Rat-Bone marrow-0.25d-dn","3/298",0.00226364182094478,0.0422839895062705,0,0,13.3471186440678,81.2943677989487,"PRF1;ARHGEF3;NKG7"
"Carmustine-16 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","3/298",0.00226364182094478,0.0422839895062705,0,0,13.3471186440678,81.2943677989487,"IL2RB;PRF1;NKG7"
"Lead(IV) Acetate-600 mg/kg in Saline-Rat-Bone marrow-5d-dn","3/299",0.00228529743284647,0.0422839895062705,0,0,13.3013513513514,80.8889638886359,"IL2RB;PRF1;NKG7"
"NN-Dimethylformamide-140 mg/kg in Saline-Rat-Spleen-1d-up","3/300",0.00230708227559711,0.0422839895062705,0,0,13.2558922558923,80.4867506220391,"LCK;IL2RB;PRF1"
"Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-5d-dn","3/300",0.00230708227559711,0.0422839895062705,0,0,13.2558922558923,80.4867506220391,"IL2RB;PRF1;NKG7"
"Lead (II) Acetate-600 mg/kg in Saline-Rat-Bone marrow-5d-dn","3/302",0.00235104076615667,0.0422839895062705,0,0,13.1658862876254,79.6917558463348,"IL2RB;PRF1;NKG7"
"Sodium Arsenite-10 mg/kg in Saline-Rat-Bone marrow-3d-dn","3/303",0.00237321496823924,0.0422839895062705,0,0,13.1213333333333,79.2989054921621,"PRF1;ARHGEF3;NKG7"
"Tranilast-300 mg/kg in CMC-Rat-Spleen-3d-dn","3/304",0.00239551950955884,0.0422839895062705,0,0,13.0770764119601,78.9091080752169,"PRF1;ARHGEF3;NKG7"
"Carboplatin-14 mg/kg in Saline-Rat-Spleen-1d-up","3/306",0.00244052070829355,0.0422839895062705,0,0,12.9894389438944,78.1385396500981,"LCK;IL2RB;PRF1"
"Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-up","3/307",0.0024632179129386,0.0422839895062705,0,0,12.9460526315789,77.7577035981898,"PRF1;ARHGEF3;NKG7"
"Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","3/309",0.00250900689389748,0.0422839895062705,0,0,12.8601307189542,77.0047686020719,"GZMA;PRF1;NKG7"
"Bleomycin A2-12 mg/kg in Saline-Rat-Bone marrow-0.25d-dn","3/309",0.00250900689389748,0.0422839895062705,0,0,12.8601307189542,77.0047686020719,"PRF1;ARHGEF3;NKG7"
"Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-1d-up","3/310",0.002532099211757,0.0422839895062705,0,0,12.8175895765472,76.6326072988201,"GZMA;PRF1;NKG7"
"Mitomycin C-0.5 mg/kg in Saline-Rat-Bone marrow-1d-up","3/312",0.00257868085172927,0.0422839895062705,0,0,12.7333333333333,75.8967443959855,"GZMA;IL2RB;PRF1"
"Acyclovir-980 mg/kg in Saline-Rat-Spleen-5d-up","3/313",0.00260217071036623,0.0422839895062705,0,0,12.6916129032258,75.5329829840208,"LCK;ARHGEF3;NKG7"
"Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-up","3/313",0.00260217071036623,0.0422839895062705,0,0,12.6916129032258,75.5329829840208,"PRF1;ARHGEF3;NKG7"
"Lead(IV) Acetate-200 mg/kg in Saline-Rat-Spleen-0.25d-up","3/314",0.00262579361708889,0.0422839895062705,0,0,12.6501607717042,75.1719624089305,"LCK;PRF1;NKG7"
"Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-1d-up","3/315",0.00264954983877741,0.0422839895062705,0,0,12.6089743589744,74.8136537743772,"IL2RB;PRF1;NKG7"
